DivergenceHarmonic,EpLenMean,WReturnMean,TimestepsSoFar,ESSRenyiArithmetic,Weights,MaxIW,EpisodesSoFar,Epsilon,EpThisIter,EpRewMean,InitialReturnMax,OptimizationReturnMean,StdWReturnMean,OptimizationReturnMin,VarianceInitializer,MinBehavPdf,StdIW,MeanD2-0,MeanEntropy,ReturnStepMaxmin,MinTargetPdf,EmpiricalD2Harmonic,Iteration,OptimizationReturnMax,LearnableVariance,ESSRenyiHarmonic,InitialReturnMin,Inner Iteration,ReturnStepMax,ReturnMeanIW,InitialBound,TimeElapsed,Penalization,Bound,MinIW,EmpiricalD2Arithmetic,MeanIW,InitialReturnStd,InitialReturnMean
1.3670822e+17,125.83,3035.463,863896,100.0,[0.206 1.081],16030382.0,4600,2.0,100,-88.74556048318743,-51.30327,51.8683,,,-1.0,-101.921906,1594940.5,1.0,0.4189424,0.8581206,-101.921906,1.0,46,89.31059,,100.0,-140.61386,1,0.8581206,1003123.1,-3301.3418,603.978173494339,True,-98307440000.0,0.034345493,1.0,160966.3,18.578007,-88.74557
2.1891504e+21,117.41,3280.2131,875637,100.0,[0.106 1.156],73755370.0,4700,2.0,100,-82.39291092067957,-50.335663,54.401844,,,-1.0,-86.82258,7723721.5,1.0,0.4189424,0.8543767,-86.82258,1.0,47,86.45909,,100.0,-136.79475,1,0.8543767,1619905200.0,-3529.3855,614.5119919776917,True,-11659991000000.0,0.006351339,1.0,1007289.44,17.906767,-82.3929
1.9657738e+36,125.19,5772.7,888156,100.0,[-0.135  1.093],99623230000.0,4800,2.0,100,-88.58653195813298,-60.039986,72.87216,,,-1.0,-93.20543,9915090000.0,1.0,0.4189424,0.8689016,-93.20543,1.0,48,101.41871,,100.0,-161.4587,1,0.8689016,4540359000000.0,-6115.558,625.1638395786285,True,-4.807084e+20,0.004304126,1.0,1057397700.0,21.50229,-88.586525
2.8777772e+30,115.84,10643.005,899740,100.0,[-0.12   1.217],198241340.0,4900,2.0,100,-81.16995678380131,-51.19632,101.17857,,,-1.0,-100.38542,19724702.0,1.0,0.4189424,0.86770594,-100.38542,1.0,49,131.15222,,100.0,-182.34854,1,0.86770594,12436313000.0,-11216.365,636.0414609909058,True,-9.726545e+17,0.5215633,1.0,2090825.1,20.146938,-81.16995
2.7543075e+23,107.35,1498.4989,910475,100.0,[-0.047  1.318],8900902.0,5000,2.0,100,-75.31093547105789,-50.34351,36.13154,,,-1.0,-78.503395,1257198.0,1.0,0.4189424,0.85720384,-78.503395,1.0,50,61.098965,,100.0,-111.442474,1,0.85720384,96613740.0,-1622.9344,646.4064209461212,True,-65306040000000.0,0.019917116,1.0,257637.48,13.892835,-75.310936
6.045252e+32,109.44,2451.7266,921419,100.0,[-0.278  1.413],133483430.0,5100,2.0,100,-76.46317992776632,-49.41858,47.078384,,,-1.0,-97.66276,14502945.0,1.0,0.4189424,0.85919225,-97.66276,1.0,51,74.122986,,100.0,-123.541565,1,0.85919225,5205120500.0,-2634.866,655.2810490131378,True,-4.5028943e+18,0.21137954,1.0,2795584.0,15.3412,-76.46318
2.903486e+20,106.6,3275.2607,932079,100.0,[-0.311  1.533],9004724.0,5200,2.0,100,-74.37820677295328,-49.67607,54.575527,,,-1.0,-79.80566,972014.4,1.0,0.4189424,0.8642385,-79.80566,1.0,52,79.277664,,100.0,-128.95374,1,0.8642385,229523790.0,-3484.7578,664.339693069458,True,-3570000200000.0,0.013071633,1.0,150912.78,17.227087,-74.378204
7.3459945e+26,105.28,1228.5194,942607,100.0,[-0.388  1.632],56709628.0,5300,2.0,100,-73.07822596773505,-50.139133,32.179367,,,-1.0,-82.71562,8122584.0,1.0,0.4189424,0.8637527,-82.71562,1.0,53,55.118458,,100.0,-105.25759,1,0.8637527,1168224100.0,-1329.7869,673.8057792186737,True,-2744722000000000.0,0.20100233,1.0,1884064.0,13.892732,-73.07823
1.2759958e+29,99.67,2155.3188,952574,100.0,[-0.323  1.738],24557250.0,5400,2.0,100,-69.2511226040125,-49.95455,44.24915,,,-1.0,-77.660034,3535232.2,1.0,0.4189424,0.8583586,-77.660034,1.0,54,63.545723,,100.0,-113.500275,1,0.8583586,1133135600.0,-2289.9194,681.7221925258636,True,-4.808128e+16,0.39167887,1.0,837578.5,14.047471,-69.25112
83845020000.0,99.21,1492.7487,962495,100.0,[-0.356  1.859],15782.25,5500,2.0,100,-68.95693407028914,-49.4074,36.011646,,,-1.0,-74.9925,2212.0415,1.0,0.4189424,0.86360174,-74.9925,1.0,55,55.561184,,100.0,-104.96858,1,0.86360174,474209.5,-1595.6492,690.4948163032532,True,-30270376.0,0.038706526,1.0,559.8633,13.996777,-68.95693
