J,VarNormIw,ESSClassic,MaxNormIw,VarDiscRet,AvgNormIw,VarVanillaIw,Delta,AvgDiscRet,MinVanillaIw,VanillaAvgRet,MinNormIw,AvgEpLen,Bound,EpsThisIter,MaxVanillaIw,IterType,eRenyi2,VarJ,VarRet,ESSRenyi,AvgRet,AvgVanillaIw,BatchSize
4960.0527,7.322598e-07,99.28029407645064,0.012036068,249991.28657230915,0.01,0.0073141,0.15,4949.913561150896,0.72089875,4949.913561150896,0.007213175,495.01,3765.0276,100,1.2029082,1,1.0080602,397.45404,249991.28657230915,99.2004230730934,4949.913561150896,0.99941945,100
4959.3047,3.6217257e-06,96.53859405074004,0.012118974,415611.5053952658,0.010000002,0.035552185,0.15,4908.701073611927,0.21441367,4908.701073611927,0.0021640991,490.9,3751.0266,100,1.2007184,1,1.0305432,329.04074,415611.5053952658,97.03620305470685,4908.701073611927,0.9907757,100
4989.127,9.194442e-07,99.09797790401088,0.010868959,20580.30540636286,0.01,0.009125172,0.15,4980.729010015289,0.47750956,4980.729010015289,0.0047931853,498.1,3795.5684,100,1.082794,1,1.0055876,77.14781,20580.30540636286,99.44434697254928,4980.729010015289,0.99622595,100
4985.954,2.0739822e-06,97.98806792045329,0.011361328,196282.1757361172,0.01,0.020338215,0.15,4955.608693443622,0.31213543,4955.608693443622,0.0031520214,495.58,3786.0605,100,1.1250789,1,1.0162903,139.91902,196282.1757361172,98.3970813327592,4955.608693443622,0.9902706,100
4987.467,1.0538786e-06,98.96745684859803,0.010953958,51988.478396029685,0.009999998,0.010419337,0.15,4977.120648564645,0.543166,4977.120648564645,0.0054627056,497.73,3793.0222,100,1.0891705,1,1.0070809,124.50392,51988.478396029685,99.29688741971923,4977.120648564645,0.9943168,100
4999.9253,3.5044917e-18,100.0,0.01,0.005439915063855108,0.009999998,,0.15,4999.925243100976,1.0,4999.925243100976,0.01,500.0,3809.6873,100,1.0,1,1.0,0.073423095,0.005439915063855108,100.0,4999.925243100976,1.0,100
4958.171,8.6815317e-07,99.14783885885834,0.013387289,249989.8172498547,0.01,0.008745295,0.15,4949.899074710954,0.69150156,4949.899074710954,0.0068897605,495.01,3763.9854,100,1.3436362,1,1.0066444,415.90063,249989.8172498547,99.33994880597606,4949.899074710954,1.0036656,100
4999.921,4.4368374e-11,99.99993896822892,0.010011707,0.009475782910393405,0.010000002,4.4373277e-07,0.15,4999.920592405774,0.9979242,4999.920592405774,0.009978693,500.0,3809.6829,100,1.0012258,1,1.0000004,0.09678955,0.009475782910393405,99.99996423722592,4999.920592405774,1.000055,100
4999.918,3.5044917e-18,100.0,0.01,0.0082146874722407,0.009999998,,0.15,4999.917806256274,1.0,4999.917806256274,0.01,500.0,3809.68,100,1.0,1,1.0,0.0901711,0.0082146874722407,100.0,4999.917806256274,1.0,100
4999.9243,8.731981e-11,99.99990079944772,0.010031095,0.005923336848180604,0.010000002,8.7286907e-07,0.15,4999.923682462889,0.99772567,4999.923682462889,0.009979118,500.0,3809.686,100,1.0029224,1,1.0000008,0.07655379,0.005923336848180604,99.99991655356695,4999.923682462889,0.99981356,100
4999.9146,3.5044917e-18,100.0,0.01,0.009242953327430789,0.009999998,,0.15,4999.914634158934,1.0,4999.914634158934,0.01,500.0,3809.6765,100,1.0,1,1.0,0.09566565,0.009242953327430789,100.0,4999.914634158934,1.0,100
4998.662,3.1215086e-09,99.9969087624089,0.01006328,169.10917770588705,0.01,3.1186704e-05,0.15,4998.628151936729,0.97390276,4998.628151936729,0.009743454,499.88,3808.4097,100,1.0058708,1,1.0000241,12.61035,169.10917770588705,99.99759203033565,4998.628151936729,0.9995457,100
4999.916,1.429519e-10,99.99983214974105,0.010016753,0.01009790156393791,0.010000003,1.4294619e-06,0.15,4999.9153924993925,0.99344754,4999.9153924993925,0.0099347,500.0,3809.6777,100,1.0016527,1,1.0000005,0.09966416,0.01009790156393791,99.99995231630692,4999.9153924993925,0.9999774,100
4960.632,7.1139266e-07,99.30064110368241,0.011883166,249991.99312515784,0.01,0.0071298396,0.15,4949.920659015378,0.7289977,4949.920659015378,0.0072818375,495.01,3765.3193,100,1.1896448,1,1.008545,391.77493,249991.99312515784,99.15273579897803,4949.920659015378,1.0011178,100
4999.911,3.5230762e-13,100.00000762943688,0.010000889,0.02347680376574469,0.01,3.523074e-09,0.15,4999.910562795576,0.99976516,4999.910562795576,0.009997707,500.0,3809.673,100,1.0000834,1,1.0,0.15244773,0.02347680376574469,100.0,4999.910562795576,0.9999945,100
4964.9116,1.4469139e-06,98.58777479286857,0.01194445,248994.6741338358,0.01,0.014570849,0.15,4950.017654423639,0.38779628,4950.017654423639,0.0038644045,495.02,3767.6118,100,1.1986358,1,1.0119014,349.36057,248994.6741338358,98.823859826371,4950.017654423639,1.0035086,100
4970.758,2.8017407e-06,97.30113452277939,0.012130194,232687.9763408167,0.01,0.027853152,0.15,4938.310549098151,0.4171552,4938.310549098151,0.0041838344,493.86,3768.2197,100,1.2094585,1,1.0207752,216.82454,232687.9763408167,97.96476256886845,4938.310549098151,0.99706435,100
