MaxVanillaIw,J,eRenyi2,VarVanillaIw,AvgVanillaIw,VarJ,MaxNormIw,AvgDiscRet,BatchSize,EpsThisIter,VanillaAvgRet,Bound,IterType,Delta,VarDiscRet,MinVanillaIw,AvgRet,ESSClassic,VarNormIw,AvgEpLen,AvgNormIw,MinNormIw,ESSRenyi,VarRet
1.0,-59.7687,1.0,,1.0,21.9005,0.00333333,-58.4625351124,500,100,-58.4625351124,-59.7687,2,1.0,47.9788071727,1.0,-58.4625351124,299.999969474,5.43914e-20,85.72,0.00333333,0.00333333,500.0,47.9788071727
1.0,-59.0744,1.0,,1.0,19.3321,0.0025,-56.9912200272,500,100,-56.9912200272,-59.0744,2,1.0,50.7386913967,1.0,-56.9912200272,400.0,5.4346e-20,83.28,0.0025,0.0025,500.0,50.7386913967
1.0,-58.7188,1.0,,1.0,17.5448,0.002,-57.2963316029,500,100,-57.2963316029,-58.7188,1,1.0,42.0770893209,1.0,-57.2963316029,500.000006643,5.43187e-20,83.67,0.002,0.002,500.0,42.0770893209
1.0,-59.6198,1.0,,1.0,6.8867,0.01,-59.6198255426,500,100,-59.6198255426,-59.6198,2,1.0,47.9057515901,1.0,-59.6198255426,100.0,3.50449e-18,87.97,0.01,0.01,500.0,47.9057515901
1.0,-58.4825,1.0,,1.0,6.77356,0.005,-57.3451475886,500,100,-57.3451475886,-58.4825,2,1.0,42.1701989603,1.0,-57.3451475886,200.000000102,2.1793e-19,84.23,0.005,0.005,500.0,42.1701989603
1.0,-58.0158,1.0,,1.0,6.58242,0.00333333,-57.0823595437,500,100,-57.0823595437,-58.0158,2,1.0,37.2885716217,1.0,-57.0823595437,299.999969474,5.43914e-20,83.35,0.00333333,0.00333333,500.0,37.2885716217
1.0,-57.8042,1.0,,1.0,6.56873,0.0025,-57.1696250679,500,100,-57.1696250679,-57.8042,2,1.0,42.4960426477,1.0,-57.1696250679,400.0,5.4346e-20,84.07,0.0025,0.0025,500.0,42.4960426477
1.0,-57.776,1.0,,1.0,6.51349,0.002,-57.6630892999,500,100,-57.6630892999,-57.776,1,1.0,39.9181323547,1.0,-57.6630892999,500.000006643,5.43187e-20,84.49,0.002,0.002,500.0,39.9181323547
1.0,-57.5928,1.0,,1.0,6.95286,0.01,-57.5927774626,500,100,-57.5927774626,-57.5928,2,1.0,48.8305053261,1.0,-57.5927774626,100.0,3.50449e-18,84.57,0.01,0.01,500.0,48.8305053261
1.0,-57.1468,1.0,,1.0,7.29371,0.005,-56.7009010839,500,100,-56.7009010839,-57.1468,2,1.0,58.2387972553,1.0,-56.7009010839,200.000000102,2.1793e-19,82.85,0.005,0.005,500.0,58.2387972553
1.0,-58.7249,1.0,,1.0,21.9915,0.00333333,-61.8808831435,500,100,-61.8808831435,-58.7249,2,1.0,1342.97658247,1.0,-61.8808831435,299.999969474,5.43914e-20,89.84,0.00333333,0.00333333,500.0,1342.97658247
1.0,-58.4333,1.0,,1.0,19.4525,0.0025,-57.5585903719,500,100,-57.5585903719,-58.4333,2,1.0,62.323306627,1.0,-57.5585903719,400.0,5.4346e-20,84.32,0.0025,0.0025,500.0,62.323306627
1.0,-58.4995,1.0,,1.0,17.7072,0.002,-58.7644724104,500,100,-58.7644724104,-58.4995,1,1.0,54.5735165256,1.0,-58.7644724104,500.000006643,5.43187e-20,86.39,0.002,0.002,500.0,54.5735165256
1.0,-57.8968,1.0,,1.0,7.04083,0.01,-57.8968093234,500,100,-57.8968093234,-57.8968,2,1.0,50.0739736971,1.0,-57.8968093234,100.0,3.50449e-18,85.01,0.01,0.01,500.0,50.0739736971
1.0,-60.8439,1.0,,1.0,36.4508,0.005,-63.7909048669,500,100,-63.7909048669,-60.8439,2,1.0,2616.53687531,1.0,-63.7909048669,200.000000102,2.1793e-19,91.18,0.005,0.005,500.0,2616.53687531
1.0,-59.9301,1.0,,1.0,30.0064,0.00333333,-58.1024565957,500,100,-58.1024565957,-59.9301,2,1.0,39.2123311396,1.0,-58.1024565957,299.999969474,5.43914e-20,85.42,0.00333333,0.00333333,500.0,39.2123311396
1.0,-60.2511,1.0,,1.0,31.733,0.0025,-61.2142727873,500,100,-61.2142727873,-60.2511,2,1.0,1338.92869253,1.0,-61.2142727873,400.0,5.4346e-20,88.86,0.0025,0.0025,500.0,1338.92869253
1.0,-59.9653,1.0,,1.0,28.5498,0.002,-58.821834812,500,100,-58.821834812,-59.9653,1,1.0,46.3562198109,1.0,-58.821834812,500.000006643,5.43187e-20,86.41,0.002,0.002,500.0,46.3562198109
1.0,-58.7099,1.0,,1.0,7.48547,0.01,-58.7099233808,500,100,-58.7099233808,-58.7099,2,1.0,56.5982035158,1.0,-58.7099233808,100.0,3.50449e-18,86.26,0.01,0.01,500.0,56.5982035158
1.0,-57.9025,1.0,,1.0,6.83848,0.005,-57.0951211551,500,100,-57.0951211551,-57.9025,2,1.0,36.5591763384,1.0,-57.0951211551,200.000000102,2.1793e-19,83.49,0.005,0.005,500.0,36.5591763384
1.0,-58.986,1.0,,1.0,21.7847,0.00333333,-61.1528592116,500,100,-61.1528592116,-58.986,2,1.0,1336.51557446,1.0,-61.1528592116,299.999969474,5.43914e-20,88.37,0.00333333,0.00333333,500.0,1336.51557446
1.0,-59.5904,1.0,,1.0,26.2365,0.0025,-61.4035586245,500,100,-61.4035586245,-59.5904,2,1.0,1338.70273607,1.0,-61.4035586245,400.0,5.4346e-20,88.68,0.0025,0.0025,500.0,1338.70273607
1.0,-59.1847,1.0,,1.0,23.6704,0.002,-57.5619755885,500,100,-57.5619755885,-59.1847,1,1.0,45.1834929452,1.0,-57.5619755885,500.000006643,5.43187e-20,84.95,0.002,0.002,500.0,45.1834929452
1.0,-57.8874,1.0,,1.0,8.00432,0.01,-57.8874058887,500,100,-57.8874058887,-57.8874,2,1.0,64.7162887285,1.0,-57.8874058887,100.0,3.50449e-18,85.1,0.01,0.01,500.0,64.7162887285
1.0,-59.7077,1.0,,1.0,26.4665,0.005,-61.5279733126,500,100,-61.5279733126,-59.7077,2,1.0,1343.69728364,1.0,-61.5279733126,200.000000102,2.1793e-19,88.85,0.005,0.005,500.0,1343.69728364
1.0,-59.0515,1.0,,1.0,21.9776,0.00333333,-57.7391380228,500,100,-57.7391380228,-59.0515,2,1.0,45.9655461568,1.0,-57.7391380228,299.999969474,5.43914e-20,84.53,0.00333333,0.00333333,500.0,45.9655461568
1.0,-58.6366,1.0,,1.0,19.3549,0.0025,-57.3919080797,500,100,-57.3919080797,-58.6366,2,1.0,47.8210448935,1.0,-57.3919080797,400.0,5.4346e-20,83.96,0.0025,0.0025,500.0,47.8210448935
1.0,-59.2402,1.0,,1.0,23.8985,0.002,-61.6547495611,500,100,-61.6547495611,-59.2402,1,1.0,1363.57948585,1.0,-61.6547495611,500.000006643,5.43187e-20,89.57,0.002,0.002,500.0,1363.57948585
1.0,-57.3439,1.0,,1.0,6.0551,0.01,-57.3438553068,500,100,-57.3438553068,-57.3439,2,1.0,37.034571744,1.0,-57.3438553068,100.0,3.50449e-18,84.32,0.01,0.01,500.0,37.034571744
1.0,-57.1918,1.0,,1.0,6.02106,0.005,-57.0397447917,500,100,-57.0397447917,-57.1918,2,1.0,36.1574833505,1.0,-57.0397447917,200.000000102,2.1793e-19,83.38,0.005,0.005,500.0,36.1574833505
1.0,-57.7901,1.0,,1.0,6.66565,0.00333333,-58.9867016058,500,100,-58.9867016058,-57.7901,2,1.0,59.230668811,1.0,-58.9867016058,299.999969474,5.43914e-20,86.54,0.00333333,0.00333333,500.0,59.230668811
1.0,-57.7701,1.0,,1.0,6.72874,0.0025,-57.7099381697,500,100,-57.7099381697,-57.7701,2,1.0,48.2891511816,1.0,-57.7099381697,400.0,5.4346e-20,84.94,0.0025,0.0025,500.0,48.2891511816
1.0,-57.86,1.0,,1.0,6.61134,0.002,-58.219526559,500,100,-58.219526559,-57.86,1,1.0,37.6604494333,1.0,-58.219526559,500.000006643,5.43187e-20,85.19,0.002,0.002,500.0,37.6604494333
1.0,-62.5068,1.0,,1.0,36.4502,0.01,-62.5067498931,500,100,-62.5067498931,-62.5068,2,1.0,1342.03904063,1.0,-62.5067498931,100.0,3.50449e-18,90.95,0.01,0.01,500.0,1342.03904063
1.0,-62.0199,1.0,,1.0,36.3685,0.005,-61.5330546367,500,100,-61.5330546367,-62.0199,2,1.0,1329.53260373,1.0,-61.5330546367,200.000000102,2.1793e-19,89.16,0.005,0.005,500.0,1329.53260373
1.0,-62.0808,1.0,,1.0,36.3191,0.00333333,-62.2025735292,500,100,-62.2025735292,-62.0808,2,1.0,1325.1312808,1.0,-62.2025735292,299.999969474,5.43914e-20,90.53,0.00333333,0.00333333,500.0,1325.1312808
1.0,-60.6291,1.0,,1.0,31.7324,0.0025,-56.2739531898,500,100,-56.2739531898,-60.6291,2,1.0,45.7041801185,1.0,-56.2739531898,400.0,5.4346e-20,82.57,0.0025,0.0025,500.0,45.7041801185
1.0,-60.7967,1.0,,1.0,32.7003,0.002,-61.4671301925,500,100,-61.4671301925,-60.7967,1,1.0,1331.54311221,1.0,-61.4671301925,500.000006643,5.43187e-20,89.02,0.002,0.002,500.0,1331.54311221
1.0,-56.9268,1.0,,1.0,5.88073,0.01,-56.9267924282,500,100,-56.9267924282,-56.9268,2,1.0,34.9322787561,1.0,-56.9267924282,100.0,3.50449e-18,82.87,0.01,0.01,500.0,34.9322787561
1.0,-57.34,1.0,,1.0,6.61773,0.005,-57.7532737121,500,100,-57.7532737121,-57.34,2,1.0,53.1960827443,1.0,-57.7532737121,200.000000102,2.1793e-19,84.75,0.005,0.005,500.0,53.1960827443
1.0,-58.6513,1.0,,1.0,21.7071,0.00333333,-61.27376175,500,100,-61.27376175,-58.6513,2,1.0,1328.98024191,1.0,-61.27376175,299.999969474,5.43914e-20,89.05,0.00333333,0.00333333,500.0,1328.98024191
1.0,-58.1814,1.0,,1.0,19.0555,0.0025,-56.7718766502,500,100,-56.7718766502,-58.1814,2,1.0,36.5772552285,1.0,-56.7718766502,400.0,5.4346e-20,83.34,0.0025,0.0025,500.0,36.5772552285
1.0,-59.762,1.0,,1.0,28.533,0.002,-66.0840559326,500,100,-66.0840559326,-59.762,1,1.0,2594.1880043,1.0,-66.0840559326,500.000006643,5.43187e-20,95.24,0.002,0.002,500.0,2594.1880043
1.0,-57.4296,1.0,,1.0,6.96424,0.01,-57.4296340537,500,100,-57.4296340537,-57.4296,2,1.0,48.9905715224,1.0,-57.4296340537,100.0,3.50449e-18,84.19,0.01,0.01,500.0,48.9905715224
1.0,-59.5213,1.0,,1.0,26.3999,0.005,-61.6129494619,500,100,-61.6129494619,-59.5213,2,1.0,1350.16331494,1.0,-61.6129494619,200.000000102,2.1793e-19,89.46,0.005,0.005,500.0,1350.16331494
1.0,-58.7236,1.0,,1.0,21.981,0.00333333,-57.1283119102,500,100,-57.1283119102,-58.7236,2,1.0,52.2848644637,1.0,-57.1283119102,299.999969474,5.43914e-20,83.74,0.00333333,0.00333333,500.0,52.2848644637
1.0,-58.2072,1.0,,1.0,19.3778,0.0025,-56.6579326418,500,100,-56.6579326418,-58.2072,2,1.0,49.7980107564,1.0,-56.6579326418,400.0,5.4346e-20,82.64,0.0025,0.0025,500.0,49.7980107564
1.0,-58.607,1.0,,1.0,23.8491,0.002,-60.2063056597,500,100,-60.2063056597,-58.607,1,1.0,1352.23853753,1.0,-60.2063056597,500.000006643,5.43187e-20,87.58,0.002,0.002,500.0,1352.23853753
1.0,-56.3774,1.0,,1.0,6.04637,0.01,-56.3774470562,500,100,-56.3774470562,-56.3774,2,1.0,36.9278941108,1.0,-56.3774470562,100.0,3.50449e-18,82.57,0.01,0.01,500.0,36.9278941108
1.0,-57.2092,1.0,,1.0,6.94635,0.005,-58.0409306881,500,100,-58.0409306881,-57.2092,2,1.0,59.1528665886,1.0,-58.0409306881,200.000000102,2.1793e-19,85.34,0.005,0.005,500.0,59.1528665886
1.0,-57.5838,1.0,,1.0,7.23838,0.00333333,-58.3330252552,500,100,-58.3330252552,-57.5838,2,1.0,60.441393941,1.0,-58.3330252552,299.999969474,5.43914e-20,85.47,0.00333333,0.00333333,500.0,60.441393941
1.0,-57.2753,1.0,,1.0,7.09846,0.0025,-56.3498910743,500,100,-56.3498910743,-57.2753,2,1.0,43.6647286307,1.0,-56.3498910743,400.0,5.4346e-20,82.54,0.0025,0.0025,500.0,43.6647286307
1.0,-57.2601,1.0,,1.0,7.20368,0.002,-57.1989780556,500,100,-57.1989780556,-57.2601,1,1.0,58.4927528655,1.0,-57.1989780556,500.000006643,5.43187e-20,83.8,0.002,0.002,500.0,58.4927528655
1.0,-58.8457,1.0,,1.0,6.29133,0.01,-58.8456937619,500,100,-58.8456937619,-58.8457,2,1.0,39.9806613505,1.0,-58.8456937619,100.0,3.50449e-18,86.48,0.01,0.01,500.0,39.9806613505
1.0,-58.1848,1.0,,1.0,7.18715,0.005,-57.5238227989,500,100,-57.5238227989,-58.1848,2,1.0,63.4905754952,1.0,-57.5238227989,200.000000102,2.1793e-19,84.47,0.005,0.005,500.0,63.4905754952
1.0,-58.0866,1.0,,1.0,7.0106,0.00333333,-57.8903390841,500,100,-57.8903390841,-58.0866,2,1.0,44.5227673992,1.0,-57.8903390841,299.999969474,5.43914e-20,84.9,0.00333333,0.00333333,500.0,44.5227673992
1.0,-58.8246,1.0,,1.0,19.2534,0.0025,-61.0385057482,500,100,-61.0385057482,-58.8246,2,1.0,1342.2118127,1.0,-61.0385057482,400.0,5.4346e-20,88.68,0.0025,0.0025,500.0,1342.2118127
1.0,-58.6324,1.0,,1.0,17.428,0.002,-57.863686312,500,100,-57.863686312,-58.6324,1,1.0,35.5181618984,1.0,-57.863686312,500.000006643,5.43187e-20,84.9,0.002,0.002,500.0,35.5181618984
1.0,-57.6586,1.0,,1.0,6.12986,0.01,-57.6585851306,500,100,-57.6585851306,-57.6586,2,1.0,37.9546943634,1.0,-57.6585851306,100.0,3.50449e-18,84.71,0.01,0.01,500.0,37.9546943634
1.0,-57.3389,1.0,,1.0,6.50962,0.005,-57.0191173624,500,100,-57.0191173624,-57.3389,2,1.0,47.4451155311,1.0,-57.0191173624,200.000000102,2.1793e-19,83.48,0.005,0.005,500.0,47.4451155311
1.0,-60.0294,1.0,,1.0,29.9746,0.00333333,-65.4104744999,500,100,-65.4104744999,-60.0294,2,1.0,2593.17651774,1.0,-65.4104744999,299.999969474,5.43914e-20,93.9,0.00333333,0.00333333,500.0,2593.17651774
1.0,-59.1245,1.0,,1.0,26.2229,0.0025,-56.4096601833,500,100,-56.4096601833,-59.1245,2,1.0,45.769671113,1.0,-56.4096601833,400.0,5.4346e-20,82.38,0.0025,0.0025,500.0,45.769671113
1.0,-58.9432,1.0,,1.0,23.6418,0.002,-58.2181274651,500,100,-58.2181274651,-58.9432,1,1.0,43.885994098,1.0,-58.2181274651,500.000006643,5.43187e-20,85.31,0.002,0.002,500.0,43.885994098
1.0,-57.2486,1.0,,1.0,7.70631,0.01,-57.248581382,500,100,-57.248581382,-57.2486,2,1.0,59.9870498744,1.0,-57.248581382,100.0,3.50449e-18,83.75,0.01,0.01,500.0,59.9870498744
1.0,-57.6448,1.0,,1.0,7.47216,0.005,-58.040962002,500,100,-58.040962002,-57.6448,2,1.0,52.4902260549,1.0,-58.040962002,200.000000102,2.1793e-19,85.2,0.005,0.005,500.0,52.4902260549
1.0,-57.8301,1.0,,1.0,7.63767,0.00333333,-58.200645259,500,100,-58.200645259,-57.8301,2,1.0,63.767221401,1.0,-58.200645259,299.999969474,5.43914e-20,85.34,0.00333333,0.00333333,500.0,63.767221401
1.0,-57.625,1.0,,1.0,7.30715,0.0025,-57.0098014246,500,100,-57.0098014246,-57.625,2,1.0,38.4557962637,1.0,-57.0098014246,400.0,5.4346e-20,83.42,0.0025,0.0025,500.0,38.4557962637
1.0,-57.6818,1.0,,1.0,7.37432,0.002,-57.9089806977,500,100,-57.9089806977,-57.6818,1,1.0,58.8494017013,1.0,-57.9089806977,500.000006643,5.43187e-20,84.79,0.002,0.002,500.0,58.8494017013
1.0,-58.3205,1.0,,1.0,7.74431,0.01,-58.320513536,500,100,-58.320513536,-58.3205,2,1.0,60.5802009192,1.0,-58.320513536,100.0,3.50449e-18,85.61,0.01,0.01,500.0,60.5802009192
1.0,-57.8813,1.0,,1.0,7.66367,0.005,-57.4420182441,500,100,-57.4420182441,-57.8813,2,1.0,57.6801695493,1.0,-57.4420182441,200.000000102,2.1793e-19,84.05,0.005,0.005,500.0,57.6801695493
1.0,-57.6395,1.0,,1.0,7.32576,0.00333333,-57.1560764952,500,100,-57.1560764952,-57.6395,2,1.0,43.6220551459,1.0,-57.1560764952,299.999969474,5.43914e-20,83.68,0.00333333,0.00333333,500.0,43.6220551459
1.0,-57.3402,1.0,,1.0,7.22476,0.0025,-56.4421977445,500,100,-56.4421977445,-57.3402,2,1.0,47.1850549818,1.0,-56.4421977445,400.0,5.4346e-20,82.03,0.0025,0.0025,500.0,47.1850549818
1.0,-57.3002,1.0,,1.0,7.16964,0.002,-57.1401747233,500,100,-57.1401747233,-57.3002,1,1.0,48.6849252078,1.0,-57.1401747233,500.000006643,5.43187e-20,83.74,0.002,0.002,500.0,48.6849252078
1.0,-58.0115,1.0,,1.0,6.78058,0.01,-58.0115404184,500,100,-58.0115404184,-58.0115,2,1.0,46.4407303127,1.0,-58.0115404184,100.0,3.50449e-18,85.36,0.01,0.01,500.0,46.4407303127
1.0,-57.5059,1.0,,1.0,6.69125,0.005,-57.0003527436,500,100,-57.0003527436,-57.5059,2,1.0,43.4930240104,1.0,-57.0003527436,200.000000102,2.1793e-19,83.4,0.005,0.005,500.0,43.4930240104
1.0,-57.6505,1.0,,1.0,7.03065,0.00333333,-57.9397385052,500,100,-57.9397385052,-57.6505,2,1.0,59.211007524,1.0,-57.9397385052,299.999969474,5.43914e-20,85.09,0.00333333,0.00333333,500.0,59.211007524
1.0,-58.4783,1.0,,1.0,19.2332,0.0025,-60.9615772602,500,100,-60.9615772602,-58.4783,2,1.0,1336.51014198,1.0,-60.9615772602,400.0,5.4346e-20,88.23,0.0025,0.0025,500.0,1336.51014198
1.0,-59.1428,1.0,,1.0,23.7609,0.002,-61.8009425756,500,100,-61.8009425756,-59.1428,1,1.0,1347.88661874,1.0,-61.8009425756,500.000006643,5.43187e-20,89.74,0.002,0.002,500.0,1347.88661874
1.0,-57.1597,1.0,,1.0,6.84027,0.01,-57.1597047828,500,100,-57.1597047828,-57.1597,2,1.0,47.2619612251,1.0,-57.1597047828,100.0,3.50449e-18,83.75,0.01,0.01,500.0,47.2619612251
1.0,-56.998,1.0,,1.0,6.86273,0.005,-56.8362808503,500,100,-56.8362808503,-56.998,2,1.0,47.8307566615,1.0,-56.8362808503,200.000000102,2.1793e-19,83.02,0.005,0.005,500.0,47.8307566615
1.0,-57.3256,1.0,,1.0,6.657,0.00333333,-57.9809462404,500,100,-57.9809462404,-57.3256,2,1.0,38.4935723853,1.0,-57.9809462404,299.999969474,5.43914e-20,85.27,0.00333333,0.00333333,500.0,38.4935723853
1.0,-57.4961,1.0,,1.0,6.84867,0.0025,-58.0073192145,500,100,-58.0073192145,-57.4961,2,1.0,54.870505628,1.0,-58.0073192145,400.0,5.4346e-20,84.74,0.0025,0.0025,500.0,54.870505628
1.0,-58.1237,1.0,,1.0,17.4699,0.002,-60.6344532669,500,100,-60.6344532669,-58.1237,1,1.0,1343.9302933,1.0,-60.6344532669,500.000006643,5.43187e-20,87.57,0.002,0.002,500.0,1343.9302933
1.0,-57.07,1.0,,1.0,6.92413,0.01,-57.0699937563,500,100,-57.0699937563,-57.07,2,1.0,48.4278222114,1.0,-57.0699937563,100.0,3.50449e-18,83.62,0.01,0.01,500.0,48.4278222114
1.0,-57.1369,1.0,,1.0,6.43244,0.005,-57.2039053442,500,100,-57.2039053442,-57.1369,2,1.0,35.1514809598,1.0,-57.2039053442,200.000000102,2.1793e-19,83.89,0.005,0.005,500.0,35.1514809598
1.0,-57.64,1.0,,1.0,6.94334,0.00333333,-58.6459889439,500,100,-58.6459889439,-57.64,2,1.0,60.969077126,1.0,-58.6459889439,299.999969474,5.43914e-20,86.48,0.00333333,0.00333333,500.0,60.969077126
1.0,-57.8618,1.0,,1.0,6.97599,0.0025,-58.5275225072,500,100,-58.5275225072,-57.8618,2,1.0,49.9361570985,1.0,-58.5275225072,400.0,5.4346e-20,86.05,0.0025,0.0025,500.0,49.9361570985
1.0,-57.8066,1.0,,1.0,7.15754,0.002,-57.5855875058,500,100,-57.5855875058,-57.8066,1,1.0,62.0536836303,1.0,-57.5855875058,500.000006643,5.43187e-20,84.6,0.002,0.002,500.0,62.0536836303
1.0,-56.1494,1.0,,1.0,6.92421,0.01,-56.1494336665,500,100,-56.1494336665,-56.1494,2,1.0,48.4290196373,1.0,-56.1494336665,100.0,3.50449e-18,82.04,0.01,0.01,500.0,48.4290196373
1.0,-60.4233,1.0,,1.0,36.5162,0.005,-64.697070709,500,100,-64.697070709,-60.4233,2,1.0,2608.47766465,1.0,-64.697070709,200.000000102,2.1793e-19,92.39,0.005,0.005,500.0,2608.47766465
1.0,-59.525,1.0,,1.0,30.1749,0.00333333,-57.7284706593,500,100,-57.7284706593,-59.525,2,1.0,60.4695845778,1.0,-57.7284706593,299.999969474,5.43914e-20,84.71,0.00333333,0.00333333,500.0,60.4695845778
1.0,-58.8205,1.0,,1.0,26.3439,0.0025,-56.7068354636,500,100,-56.7068354636,-58.8205,2,1.0,38.8660770526,1.0,-56.7068354636,400.0,5.4346e-20,82.84,0.0025,0.0025,500.0,38.8660770526
1.0,-58.4822,1.0,,1.0,23.7577,0.002,-57.1290635501,500,100,-57.1290635501,-58.4822,1,1.0,44.2874398429,1.0,-57.1290635501,500.000006643,5.43187e-20,83.71,0.002,0.002,500.0,44.2874398429
1.0,-58.4964,1.0,,1.0,7.64729,0.01,-58.4963664852,500,100,-58.4963664852,-58.4964,2,1.0,59.0718105345,1.0,-58.4963664852,100.0,3.50449e-18,86.13,0.01,0.01,500.0,59.0718105345
1.0,-60.3126,1.0,,1.0,26.2972,0.005,-62.1288779938,500,100,-62.1288779938,-60.3126,2,1.0,1331.32058049,1.0,-62.1288779938,200.000000102,2.1793e-19,90.08,0.005,0.005,500.0,1331.32058049
1.0,-59.0737,1.0,,1.0,21.9053,0.00333333,-56.5958614486,500,100,-56.5958614486,-59.0737,2,1.0,47.7071183961,1.0,-56.5958614486,299.999969474,5.43914e-20,82.89,0.00333333,0.00333333,500.0,47.7071183961
1.0,-58.6654,1.0,,1.0,19.2816,0.0025,-57.4403642693,500,100,-57.4403642693,-58.6654,2,1.0,46.0529469968,1.0,-57.4403642693,400.0,5.4346e-20,84.02,0.0025,0.0025,500.0,46.0529469968
1.0,-58.243,1.0,,1.0,17.5773,0.002,-56.5536502074,500,100,-56.5536502074,-58.243,1,1.0,54.6711879318,1.0,-56.5536502074,500.000006643,5.43187e-20,82.62,0.002,0.002,500.0,54.6711879318
1.0,-57.7931,1.0,,1.0,6.41377,0.01,-57.7930516547,500,100,-57.7930516547,-57.7931,2,1.0,41.5519512349,1.0,-57.7930516547,100.0,3.50449e-18,84.72,0.01,0.01,500.0,41.5519512349
1.0,-57.9566,1.0,,1.0,7.12545,0.005,-58.1202435267,500,100,-58.1202435267,-57.9566,2,1.0,60.9638193683,1.0,-58.1202435267,200.000000102,2.1793e-19,85.27,0.005,0.005,500.0,60.9638193683
1.0,-59.1993,1.0,,1.0,22.0006,0.00333333,-61.6846024886,500,100,-61.6846024886,-59.1993,2,1.0,1354.82023745,1.0,-61.6846024886,299.999969474,5.43914e-20,89.94,0.00333333,0.00333333,500.0,1354.82023745
1.0,-58.9019,1.0,,1.0,19.3839,0.0025,-58.0097595891,500,100,-58.0097595891,-58.9019,2,1.0,50.3052918944,1.0,-58.0097595891,400.0,5.4346e-20,85.21,0.0025,0.0025,500.0,50.3052918944
1.0,-58.6562,1.0,,1.0,17.5891,0.002,-57.6735723254,500,100,-57.6735723254,-58.6562,1,1.0,43.1533895548,1.0,-57.6735723254,500.000006643,5.43187e-20,84.33,0.002,0.002,500.0,43.1533895548
1.0,-57.7144,1.0,,1.0,7.70638,0.01,-57.7143599634,500,100,-57.7143599634,-57.7144,2,1.0,59.9881687532,1.0,-57.7143599634,100.0,3.50449e-18,85.16,0.01,0.01,500.0,59.9881687532
1.0,-59.4547,1.0,,1.0,26.4482,0.005,-61.195123484,500,100,-61.195123484,-59.4547,2,1.0,1347.03330074,1.0,-61.195123484,200.000000102,2.1793e-19,88.67,0.005,0.005,500.0,1347.03330074
1.0,-58.7053,1.0,,1.0,22.0739,0.00333333,-57.2064482568,500,100,-57.2064482568,-58.7053,2,1.0,59.9863647606,1.0,-57.2064482568,299.999969474,5.43914e-20,83.85,0.00333333,0.00333333,500.0,59.9863647606
1.0,-58.6464,1.0,,1.0,19.4946,0.0025,-58.4696261196,500,100,-58.4696261196,-58.6464,2,1.0,58.9341458862,1.0,-58.4696261196,400.0,5.4346e-20,85.9,0.0025,0.0025,500.0,58.9341458862
1.0,-58.273,1.0,,1.0,17.7376,0.002,-56.7795067169,500,100,-56.7795067169,-58.273,1,1.0,50.6734009885,1.0,-56.7795067169,500.000006643,5.43187e-20,83.25,0.002,0.002,500.0,50.6734009885
1.0,-56.4109,1.0,,1.0,6.57171,0.01,-56.4108789076,500,100,-56.4108789076,-56.4109,2,1.0,43.6236692671,1.0,-56.4108789076,100.0,3.50449e-18,82.66,0.01,0.01,500.0,43.6236692671
1.0,-57.5193,1.0,,1.0,7.06074,0.005,-58.6277750902,500,100,-58.6277750902,-57.5193,2,1.0,54.6095807585,1.0,-58.6277750902,200.000000102,2.1793e-19,86.32,0.005,0.005,500.0,54.6095807585
1.0,-58.5238,1.0,,1.0,21.9162,0.00333333,-60.5327360256,500,100,-60.5327360256,-58.5238,2,1.0,1348.68201424,1.0,-60.5327360256,299.999969474,5.43914e-20,87.24,0.00333333,0.00333333,500.0,1348.68201424
1.0,-58.1817,1.0,,1.0,19.2711,0.0025,-57.1553439541,500,100,-57.1553439541,-58.1817,2,1.0,43.576486952,1.0,-57.1553439541,400.0,5.4346e-20,83.7,0.0025,0.0025,500.0,43.576486952
1.0,-58.2291,1.0,,1.0,17.5241,0.002,-58.4186616446,500,100,-58.4186616446,-58.2291,1,1.0,50.4198309021,1.0,-58.4186616446,500.000006643,5.43187e-20,85.6,0.002,0.002,500.0,50.4198309021
1.0,-58.46,1.0,,1.0,7.03559,0.01,-58.4600090027,500,100,-58.4600090027,-58.46,2,1.0,49.9994972492,1.0,-58.4600090027,100.0,3.50449e-18,85.7,0.01,0.01,500.0,49.9994972492
1.0,-58.097,1.0,,1.0,7.15597,0.005,-57.7339638939,500,100,-57.7339638939,-58.097,2,1.0,53.1844802725,1.0,-57.7339638939,200.000000102,2.1793e-19,84.71,0.005,0.005,500.0,53.1844802725
1.0,-57.7679,1.0,,1.0,6.92305,0.00333333,-57.1096768318,500,100,-57.1096768318,-57.7679,2,1.0,41.1316405948,1.0,-57.1096768318,299.999969474,5.43914e-20,83.43,0.00333333,0.00333333,500.0,41.1316405948
1.0,-57.3092,1.0,,1.0,6.75347,0.0025,-55.9332785986,500,100,-55.9332785986,-57.3092,2,1.0,36.4921290825,1.0,-55.9332785986,400.0,5.4346e-20,81.95,0.0025,0.0025,500.0,36.4921290825
1.0,-58.759,1.0,,1.0,23.704,0.002,-64.5582828875,500,100,-64.5582828875,-58.759,1,1.0,2611.0289987,1.0,-64.5582828875,500.000006643,5.43187e-20,92.53,0.002,0.002,500.0,2611.0289987
1.0,-57.0962,1.0,,1.0,5.97795,0.01,-57.096248192,500,100,-57.096248192,-57.0962,2,1.0,36.0969182666,1.0,-57.096248192,100.0,3.50449e-18,83.83,0.01,0.01,500.0,36.0969182666
