ESSClassic,MaxVanillaIw,VarNormIw,MinVanillaIw,VarRet,VarVanillaIw,BatchSize,Delta,AvgEpLen,AvgNormIw,VanillaAvgRet,J,AvgDiscRet,AvgVanillaIw,MinNormIw,VarDiscRet,Bound,EpsThisIter,VarJ,eRenyi2,IterType,AvgRet,MaxNormIw,ESSRenyi
100.0,1.0,3.50449e-18,1.0,204.89121832,,500,0.9,500.0,0.01,68.5020583021,68.5021,68.5020583021,1.0,0.01,204.89121832,65.4366,100,14.2423,1.0,2,68.5020583021,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,206.26851169,,500,0.9,500.0,0.005,62.4707188202,65.4864,62.4707188202,1.0,0.005,206.26851169,63.3188,100,14.5814,1.0,2,62.4707188202,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,69.5494819065,,500,0.9,500.0,0.00333333,56.2813534472,62.418,56.2813534472,1.0,0.00333333,69.5494819065,60.6482,100,13.5472,1.0,2,56.2813534472,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,354.051006929,,500,0.9,500.0,0.0025,61.4299766089,62.171,61.4299766089,1.0,0.0025,354.051006929,60.6383,100,15.0152,1.0,2,61.4299766089,0.0025,500.0
12.6167148028,614.729,0.00015483,4.70612e-06,247.006980656,8858.64,500,0.9,500.0,0.002,59.5029484336,91.442,59.5029484336,15.1282,6.22167e-10,247.006980656,87.5634,100,3.38288,8.00461,1,59.5029484336,0.0812695,62.464026962
100.0,1.0,3.50449e-18,1.0,116.235518296,,500,0.9,500.0,0.01,68.5024627325,68.5025,68.5024627325,1.0,0.01,116.235518296,65.6268,100,10.7272,1.0,2,68.5024627325,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,186.060575224,,500,0.9,500.0,0.005,67.8733268044,68.1879,67.8733268044,1.0,0.005,186.060575224,66.1545,100,12.2366,1.0,2,67.8733268044,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,31.011857198,,500,0.9,500.0,0.00333333,61.3710599987,65.9156,61.3710599987,1.0,0.00333333,31.011857198,64.2554,100,10.972,1.0,2,61.3710599987,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,498.816891933,,500,0.9,500.0,0.0025,70.5578783157,67.0762,70.5578783157,1.0,0.0025,498.816891933,65.5619,100,14.7576,1.0,2,70.5578783157,0.0025,500.0
10.6411107854,949.965,0.000184319,0.00500141,157.873523416,17700.8,500,0.9,500.0,0.002,69.1282262255,86.1348,69.1282262255,19.5993,5.10366e-07,157.873523416,83.3577,100,2.29039,4.20445,1,69.1282262255,0.0969386,118.921574609
