ESSRenyi,renyi2,MinNormIw,delta,AvgEpLen,ESSClassic,BatchSize,VarNormIw,AvgNormIw,MaxNormIw,J,VarJ,SamplesThisIter,MinVanillaIw,VanillaAvgRet,AvgVanillaIw,VarRet,AvgRet,VarVanillaIw,AvgDiscRet,MaxVanillaIw,IterType,EpsThisIter,VarDiscRet,Bound
nan,nan,1.08045e-27,0.4,500.0,0.541920273919,100,2.50757e-08,5.52486e-05,0.00233218,146.968,98.9025,50000,4.61137e-23,-6.2972364282,2.35802,19.2519695465,-6.2972364282,45.6779,-6.2972364282,99.5381,1,100,19.2519695465,-4.1848
nan,nan,1.53695e-33,0.4,500.0,1.05296522216,100,1.33305e-08,5.52486e-05,0.000903605,-232.89,39.9362,50000,4.55625e-29,-6.1761031006,1.63783,20.2038429235,-6.1761031006,11.7149,-6.1761031006,26.787,1,100,20.2038429235,-4.65669
nan,nan,8.75822e-24,0.4,500.0,0.582127116934,100,2.85462e-08,5.52486e-05,0.00351213,85.9839,86.9028,50000,3.52304e-19,-5.95828669516,2.22241,16.6205837656,-5.95828669516,46.1905,-5.95828669516,141.277,1,100,16.6205837656,-3.58534
nan,nan,,0.4,500.0,0.900276278984,100,4.75514e-07,5.52486e-05,0.0245303,1234.01,87.8424,50000,,-4.74951348299,72.2694,24.473220382,-4.74951348299,813635.0,-4.74951348299,32087.5,1,100,24.473220382,0.867201
nan,nan,,0.4,500.0,1.9999999171,100,2.76219e-05,5.52486e-05,0.499992,2766.14,91.2097,50000,,-5.79054556343,1.86068e+16,36.2213648894,-5.79054556343,inf,-5.79054556343,1.68389e+20,1,100,36.2213648894,2.22003
nan,nan,3.5472e-27,0.4,500.0,0.655301648193,100,2.62832e-08,5.52486e-05,0.00203958,93.896,81.6313,50000,1.57025e-22,-6.8684520038,2.44571,25.9993690799,-6.8684520038,51.5044,-6.8684520038,90.2868,1,100,25.9993690799,-3.44335
nan,nan,2.67508e-42,0.4,500.0,0.435191306545,100,3.8252e-08,5.52486e-05,0.00470954,1020.11,119.546,50000,1.51031e-37,-4.46085984722,3.11851,39.8947597889,-4.46085984722,121.873,-4.46085984722,265.831,1,100,39.8947597889,-0.61941
nan,nan,1.2181e-16,0.4,500.0,0.848810760132,100,9.69229e-09,5.52486e-05,0.00118425,243.084,128.905,50000,2.58596e-12,-4.69256179688,1.1729,37.5454712231,-4.69256179688,4.36824,-4.69256179688,25.1411,1,100,37.5454712231,-3.85411
nan,nan,1.31816e-31,0.4,500.0,0.552866231297,100,6.73874e-08,5.52486e-05,0.00801378,1024.35,272.494,50000,8.31761e-27,-5.18816390162,3.48619,35.3918372889,-5.18816390162,268.311,-5.18816390162,505.67,1,100,35.3918372889,-0.302628
nan,nan,2.08145e-23,0.4,500.0,1.33179603952,100,1.10684e-08,5.52486e-05,0.000896673,332.565,56.5189,50000,6.97957e-19,-4.35710003511,1.85261,38.2758515471,-4.35710003511,12.4454,-4.35710003511,30.0674,1,100,38.2758515471,-2.63403
