Delta,AvgDiscRet,Bound,VarRet,VarJ,MaxVanillaIw,eRenyi2,VarDiscRet,MaxNormIw,VarNormIw,AvgRet,AvgNormIw,AvgVanillaIw,J,EpsThisIter,VanillaAvgRet,IterType,ESSClassic,AvgEpLen,VarVanillaIw,ESSRenyi,MinNormIw,MinVanillaIw,BatchSize
0.3,-108.795997318,-156.505,486.966982592,9.84647,1.15735,1.02385,486.966982592,0.0113764,2.22054e-06,-108.795997318,0.01,1.01732,-107.307,100,-108.795997318,1,97.8489264443,22.8,0.0229813,97.6705492592,0.00342264,0.348193,100
0.3,-107.3828518,-124.852,7.59392421868,2.77005,1.28297,1.00395,7.59392421868,0.0127469,5.54877e-07,-107.3828518,0.01,1.00649,-107.314,100,-107.3828518,1,99.4536441688,18.56,0.00562104,99.6068971233,0.00831438,0.836835,100
0.3,-107.238195439,-124.731,8.78568844389,3.02802,1.26179,1.00332,8.78568844389,0.0126382,2.9935e-07,-107.238195439,0.01,0.998395,-107.181,100,-107.238195439,1,99.704515269,16.51,0.0029839,99.6694204467,0.00882521,0.881104,100
0.3,-108.029449221,-125.854,10.0849486782,3.07166,1.24501,1.0059,10.0849486782,0.0123764,5.4765e-07,-108.029449221,0.01,1.00596,-107.925,100,-108.029449221,1,99.4607579607,19.91,0.00554195,99.4138939927,0.00786212,0.790897,100
0.3,-107.464290939,-125.314,7.65126503573,2.711,1.05319,1.0012,7.65126503573,0.0105856,1.23723e-07,-107.464290939,0.01,0.994927,-107.443,100,-107.464290939,1,99.8776496823,18.24,0.00122471,99.8799217926,0.00890842,0.886322,100
0.3,-107.372657774,-124.786,11.2800047466,3.56081,1.23833,1.00639,11.2800047466,0.0123886,7.83053e-07,-107.372657774,0.01,0.999574,-107.262,100,-107.372657774,1,99.230722513,19.67,0.00782386,99.3648831481,0.00683548,0.683256,100
0.3,-106.827865809,-124.307,8.65638828234,3.02356,1.21247,1.00442,8.65638828234,0.012127,4.23842e-07,-106.827865809,0.01,0.999811,-106.749,100,-106.827865809,1,99.5821901763,19.29,0.00423682,99.559940876,0.00829966,0.829809,100
0.3,-106.807400698,-124.485,8.88198647846,2.90595,1.1161,1.00402,8.88198647846,0.0112044,4.76403e-07,-106.807400698,0.01,0.996127,-106.736,100,-106.807400698,1,99.5305698641,17.93,0.00472721,99.599209913,0.00687428,0.684766,100
0.3,-107.407925806,-124.972,9.61920212321,3.0864,1.13928,1.00164,9.61920212321,0.0113845,1.78026e-07,-107.407925806,0.01,1.00074,-107.381,100,-107.407925806,1,99.8240620975,20.33,0.00178288,99.8358683038,0.00813692,0.814291,100
0.3,-107.153775661,-124.677,7.92008055931,2.81976,1.2706,1.00401,7.92008055931,0.0126461,5.30246e-07,-107.153775661,0.01,1.00474,-107.085,100,-107.153775661,1,99.4777958811,20.98,0.00535281,99.6006763046,0.00868633,0.872746,100
0.3,-106.928656733,-124.453,12.9751697031,3.59368,1.08543,1.00291,12.9751697031,0.0107735,2.50065e-07,-106.928656733,0.01,1.0075,-106.875,100,-106.928656733,1,99.7530356501,18.73,0.00253831,99.7099966409,0.00787184,0.79309,100
0.3,-106.482742324,-131.17,57.0875508785,5.62889,1.41591,1.01417,57.0875508785,0.0140697,2.17065e-06,-106.482742324,0.01,1.00635,-106.027,100,-106.482742324,1,97.8962553837,22.99,0.0219832,98.6029209174,0.00407075,0.40966,100
0.3,-106.50972081,-123.993,16.1949249479,4.37376,1.35117,1.01373,16.1949249479,0.0133159,1.38093e-06,-106.50972081,0.01,1.01471,-106.272,100,-106.50972081,1,98.6512664721,22.41,0.0142185,98.6456259868,0.00759929,0.771106,100
