MaxVanillaIw,Bound,VanillaAvgRet,renyi2,BatchSize,J,AvgDiscRet,AvgEpLen,EpsThisIter,delta,VarRet,AvgRet,ESSClassic,AvgVanillaIw,VarVanillaIw,VarDiscRet,MinNormIw,MinVanillaIw,SamplesThisIter,VarNormIw,IterType,AvgNormIw,ESSRenyi,MaxNormIw,VarJ
7.56529e+06,1376.29,638.757476072,nan,100,300302.0,638.757476072,69.0607734807,724,0.6,114265.571433,638.757476072,3.96019533238,417.91,2.08451e+09,114265.571433,,,50000,7.02776e-07,1,7.67342e-06,nan,0.138909,15744.5
117175.0,1348.26,672.303130565,nan,100,270422.0,672.303130565,72.6744186047,688,0.6,123396.025635,672.303130565,3.53402401702,19.1348,588849.0,123396.025635,,,50000,1.04865e-07,1,8.07494e-06,nan,0.0494481,12586.2
314135.0,1313.73,648.827044289,nan,100,269029.0,648.827044289,70.2247191011,712,0.6,113362.580298,648.827044289,2.16665793098,59.1794,7.47982e+06,113362.580298,,,50000,1.30031e-07,1,7.80275e-06,nan,0.0414184,14391.6
1.38556e+06,1180.05,621.474177482,nan,100,256325.0,621.474177482,67.2043010753,744,0.6,82976.271584,621.474177482,2.25414996456,151.557,1.02115e+08,82976.271584,,,50000,2.47882e-07,1,7.46715e-06,nan,0.0682659,17780.1
1.3594e+11,1347.7,614.889039338,nan,100,276104.0,614.889039338,66.4893617021,752,0.6,123216.980655,614.889039338,3.99595878348,4.16051e+06,5.46633e+17,123216.980655,,,50000,1.72354e-06,1,7.38771e-06,nan,0.241386,19686.6
1.31265e+06,1334.09,624.88399976,nan,100,262635.0,624.88399976,67.5675675676,740,0.6,111856.610823,624.88399976,3.80315175749,133.349,9.37032e+07,111856.610823,,,50000,2.97008e-07,1,7.50751e-06,nan,0.0739017,14730.4
4.98017e+06,nan,634.749907496,nan,100,nan,634.749907496,68.6813186813,728,0.6,88734.0411885,634.749907496,3.92834525648,206.918,7.70969e+08,88734.0411885,,,50000,1.04866e-06,1,7.63126e-06,nan,0.183672,nan
68581.7,1382.63,671.44029041,nan,100,273623.0,671.44029041,72.6744186047,688,0.6,113458.459729,671.44029041,4.04659916784,30.1053,684780.0,113458.459729,,,50000,4.92656e-08,1,8.07493e-06,nan,0.0183952,13393.3
7.09185e+15,1474.82,653.598120102,nan,100,333548.0,653.598120102,70.6214689266,708,0.6,119597.640401,653.598120102,3.99985162719,2.23974e+11,1.57862e+27,119597.640401,,,50000,1.93763e-06,1,7.84683e-06,nan,0.248459,18112.1
7.63452e+06,1211.22,634.941039384,nan,100,245176.0,634.941039384,68.6813186813,728,0.6,92967.6071559,634.941039384,3.99341021229,307.617,1.80474e+09,92967.6071559,,,50000,1.11067e-06,1,7.63126e-06,nan,0.189395,13404.3
5.03182e+26,1476.59,704.385364394,nan,100,334197.0,704.385364394,76.2195121951,656,0.6,133323.598169,704.385364394,3.98483776931,1.80973e+22,inf,133323.598169,,,50000,1.88534e-06,1,8.46883e-06,nan,0.23547,15720.2
3.97521e+06,1407.51,704.890140112,nan,100,293170.0,704.890140112,76.2195121951,656,0.6,156857.340008,704.890140112,3.42521399931,282.698,6.25745e+08,156857.340008,,,50000,5.61563e-07,1,8.46883e-06,nan,0.119086,20148.6
3.0108e+07,1387.8,652.766493703,nan,100,289332.0,652.766493703,70.6214689266,708,0.6,131528.910627,652.766493703,3.8792555505,1302.07,2.93404e+10,131528.910627,,,50000,1.06558e-06,1,7.84683e-06,nan,0.181444,16980.1
