AvgEpLen,AvgNormIw,VanillaAvgRet,MaxVanillaIw,Delta,VarVanillaIw,BatchSize,EpsThisIter,Bound,AvgDiscRet,VarJ,ESSClassic,VarDiscRet,VarRet,IterType,ESSRenyi,AvgRet,eRenyi2,MinNormIw,J,MinVanillaIw,VarNormIw,AvgVanillaIw,MaxNormIw
96.08,0.0025,-66.672408438,1.0,1.0,,500,100,-65.076,-66.672408438,47.4201,400.0,2582.15916452,2582.15916452,2,500.0,-66.672408438,1.0,0.0025,-65.076,1.0,5.4346e-20,1.0,0.0025
89.9,0.002,-62.1495859638,152.44,1.0,158.571,500,100,-60.3343,-62.1495859638,29.8178,32.6329940538,1338.51260786,1338.51260786,1,499.998509888,-62.1495859638,1.0,0.000249326,-60.3343,0.414395,5.74025e-05,3.32412,0.0917174
85.23,0.01,-58.2002200958,1.0,1.0,,500,100,-58.2002,-58.2002200958,6.69107,100.0,45.2225985321,45.2225985321,2,500.0,-58.2002200958,1.0,0.01,-58.2002,1.0,3.50449e-18,1.0,0.01
90.11,0.005,-61.0494001092,1.0,1.0,,500,100,-59.6248,-61.0494001092,7.1231,200.000000102,53.1796495483,53.1796495483,2,500.0,-61.0494001092,1.0,0.005,-59.6248,1.0,2.1793e-19,1.0,0.005
93.53,0.00333333,-64.3562175031,1.0,1.0,,500,100,-61.202,-64.3562175031,21.7432,299.999969474,1315.04900938,1315.04900938,2,500.0,-64.3562175031,1.0,0.00333333,-61.202,1.0,5.43914e-20,1.0,0.00333333
91.65,0.0025,-63.2368601169,1.0,1.0,,500,100,-61.7107,-63.2368601169,26.1528,400.0,1327.7487664,1327.7487664,2,500.0,-63.2368601169,1.0,0.0025,-61.7107,1.0,5.4346e-20,1.0,0.0025
97.45,0.002,-67.6818550624,54639.5,1.0,5.97095e+06,500,100,-41.0746,-67.6818550624,4.31787e-06,1.0,2564.53962646,2564.53962646,1,0.00965088962353,-67.6818550624,51808.7,,-41.0746,,0.002,109.279,1.0
94.24,0.01,-65.8024097158,1.0,1.0,,500,100,-65.8024,-65.8024097158,50.7398,100.0,2600.53555979,2600.53555979,2,500.0,-65.8024097158,1.0,0.01,-65.8024,1.0,3.50449e-18,1.0,0.01
91.02,0.005,-62.7658365913,1.0,1.0,,500,100,-64.2841,-62.7658365913,44.0645,200.000000102,1317.395532,1317.395532,2,500.0,-62.7658365913,1.0,0.005,-64.2841,1.0,2.1793e-19,1.0,0.005
98.64,0.00333333,-69.5119317631,1.0,1.0,,500,100,-66.0267,-69.5119317631,50.5708,299.999969474,3808.72038141,3808.72038141,2,500.0,-69.5119317631,1.0,0.00333333,-66.0267,1.0,5.43914e-20,1.0,0.00333333
89.72,0.0025,-61.9545527548,1.0,1.0,,500,100,-65.0087,-61.9545527548,47.4388,400.0,1330.41283071,1330.41283071,2,500.0,-61.9545527548,1.0,0.0025,-65.0087,1.0,5.4346e-20,1.0,0.0025
98.38,0.002,-69.2460992301,33.5507,1.0,3.59355,500,100,-65.0359,-69.2460992301,73.4324,120.618813204,3824.42491277,3824.42491277,1,,-69.2460992301,inf,0.000991105,-65.0359,0.52916,1.26064e-05,1.06782,0.0628398
90.69,0.01,-62.6263711157,1.0,1.0,,500,100,-62.6264,-62.6263711157,36.1547,100.0,1320.3642198,1320.3642198,2,500.0,-62.6263711157,1.0,0.01,-62.6264,1.0,3.50449e-18,1.0,0.01
92.44,0.005,-63.635306848,1.0,1.0,,500,100,-63.1308,-63.635306848,36.1908,200.000000102,1325.12822867,1325.12822867,2,500.0,-63.635306848,1.0,0.005,-63.1308,1.0,2.1793e-19,1.0,0.005
86.34,0.00333333,-58.7048748006,1.0,1.0,,500,100,-61.6555,-58.7048748006,29.9333,299.999969474,55.9525292153,55.9525292153,2,500.0,-58.7048748006,1.0,0.00333333,-61.6555,1.0,5.43914e-20,1.0,0.00333333
89.62,0.0025,-62.0951474608,1.0,1.0,,500,100,-61.7654,-62.0951474608,31.674,400.0,1338.20860269,1338.20860269,2,500.0,-62.0951474608,1.0,0.0025,-61.7654,1.0,5.4346e-20,1.0,0.0025
92.7,0.002,-63.7924792756,3.6128e-32,1.0,,500,100,-54.7824,-63.7924792756,,inf,1326.41817742,1326.41817742,1,0.000112382178524,-63.7924792756,4.4491e+06,,-54.7824,,0.002,7.22561e-35,1.0
92.52,0.01,-63.696956486,1.0,1.0,,500,100,-63.697,-63.696956486,36.0964,100.0,1316.10973034,1316.10973034,2,500.0,-63.696956486,1.0,0.01,-63.697,1.0,3.50449e-18,1.0,0.01
99.45,0.005,-70.1695942251,1.0,1.0,,500,100,-66.9333,-70.1695942251,50.4325,200.000000102,3800.99324142,3800.99324142,2,500.0,-70.1695942251,1.0,0.005,-66.9333,1.0,2.1793e-19,1.0,0.005
92.92,0.00333333,-63.8380724408,1.0,1.0,,500,100,-65.9015,-63.8380724408,46.2182,299.999969474,1328.37861918,1328.37861918,2,500.0,-63.8380724408,1.0,0.00333333,-65.9015,1.0,5.43914e-20,1.0,0.00333333
95.59,0.0025,-66.5745301874,1.0,1.0,,500,100,-66.0698,-66.5745301874,47.3808,400.0,2597.04038887,2597.04038887,2,500.0,-66.5745301874,1.0,0.0025,-66.0698,1.0,5.4346e-20,1.0,0.0025
86.95,0.002,-59.296724014,6.60809,1.0,0.372501,500,100,-63.9586,-59.296724014,36.8394,362.006360574,49.5806448933,49.5806448933,1,,-59.296724014,inf,0.00140714,-63.9586,0.694806,1.52783e-06,0.987545,0.0133829
87.3,0.01,-59.3082058254,1.0,1.0,,500,100,-59.3082,-59.3082058254,6.90795,100.0,48.201782353,48.201782353,2,500.0,-59.3082058254,1.0,0.01,-59.3082,1.0,3.50449e-18,1.0,0.01
91.85,0.005,-63.2539954723,1.0,1.0,,500,100,-61.2811,-63.2539954723,26.0803,200.000000102,1318.04369611,1318.04369611,2,500.0,-63.2539954723,1.0,0.005,-61.2811,1.0,2.1793e-19,1.0,0.005
89.56,0.00333333,-62.0781784846,1.0,1.0,,500,100,-61.5468,-62.0781784846,29.8351,299.999969474,1322.83712369,1322.83712369,2,500.0,-62.0781784846,1.0,0.00333333,-61.5468,1.0,5.43914e-20,1.0,0.00333333
86.89,0.0025,-59.0155308065,1.0,1.0,,500,100,-60.914,-59.0155308065,26.0739,400.0,44.6324140231,44.6324140231,2,500.0,-59.0155308065,1.0,0.0025,-60.914,1.0,5.4346e-20,1.0,0.0025
87.02,0.002,-59.7261693865,29.7219,1.0,2.32544,500,100,-59.9475,-59.7261693865,22.1526,151.494200255,49.325778792,49.325778792,1,,-59.7261693865,inf,0.00113002,-59.9475,0.567502,9.22026e-06,1.00441,0.0591828
95.34,0.01,-66.5350261781,1.0,1.0,,500,100,-66.535,-66.5350261781,50.5089,100.0,2576.91292281,2576.91292281,2,500.0,-66.5350261781,1.0,0.01,-66.535,1.0,3.50449e-18,1.0,0.01
90.85,0.005,-62.7023351456,1.0,1.0,,500,100,-64.6187,-62.7023351456,43.9601,200.000000102,1319.69409711,1319.69409711,2,500.0,-62.7023351456,1.0,0.005,-64.6187,1.0,2.1793e-19,1.0,0.005
95.49,0.00333333,-66.7324551119,1.0,1.0,,500,100,-65.3233,-66.7324551119,46.2866,299.999969474,2585.24275475,2585.24275475,2,500.0,-66.7324551119,1.0,0.00333333,-65.3233,1.0,5.43914e-20,1.0,0.00333333
92.33,0.0025,-63.5104099123,1.0,1.0,,500,100,-64.8701,-63.5104099123,43.9551,400.0,1311.51394503,1311.51394503,2,500.0,-63.5104099123,1.0,0.0025,-64.8701,1.0,5.4346e-20,1.0,0.0025
89.68,0.002,-61.6511030772,3785.6,1.0,524925.0,500,100,-58.6494,-61.6511030772,27.3712,19.0000025093,1332.6560188,1332.6560188,1,0.185513766245,-61.6511030772,2695.22,,-58.6494,,0.000101466,143.853,0.0526316
91.45,0.01,-62.9319640246,1.0,1.0,,500,100,-62.932,-62.9319640246,36.2465,100.0,1327.07626457,1327.07626457,2,500.0,-62.9319640246,1.0,0.01,-62.932,1.0,3.50449e-18,1.0,0.01
90.97,0.005,-62.9021692854,1.0,1.0,,500,100,-62.9171,-62.9021692854,36.3118,200.000000102,1336.6576852,1336.6576852,2,500.0,-62.9021692854,1.0,0.005,-62.9171,1.0,2.1793e-19,1.0,0.005
95.05,0.00333333,-66.4206378128,1.0,1.0,,500,100,-64.0849,-66.4206378128,41.6251,299.999969474,2578.44664635,2578.44664635,2,500.0,-66.4206378128,1.0,0.00333333,-64.0849,1.0,5.43914e-20,1.0,0.00333333
92.36,0.0025,-64.5079771344,1.0,1.0,,500,100,-64.1907,-64.5079771344,44.0802,400.0,2600.16399373,2600.16399373,2,500.0,-64.5079771344,1.0,0.0025,-64.1907,1.0,5.4346e-20,1.0,0.0025
91.55,0.002,-63.075734714,1.0,1.0,,500,100,-63.9677,-63.075734714,42.6288,500.000006643,1326.09610134,1326.09610134,1,500.0,-63.075734714,1.0,0.002,-63.9677,1.0,5.43187e-20,1.0,0.002
97.6,0.01,-67.9002508423,1.0,1.0,,500,100,-67.9003,-67.9002508423,50.4538,100.0,2571.29872598,2571.29872598,2,500.0,-67.9002508423,1.0,0.01,-67.9003,1.0,3.50449e-18,1.0,0.01
90.88,0.005,-62.7725845136,1.0,1.0,,500,100,-65.3364,-62.7725845136,44.0213,200.000000102,1330.32459864,1330.32459864,2,500.0,-62.7725845136,1.0,0.005,-65.3364,1.0,2.1793e-19,1.0,0.005
94.71,0.00333333,-65.9912172279,1.0,1.0,,500,100,-65.5547,-65.9912172279,46.2855,299.999969474,2576.77228262,2576.77228262,2,500.0,-65.9912172279,1.0,0.00333333,-65.5547,1.0,5.43914e-20,1.0,0.00333333
89.79,0.0025,-61.8991608417,1.0,1.0,,500,100,-64.6408,-61.8991608417,44.0498,400.0,1337.86303284,1337.86303284,2,500.0,-61.8991608417,1.0,0.0025,-64.6408,1.0,5.4346e-20,1.0,0.0025
93.79,0.002,-64.2601193997,1.0,1.0,,500,100,-64.5647,-64.2601193997,42.5752,500.000006643,1314.71696945,1314.71696945,1,500.0,-64.2601193997,1.0,0.002,-64.5647,1.0,5.43187e-20,1.0,0.002
91.21,0.01,-63.1622561646,1.0,1.0,,500,100,-63.1623,-63.1622561646,36.167,100.0,1321.26430329,1321.26430329,2,500.0,-63.1622561646,1.0,0.01,-63.1623,1.0,3.50449e-18,1.0,0.01
89.92,0.005,-60.7314408022,1.0,1.0,,500,100,-61.9468,-60.7314408022,26.0452,200.000000102,46.1633709986,46.1633709986,2,500.0,-60.7314408022,1.0,0.005,-61.9468,1.0,2.1793e-19,1.0,0.005
91.08,0.00333333,-62.8024891315,1.0,1.0,,500,100,-62.2321,-62.8024891315,29.8778,299.999969474,1334.18710382,1334.18710382,2,500.0,-62.8024891315,1.0,0.00333333,-62.2321,1.0,5.43914e-20,1.0,0.00333333
98.12,0.0025,-69.3338521154,1.0,1.0,,500,100,-64.0075,-69.3338521154,40.3016,400.0,3819.20378328,3819.20378328,2,500.0,-69.3338521154,1.0,0.0025,-64.0075,1.0,5.4346e-20,1.0,0.0025
92.04,0.002,-63.2250166917,1.0,1.0,,500,100,-63.851,-63.2250166917,39.5284,500.000006643,1328.38588067,1328.38588067,1,500.0,-63.2250166917,1.0,0.002,-63.851,1.0,5.43187e-20,1.0,0.002
91.19,0.01,-62.7762142709,1.0,1.0,,500,100,-62.7762,-62.7762142709,36.2505,100.0,1327.37031156,1327.37031156,2,500.0,-62.7762142709,1.0,0.01,-62.7762,1.0,3.50449e-18,1.0,0.01
85.41,0.005,-58.0309963624,1.0,1.0,,500,100,-60.4036,-58.0309963624,26.2694,200.000000102,55.3627582574,55.3627582574,2,500.0,-58.0309963624,1.0,0.005,-60.4036,1.0,2.1793e-19,1.0,0.005
88.41,0.00333333,-59.9842233092,1.0,1.0,,500,100,-60.2638,-59.9842233092,21.8088,299.999969474,47.062226652,47.062226652,2,500.0,-59.9842233092,1.0,0.00333333,-60.2638,1.0,5.43914e-20,1.0,0.00333333
88.75,0.0025,-61.2992387368,1.0,1.0,,500,100,-60.5227,-61.2992387368,26.2267,400.0,1337.04586886,1337.04586886,2,500.0,-61.2992387368,1.0,0.0025,-60.5227,1.0,5.4346e-20,1.0,0.0025
91.89,0.002,-63.2236261347,1.0,1.0,,500,100,-61.0629,-63.2236261347,28.5129,500.000006643,1320.95799256,1320.95799256,1,500.0,-63.2236261347,1.0,0.002,-61.0629,1.0,5.43187e-20,1.0,0.002
91.02,0.01,-62.4576884028,1.0,1.0,,500,100,-62.4577,-62.4576884028,36.278,100.0,1329.38685538,1329.38685538,2,500.0,-62.4576884028,1.0,0.01,-62.4577,1.0,3.50449e-18,1.0,0.01
86.62,0.005,-59.1143881755,1.0,1.0,,500,100,-60.786,-59.1143881755,26.1081,200.000000102,42.008094885,42.008094885,2,500.0,-59.1143881755,1.0,0.005,-60.786,1.0,2.1793e-19,1.0,0.005
91.73,0.00333333,-63.0361692621,1.0,1.0,,500,100,-61.5361,-63.0361692621,29.8796,299.999969474,1324.97892208,1324.97892208,2,500.0,-63.0361692621,1.0,0.00333333,-61.5361,1.0,5.43914e-20,1.0,0.00333333
86.96,0.0025,-60.3109799112,1.0,1.0,,500,100,-61.2298,-60.3109799112,31.6201,400.0,1333.16029424,1333.16029424,2,500.0,-60.3109799112,1.0,0.0025,-61.2298,1.0,5.4346e-20,1.0,0.0025
92.19,0.002,-63.7689986193,1.0,1.0,,500,100,-61.7376,-63.7689986193,32.6022,500.000006643,1323.2682839,1323.2682839,1,500.0,-63.7689986193,1.0,0.002,-61.7376,1.0,5.43187e-20,1.0,0.002
88.17,0.01,-59.8510772349,1.0,1.0,,500,100,-59.8511,-59.8510772349,6.81664,100.0,46.9359130996,46.9359130996,2,500.0,-59.8510772349,1.0,0.01,-59.8511,1.0,3.50449e-18,1.0,0.01
89.37,0.005,-60.4428316782,1.0,1.0,,500,100,-60.147,-60.4428316782,7.10693,200.000000102,54.9245163469,54.9245163469,2,500.0,-60.4428316782,1.0,0.005,-60.147,1.0,2.1793e-19,1.0,0.005
98.09,0.00333333,-69.1248519613,1.0,1.0,,500,100,-63.1396,-69.1248519613,36.2626,299.999969474,3828.4496806,3828.4496806,2,500.0,-69.1248519613,1.0,0.00333333,-63.1396,1.0,5.43914e-20,1.0,0.00333333
90.95,0.0025,-62.7319690642,1.0,1.0,,500,100,-63.0377,-62.7319690642,36.2661,400.0,1329.18183717,1329.18183717,2,500.0,-62.7319690642,1.0,0.0025,-63.0377,1.0,5.4346e-20,1.0,0.0025
95.39,0.002,-66.589441082,1.0,1.0,,500,100,-63.748,-66.589441082,39.5421,500.000006643,2572.5770088,2572.5770088,1,500.0,-66.589441082,1.0,0.002,-63.748,1.0,5.43187e-20,1.0,0.002
95.21,0.01,-66.392701869,1.0,1.0,,500,100,-66.3927,-66.392701869,50.5549,100.0,2581.60949658,2581.60949658,2,500.0,-66.392701869,1.0,0.01,-66.3927,1.0,3.50449e-18,1.0,0.01
99.83,0.005,-70.0332300845,1.0,1.0,,500,100,-68.213,-70.0332300845,56.2264,200.000000102,3798.37474735,3798.37474735,2,500.0,-70.0332300845,1.0,0.005,-68.213,1.0,2.1793e-19,1.0,0.005
111.94,0.00333333,-80.8877214457,1.0,1.0,,500,100,-72.4379,-80.8877214457,67.5209,299.999969474,7320.51210274,7320.51210274,2,500.0,-80.8877214457,1.0,0.00333333,-72.4379,1.0,5.43914e-20,1.0,0.00333333
87.21,0.0025,-59.4223747095,1.0,1.0,,500,100,-69.184,-59.4223747095,58.8665,400.0,57.342029577,57.342029577,2,500.0,-59.4223747095,1.0,0.0025,-69.184,1.0,5.4346e-20,1.0,0.0025
95.39,0.002,-66.5965550905,1.0,1.0,,500,100,-68.6665,-66.5965550905,57.289,500.000006643,2569.42538625,2569.42538625,1,500.0,-66.5965550905,1.0,0.002,-68.6665,1.0,5.43187e-20,1.0,0.002
90.56,0.01,-62.6180646093,1.0,1.0,,500,100,-62.6181,-62.6180646093,36.3815,100.0,1336.97972967,1336.97972967,2,500.0,-62.6180646093,1.0,0.01,-62.6181,1.0,3.50449e-18,1.0,0.01
94.0,0.005,-65.8309090322,1.0,1.0,,500,100,-64.2245,-65.8309090322,44.084,200.000000102,2583.87167212,2583.87167212,2,500.0,-65.8309090322,1.0,0.005,-64.2245,1.0,2.1793e-19,1.0,0.005
87.69,0.00333333,-59.8578772874,1.0,1.0,,500,100,-62.769,-59.8578772874,36.2999,299.999969474,54.0746688593,54.0746688593,2,500.0,-59.8578772874,1.0,0.00333333,-62.769,1.0,5.43914e-20,1.0,0.00333333
88.22,0.0025,-61.0312536813,1.0,1.0,,500,100,-62.3345,-61.0312536813,36.3079,400.0,1331.05972367,1331.05972367,2,500.0,-61.0312536813,1.0,0.0025,-62.3345,1.0,5.4346e-20,1.0,0.0025
90.93,0.002,-62.8390660843,1.0,1.0,,500,100,-62.4354,-62.8390660843,36.2974,500.000006643,1327.51184342,1327.51184342,1,500.0,-62.8390660843,1.0,0.002,-62.4354,1.0,5.43187e-20,1.0,0.002
103.69,0.01,-73.7896269861,1.0,1.0,,500,100,-73.7896,-73.7896269861,70.4233,100.0,5009.5353231,5009.5353231,2,500.0,-73.7896269861,1.0,0.01,-73.7896,1.0,3.50449e-18,1.0,0.01
96.61,0.005,-67.4401074143,1.0,1.0,,500,100,-70.6149,-67.4401074143,61.3172,200.000000102,2565.65349963,2565.65349963,2,500.0,-67.4401074143,1.0,0.005,-70.6149,1.0,2.1793e-19,1.0,0.005
90.05,0.00333333,-62.0811134855,1.0,1.0,,500,100,-67.7703,-62.0811134855,54.3841,299.999969474,1317.9176633,1317.9176633,2,500.0,-62.0811134855,1.0,0.00333333,-67.7703,1.0,5.43914e-20,1.0,0.00333333
91.39,0.0025,-63.2002052669,1.0,1.0,,500,100,-66.6278,-63.2002052669,50.4899,400.0,1321.59132781,1321.59132781,2,500.0,-63.2002052669,1.0,0.0025,-66.6278,1.0,5.4346e-20,1.0,0.0025
87.73,0.002,-59.8169813608,1.0,1.0,,500,100,-65.2656,-59.8169813608,45.3239,500.000006643,37.6262892107,37.6262892107,1,500.0,-59.8169813608,1.0,0.002,-65.2656,1.0,5.43187e-20,1.0,0.002
86.05,0.01,-58.6235395478,1.0,1.0,,500,100,-58.6235,-58.6235395478,5.9889,100.0,36.2292129458,36.2292129458,2,500.0,-58.6235395478,1.0,0.01,-58.6235,1.0,3.50449e-18,1.0,0.01
95.97,0.005,-66.7214317614,1.0,1.0,,500,100,-62.6725,-66.7214317614,36.1764,200.000000102,2574.56193419,2574.56193419,2,500.0,-66.7214317614,1.0,0.005,-62.6725,1.0,2.1793e-19,1.0,0.005
102.61,0.00333333,-73.0901202033,1.0,1.0,,500,100,-66.145,-73.0901202033,50.5411,299.999969474,5023.60961231,5023.60961231,2,500.0,-73.0901202033,1.0,0.00333333,-66.145,1.0,5.43914e-20,1.0,0.00333333
108.12,0.0025,-77.3677882394,1.0,1.0,,500,100,-68.9507,-77.3677882394,58.8863,400.0,6174.47598552,6174.47598552,2,500.0,-77.3677882394,1.0,0.0025,-68.9507,1.0,5.4346e-20,1.0,0.0025
92.0,0.002,-63.4705805664,1.0,1.0,,500,100,-67.8547,-63.4705805664,55.1373,500.000006643,1319.39146016,1319.39146016,1,500.0,-63.4705805664,1.0,0.002,-67.8547,1.0,5.43187e-20,1.0,0.002
95.27,0.01,-66.3377649054,1.0,1.0,,500,100,-66.3378,-66.3377649054,50.4821,100.0,2574.18742487,2574.18742487,2,500.0,-66.3377649054,1.0,0.01,-66.3378,1.0,3.50449e-18,1.0,0.01
94.28,0.005,-65.9487022576,1.0,1.0,,500,100,-66.1432,-65.9487022576,50.5147,200.000000102,2580.75207456,2580.75207456,2,500.0,-65.9487022576,1.0,0.005,-66.1432,1.0,2.1793e-19,1.0,0.005
96.95,0.00333333,-67.5887113571,1.0,1.0,,500,100,-66.6251,-67.5887113571,50.4839,299.999969474,2566.69476141,2566.69476141,2,500.0,-67.5887113571,1.0,0.00333333,-66.6251,1.0,5.43914e-20,1.0,0.00333333
91.63,0.0025,-63.3434327088,1.0,1.0,,500,100,-65.8047,-63.3434327088,47.3251,400.0,1317.8952263,1317.8952263,2,500.0,-63.3434327088,1.0,0.0025,-65.8047,1.0,5.4346e-20,1.0,0.0025
91.3,0.002,-62.7865171215,1.0,1.0,,500,100,-65.201,-62.7865171215,45.3554,500.000006643,1332.94502226,1332.94502226,1,500.0,-62.7865171215,1.0,0.002,-65.201,1.0,5.43187e-20,1.0,0.002
97.72,0.01,-68.0586645123,1.0,1.0,,500,100,-68.0587,-68.0586645123,50.3614,100.0,2561.88864241,2561.88864241,2,500.0,-68.0586645123,1.0,0.01,-68.0587,1.0,3.50449e-18,1.0,0.01
92.86,0.005,-64.1073994072,1.0,1.0,,500,100,-66.083,-64.1073994072,43.9172,200.000000102,1326.63531185,1326.63531185,2,500.0,-64.1073994072,1.0,0.005,-66.083,1.0,2.1793e-19,1.0,0.005
101.9,0.00333333,-71.2016697565,1.0,1.0,,500,100,-67.7892,-71.2016697565,50.4016,299.999969474,3783.89440335,3783.89440335,2,500.0,-71.2016697565,1.0,0.00333333,-67.7892,1.0,5.43914e-20,1.0,0.00333333
95.9,0.0025,-66.7689905302,1.0,1.0,,500,100,-67.5342,-66.7689905302,50.4356,400.0,2579.04560861,2579.04560861,2,500.0,-66.7689905302,1.0,0.0025,-67.5342,1.0,5.4346e-20,1.0,0.0025
88.5,0.002,-60.2043347476,1.0,1.0,,500,100,-66.0682,-60.2043347476,45.3312,500.000006643,57.1919008426,57.1919008426,1,500.0,-60.2043347476,1.0,0.002,-66.0682,1.0,5.43187e-20,1.0,0.002
90.32,0.01,-62.3727118988,1.0,1.0,,500,100,-62.3727,-62.3727118988,36.346,100.0,1334.3779483,1334.3779483,2,500.0,-62.3727118988,1.0,0.01,-62.3727,1.0,3.50449e-18,1.0,0.01
92.62,0.005,-63.8525248694,1.0,1.0,,500,100,-63.1126,-63.8525248694,36.3093,200.000000102,1327.88516692,1327.88516692,2,500.0,-63.8525248694,1.0,0.005,-63.1126,1.0,2.1793e-19,1.0,0.005
94.21,0.00333333,-65.8861941263,1.0,1.0,,500,100,-64.0371,-65.8861941263,41.6643,299.999969474,2591.79824827,2591.79824827,2,500.0,-65.8861941263,1.0,0.00333333,-64.0371,1.0,5.43914e-20,1.0,0.00333333
92.93,0.0025,-63.7890300423,1.0,1.0,,500,100,-63.9751,-63.7890300423,40.3583,400.0,1320.593051,1320.593051,2,500.0,-63.7890300423,1.0,0.0025,-63.9751,1.0,5.4346e-20,1.0,0.0025
89.77,0.002,-62.0507339448,1.0,1.0,,500,100,-63.5902,-62.0507339448,39.5802,500.000006643,1328.10403971,1328.10403971,1,500.0,-62.0507339448,1.0,0.002,-63.5902,1.0,5.43187e-20,1.0,0.002
86.92,0.01,-59.3923532012,1.0,1.0,,500,100,-59.3924,-59.3923532012,7.74642,100.0,60.6132286838,60.6132286838,2,500.0,-59.3923532012,1.0,0.01,-59.3924,1.0,3.50449e-18,1.0,0.01
91.36,0.005,-62.9813551347,1.0,1.0,,500,100,-61.1868,-62.9813551347,26.2645,200.000000102,1326.46250984,1326.46250984,2,500.0,-62.9813551347,1.0,0.005,-61.1868,1.0,2.1793e-19,1.0,0.005
92.92,0.00333333,-63.9546696427,1.0,1.0,,500,100,-62.1095,-63.9546696427,29.9303,299.999969474,1315.86693563,1315.86693563,2,500.0,-63.9546696427,1.0,0.00333333,-62.1095,1.0,5.43914e-20,1.0,0.00333333
97.05,0.0025,-67.4085786645,1.0,1.0,,500,100,-63.4342,-67.4085786645,36.2087,400.0,2561.36759429,2561.36759429,2,500.0,-67.4085786645,1.0,0.0025,-63.4342,1.0,5.4346e-20,1.0,0.0025
97.12,0.002,-67.5091622546,1.0,1.0,,500,100,-64.2492,-67.5091622546,39.5337,500.000006643,2582.82921579,2582.82921579,1,500.0,-67.5091622546,1.0,0.002,-64.2492,1.0,5.43187e-20,1.0,0.002
91.44,0.01,-63.0658659525,1.0,1.0,,500,100,-63.0659,-63.0658659525,36.0757,100.0,1314.59944894,1314.59944894,2,500.0,-63.0658659525,1.0,0.01,-63.0659,1.0,3.50449e-18,1.0,0.01
88.34,0.005,-60.0167004453,1.0,1.0,,500,100,-61.5413,-60.0167004453,25.9591,200.000000102,42.0711915326,42.0711915326,2,500.0,-60.0167004453,1.0,0.005,-61.5413,1.0,2.1793e-19,1.0,0.005
95.29,0.00333333,-66.604615718,1.0,1.0,,500,100,-63.2291,-66.604615718,36.1326,299.999969474,2577.62638742,2577.62638742,2,500.0,-66.604615718,1.0,0.00333333,-63.2291,1.0,5.43914e-20,1.0,0.00333333
125.46,0.0025,-92.4201287706,1.0,1.0,,500,100,-70.5268,-92.4201287706,61.2874,400.0,10574.5554765,10574.5554765,2,500.0,-92.4201287706,1.0,0.0025,-70.5268,1.0,5.4346e-20,1.0,0.0025
91.01,0.002,-62.5223445092,1.0,1.0,,500,100,-68.9259,-62.5223445092,57.2594,500.000006643,1330.67690455,1330.67690455,1,500.0,-62.5223445092,1.0,0.002,-68.9259,1.0,5.43187e-20,1.0,0.002
94.75,0.01,-66.17284088,1.0,1.0,,500,100,-66.1728,-66.17284088,50.5435,100.0,2580.44654885,2580.44654885,2,500.0,-66.17284088,1.0,0.01,-66.1728,1.0,3.50449e-18,1.0,0.01
102.52,0.005,-72.7376747975,1.0,1.0,,500,100,-69.4552,-72.7376747975,61.4838,200.000000102,5034.67811905,5034.67811905,2,500.0,-72.7376747975,1.0,0.005,-69.4552,1.0,2.1793e-19,1.0,0.005
98.14,0.00333333,-67.969725662,1.0,1.0,,500,100,-68.9601,-67.969725662,58.0257,299.999969474,2564.58679994,2564.58679994,2,500.0,-67.969725662,1.0,0.00333333,-68.9601,1.0,5.43914e-20,1.0,0.00333333
94.82,0.0025,-66.1237557228,1.0,1.0,,500,100,-68.251,-66.1237557228,56.2775,400.0,2587.53828265,2587.53828265,2,500.0,-66.1237557228,1.0,0.0025,-68.251,1.0,5.4346e-20,1.0,0.0025
94.65,0.002,-65.9047440594,1.0,1.0,,500,100,-67.7818,-65.9047440594,55.1959,500.000006643,2585.74164877,2585.74164877,1,500.0,-65.9047440594,1.0,0.002,-67.7818,1.0,5.43187e-20,1.0,0.002
88.28,0.01,-60.1080165371,1.0,1.0,,500,100,-60.108,-60.1080165371,8.0039,100.0,64.7094854441,64.7094854441,2,500.0,-60.1080165371,1.0,0.01,-60.108,1.0,3.50449e-18,1.0,0.01
99.05,0.005,-69.9448371226,1.0,1.0,,500,100,-65.0264,-69.9448371226,44.0705,200.000000102,3810.07048794,3810.07048794,2,500.0,-69.9448371226,1.0,0.005,-65.0264,1.0,2.1793e-19,1.0,0.005
100.3,0.00333333,-70.2281969157,1.0,1.0,,500,100,-66.7604,-70.2281969157,50.5448,299.999969474,3799.87946447,3799.87946447,2,500.0,-70.2281969157,1.0,0.00333333,-66.7604,1.0,5.43914e-20,1.0,0.00333333
93.67,0.0025,-65.44977474,1.0,1.0,,500,100,-66.4327,-65.44977474,50.569,400.0,2589.15189465,2589.15189465,2,500.0,-65.44977474,1.0,0.0025,-66.4327,1.0,5.4346e-20,1.0,0.0025
89.08,0.002,-60.4406416057,1.0,1.0,,500,100,-65.2343,-60.4406416057,45.3979,500.000006643,47.698114767,47.698114767,1,500.0,-60.4406416057,1.0,0.002,-65.2343,1.0,5.43187e-20,1.0,0.002
90.22,0.01,-62.1240705793,1.0,1.0,,500,100,-62.1241,-62.1240705793,36.2401,100.0,1326.61430381,1326.61430381,2,500.0,-62.1240705793,1.0,0.01,-62.1241,1.0,3.50449e-18,1.0,0.01
