J,AvgNormIw,VarJ,MinNormIw,MaxNormIw,eRenyi2,VanillaAvgRet,VarRet,VarDiscRet,ESSRenyi,AvgEpLen,AvgRet,Delta,AvgDiscRet,ESSClassic,AvgVanillaIw,VarNormIw,Bound,BatchSize,IterType,MinVanillaIw,EpsThisIter,MaxVanillaIw,VarVanillaIw
-85.4132,0.01,79.4371,0.0056311,0.0122914,1.03196,-89.3043699315,8310.76156656,8310.76156656,96.9030581049,121.8,-89.3043699315,0.1,-89.3043699315,97.438720841,0.998082,2.65518e-06,-212.539,100,1,0.56203,100,1.22678,0.0264501
-76.3557,0.01,67.6167,0.00934331,0.014987,1.00406,-76.8859301783,4967.11146231,4967.11146231,99.596076237,107.71,-76.8859301783,0.1,-76.8859301783,99.4299959777,1.00366,5.7906e-07,-201.749,100,1,0.937749,100,1.50419,0.00583305
-65.4237,0.01,31.2278,0.00784263,0.0109413,1.00521,-66.0834612395,1373.42011242,1373.42011242,99.4817551731,94.66,-66.0834612395,0.1,-66.0834612395,99.5618762926,1.00356,4.44522e-07,-190.871,100,1,0.787052,100,1.09802,0.00447689
-80.3985,0.01,73.8008,0.0067151,0.0122221,1.00806,-81.3808239985,6141.20539179,6141.20539179,99.2007984683,112.63,-81.3808239985,0.1,-81.3808239985,99.2587318617,1.00981,7.54373e-07,-206.044,100,1,0.678094,100,1.2342,0.00769239
-71.375,0.01,48.9172,0.0095909,0.0114217,1.00185,-71.6156579712,2588.20094283,2588.20094283,99.8157207885,102.18,-71.6156579712,0.1,-71.6156579712,99.8609339648,0.997085,1.4064e-07,-196.632,100,1,0.956294,100,1.13884,0.00139822
-76.4897,0.01,59.4816,0.00272075,0.0128478,1.04187,-81.723147807,6115.5102835,6115.5102835,95.9815501773,113.5,-81.723147807,0.1,-81.723147807,94.4374641771,0.981539,5.94966e-06,-204.222,100,1,0.267052,100,1.26106,0.0573202
-68.9012,0.01,45.9774,0.00734583,0.0115048,1.00672,-69.7254680865,2624.79989874,2624.79989874,99.3328673348,99.54,-69.7254680865,0.1,-69.7254680865,99.4203032222,1.00066,5.88959e-07,-194.461,100,1,0.735064,100,1.15123,0.00589732
-66.2728,0.01,41.6685,0.00497632,0.0113855,1.00979,-67.9244288819,2579.55508382,2579.55508382,99.030239811,96.91,-67.9244288819,0.1,-67.9244288819,98.8422303583,1.00072,1.18315e-06,-192.027,100,1,0.497992,100,1.13937,0.0118487
-77.7491,0.01,66.2556,0.0052356,0.0116868,1.00703,-78.9768676789,4969.17640429,4969.17640429,99.3019300917,110.63,-78.9768676789,0.1,-78.9768676789,99.0766561228,0.996204,9.41333e-07,-203.331,100,1,0.521573,100,1.16424,0.009342
-75.8684,0.01,66.3136,0.00871977,0.0127433,1.00575,-76.6078343771,4988.79777724,4988.79777724,99.4287528108,107.4,-76.6078343771,0.1,-76.6078343771,99.5740340895,1.00329,4.32088e-07,-201.362,100,1,0.874846,100,1.27852,0.00434936
