VarVanillaIw,BatchSize,ESSClassic,MinVanillaIw,MaxVanillaIw,AvgNormIw,AvgDiscRet,ESSRenyi,eRenyi2,VarNormIw,VarDiscRet,AvgRet,VarRet,VarJ,AvgVanillaIw,MinNormIw,AvgEpLen,J,Bound,MaxNormIw
0.067905664,100,93.86867868275081,0.5591284,1.7063264,0.01,174.93601161956403,95.14625919011313,1.0510135,6.5978056e-06,2176.189444031637,193.01656056109815,3503.7311846654707,49.3897,1.0145028,0.005511354,20.31,178.04231,135.70226,0.016819336
0.10901503,100,90.67599298502421,0.39493006,1.7956014,0.01,177.22437798271503,91.02664712867987,1.0985794,1.0386627e-05,1984.436772301852,195.6172425364144,3139.5711499159224,50.860462,1.0244858,0.0038549101,20.57,183.09999,139.759,0.017526856
0.11635395,100,89.4780551934017,0.48510724,2.226692,0.01,183.92819969066636,89.70279494633888,1.1147925,1.1878011e-05,2356.8416791615964,204.11449982924387,3927.097027735826,49.368263,0.9897346,0.0049013873,21.42,187.2929,143.09845,0.02249787
0.03460521,100,96.57425110631434,0.54254794,1.4779593,0.01,171.5977558231977,96.54406949564328,1.0357964,3.5830797e-06,1340.7698874368048,188.31562342831864,2051.5582692700173,35.891552,0.9827488,0.0055207186,19.84,172.49893,140.80215,0.015039034
0.03326035,100,96.96252691575074,0.60462713,1.4017438,0.01,177.3758675231477,96.54756965325154,1.0357589,3.164269e-06,1966.4678765702238,195.81534324709327,3205.7953556493885,43.519096,1.0252427,0.005897405,20.59,177.83879,140.08049,0.013672312
0.06666098,100,93.82107842770337,0.5630402,2.2938213,0.01,171.4867791436717,93.53214349029791,1.0691512,6.6523908e-06,1735.489018056443,188.51513412233442,2777.468751926945,39.43609,1.0010296,0.0056246105,19.86,172.54367,136.45013,0.022914618
0.03274296,100,96.63588511082143,0.6478647,1.5200093,0.010000003,180.04725432364202,95.52381300507773,1.0468594,3.5163407e-06,1566.3098755659555,198.71423271838574,2462.8254213857235,40.36838,0.96496934,0.0067138374,20.88,182.014,146.7621,0.015751893
0.045466073,100,96.0599578694446,0.69796205,1.8213482,0.01,177.11827315689206,96.6398207615629,1.0347701,4.143076e-06,1645.599026991951,195.2147060806863,2558.054355405486,41.66866,1.0475681,0.0066626887,20.53,178.82097,143.00105,0.017386442
0.2901823,100,78.10965914846557,0.20145984,3.3900585,0.009999999,180.52244711847806,82.7636231895783,1.2082603,2.8308237e-05,1878.8318492955104,199.5115340600349,2894.120453816785,48.660145,1.0124627,0.0019898,20.96,188.24803,144.06758,0.03348329
0.007852993,100,99.21028116318935,0.7585872,1.2241774,0.010000002,182.96712291735722,98.78297782242656,1.0123202,8.0403225e-07,2139.2923835981182,202.7112827417068,3379.641344479651,45.47561,0.98828197,0.0076758177,21.28,183.36287,144.06738,0.012386925
0.0398884,100,96.0980934568442,0.5682111,1.6194178,0.01,188.61466256535797,95.6605987180493,1.0453625,4.1013404e-06,2822.581999155136,210.20851328451187,4644.966644918669,53.396667,0.9861896,0.005761682,22.03,191.02989,143.93243,0.016420959
0.1398779,100,88.36952433219314,0.47545204,3.311815,0.01,181.3851561414517,92.02233606802402,1.0866927,1.3294121e-05,2111.155710400165,200.81075744073837,3486.6778716743815,43.609856,1.0257576,0.004635131,21.09,183.25662,142.74207,0.03228653
0.05096901,100,95.20707878975016,0.5044743,1.5108365,0.01,201.01697809523242,95.36233640343393,1.048632,5.085069e-06,4348.53086492528,226.90804301166906,7547.624149342064,70.559654,1.0011626,0.0050388845,23.7,205.36757,145.5566,0.015090819
0.1395104,100,87.68526964748449,0.35931093,2.3643568,0.01,191.40733650369498,88.82857285659948,1.1257639,1.4186106e-05,2501.3175783959173,213.40849014034495,4181.997041058864,50.95153,0.9916803,0.0036232537,22.35,196.38322,149.34474,0.023841925
0.3983858,100,71.63399785452155,0.13475329,3.3538864,0.01,198.51650603326974,78.79309894617641,1.2691467,3.9998504e-05,3872.211086720836,223.70838345082475,7788.6073153286015,50.418236,0.99799883,0.001350235,23.38,197.23056,146.18166,0.033606116
0.2699619,100,80.15613295008997,0.34317124,2.6016982,0.010000002,203.21041128602602,85.83927545769187,1.1649679,2.500655e-05,3434.8410375645644,228.90812129531056,6032.826829767213,54.633842,1.039021,0.0033028324,23.9,206.66713,153.91971,0.025039898
0.0429918,100,95.9045514050081,0.5995496,1.6059351,0.010000002,193.98284624976324,95.81436478526768,1.0436848,4.3134673e-06,2530.6884790741237,216.60702203014864,4215.872686674232,52.74674,0.9983425,0.0060054497,22.67,197.16774,151.67403,0.016086014
0.04583622,100,95.42548584677974,0.33915088,1.5818088,0.01,205.88440625557698,96.75119249196884,1.033579,4.842241e-06,3808.3991524012695,232.60477893579753,6785.093786368999,62.49422,0.9729292,0.0034858743,24.27,208.65396,153.98257,0.016258212
0.30228984,100,78.89946179556418,0.3658483,3.807725,0.010000002,197.99437937904386,84.03701047080557,1.1899519,2.7013684e-05,2296.8262070377614,221.402845608294,3867.025376939905,51.576656,1.0578398,0.0034584473,23.15,205.8547,157.68784,0.03599529
0.01346414,100,98.69799631972784,0.746297,1.2393206,0.01,193.66912397139123,98.15587281896036,1.0187877,1.3324913e-06,2184.492601784139,215.90046241357922,3510.7307898456265,47.394596,1.0052108,0.0074242842,22.6,194.94229,154.3606,0.012328964
0.029176949,100,97.23008361649737,0.571074,1.4606673,0.01,201.16744105257126,97.2887312835986,1.0278683,2.877598e-06,2623.966436484317,225.60366788862274,4369.893696806826,50.470554,1.0069429,0.0056713643,23.57,202.32358,158.08594,0.014505959
0.09829199,100,91.08484788101035,0.24004713,1.6164151,0.010000002,197.2920119393483,91.84304954632515,1.088814,9.886588e-06,2154.523756971451,220.40210809491575,3586.3378698349657,44.11127,0.99709344,0.0024074689,23.05,199.36223,158.25404,0.016211271
0.059640255,100,94.56426181202599,0.39225823,1.8280269,0.010000002,204.17830263719264,94.63035356562942,1.0567434,5.806237e-06,2904.494674063231,229.6021401826106,4862.911547368415,53.87137,1.0134968,0.0038703452,23.97,206.84232,158.85236,0.01803683
0.06252592,100,94.21202018641394,0.296454,1.6547369,0.01,204.84154342631973,94.16911155952077,1.0619193,6.205634e-06,2780.600215576388,230.40229999324308,4880.904546678714,52.288265,1.0037763,0.002953387,24.05,207.64813,160.49284,0.016485116
0.031442605,100,97.03584353495494,0.6174055,1.3668987,0.01,201.8680683872596,97.33526318879608,1.0273769,3.085571e-06,2271.2851583864135,226.20007526271044,3806.938832222031,49.64169,1.0094655,0.0061161625,23.63,203.97911,161.78625,0.0135408165
178.41048,100,2.9420218933434286,0.10117824,134.36852,0.01,211.0537716490977,32.94549384810667,3.0353165,0.0033323464,4591.812583782066,240.10189016245306,9251.906326817438,161.2112,2.3138494,0.00043727236,25.02,247.8507,154.06313,0.58071417
0.5451476,100,66.74219099192875,0.39995155,6.51128,0.010000002,202.85454880415728,81.24104226988143,1.2309049,5.0333598e-05,3025.132765378987,228.1020138975978,5248.572156478377,74.8477,1.0407062,0.0038430786,23.82,214.30183,156.59688,0.06256598
1.4639541,100,44.42793823919988,0.4756956,10.5449095,0.009999998,216.84964876960527,76.82533960786382,1.3016539,0.00012634708,4682.770913088755,247.3994716869667,8916.928325770985,91.80523,1.0764184,0.0044192444,25.75,231.9577,159.2973,0.09796292
0.22203946,100,83.72472463041686,0.45912412,3.0961707,0.01,213.78695616435726,87.52948610622292,1.1424721,1.9635381e-05,3267.376992971445,242.09616540340707,5751.7910381468855,59.32547,1.0633969,0.0043175234,25.22,221.41016,165.71286,0.029115852
0.03182195,100,96.84249191510828,0.62923217,1.5543637,0.01,214.13331339116402,95.91516536620404,1.042588,3.2933804e-06,2982.3849453826133,242.29547660605982,5256.21986841876,55.991497,0.98297495,0.006401304,25.24,217.09138,168.20364,0.015812851
0.16884339,100,85.89691959869297,0.40910083,2.8427846,0.009999998,224.04100947437487,88.98657702742726,1.123765,1.6584465e-05,5357.174964308,257.2962823527679,10505.634407987194,71.799866,1.0090002,0.004054517,26.74,229.68881,162.48373,0.028174274
0.14799924,100,86.76168382459188,0.32420123,2.2208228,0.01,220.20829174619578,88.50564077058475,1.1298715,1.5412363e-05,3789.36308292449,250.7967523989454,6926.827018645701,63.690525,0.97993016,0.0033084115,26.09,225.70424,168.43634,0.022663072
0.25306532,100,80.01058812868798,0.35249734,4.3240666,0.01,216.73334993887616,86.62287785200746,1.1544294,2.5235824e-05,5013.454695576637,247.49610818129034,9381.0674049843,81.89552,1.0014,0.0035200454,25.76,228.26187,157.18356,0.043180216
0.07999919,100,93.05246023837003,0.40488127,2.0041633,0.01,226.4350361838265,94.0667661913918,1.0630747,7.541667e-06,4469.739585584727,259.49166912097485,8498.29383497555,64.83878,1.0299335,0.0039311405,26.96,229.27217,170.20703,0.019459154
0.06552961,100,93.91143552909642,0.5461945,1.7685094,0.010000002,223.58822524766805,93.38496519747407,1.0708362,6.548779e-06,3802.8404844292236,255.29187408076598,7440.93211302042,58.746506,1.0003192,0.0054602018,26.54,225.71732,171.72427,0.01767945
0.12083577,100,90.11393711588566,0.4141125,2.720961,0.01,221.10688686535403,91.57725031396886,1.0919743,1.1081435e-05,3608.832818085834,251.79294916564598,6610.83248240567,62.96179,1.0442386,0.0039656884,26.19,224.75656,170.5832,0.026056891
0.042227976,100,95.95107488285672,0.35575733,1.4757183,0.01,229.99743694959244,95.25031940835535,1.0498652,4.262414e-06,5032.958604738527,264.79018589308487,10169.833153058653,70.424675,0.99534196,0.003574222,27.49,233.17992,170.33194,0.014826244
0.059554737,100,94.06810957305515,0.45430338,1.5926317,0.01,216.63771894229,94.12909518288761,1.0623708,6.3696484e-06,2364.987198647809,244.88972528712824,3972.364897355693,47.647736,0.9669419,0.0046983524,25.5,218.56662,175.73746,0.01647081
0.067732275,100,93.49101932808834,0.47238797,1.888091,0.01,230.36671772222664,94.95309059643152,1.0531516,7.0324545e-06,4329.608812858497,264.3880294109508,8028.315762463235,70.77016,0.9813962,0.004813428,27.45,235.54869,175.02713,0.019238826
0.023919063,100,97.49473825986634,0.5700769,1.497458,0.01,231.73389921184426,97.3604554857735,1.027111,2.595601e-06,4728.6022833493535,266.68710898466406,9322.205250912128,67.56858,0.9599599,0.0059385486,27.68,233.01173,173.90059,0.015599172
0.07446201,100,92.39324407292898,0.3655175,1.7712362,0.010000002,226.61915256569029,92.59651366499865,1.0799543,8.31617e-06,3485.3439253984607,258.7893858340383,6459.626118036059,56.052845,0.9462496,0.003862802,26.89,228.43092,176.9674,0.018718489
0.013161952,100,98.72844635840463,0.7323793,1.3620507,0.01,230.8062612310363,98.87020572304795,1.011427,1.3009437e-06,3721.269239551689,264.38746011340993,6810.431974323266,62.62324,1.0058445,0.007281238,27.45,232.43024,179.50156,0.013541364
0.04502478,100,95.77683051157695,0.40011173,1.427114,0.01,247.08352343576206,95.37227851143622,1.0485227,4.453915e-06,5276.373906718704,287.38770923256874,10547.556138575199,70.18956,1.0054369,0.0039794813,29.75,249.80634,185.99222,0.01419397
0.0066364054,100,99.35577848075106,0.74429756,1.1911845,0.009999999,236.39985074952688,99.30124830189179,1.0070367,6.5496033e-07,5151.403478577556,273.08698950491845,9907.939565600747,70.91994,1.0066048,0.007394139,28.32,236.97166,176.03635,0.011833686
0.08761133,100,92.03478515420763,0.3947828,1.7251596,0.01,238.6160667554733,91.67491859632136,1.0908109,8.7419985e-06,4518.034360180308,275.3880341611989,8642.394196443978,68.792946,1.0010939,0.0039435145,28.55,244.48882,182.08511,0.017232748
0.06962261,100,93.30810992798311,0.33186075,1.4601053,0.01,229.48288805135275,93.54641218415041,1.0689881,7.2442563e-06,2960.82271911033,261.9878119958006,5371.729679560832,54.388203,0.98034346,0.0033851478,27.21,232.90405,183.71954,0.014893814
0.050502613,100,95.01753438189456,0.44502783,1.4155774,0.01,220.89462875444332,94.68758522168021,1.0561047,5.2966807e-06,2630.421744668633,250.58721285875887,4569.517563306762,53.293903,0.9764612,0.004557558,26.07,224.52585,177.76018,0.014497017
0.47641578,100,70.47478216114496,0.17111523,5.211802,0.01,234.77197156852705,74.8026852110615,1.3368504,4.231791e-05,3982.1338768565183,270.1835690951347,8672.919338482337,52.764275,1.0610381,0.0016127152,28.03,240.43173,181.69946,0.049119838
0.05861787,100,94.1335964997724,0.39319757,1.4389396,0.01,248.58877082427387,95.91364098860726,1.0426046,6.29494e-06,6395.4976947606665,290.6842512127012,13561.894578039983,81.07287,0.9649821,0.004074662,30.08,251.88052,181.33005,0.014911568
0.06867318,100,93.9614292086147,0.5038098,1.7294648,0.01,246.14060696481482,94.5726472841365,1.0573882,6.4915566e-06,4197.100507354593,284.983905085586,7960.02194895373,66.34235,1.0285351,0.0048983237,29.51,250.42183,191.65445,0.016814834
