Bound,ReturnStepMax,EmpiricalD2,ReturnMeanIW,InitialReturnStd,TimeElapsed,Weights,EpRewMean,EpisodesSoFar,MeanD2w0t,MinIW,StdD2w0t,InitialBound,InitialReturnMin,MaxIW,ReturnStepMaxmin,EpLenMean,MeanIW,InitialReturnMax,MaxD2w0t,EpThisIter,Iteration,MinD2w0t,TimestepsSoFar,StdIW,InitialReturnMean,J_sample_variance
23.269608,100.0,1.0297282,121.85956,14.742029,678.546187877655,[-0.697 -0.695 -0.251 -0.796  0.114],-101.04576344183312,4600,0.11224594,0.6627115,0.31885535,21.768295,-27.29914,1.6273469,95.33493,55.14,1.023767,49.960014,1.0960896,100,46,,215042,0.17279638,1.2207031e-06,471.95416
31.748344,100.0,1.0715094,130.60773,12.830192,694.1223556995392,[-0.698 -0.683 -0.248 -0.79   0.126],-100.95270362217059,4700,0.11049668,0.44768795,0.3206088,29.164467,-28.028496,2.5375476,95.199066,53.12,1.0440359,38.603657,1.1767207,100,47,,220354,0.30598152,-4.959106e-07,1055.5021
29.079361,100.0,1.0494384,125.61775,12.996957,710.7742805480957,[-0.713 -0.678 -0.254 -0.786  0.148],-103.03094810053625,4800,0.11298499,0.28789625,0.32198438,27.447662,-25.60495,2.731575,95.24249,54.84,1.0329844,33.475803,1.1366413,100,48,,225838,0.24857028,1.7929077e-06,666.9508
23.123207,100.0,1.1602646,126.38132,12.341819,728.6838250160217,[-0.728 -0.676 -0.263 -0.778  0.16 ],-103.20595937717022,4900,0.12664777,0.16679576,0.35324696,18.81849,-27.021358,4.389389,95.39833,57.31,1.12201,45.270844,1.449671,100,49,,231569,0.5440191,3.5858154e-06,2368.2632
24.843307,100.0,1.0554838,120.75236,12.665533,746.6669998168945,[-0.712 -0.666 -0.269 -0.763  0.172],-103.68316844771384,5000,0.11705553,0.60084164,0.32668114,22.76419,-28.461731,2.4261513,95.35625,56.91,1.0403655,36.919895,1.1224467,100,50,,237260,0.2652768,3.0517577e-07,817.9707
37.10723,100.0,1.1654177,135.71019,13.282371,763.4069545269012,[-0.728 -0.667 -0.272 -0.761  0.19 ],-104.51547330147623,5100,0.11613787,0.309398,0.33403534,31.625519,-24.391975,3.4200816,95.13478,54.08,1.0870408,35.314293,1.4055485,100,51,,242668,0.44830158,1.1062622e-06,1932.4537
29.371704,100.0,1.3068787,135.21025,13.592757,781.8160228729248,[-0.754 -0.664 -0.276 -0.748  0.216],-103.38028737253757,5200,0.13326599,0.31549755,0.3790087,23.066238,-26.32621,7.4719114,95.31114,56.05,1.1675923,43.73581,1.7957686,100,52,,248273,0.89996225,-1.1825562e-06,6899.36
26.103012,100.0,1.0531478,121.12993,11.157133,798.9481673240662,[-0.734 -0.623 -0.26  -0.714  0.223],-104.59305225268037,5300,0.11669517,0.53400224,0.3262199,25.080673,-26.826904,2.0066736,95.31325,56.74,1.0241832,28.626595,1.095376,100,53,,253947,0.24802394,9.155273e-07,715.93427
25.497437,100.0,1.0260915,122.61155,13.343751,814.8998155593872,[-0.731 -0.619 -0.249 -0.709  0.215],-103.47217001088075,5400,0.11353417,0.6783629,0.32056147,24.25898,-26.500893,1.8005984,95.28732,55.74,1.0226134,38.256363,1.0932919,100,54,,259521,0.16161223,4.4250487e-06,529.639
23.02407,100.0,1.0138837,119.437416,12.747534,829.6826117038727,[-0.733 -0.616 -0.241 -0.713  0.215],-103.25722133296769,5500,0.113261044,0.77449703,0.31817815,22.460876,-25.933567,1.2936888,95.32733,56.23,1.0089756,49.544327,1.027475,100,55,,265144,0.09923216,-3.013611e-06,250.60048
13.305267,100.0,1.0981424,113.979774,13.433949,846.7569630146027,[-0.733 -0.614 -0.24  -0.708  0.207],-102.92574162103806,5600,0.12712434,0.5358816,0.3426506,9.513458,-30.634666,2.1608214,95.602554,60.59,1.0646844,40.343994,1.2688849,100,56,,271203,0.29278195,3.3187866e-06,880.8994
14.173218,100.0,1.0391164,110.775375,12.7445755,864.2644267082214,[-0.734 -0.618 -0.229 -0.706  0.214],-104.02918542218632,5700,0.12317529,0.64073575,0.33215663,12.974052,-27.552021,1.7251873,95.55875,60.46,1.0161705,36.260365,1.0805858,100,57,,277249,0.1896452,-6.4849854e-07,405.1158
26.548622,100.0,1.1379712,123.41889,11.36107,880.8763062953949,[-0.735 -0.623 -0.224 -0.706  0.22 ],-103.06409037301593,5800,0.1176342,0.36338234,0.32964805,23.225143,-24.780697,3.137243,95.35623,56.57,1.0873036,28.978363,1.3718426,100,58,,282906,0.37685865,1.9836425e-06,786.93445
10.684265,100.0,1.0174959,109.15921,15.250407,897.5463526248932,[-0.696 -0.628 -0.221 -0.719  0.228],-101.60642052358907,5900,0.12051572,0.6507739,0.32752845,9.951714,-28.965904,1.4718437,95.5921,59.63,1.0204191,40.258385,1.0658231,100,59,,288869,0.12805,3.8146973e-07,327.80554
13.421967,100.0,1.0176941,109.73012,13.528843,915.643105506897,[-0.693 -0.62  -0.215 -0.72   0.223],-102.2502047061389,6000,0.12070124,0.725036,0.32721385,12.378456,-30.09026,1.5071121,95.5854,59.89,1.0165926,32.815643,1.0585817,100,60,,294858,0.11932399,-2.1743774e-06,308.01572
15.085663,100.0,1.0326871,110.58842,12.570617,932.1186783313751,[-0.672 -0.628 -0.212 -0.726  0.221],-102.20118035319105,6100,0.122187674,0.5434315,0.33124706,13.960594,-25.686539,1.7892671,95.5876,59.9,1.0300322,38.204758,1.0765777,100,61,,300848,0.17746069,-1.5258789e-07,373.056
34.007614,100.0,1.2372134,136.61751,12.250667,949.0343492031097,[-0.682 -0.64  -0.216 -0.736  0.219],-102.30834147783888,6200,0.12533021,0.26413614,0.35703662,24.549927,-27.126133,4.1651087,95.31853,55.58,1.1677352,33.293404,1.7419814,100,62,,306406,0.55019385,4.234314e-06,3148.8042
15.20697,100.0,1.0222094,112.40197,14.817213,966.132063627243,[-0.661 -0.616 -0.199 -0.742  0.217],-102.72652989620518,6300,0.11883586,0.48595452,0.32555413,14.268265,-30.203743,1.626066,95.505905,58.8,1.0182639,33.796623,1.09513,100,63,,312286,0.15663713,-5.722046e-07,399.30994
27.936516,100.0,1.3187944,130.49892,13.621298,984.3779609203339,[-0.68  -0.605 -0.198 -0.736  0.218],-102.12625413294968,6400,0.12739526,0.2398653,0.3604795,22.477318,-30.8069,5.1327057,95.361084,56.13,1.1085341,35.388676,1.7431438,100,64,,317899,0.67727184,-2.5177003e-06,5097.667
11.941994,100.0,1.0251157,109.45457,12.707734,1002.4285967350006,[-0.68  -0.631 -0.191 -0.737  0.209],-101.49520300976558,6500,0.12167416,0.63446426,0.3294693,10.805206,-29.857323,1.6253846,95.61795,60.02,1.0186576,58.35044,1.0795066,100,65,,323901,0.14939639,-1.0299683e-06,338.415
12.235085,100.0,1.0186878,106.51447,12.90513,1020.1866374015808,[-0.662 -0.625 -0.185 -0.734  0.206],-100.97349792667781,6600,0.122637324,0.63177913,0.32998633,11.747162,-31.116375,1.6261158,95.671936,60.68,1.0107745,37.974617,1.034286,100,66,,329969,0.1429134,-2.822876e-06,344.0125
29.925446,100.0,1.1474365,129.29694,12.723612,1035.912261247635,[-0.665 -0.624 -0.184 -0.735  0.195],-100.59834616786026,6700,0.117459774,0.1986363,0.33557668,25.175262,-28.552681,2.4295688,95.32384,54.73,1.0956821,45.248764,1.370838,100,67,,335442,0.3992639,-3.1661987e-06,1413.1483
25.393105,100.0,1.0658883,119.4707,12.447551,1053.0263359546661,[-0.667 -0.609 -0.194 -0.73   0.182],-102.08635760950452,6800,0.117376365,0.5510356,0.3277998,23.518593,-28.696873,2.289247,95.40921,56.86,1.0300322,39.037674,1.1315972,100,68,,341128,0.26158562,-1.4877319e-06,758.83496
12.9674225,100.0,1.0939727,113.321465,11.322233,1070.1528995037079,[-0.659 -0.626 -0.194 -0.733  0.192],-102.67076199158367,6900,0.1260368,0.43211,0.34078157,10.447807,-30.485683,2.7933652,95.59071,60.23,1.0793256,43.73517,1.2327574,100,69,,347151,0.36668238,-3.6621093e-06,887.3971
12.14328,100.0,1.1303729,111.14038,13.596226,1087.4704473018646,[-0.655 -0.622 -0.198 -0.736  0.211],-102.40705511674041,7000,0.13111217,0.52144295,0.34821498,7.354225,-29.159233,2.8346717,95.70717,62.2,1.0947886,41.531696,1.3153572,100,70,,353371,0.39397347,-2.822876e-06,1193.1415
13.437546,100.0,1.0692573,110.6268,11.3899555,1104.8255784511566,[-0.685 -0.616 -0.198 -0.728  0.232],-103.85037399374283,7100,0.125491,0.50624,0.33706996,11.98777,-28.679207,2.2980692,95.58948,60.9,1.0399023,41.400036,1.1222917,100,71,,359461,0.28646255,9.918213e-07,488.4169
11.236465,100.0,1.1876876,112.87581,12.122964,1120.574726343155,[-0.685 -0.607 -0.199 -0.732  0.239],-101.44085485788953,7200,0.13751256,0.40580934,0.36708766,7.2570267,-25.29317,4.5526505,95.72084,61.87,1.1409824,39.500313,1.3903065,100,72,,365648,0.62307596,-3.3569336e-06,2419.5305
14.635933,100.0,1.0052305,111.988144,12.37703,1138.1893808841705,[-0.686 -0.583 -0.203 -0.704  0.24 ],-103.4512781363525,7300,0.11830779,0.8353026,0.32348078,14.401009,-27.716743,1.5069435,95.492584,58.99,1.0050097,35.04983,1.0168893,100,73,,371547,0.08814875,-5.569458e-06,212.97824
9.335152,100.0,1.024378,107.9669,13.611252,1156.4181337356567,[-0.689 -0.575 -0.201 -0.7    0.241],-103.33791795585051,7400,0.12407473,0.68639916,0.33224085,8.229645,-30.106472,1.541774,95.62295,61.2,1.0304595,35.110584,1.066319,100,74,,377667,0.13295925,3.8146972e-08,279.32184
8.246315,100.0,1.0287247,106.67738,13.232727,1174.308982849121,[-0.693 -0.578 -0.207 -0.705  0.248],-102.6062404522319,7500,0.12575185,0.7076033,0.33516857,6.885521,-30.237846,2.2719877,95.67456,61.71,1.0239365,40.363346,1.0840302,100,75,,383838,0.20159295,2.784729e-06,525.79926
