J_sample_variance,MaxD2w0t,Weights,ReturnMeanIW,Iteration,MeanIW,EpisodesSoFar,EpThisIter,InitialReturnMean,InitialReturnMin,InitialBound,ReturnStepMax,StdIW,ReturnStepMaxmin,MeanD2w0t,EpRewMean,InitialReturnStd,StdD2w0t,TimestepsSoFar,Bound,EpLenMean,EmpiricalD2,MinIW,TimeElapsed,MinD2w0t,MaxIW,InitialReturnMax
4.0644403,1.0714335,[-1.017 -1.527 -0.68  -0.999  0.239],8.289771,51,0.9868132,5100,100,-1.66893e-08,-6.991199,-25.107662,100.0,0.19010872,96.03465,0.14966199,-108.94695383025937,1.9757568,0.36061573,260398,-25.074886,73.48,1.0386969,0.6537654,703.4117817878723,,1.8238611,5.0183024
2.9455543,1.0442458,[-1.016 -1.528 -0.676 -0.993  0.241],7.5950284,52,1.0061786,5200,100,-3.4809113e-07,-6.853272,-25.774067,100.0,0.15129942,96.18027,0.15736684,-109.8851893907621,1.7357477,0.3662153,268192,-25.754772,77.94,1.019527,0.68586075,720.670007944107,,1.9055085,3.5826206
7.9034853,1.322681,[-1.017 -1.53  -0.672 -0.991  0.242],6.5684886,53,1.0381885,5300,100,-4.2915343e-07,-9.907326,-26.997341,100.0,0.36669192,96.46932,0.18526112,-107.84485224776432,2.2318504,0.40962878,276715,-26.863754,85.23,1.137657,0.36631745,739.4177722930908,,3.042518,4.1839643
6.4180403,1.2071435,[-1.028 -1.541 -0.675 -1.01   0.247],7.27756,54,1.0328139,5400,100,3.8146973e-07,-11.266163,-26.197975,100.0,0.2410834,96.33223,0.16623676,-106.63106015803645,2.1043181,0.38127637,284709,-26.127895,79.94,1.0818344,0.4829,758.7038457393646,,2.0132058,3.7986128
3.6873379,1.0165648,[-1.029 -1.538 -0.683 -1.015  0.248],7.3956966,55,1.0207639,5500,100,1.1920929e-07,-4.896333,-25.983469,100.0,0.094280116,96.34589,0.16076688,-106.07188611241652,1.8549438,0.3685464,292702,-25.949598,79.93,1.0099987,0.6682029,774.7572648525238,,1.2774019,3.812784
4.9535356,1.242615,[-1.031 -1.537 -0.684 -1.014  0.24 ],9.712328,56,1.0385866,5600,100,-4.7683717e-08,-10.313746,-23.853842,100.0,0.35078603,95.80014,0.1448272,-110.18732701143666,2.2311246,0.3626621,299589,-23.704622,68.87,1.0980483,0.4390639,791.4531161785126,,3.0956798,4.4712896
4.4845195,1.060075,[-1.035 -1.554 -0.68  -1.02   0.227],7.620977,57,1.0249369,5700,100,-1.0967254e-06,-13.815699,-25.77461,100.0,0.14585347,96.28787,0.16112354,-107.78010915941424,2.1890905,0.37063405,307537,-25.72812,79.48,1.0240875,0.7427441,810.6678786277771,,1.7020111,3.1145544
4.1851315,1.000002,[-1.037 -1.561 -0.683 -1.018  0.232],7.9331656,58,1.0001457,5800,100,-1.2397766e-07,-7.3504505,-25.40036,100.0,0.0007174797,96.20035,0.1527,-106.87678448021796,2.0350657,0.35969475,315172,-25.40017,76.35,1.0000007,0.9979322,827.7952144145966,,1.0024663,3.9547517
3.2262986,1.1636424,[-1.037 -1.56  -0.683 -1.018  0.232],8.822177,59,0.9808653,5900,100,4.3392183e-07,-8.720163,-24.669765,100.0,0.23696694,95.99398,0.15065682,-108.92314397344056,1.8062377,0.36610577,322419,-24.581764,72.47,1.0829381,0.54481363,844.3708229064941,,2.2080078,4.179203
3.5712311,1.1979182,[-1.038 -1.567 -0.676 -1.015  0.227],6.778602,60,1.0252604,6000,100,4.7683716e-07,-10.815681,-26.690044,100.0,0.2847352,96.406906,0.17792515,-110.60867029749899,1.9734873,0.39254788,330950,-26.597229,85.31,1.0909011,0.4644837,863.2486822605133,,2.0940056,4.109431
