ReturnMeanIW,TimestepsSoFar,Iteration,EpLenMean,Weights,EmpiricalD2,InitialBound,MaxD2w0t,InitialReturnMin,StdD2w0t,J_sample_variance,ReturnStepMax,ReturnStepMaxmin,MaxIW,EpRewMean,MeanD2w0t,Bound,MeanIW,InitialReturnMean,InitialReturnMax,StdIW,InitialReturnStd,MinIW,MinD2w0t,TimeElapsed,EpThisIter,EpisodesSoFar
5.883167,461250,48,92.8,[-0.599 -0.646 -0.387 -0.321 -0.385],1.1991044,-4.3359995,1.5764992,-2.806532,0.4353655,3.9146762,100.0,96.49797,2.4604826,-116.0943153131124,0.20687668,-4.2095284,1.0565565,-3.361702e-07,3.1731753,0.40222883,1.5214484,0.17773922,,1044.3874883651733,100,4800
6.2243323,470396,49,91.46,[-0.605 -0.652 -0.392 -0.331 -0.395],2.026265,-4.0753756,13.725826,-3.8819952,0.8793848,4.374471,100.0,96.442795,13.817232,-116.9411083736314,0.30882284,-3.9053617,1.0295222,-9.536743e-09,4.4810534,0.8403363,1.7172,0.10128346,,1065.1812903881073,100,4900
4.954002,480322,50,99.26,[-0.627 -0.654 -0.39  -0.337 -0.426],1.4292822,-5.24282,3.0511255,-4.6640754,0.517493,2.5825152,100.0,96.683716,19.71179,-114.9570050179965,0.25050524,-5.1644855,1.1612675,-5.7220458e-08,3.2905095,1.2602446,1.6118419,0.22357486,,1087.755264043808,100,5000
2.5707703,493313,51,129.91,[-0.631 -0.658 -0.382 -0.34  -0.426],1.0,-7.4796076,1.0,-3.0653958,0.438531,2.877216,100.0,97.20073,1.0,-116.87146703686801,0.25982,-7.4796076,1.0,-9.536743e-09,3.675232,,1.6877334,1.0,,1114.7814273834229,100,5100
3.4265,504960,52,116.47,[-0.631 -0.658 -0.382 -0.34  -0.426],1.0,-6.6238775,1.0,-3.1382923,0.42270797,2.4241953,100.0,97.01997,1.0,-115.30687514680386,0.23294,-6.6238775,1.0,-3.0517577e-07,3.3089097,,1.5491782,1.0,,1138.5615766048431,100,5200
4.5165195,515539,53,105.79,[-0.631 -0.658 -0.382 -0.34  -0.426],1.8049709,-5.733528,3.1114001,-2.8936486,0.59093297,3.9714208,100.0,96.8215,10.355613,-115.2316760363073,0.29403836,-5.641058,1.0486441,-8.106232e-08,4.5151153,0.9792351,1.6554204,0.12925503,,1159.2721152305603,100,5300
1.1108358,531120,54,155.81,[-0.63  -0.662 -0.374 -0.332 -0.425],1.0,-8.939542,1.0,-3.2329473,0.46316966,3.4631703,100.0,97.489204,1.0,-117.69852159297048,0.31162,-8.939542,1.0,-1.9073487e-07,4.3596215,,1.8516313,1.0,,1191.8337333202362,100,5400
0.8576619,547068,55,159.48,[-0.63  -0.662 -0.374 -0.332 -0.425],1.0,-9.192716,1.0,-2.862503,0.4660689,2.3019555,100.0,97.48448,1.0,-120.84707012215202,0.31896,-9.192716,1.0,2.8610229e-08,3.765601,,1.5096145,1.0,,1223.8607618808746,100,5500
1.0108651,562257,56,151.89,[-0.63  -0.662 -0.374 -0.332 -0.425],1.0,-9.039513,1.0,-3.0084686,0.4598943,2.4289498,100.0,97.455246,1.0,-117.3160166255121,0.30378,-9.039513,1.0,2.503395e-07,3.4133337,,1.5506967,1.0,,1255.2891924381256,100,5600
1.4911635,576794,57,145.37,[-0.63  -0.662 -0.374 -0.332 -0.425],1.0,-8.559215,1.0,-3.3485813,0.45409742,2.5921729,100.0,97.41727,1.0,-115.04685228082008,0.29074,-8.559215,1.0,-7.2479247e-07,3.703569,,1.6019522,1.0,,1284.8792476654053,100,5700
1.0253165,591943,58,151.49,[-0.63  -0.662 -0.374 -0.332 -0.425],1.0,-9.025062,1.0,-3.1511168,0.45954758,2.745149,100.0,97.51373,1.0,-112.57784424114156,0.30298,-9.025062,1.0,-5.5789945e-07,4.256246,,1.6485442,1.0,,1316.3415944576263,100,5800
