IterType,MinVanillaIw,Bound,BatchSize,ESSClassic,AvgVanillaIw,VanillaAvgRet,J,ESSRenyi,VarDiscRet,AvgNormIw,MaxNormIw,AvgDiscRet,MinNormIw,MaxVanillaIw,EpsThisIter,VarVanillaIw,Delta,eRenyi2,AvgEpLen,AvgRet,VarJ,VarNormIw,VarRet
2,1.0,3775.051,500,100.0,1.0,3775.051079505948,3775.051,500.0,498871.24457815115,0.009999998,0.01,3775.051079505948,0.01,1.0,100,,1.0,1.0,378.39,3775.051079505948,702.76776,3.5044917e-18,498871.24457815115
2,1.0,3740.9512,500,200.00000010221265,1.0,3706.85124798564,3740.9512,500.0,808187.6363364398,0.0049999994,0.005,3706.85124798564,0.005,1.0,100,,1.0,1.0,371.53,3706.85124798564,805.082,2.179301e-19,808187.6363364398
2,1.0,3816.0881,500,299.999969473632,1.0,3966.3626459539623,3816.0881,500.0,493221.19309768267,0.0033333336,0.0033333334,3966.3626459539623,0.0033333334,1.0,100,,1.0,1.0,397.45,3966.3626459539623,778.562,5.4391416e-20,493221.19309768267
2,1.0,3840.3806,500,400.0,1.0,3913.2557908041863,3840.3806,500.0,549619.2608222486,0.0024999997,0.0025,3913.2557908041863,0.0025,1.0,100,,1.0,1.0,392.16,3913.2557908041863,769.68835,5.434597e-20,549619.2608222486
1,,4949.9927,500,inf,1.4092637e-28,3785.1518696939315,4949.9927,1.3445409100558495e-06,687432.1089343439,0.002,0.99999994,3785.1518696939315,,7.046318e-26,100,,1.0,371874140.0,379.38,3785.1518696939315,0.0037232202,0.0019999996,687432.1089343439
2,1.0,3853.1484,500,100.0,1.0,3853.148620582869,3853.1484,500.0,760143.795764528,0.009999998,0.01,3853.148620582869,0.01,1.0,100,,1.0,1.0,386.12,3853.148620582869,867.492,3.5044917e-18,760143.795764528
2,1.0,3889.0513,500,200.00000010221265,1.0,3924.954133742479,3889.0513,500.0,728860.5268825009,0.0049999994,0.005,3924.954133742479,0.005,1.0,100,,1.0,1.0,393.29,3924.954133742479,859.2707,2.179301e-19,728860.5268825009
2,1.0,3894.8857,500,299.999969473632,1.0,3906.5542454307283,3894.8857,500.0,517972.9392866007,0.0033333336,0.0033333334,3906.5542454307283,0.0033333334,1.0,100,,1.0,1.0,391.5,3906.5542454307283,814.3893,5.4391416e-20,517972.9392866007
2,1.0,3878.9763,500,400.0,1.0,3831.2485684395238,3878.9763,500.0,550379.0427984183,0.0024999997,0.0025,3831.2485684395238,0.0025,1.0,100,,1.0,1.0,383.94,3831.2485684395238,796.4927,5.434597e-20,550379.0427984183
1,0.018656801,3998.0107,500,89.74053180334474,1.0477244,3842.1510795849586,3998.0107,,718881.0803418901,0.002,0.07118805,3842.1510795849586,3.561395e-05,37.292725,100,5.0284414,1.0,inf,385.02,3842.1510795849586,2023.5396,1.8323119e-05,718881.0803418901
