AvgNormIw,AvgDiscRet,AvgEpLen,AvgVanillaIw,J,ESSRenyi,VarRet,VarNormIw,AvgRet,IterType,MaxNormIw,MaxVanillaIw,BatchSize,MinNormIw,ESSClassic,VanillaAvgRet,VarDiscRet,MinVanillaIw,EpsThisIter,eRenyi2,VarVanillaIw,Delta,VarJ,Bound
0.0025,-65.8178575341,96.35,1.0,-63.8419,500.0,1312.06086948,5.4346e-20,-65.8178575341,2,0.0025,1.0,500,0.0025,400.0,-65.8178575341,1312.06086948,1.0,100,1.0,,1.0,26.2681,-63.8419
0.002,-63.2134115241,93.79,1.0,-63.7162,500.0,46.9303166262,5.43187e-20,-63.2134115241,1,0.002,1.0,500,0.002,500.000006643,-63.2134115241,46.9303166262,1.0,100,1.0,,1.0,23.6931,-63.7162
0.01,-62.3603161961,91.98,1.0,-62.3603,500.0,57.7208981684,3.50449e-18,-62.3603161961,2,0.01,1.0,500,0.01,100.0,-62.3603161961,57.7208981684,1.0,100,1.0,,1.0,7.55934,-62.3603
0.005,-61.4815352747,90.66,1.0,-61.9209,500.0,49.8894378015,2.1793e-19,-61.4815352747,2,0.005,1.0,500,0.005,200.000000102,-61.4815352747,49.8894378015,1.0,100,1.0,,1.0,7.31165,-61.9209
0.00333333,-63.8392356819,94.87,1.0,-62.5604,500.0,63.8539791014,5.43914e-20,-63.8392356819,2,0.00333333,1.0,500,0.00333333,299.999969474,-63.8392356819,63.8539791014,1.0,100,1.0,,1.0,7.58483,-62.5604
0.0025,-61.6253653276,91.17,1.0,-62.3266,500.0,60.0719092657,5.4346e-20,-61.6253653276,2,0.0025,1.0,500,0.0025,400.0,-61.6253653276,60.0719092657,1.0,100,1.0,,1.0,7.62751,-62.3266
0.002,-65.6518818668,96.08,1.0,-62.9917,500.0,1321.54055679,5.43187e-20,-65.6518818668,1,0.002,1.0,500,0.002,500.000006643,-65.6518818668,1321.54055679,1.0,100,1.0,,1.0,17.6062,-62.9917
0.01,-65.6922882588,96.59,1.0,-65.6923,500.0,1306.86185752,3.50449e-18,-65.6922882588,2,0.01,1.0,500,0.01,100.0,-65.6922882588,1306.86185752,1.0,100,1.0,,1.0,35.9693,-65.6923
0.005,-61.2722735204,90.05,1.0,-63.4823,500.0,61.2179269904,2.1793e-19,-61.2722735204,2,0.005,1.0,500,0.005,200.000000102,-61.2722735204,61.2179269904,1.0,100,1.0,,1.0,26.1167,-63.4823
0.00333333,-68.6366229682,99.33,1.0,-65.2004,500.0,2562.02186875,5.43914e-20,-68.6366229682,2,0.00333333,1.0,500,0.00333333,299.999969474,-68.6366229682,2562.02186875,1.0,100,1.0,,1.0,36.1399,-65.2004
0.0025,-71.781771147,102.29,1.0,-66.8457,500.0,3785.34385134,5.4346e-20,-71.781771147,2,0.0025,1.0,500,0.0025,400.0,-71.781771147,3785.34385134,1.0,100,1.0,,1.0,43.8699,-66.8457
0.002,-70.1101651619,101.11,1.0,-67.4986,500.0,2545.31422723,5.43187e-20,-70.1101651619,1,0.002,1.0,500,0.002,500.000006643,-70.1101651619,2545.31422723,1.0,100,1.0,,1.0,45.2253,-67.4986
0.01,-61.8678415382,91.2,1.0,-61.8678,500.0,56.8476019158,3.50449e-18,-61.8678415382,2,0.01,1.0,500,0.01,100.0,-61.8678415382,56.8476019158,1.0,100,1.0,,1.0,7.50194,-61.8678
0.005,-65.9372699402,96.31,1.0,-63.9026,500.0,1329.39887944,2.1793e-19,-65.9372699402,2,0.005,1.0,500,0.005,200.000000102,-65.9372699402,1329.39887944,1.0,100,1.0,,1.0,26.2742,-63.9026
0.00333333,-61.4888027179,91.03,1.0,-63.098,500.0,53.1826018877,5.43914e-20,-61.4888027179,2,0.00333333,1.0,500,0.00333333,299.999969474,-61.4888027179,53.1826018877,1.0,100,1.0,,1.0,21.8876,-63.098
0.0025,-66.5329886742,97.58,1.0,-63.9567,500.0,1311.11744407,5.4346e-20,-66.5329886742,2,0.0025,1.0,500,0.0025,400.0,-66.5329886742,1311.11744407,1.0,100,1.0,,1.0,26.1919,-63.9567
0.002,-61.683819911,91.46,586.183,-62.4525,16.7858221582,62.6028643841,0.00199518,-61.683819911,1,0.998796,292739.0,500,2.41289e-06,1.0024127348,-61.683819911,62.6028643841,0.707197,100,29.787,1.71391e+08,1.0,0.0397694,-62.4525
0.01,-60.6196320947,89.01,1.0,-60.6196,500.0,68.4599020452,3.50449e-18,-60.6196320947,2,0.01,1.0,500,0.01,100.0,-60.6196320947,68.4599020452,1.0,100,1.0,,1.0,8.23258,-60.6196
0.005,-63.6245838809,92.39,1.0,-62.1221,500.0,1329.39805665,2.1793e-19,-63.6245838809,2,0.005,1.0,500,0.005,200.000000102,-63.6245838809,1329.39805665,1.0,100,1.0,,1.0,26.3476,-62.1221
0.00333333,-65.565448343,95.84,1.0,-63.2699,500.0,1324.32936572,5.43914e-20,-65.565448343,2,0.00333333,1.0,500,0.00333333,299.999969474,-65.565448343,1324.32936572,1.0,100,1.0,,1.0,30.041,-63.2699
0.0025,-69.0189417793,99.8,1.0,-64.7072,500.0,2569.08479053,5.4346e-20,-69.0189417793,2,0.0025,1.0,500,0.0025,400.0,-69.0189417793,2569.08479053,1.0,100,1.0,,1.0,36.3165,-64.7072
0.002,-62.2640750331,91.73,4.35421,-60.3959,1.81056039408,64.3955768303,0.000348681,-62.2640750331,1,0.209726,456.595,500,0.000324793,5.68208655644,-62.2640750331,64.3955768303,0.707108,100,276.158,1652.67,1.0,43.8361,-60.3959
0.01,-80.0468999545,112.66,1.0,-80.0469,500.0,6091.66393805,3.50449e-18,-80.0468999545,2,0.01,1.0,500,0.01,100.0,-80.0468999545,6091.66393805,1.0,100,1.0,,1.0,77.6579,-80.0469
0.005,-61.0162468863,90.24,1.0,-70.5316,500.0,54.5027867647,2.1793e-19,-61.0162468863,2,0.005,1.0,500,0.005,200.000000102,-61.0162468863,54.5027867647,1.0,100,1.0,,1.0,55.9723,-70.5316
0.00333333,-64.2725036611,93.57,1.0,-68.4452,500.0,1328.08534275,5.43914e-20,-64.2725036611,2,0.00333333,1.0,500,0.00333333,299.999969474,-64.2725036611,1328.08534275,1.0,100,1.0,,1.0,50.3544,-68.4452
0.0025,-62.0148390408,91.79,1.0,-66.8376,500.0,71.5496915203,5.4346e-20,-62.0148390408,2,0.0025,1.0,500,0.0025,400.0,-62.0148390408,71.5496915203,1.0,100,1.0,,1.0,43.8992,-66.8376
0.002,-60.25784621,89.02,121.704,-60.5369,0.101294852896,59.0683188763,0.00021866,-60.25784621,1,0.111111,6761.32,500,,9.00000057773,-60.25784621,59.0683188763,,100,4936.08,809686.0,1.0,51.6339,-60.5369
0.01,-61.5587539752,90.8,1.0,-61.5588,500.0,67.3083113335,3.50449e-18,-61.5587539752,2,0.01,1.0,500,0.01,100.0,-61.5587539752,67.3083113335,1.0,100,1.0,,1.0,8.16304,-61.5588
0.005,-61.1192557812,90.69,1.0,-61.339,500.0,66.6275840039,2.1793e-19,-61.1192557812,2,0.005,1.0,500,0.005,200.000000102,-61.1192557812,66.6275840039,1.0,100,1.0,,1.0,8.14534,-61.339
0.00333333,-60.8354994453,89.58,1.0,-61.1712,500.0,68.1240021859,5.43914e-20,-60.8354994453,2,0.00333333,1.0,500,0.00333333,299.999969474,-60.8354994453,68.1240021859,1.0,100,1.0,,1.0,8.17119,-61.1712
0.0025,-66.2265484437,97.15,1.0,-62.435,500.0,1309.36638076,5.4346e-20,-66.2265484437,2,0.0025,1.0,500,0.0025,400.0,-66.2265484437,1309.36638076,1.0,100,1.0,,1.0,19.4663,-62.435
0.002,-67.4614935346,96.84,1.0,-63.4403,500.0,2570.85017271,5.43187e-20,-67.4614935346,1,0.002,1.0,500,0.002,500.000006643,-67.4614935346,2570.85017271,1.0,100,1.0,,1.0,28.5696,-63.4403
0.01,-62.6288231699,92.61,1.0,-62.6288,500.0,80.1568254924,3.50449e-18,-62.6288231699,2,0.01,1.0,500,0.01,100.0,-62.6288231699,80.1568254924,1.0,100,1.0,,1.0,8.90816,-62.6288
0.005,-68.851515552,99.25,1.0,-65.7402,500.0,2553.89414835,2.1793e-19,-68.851515552,2,0.005,1.0,500,0.005,200.000000102,-68.851515552,2553.89414835,1.0,100,1.0,,1.0,36.2427,-65.7402
0.00333333,-65.7976824464,96.06,1.0,-65.7594,500.0,1330.70082736,5.43914e-20,-65.7976824464,2,0.00333333,1.0,500,0.00333333,299.999969474,-65.7976824464,1330.70082736,1.0,100,1.0,,1.0,36.2605,-65.7594
0.0025,-69.061352994,99.48,1.0,-66.5848,500.0,2558.58016571,5.4346e-20,-69.061352994,2,0.0025,1.0,500,0.0025,400.0,-69.061352994,2558.58016571,1.0,100,1.0,,1.0,40.2667,-66.5848
0.002,-69.0503325208,99.91,1.0,-67.0779,500.0,2573.93138852,5.43187e-20,-69.0503325208,1,0.002,1.0,500,0.002,500.000006643,-69.0503325208,2573.93138852,1.0,100,1.0,,1.0,42.5175,-67.0779
0.01,-64.9167012697,94.41,1.0,-64.9167,500.0,1327.48699259,3.50449e-18,-64.9167012697,2,0.01,1.0,500,0.01,100.0,-64.9167012697,1327.48699259,1.0,100,1.0,,1.0,36.2521,-64.9167
0.005,-66.2006780852,96.46,1.0,-65.5587,500.0,1311.44980788,2.1793e-19,-66.2006780852,2,0.005,1.0,500,0.005,200.000000102,-66.2006780852,1311.44980788,1.0,100,1.0,,1.0,36.1481,-65.5587
0.00333333,-63.8653935874,94.86,1.0,-64.9943,500.0,77.9745148379,5.43914e-20,-63.8653935874,2,0.00333333,1.0,500,0.00333333,299.999969474,-63.8653935874,77.9745148379,1.0,100,1.0,,1.0,29.9582,-64.9943
0.0025,-61.6954860221,91.17,1.0,-64.1696,500.0,62.2530204462,5.4346e-20,-61.6954860221,2,0.0025,1.0,500,0.0025,400.0,-61.6954860221,62.2530204462,1.0,100,1.0,,1.0,26.2787,-64.1696
0.002,-61.7454617958,91.62,1.0,-63.6847,500.0,64.9452056228,5.43187e-20,-61.7454617958,1,0.002,1.0,500,0.002,500.000006643,-61.7454617958,64.9452056228,1.0,100,1.0,,1.0,23.7961,-63.6847
0.01,-62.7988546976,93.11,1.0,-62.7989,500.0,62.5776207732,3.50449e-18,-62.7988546976,2,0.01,1.0,500,0.01,100.0,-62.7988546976,62.5776207732,1.0,100,1.0,,1.0,7.87095,-62.7989
0.005,-68.5210709344,98.77,1.0,-65.66,500.0,2568.68300803,2.1793e-19,-68.5210709344,2,0.005,1.0,500,0.005,200.000000102,-68.5210709344,2568.68300803,1.0,100,1.0,,1.0,36.203,-65.66
0.00333333,-60.4494704269,89.24,1.0,-63.9231,500.0,65.4116971035,5.43914e-20,-60.4494704269,2,0.00333333,1.0,500,0.00333333,299.999969474,-60.4494704269,65.4116971035,1.0,100,1.0,,1.0,30.0232,-63.9231
0.0025,-61.8262620325,91.37,1.0,-63.3989,500.0,71.4213208215,5.4346e-20,-61.8262620325,2,0.0025,1.0,500,0.0025,400.0,-61.8262620325,71.4213208215,1.0,100,1.0,,1.0,26.3542,-63.3989
0.002,-68.5996755745,99.52,1.0,-64.4391,500.0,2556.54745315,5.43187e-20,-68.5996755745,1,0.002,1.0,500,0.002,500.000006643,-68.5996755745,2556.54745315,1.0,100,1.0,,1.0,32.6521,-64.4391
0.01,-61.1459894083,90.17,1.0,-61.146,500.0,50.8639670609,3.50449e-18,-61.1459894083,2,0.01,1.0,500,0.01,100.0,-61.1459894083,50.8639670609,1.0,100,1.0,,1.0,7.09615,-61.146
0.005,-61.3748299094,90.18,1.0,-61.2604,500.0,65.1253080223,2.1793e-19,-61.3748299094,2,0.005,1.0,500,0.005,200.000000102,-61.3748299094,65.1253080223,1.0,100,1.0,,1.0,7.57811,-61.2604
0.00333333,-61.7719485854,91.31,1.0,-61.4309,500.0,56.9139570251,5.43914e-20,-61.7719485854,2,0.00333333,1.0,500,0.00333333,299.999969474,-61.7719485854,56.9139570251,1.0,100,1.0,,1.0,7.5581,-61.4309
0.0025,-65.5254190806,95.72,1.0,-62.4545,500.0,1321.06759243,5.4346e-20,-65.5254190806,2,0.0025,1.0,500,0.0025,400.0,-65.5254190806,1321.06759243,1.0,100,1.0,,1.0,19.3119,-62.4545
0.002,-62.3124109209,92.6,1.0,-62.4261,500.0,65.7176823582,5.43187e-20,-62.3124109209,1,0.002,1.0,500,0.002,500.000006643,-62.3124109209,65.7176823582,1.0,100,1.0,,1.0,17.6459,-62.4261
0.01,-60.9485312121,89.76,1.0,-60.9485,500.0,63.8608854313,3.50449e-18,-60.9485312121,2,0.01,1.0,500,0.01,100.0,-60.9485312121,63.8608854313,1.0,100,1.0,,1.0,7.95124,-60.9485
0.005,-73.1222391543,105.0,1.0,-67.0354,500.0,3744.36431582,2.1793e-19,-73.1222391543,2,0.005,1.0,500,0.005,200.000000102,-73.1222391543,3744.36431582,1.0,100,1.0,,1.0,43.842,-67.0354
0.00333333,-65.2353202718,95.34,1.0,-66.4354,500.0,1335.46187896,5.43914e-20,-65.2353202718,2,0.00333333,1.0,500,0.00333333,299.999969474,-65.2353202718,1335.46187896,1.0,100,1.0,,1.0,41.5071,-66.4354
0.0025,-64.4758604775,93.66,1.0,-65.9455,500.0,1316.59503422,5.4346e-20,-64.4758604775,2,0.0025,1.0,500,0.0025,400.0,-64.4758604775,1316.59503422,1.0,100,1.0,,1.0,40.2331,-65.9455
0.002,-65.5581776328,95.65,1.0,-65.868,500.0,1312.71128952,5.43187e-20,-65.5581776328,1,0.002,1.0,500,0.002,500.000006643,-65.5581776328,1312.71128952,1.0,100,1.0,,1.0,39.4323,-65.868
0.01,-68.5806483376,99.0,1.0,-68.5807,500.0,2560.70968026,3.50449e-18,-68.5806483376,2,0.01,1.0,500,0.01,100.0,-68.5806483376,2560.70968026,1.0,100,1.0,,1.0,50.3498,-68.5807
0.005,-63.0926315224,91.78,1.0,-65.8366,500.0,1348.11860021,2.1793e-19,-63.0926315224,2,0.005,1.0,500,0.005,200.000000102,-63.0926315224,1348.11860021,1.0,100,1.0,,1.0,44.0727,-65.8366
0.00333333,-66.6026823588,97.55,1.0,-66.092,500.0,1308.58672478,5.43914e-20,-66.6026823588,2,0.00333333,1.0,500,0.00333333,299.999969474,-66.6026823588,1308.58672478,1.0,100,1.0,,1.0,41.556,-66.092
0.0025,-64.5105628732,93.9,1.0,-65.6966,500.0,1327.85575242,5.4346e-20,-64.5105628732,2,0.0025,1.0,500,0.0025,400.0,-64.5105628732,1327.85575242,1.0,100,1.0,,1.0,40.3024,-65.6966
0.002,-64.9421526024,94.6,1.0,-65.5457,500.0,1313.15689767,5.43187e-20,-64.9421526024,1,0.002,1.0,500,0.002,500.000006643,-64.9421526024,1313.15689767,1.0,100,1.0,,1.0,39.4908,-65.5457
0.01,-66.3712457691,96.98,1.0,-66.3712,500.0,1328.07235026,3.50449e-18,-66.3712457691,2,0.01,1.0,500,0.01,100.0,-66.3712457691,1328.07235026,1.0,100,1.0,,1.0,36.2601,-66.3712
0.005,-64.4052891997,93.64,1.0,-65.3883,500.0,1322.58788726,2.1793e-19,-64.4052891997,2,0.005,1.0,500,0.005,200.000000102,-64.4052891997,1322.58788726,1.0,100,1.0,,1.0,36.2359,-65.3883
0.00333333,-70.5548093736,102.36,1.0,-67.1105,500.0,2516.88460652,5.43914e-20,-70.5548093736,2,0.00333333,1.0,500,0.00333333,299.999969474,-70.5548093736,2516.88460652,1.0,100,1.0,,1.0,41.3747,-67.1105
0.0025,-64.1360413294,93.71,1.0,-66.3668,500.0,1330.92441924,5.4346e-20,-64.1360413294,2,0.0025,1.0,500,0.0025,400.0,-64.1360413294,1330.92441924,1.0,100,1.0,,1.0,40.1866,-66.3668
0.002,-60.9487035403,89.91,1.0,-65.2832,500.0,46.9109352775,5.43187e-20,-60.9487035403,1,0.002,1.0,500,0.002,500.000006643,-60.9487035403,46.9109352775,1.0,100,1.0,,1.0,36.138,-65.2832
0.01,-64.9197788629,94.85,1.0,-64.9198,500.0,1320.60601007,3.50449e-18,-64.9197788629,2,0.01,1.0,500,0.01,100.0,-64.9197788629,1320.60601007,1.0,100,1.0,,1.0,36.158,-64.9198
0.005,-62.0576242074,92.03,1.0,-63.4887,500.0,54.9344420517,2.1793e-19,-62.0576242074,2,0.005,1.0,500,0.005,200.000000102,-62.0576242074,54.9344420517,1.0,100,1.0,,1.0,26.1331,-63.4887
0.00333333,-65.2760613003,95.65,1.0,-64.0845,500.0,1318.41089941,5.43914e-20,-65.2760613003,2,0.00333333,1.0,500,0.00333333,299.999969474,-65.2760613003,1318.41089941,1.0,100,1.0,,1.0,29.851,-64.0845
0.0025,-61.6666650666,90.99,1.0,-63.48,500.0,58.6994677072,5.4346e-20,-61.6666650666,2,0.0025,1.0,500,0.0025,400.0,-61.6666650666,58.6994677072,1.0,100,1.0,,1.0,26.1521,-63.48
0.002,-65.45431912,95.72,1.0,-63.8749,500.0,1317.03243877,5.43187e-20,-65.45431912,1,0.002,1.0,500,0.002,500.000006643,-65.45431912,1317.03243877,1.0,100,1.0,,1.0,28.4349,-63.8749
0.01,-62.2140163381,92.04,1.0,-62.214,500.0,56.3557531926,3.50449e-18,-62.2140163381,2,0.01,1.0,500,0.01,100.0,-62.2140163381,56.3557531926,1.0,100,1.0,,1.0,7.46942,-62.214
0.005,-66.6205527309,97.59,1.0,-64.4173,500.0,1315.95769794,2.1793e-19,-66.6205527309,2,0.005,1.0,500,0.005,200.000000102,-66.6205527309,1315.95769794,1.0,100,1.0,,1.0,26.1563,-64.4173
0.00333333,-64.2950638123,93.88,1.0,-64.3765,500.0,1334.41137686,5.43914e-20,-64.2950638123,2,0.00333333,1.0,500,0.00333333,299.999969474,-64.2950638123,1334.41137686,1.0,100,1.0,,1.0,29.9409,-64.3765
0.0025,-62.4540129352,92.69,1.0,-63.8959,500.0,58.9718224835,5.4346e-20,-62.4540129352,2,0.0025,1.0,500,0.0025,400.0,-62.4540129352,58.9718224835,1.0,100,1.0,,1.0,26.2227,-63.8959
0.002,-60.3624840836,88.84,1.0,-63.1892,500.0,52.2418570347,5.43187e-20,-60.3624840836,1,0.002,1.0,500,0.002,500.000006643,-60.3624840836,52.2418570347,1.0,100,1.0,,1.0,23.716,-63.1892
0.01,-66.9158034241,95.86,1.0,-66.9158,500.0,2572.84534551,3.50449e-18,-66.9158034241,2,0.01,1.0,500,0.01,100.0,-66.9158034241,2572.84534551,1.0,100,1.0,,1.0,50.469,-66.9158
0.005,-62.1934880297,91.84,1.0,-64.5546,500.0,61.4840037878,2.1793e-19,-62.1934880297,2,0.005,1.0,500,0.005,200.000000102,-62.1934880297,61.4840037878,1.0,100,1.0,,1.0,36.188,-64.5546
0.00333333,-64.3944688727,93.88,1.0,-64.5013,500.0,1320.06820365,5.43914e-20,-64.3944688727,2,0.00333333,1.0,500,0.00333333,299.999969474,-64.3944688727,1320.06820365,1.0,100,1.0,,1.0,36.1756,-64.5013
0.0025,-65.0312493093,94.8,1.0,-64.6337,500.0,1322.20914054,5.4346e-20,-65.0312493093,2,0.0025,1.0,500,0.0025,400.0,-65.0312493093,1322.20914054,1.0,100,1.0,,1.0,36.1774,-64.6337
0.002,-63.3149859995,91.99,1.0,-64.37,500.0,1325.64235451,5.43187e-20,-63.3149859995,1,0.002,1.0,500,0.002,500.000006643,-63.3149859995,1325.64235451,1.0,100,1.0,,1.0,36.1912,-64.37
0.01,-61.6791740504,90.98,1.0,-61.6792,500.0,71.999185119,3.50449e-18,-61.6791740504,2,0.01,1.0,500,0.01,100.0,-61.6791740504,71.999185119,1.0,100,1.0,,1.0,8.4427,-61.6792
0.005,-69.8784169312,101.22,1.0,-65.7788,500.0,2548.9925893,2.1793e-19,-69.8784169312,2,0.005,1.0,500,0.005,200.000000102,-69.8784169312,2548.9925893,1.0,100,1.0,,1.0,36.2519,-65.7788
0.00333333,-65.1938692366,94.81,1.0,-65.5838,500.0,1333.23524526,5.43914e-20,-65.1938692366,2,0.00333333,1.0,500,0.00333333,299.999969474,-65.1938692366,1333.23524526,1.0,100,1.0,,1.0,36.2791,-65.5838
0.0025,-64.857971808,94.99,1.0,-65.4024,500.0,1332.65220193,5.4346e-20,-64.857971808,2,0.0025,1.0,500,0.0025,400.0,-64.857971808,1332.65220193,1.0,100,1.0,,1.0,36.2913,-65.4024
0.002,-73.1769887686,104.74,1.0,-66.9573,500.0,3758.22713438,5.43187e-20,-73.1769887686,1,0.002,1.0,500,0.002,500.000006643,-73.1769887686,3758.22713438,1.0,100,1.0,,1.0,42.5141,-66.9573
0.01,-66.6086728185,97.39,1.0,-66.6087,500.0,1317.52549345,3.50449e-18,-66.6086728185,2,0.01,1.0,500,0.01,100.0,-66.6086728185,1317.52549345,1.0,100,1.0,,1.0,36.1158,-66.6087
0.005,-65.6134146219,95.72,1.0,-66.111,500.0,1307.54978264,2.1793e-19,-65.6134146219,2,0.005,1.0,500,0.005,200.000000102,-65.6134146219,1307.54978264,1.0,100,1.0,,1.0,36.0508,-66.111
0.00333333,-68.0933186105,98.58,1.0,-66.7718,500.0,2587.47086363,5.43914e-20,-68.0933186105,2,0.00333333,1.0,500,0.00333333,299.999969474,-68.0933186105,2587.47086363,1.0,100,1.0,,1.0,41.4871,-66.7718
0.0025,-59.6730571067,88.23,1.0,-64.9971,500.0,64.7932096149,5.4346e-20,-59.6730571067,2,0.0025,1.0,500,0.0025,400.0,-59.6730571067,64.7932096149,1.0,100,1.0,,1.0,36.2818,-64.9971
0.002,-65.8213773009,96.35,1.0,-65.162,500.0,1314.25014275,5.43187e-20,-65.8213773009,1,0.002,1.0,500,0.002,500.000006643,-65.8213773009,1314.25014275,1.0,100,1.0,,1.0,36.2412,-65.162
0.01,-66.7016672534,97.45,1.0,-66.7017,500.0,1319.45949092,3.50449e-18,-66.7016672534,2,0.01,1.0,500,0.01,100.0,-66.7016672534,1319.45949092,1.0,100,1.0,,1.0,36.1423,-66.7017
0.005,-65.9364234947,96.4,1.0,-66.319,500.0,1312.42620425,2.1793e-19,-65.9364234947,2,0.005,1.0,500,0.005,200.000000102,-65.9364234947,1312.42620425,1.0,100,1.0,,1.0,36.0961,-66.319
0.00333333,-66.0273379274,96.17,1.0,-66.2218,500.0,1313.70700827,5.43914e-20,-66.0273379274,2,0.00333333,1.0,500,0.00333333,299.999969474,-66.0273379274,1313.70700827,1.0,100,1.0,,1.0,36.0855,-66.2218
0.0025,-64.2333925986,93.69,1.0,-65.7247,500.0,1322.96286699,5.4346e-20,-64.2333925986,2,0.0025,1.0,500,0.0025,400.0,-64.2333925986,1322.96286699,1.0,100,1.0,,1.0,36.122,-65.7247
0.002,-65.5902113901,95.91,1.0,-65.6978,500.0,1317.98570966,5.43187e-20,-65.5902113901,1,0.002,1.0,500,0.002,500.000006643,-65.5902113901,1317.98570966,1.0,100,1.0,,1.0,36.122,-65.6978
0.01,-64.6485579926,94.21,1.0,-64.6486,500.0,1327.71448869,3.50449e-18,-64.6485579926,2,0.01,1.0,500,0.01,100.0,-64.6485579926,1327.71448869,1.0,100,1.0,,1.0,36.2552,-64.6486
0.005,-61.1288190719,90.01,1.0,-62.8887,500.0,69.4728905848,2.1793e-19,-61.1288190719,2,0.005,1.0,500,0.005,200.000000102,-61.1288190719,69.4728905848,1.0,100,1.0,,1.0,26.3573,-62.8887
0.00333333,-65.2458951093,95.54,1.0,-63.6744,500.0,1341.87985553,5.43914e-20,-65.2458951093,2,0.00333333,1.0,500,0.00333333,299.999969474,-65.2458951093,1341.87985553,1.0,100,1.0,,1.0,30.1196,-63.6744
0.0025,-61.9622435796,91.83,1.0,-63.2464,500.0,61.8292011419,5.4346e-20,-61.9622435796,2,0.0025,1.0,500,0.0025,400.0,-61.9622435796,61.8292011419,1.0,100,1.0,,1.0,26.3865,-63.2464
0.002,-64.5567229788,94.21,1.0,-63.5084,500.0,1326.82222556,5.43187e-20,-64.5567229788,1,0.002,1.0,500,0.002,500.000006643,-64.5567229788,1326.82222556,1.0,100,1.0,,1.0,28.6353,-63.5084
0.01,-60.4639292169,89.52,1.0,-60.4639,500.0,55.3748737869,3.50449e-18,-60.4639292169,2,0.01,1.0,500,0.01,100.0,-60.4639292169,55.3748737869,1.0,100,1.0,,1.0,7.40413,-60.4639
0.005,-69.3401030561,100.51,1.0,-64.902,500.0,2554.47669884,2.1793e-19,-69.3401030561,2,0.005,1.0,500,0.005,200.000000102,-69.3401030561,2554.47669884,1.0,100,1.0,,1.0,36.2156,-64.902
0.00333333,-60.9614192259,90.09,1.0,-63.5885,500.0,76.0769826891,5.43914e-20,-60.9614192259,2,0.00333333,1.0,500,0.00333333,299.999969474,-60.9614192259,76.0769826891,1.0,100,1.0,,1.0,30.0489,-63.5885
0.0025,-66.4765797234,97.24,1.0,-64.3105,500.0,1315.58390868,5.4346e-20,-66.4765797234,2,0.0025,1.0,500,0.0025,400.0,-66.4765797234,1315.58390868,1.0,100,1.0,,1.0,31.6919,-64.3105
0.002,-64.2987447514,94.11,1.0,-64.3082,500.0,1332.41992812,5.43187e-20,-64.2987447514,1,0.002,1.0,500,0.002,500.000006643,-64.2987447514,1332.41992812,1.0,100,1.0,,1.0,32.6698,-64.3082
0.01,-66.2325870168,96.94,1.0,-66.2326,500.0,1318.95982077,3.50449e-18,-66.2325870168,2,0.01,1.0,500,0.01,100.0,-66.2325870168,1318.95982077,1.0,100,1.0,,1.0,36.1354,-66.2326
0.005,-64.867917275,95.02,1.0,-65.5502,500.0,1313.84382924,2.1793e-19,-64.867917275,2,0.005,1.0,500,0.005,200.000000102,-64.867917275,1313.84382924,1.0,100,1.0,,1.0,36.1068,-65.5502
0.00333333,-63.8295514895,92.9,1.0,-64.9767,500.0,1322.75209784,5.43914e-20,-63.8295514895,2,0.00333333,1.0,500,0.00333333,299.999969474,-63.8295514895,1322.75209784,1.0,100,1.0,,1.0,36.1428,-64.9767
0.0025,-61.1527471833,90.12,1.0,-64.0207,500.0,48.6678876293,5.4346e-20,-61.1527471833,2,0.0025,1.0,500,0.0025,400.0,-61.1527471833,48.6678876293,1.0,100,1.0,,1.0,31.5359,-64.0207
0.002,-64.7955825977,94.91,1.0,-64.1757,500.0,1323.76372951,5.43187e-20,-64.7955825977,1,0.002,1.0,500,0.002,500.000006643,-64.7955825977,1323.76372951,1.0,100,1.0,,1.0,32.524,-64.1757
0.01,-61.6124645326,90.87,1.0,-61.6125,500.0,63.5053635488,3.50449e-18,-61.6124645326,2,0.01,1.0,500,0.01,100.0,-61.6124645326,63.5053635488,1.0,100,1.0,,1.0,7.92908,-61.6125
0.005,-61.3550014393,90.5,1.0,-61.4837,500.0,70.9302960251,2.1793e-19,-61.3550014393,2,0.005,1.0,500,0.005,200.000000102,-61.3550014393,70.9302960251,1.0,100,1.0,,1.0,8.15857,-61.4837
0.00333333,-63.3761900057,94.19,1.0,-62.1146,500.0,63.423831994,5.43914e-20,-63.3761900057,2,0.00333333,1.0,500,0.00333333,299.999969474,-63.3761900057,63.423831994,1.0,100,1.0,,1.0,8.13022,-62.1146
0.0025,-72.2678510275,103.12,1.0,-64.6529,500.0,3768.38168049,5.4346e-20,-72.2678510275,2,0.0025,1.0,500,0.0025,400.0,-72.2678510275,3768.38168049,1.0,100,1.0,,1.0,31.6477,-64.6529
0.002,-72.4808585754,103.94,1.0,-66.2185,500.0,3755.97834279,5.43187e-20,-72.4808585754,1,0.002,1.0,500,0.002,500.000006643,-72.4808585754,3755.97834279,1.0,100,1.0,,1.0,39.4303,-66.2185
0.01,-62.4486143461,92.41,1.0,-62.4486,500.0,55.907863031,3.50449e-18,-62.4486143461,2,0.01,1.0,500,0.01,100.0,-62.4486143461,55.907863031,1.0,100,1.0,,1.0,7.43968,-62.4486
