AvgVanillaIw,AvgDiscRet,VarJ,VarDiscRet,Bound,ESSClassic,AvgEpLen,ESSRenyi,MinNormIw,IterType,BatchSize,eRenyi2,AvgNormIw,J,VanillaAvgRet,MinVanillaIw,Delta,MaxVanillaIw,EpsThisIter,AvgRet,VarVanillaIw,MaxNormIw,VarRet,VarNormIw
1.0,-62.6995803934,30.0033,1336.18629337,-61.5817,299.999969474,90.32,500.0,0.00333333,2,500,1.0,0.00333333,-61.5817,-62.6995803934,1.0,1.0,1.0,100,-62.6995803934,,0.00333333,1336.18629337,5.43914e-20
1.0,-58.637855989,26.3315,66.9724939775,-60.8458,400.0,85.53,500.0,0.0025,2,500,1.0,0.0025,-60.8458,-58.637855989,1.0,1.0,1.0,100,-58.637855989,,0.0025,66.9724939775,5.4346e-20
1.06388,-62.3398155105,20.6157,1343.45785959,-59.9257,122.372664149,89.98,,0.000967654,1,500,inf,0.002,-59.9257,-62.3398155105,0.514736,1.0,27.1255,100,-62.3398155105,3.49976,0.0509934,1343.45785959,1.23683e-05
1.0,-57.6239153376,7.20065,52.3731076958,-57.6239,100.0,83.78,500.0,0.01,2,500,1.0,0.01,-57.6239,-57.6239153376,1.0,1.0,1.0,100,-57.6239153376,,0.01,52.3731076958,3.50449e-18
1.0,-58.0013197199,6.89712,43.6564977023,-57.8126,200.000000102,84.49,500.0,0.005,2,500,1.0,0.005,-57.8126,-58.0013197199,1.0,1.0,1.0,100,-58.0013197199,,0.005,43.6564977023,2.1793e-19
1.0,-58.2629854324,7.20353,61.0066350141,-57.9627,299.999969474,84.64,500.0,0.00333333,2,500,1.0,0.00333333,-57.9627,-58.2629854324,1.0,1.0,1.0,100,-58.2629854324,,0.00333333,61.0066350141,5.43914e-20
1.0,-57.7903015769,7.09082,45.8833636011,-57.9196,400.0,84.12,500.0,0.0025,2,500,1.0,0.0025,-57.9196,-57.7903015769,1.0,1.0,1.0,100,-57.7903015769,,0.0025,45.8833636011,5.4346e-20
1.00008,-62.5088101046,14.5389,1326.44060579,-58.5195,367.798586871,89.89,1.19996214963,0.0014141,1,500,416.68,0.002,-58.5195,-62.5088101046,0.707107,1.0,5.15543,100,-62.5088101046,0.360216,0.0103101,1326.44060579,1.44064e-06
1.0,-64.6050079858,50.8489,2611.72425884,-64.605,100.0,91.7,500.0,0.01,2,500,1.0,0.01,-64.605,-64.6050079858,1.0,1.0,1.0,100,-64.6050079858,,0.01,2611.72425884,3.50449e-18
1.0,-64.7400517811,50.8555,2613.08854636,-64.6725,200.000000102,92.18,500.0,0.005,2,500,1.0,0.005,-64.6725,-64.7400517811,1.0,1.0,1.0,100,-64.7400517811,,0.005,2613.08854636,2.1793e-19
1.0,-58.7100563994,41.855,59.8506171535,-62.685,299.999969474,85.47,500.0,0.00333333,2,500,1.0,0.00333333,-62.685,-58.7100563994,1.0,1.0,1.0,100,-58.7100563994,,0.00333333,59.8506171535,5.43914e-20
1.0,-64.0086976433,44.3129,2623.91778558,-63.0159,400.0,90.82,500.0,0.0025,2,500,1.0,0.0025,-63.0159,-64.0086976433,1.0,1.0,1.0,100,-64.0086976433,,0.0025,2623.91778558,5.4346e-20
4.05261e-25,-58.2972475894,41.8267,62.3994975374,-51.9288,5.86014651422,84.87,1.70451659398e-05,,1,500,2.93338e+07,0.002,-51.9288,-58.2972475894,,1.0,4.05261e-23,100,-58.2972475894,,0.2,62.3994975374,0.000396793
1.0,-66.6131194942,50.8733,2614.23319753,-66.6131,100.0,95.15,500.0,0.01,2,500,1.0,0.01,-66.6131,-66.6131194942,1.0,1.0,1.0,100,-66.6131194942,,0.01,2614.23319753,3.50449e-18
1.0,-57.7003519557,36.6309,56.4024668489,-62.1567,200.000000102,83.85,500.0,0.005,2,500,1.0,0.005,-62.1567,-57.7003519557,1.0,1.0,1.0,100,-57.7003519557,,0.005,56.4024668489,2.1793e-19
1.0,-57.0847884457,30.3481,62.843868116,-60.4661,299.999969474,83.0,500.0,0.00333333,2,500,1.0,0.00333333,-60.4661,-57.0847884457,1.0,1.0,1.0,100,-57.0847884457,,0.00333333,62.843868116,5.43914e-20
1.0,-59.0554536363,26.5801,62.1269024256,-60.1134,400.0,86.13,500.0,0.0025,2,500,1.0,0.0025,-60.1134,-59.0554536363,1.0,1.0,1.0,100,-59.0554536363,,0.0025,62.1269024256,5.4346e-20
1.1076,-62.655228702,23.3044,1336.63188128,-59.7352,322.874196226,90.5,4.31816471674,0.00127684,1,500,115.79,0.002,-59.7352,-62.655228702,0.707113,1.0,4.0206,100,-62.655228702,0.674356,0.00726001,1336.63188128,2.19878e-06
1.0,-62.3942963642,36.5514,1349.49972482,-62.3943,100.0,89.97,500.0,0.01,2,500,1.0,0.01,-62.3943,-62.3942963642,1.0,1.0,1.0,100,-62.3942963642,,0.01,1349.49972482,3.50449e-18
1.0,-57.9841967076,26.4083,49.5587327527,-60.1892,200.000000102,84.59,500.0,0.005,2,500,1.0,0.005,-60.1892,-57.9841967076,1.0,1.0,1.0,100,-57.9841967076,,0.005,49.5587327527,2.1793e-19
1.0,-57.562839842,22.0301,57.1597185317,-59.3138,299.999969474,83.58,500.0,0.00333333,2,500,1.0,0.00333333,-59.3138,-57.562839842,1.0,1.0,1.0,100,-57.562839842,,0.00333333,57.1597185317,5.43914e-20
1.0,-62.0831118961,26.4268,1345.22624073,-60.0061,400.0,89.62,500.0,0.0025,2,500,1.0,0.0025,-60.0061,-62.0831118961,1.0,1.0,1.0,100,-62.0831118961,,0.0025,1345.22624073,5.4346e-20
2.50598,-59.7243218029,11.9223,69.4833416976,-57.7832,179.000183539,86.9,100.332618952,,1,500,4.98342,0.002,-57.7832,-59.7243218029,,1.0,6.99994,100,-59.7243218029,11.2843,0.00558659,69.4833416976,7.18756e-06
1.0,-60.6097229378,36.3659,1335.83604057,-60.6097,100.0,86.84,500.0,0.01,2,500,1.0,0.01,-60.6097,-60.6097229378,1.0,1.0,1.0,100,-60.6097229378,,0.01,1335.83604057,3.50449e-18
1.0,-58.3406394923,26.3362,62.7635984823,-59.4752,200.000000102,84.6,500.0,0.005,2,500,1.0,0.005,-59.4752,-58.3406394923,1.0,1.0,1.0,100,-58.3406394923,,0.005,62.7635984823,2.1793e-19
1.0,-57.6802005599,21.8177,39.0906189161,-58.8769,299.999969474,83.76,500.0,0.00333333,2,500,1.0,0.00333333,-58.8769,-57.6802005599,1.0,1.0,1.0,100,-57.6802005599,,0.00333333,39.0906189161,5.43914e-20
1.0,-57.756740137,19.3026,62.0026420726,-58.5968,400.0,84.23,500.0,0.0025,2,500,1.0,0.0025,-58.5968,-57.756740137,1.0,1.0,1.0,100,-57.756740137,,0.0025,62.0026420726,5.4346e-20
1.0,-57.4826165213,17.601,58.1996961848,-58.374,500.000006643,83.66,500.0,0.002,1,500,1.0,0.002,-58.374,-57.4826165213,1.0,1.0,1.0,100,-57.4826165213,,0.002,58.1996961848,5.43187e-20
1.0,-58.0381143063,7.84311,62.1357162802,-58.0381,100.0,84.27,500.0,0.01,2,500,1.0,0.01,-58.0381,-58.0381143063,1.0,1.0,1.0,100,-58.0381143063,,0.01,62.1357162802,3.50449e-18
1.0,-58.7069217373,7.5752,53.5649416785,-58.3725,200.000000102,85.4,500.0,0.005,2,500,1.0,0.005,-58.3725,-58.7069217373,1.0,1.0,1.0,100,-58.7069217373,,0.005,53.5649416785,2.1793e-19
1.0,-57.9774333929,7.71286,64.2355186322,-58.2408,299.999969474,84.38,500.0,0.00333333,2,500,1.0,0.00333333,-58.2408,-57.9774333929,1.0,1.0,1.0,100,-57.9774333929,,0.00333333,64.2355186322,5.43914e-20
1.0,-61.3452154946,19.4285,1337.55121323,-59.0169,400.0,88.47,500.0,0.0025,2,500,1.0,0.0025,-59.0169,-61.3452154946,1.0,1.0,1.0,100,-61.3452154946,,0.0025,1337.55121323,5.4346e-20
1.0,-61.9098770873,23.8628,1344.03394102,-59.5955,500.000006643,89.21,500.0,0.002,1,500,1.0,0.002,-59.5955,-61.9098770873,1.0,1.0,1.0,100,-61.9098770873,,0.002,1344.03394102,5.43187e-20
1.0,-59.0543469945,7.64525,59.0401969934,-59.0543,100.0,86.14,500.0,0.01,2,500,1.0,0.01,-59.0543,-59.0543469945,1.0,1.0,1.0,100,-59.0543469945,,0.01,59.0401969934,3.50449e-18
1.0,-60.7679667529,26.4415,1351.91116109,-59.9112,200.000000102,87.34,500.0,0.005,2,500,1.0,0.005,-59.9112,-60.7679667529,1.0,1.0,1.0,100,-60.7679667529,,0.005,1351.91116109,2.1793e-19
1.0,-61.3652311417,30.1516,1341.05452519,-60.3959,299.999969474,88.23,500.0,0.00333333,2,500,1.0,0.00333333,-60.3959,-61.3652311417,1.0,1.0,1.0,100,-61.3652311417,,0.00333333,1341.05452519,5.43914e-20
1.0,-60.9207500556,31.8554,1344.9580357,-60.5271,400.0,87.61,500.0,0.0025,2,500,1.0,0.0025,-60.5271,-60.9207500556,1.0,1.0,1.0,100,-60.9207500556,,0.0025,1344.9580357,5.4346e-20
1130.98,-60.3335461473,32.8864,1340.31493558,-60.4835,498.999266147,86.43,0.623991973416,,1,500,801.292,0.002,-60.4835,-60.3335461473,,1.0,1133.24,100,-60.3335461473,2568.48,0.00200401,1340.31493558,8.03209e-09
1.0,-68.6086237729,61.6667,3841.19291118,-68.6086,100.0,96.5,500.0,0.01,2,500,1.0,0.01,-68.6086,-68.6086237729,1.0,1.0,1.0,100,-68.6086237729,,0.01,3841.19291118,3.50449e-18
1.0,-65.9170768084,56.4958,2603.18069213,-67.2628,200.000000102,93.92,500.0,0.005,2,500,1.0,0.005,-67.2628,-65.9170768084,1.0,1.0,1.0,100,-65.9170768084,,0.005,2603.18069213,2.1793e-19
1.0,-62.1431939767,50.7807,1348.48446408,-65.5563,299.999969474,89.83,500.0,0.00333333,2,500,1.0,0.00333333,-65.5563,-62.1431939767,1.0,1.0,1.0,100,-62.1431939767,,0.00333333,1348.48446408,5.43914e-20
1.0,-65.2382906288,50.7885,2607.85996805,-65.4768,400.0,92.82,500.0,0.0025,2,500,1.0,0.0025,-65.4768,-65.2382906288,1.0,1.0,1.0,100,-65.2382906288,,0.0025,2607.85996805,5.4346e-20
1.0,-62.2037875065,48.2797,1341.60349818,-64.8222,500.000006643,89.83,500.0,0.002,1,500,1.0,0.002,-64.8222,-62.2037875065,1.0,1.0,1.0,100,-62.2037875065,,0.002,1341.60349818,5.43187e-20
1.0,-61.352318624,36.4486,1341.91942397,-61.3523,100.0,87.95,500.0,0.01,2,500,1.0,0.01,-61.3523,-61.352318624,1.0,1.0,1.0,100,-61.352318624,,0.01,1341.91942397,3.50449e-18
1.0,-61.8040788771,36.449,1341.87002367,-61.5782,200.000000102,88.92,500.0,0.005,2,500,1.0,0.005,-61.5782,-61.8040788771,1.0,1.0,1.0,100,-61.8040788771,,0.005,1341.87002367,2.1793e-19
1.0,-58.2917429981,30.1442,62.3955621487,-60.4827,299.999969474,85.03,500.0,0.00333333,2,500,1.0,0.00333333,-60.4827,-58.2917429981,1.0,1.0,1.0,100,-58.2917429981,,0.00333333,62.3955621487,5.43914e-20
1.0,-62.6275117452,31.8365,1338.16715349,-61.0189,400.0,90.39,500.0,0.0025,2,500,1.0,0.0025,-61.0189,-62.6275117452,1.0,1.0,1.0,100,-62.6275117452,,0.0025,1338.16715349,5.4346e-20
1.0,-61.3964784148,32.8266,1347.00671126,-61.0944,500.000006643,87.75,500.0,0.002,1,500,1.0,0.002,-61.0944,-61.3964784148,1.0,1.0,1.0,100,-61.3964784148,,0.002,1347.00671126,5.43187e-20
1.0,-59.37740538,7.43971,55.9083693941,-59.3774,100.0,86.94,500.0,0.01,2,500,1.0,0.01,-59.3774,-59.37740538,1.0,1.0,1.0,100,-59.37740538,,0.01,55.9083693941,3.50449e-18
1.0,-66.285272855,36.3919,2595.48118083,-62.8313,200.000000102,94.11,500.0,0.005,2,500,1.0,0.005,-62.8313,-66.285272855,1.0,1.0,1.0,100,-66.285272855,,0.005,2595.48118083,2.1793e-19
1.0,-57.1273222935,30.0927,46.7538741254,-60.93,299.999969474,83.08,500.0,0.00333333,2,500,1.0,0.00333333,-60.93,-57.1273222935,1.0,1.0,1.0,100,-57.1273222935,,0.00333333,46.7538741254,5.43914e-20
1.0,-63.3413791654,31.8027,1337.94497283,-61.5328,400.0,91.69,500.0,0.0025,2,500,1.0,0.0025,-61.5328,-63.3413791654,1.0,1.0,1.0,100,-63.3413791654,,0.0025,1337.94497283,5.4346e-20
1.0,-59.4277831639,28.6862,65.9610349005,-61.1118,500.000006643,86.8,500.0,0.002,1,500,1.0,0.002,-61.1118,-59.4277831639,1.0,1.0,1.0,100,-59.4277831639,,0.002,65.9610349005,5.43187e-20
1.0,-57.1133843556,6.73769,45.85508293,-57.1134,100.0,82.77,500.0,0.01,2,500,1.0,0.01,-57.1134,-57.1133843556,1.0,1.0,1.0,100,-57.1133843556,,0.01,45.85508293,3.50449e-18
1.0,-59.2739844851,7.37166,61.5676964465,-58.1937,200.000000102,86.64,500.0,0.005,2,500,1.0,0.005,-58.1937,-59.2739844851,1.0,1.0,1.0,100,-59.2739844851,,0.005,61.5676964465,2.1793e-19
1.0,-58.7492251801,7.72891,71.0302681237,-58.3789,299.999969474,85.51,500.0,0.00333333,2,500,1.0,0.00333333,-58.3789,-58.7492251801,1.0,1.0,1.0,100,-58.7492251801,,0.00333333,71.0302681237,5.43914e-20
1.0,-57.6193593627,7.51219,46.5567707586,-58.189,400.0,83.64,500.0,0.0025,2,500,1.0,0.0025,-58.189,-57.6193593627,1.0,1.0,1.0,100,-57.6193593627,,0.0025,46.5567707586,5.4346e-20
1.0,-58.4150355268,7.46542,53.4238280054,-58.2342,500.000006643,85.18,500.0,0.002,1,500,1.0,0.002,-58.2342,-58.4150355268,1.0,1.0,1.0,100,-58.4150355268,,0.002,53.4238280054,5.43187e-20
1.0,-58.2981765732,8.19798,67.8857910403,-58.2982,100.0,84.82,500.0,0.01,2,500,1.0,0.01,-58.2982,-58.2981765732,1.0,1.0,1.0,100,-58.2981765732,,0.01,67.8857910403,3.50449e-18
1.0,-61.1566538213,26.4883,1345.42376846,-59.7274,200.000000102,87.63,500.0,0.005,2,500,1.0,0.005,-59.7274,-61.1566538213,1.0,1.0,1.0,100,-61.1566538213,,0.005,1345.42376846,2.1793e-19
1.0,-58.4980137302,22.0755,58.2907200683,-59.3176,299.999969474,85.01,500.0,0.00333333,2,500,1.0,0.00333333,-59.3176,-58.4980137302,1.0,1.0,1.0,100,-58.4980137302,,0.00333333,58.2907200683,5.43914e-20
1.0,-58.2003049652,19.4219,46.3950197522,-59.0383,400.0,84.94,500.0,0.0025,2,500,1.0,0.0025,-59.0383,-58.2003049652,1.0,1.0,1.0,100,-58.2003049652,,0.0025,46.3950197522,5.4346e-20
1.0,-66.2067309162,28.7138,2598.44922951,-60.472,500.000006643,93.93,500.0,0.002,1,500,1.0,0.002,-60.472,-66.2067309162,1.0,1.0,1.0,100,-66.2067309162,,0.002,2598.44922951,5.43187e-20
1.0,-59.0308721323,7.59188,58.2188676937,-59.0309,100.0,86.6,500.0,0.01,2,500,1.0,0.01,-59.0309,-59.0308721323,1.0,1.0,1.0,100,-59.0308721323,,0.01,58.2188676937,3.50449e-18
1.0,-58.7051100428,7.64463,59.7888306694,-58.868,200.000000102,85.71,500.0,0.005,2,500,1.0,0.005,-58.868,-58.7051100428,1.0,1.0,1.0,100,-58.7051100428,,0.005,59.7888306694,2.1793e-19
1.0,-59.1494444871,7.48734,51.764815665,-58.9618,299.999969474,86.37,500.0,0.00333333,2,500,1.0,0.00333333,-58.9618,-59.1494444871,1.0,1.0,1.0,100,-59.1494444871,,0.00333333,51.764815665,5.43914e-20
1.0,-58.2686251587,7.35517,48.3366293215,-58.7885,400.0,84.46,500.0,0.0025,2,500,1.0,0.0025,-58.7885,-58.2686251587,1.0,1.0,1.0,100,-58.2686251587,,0.0025,48.3366293215,5.4346e-20
1.0,-59.2935553309,7.45075,61.5857854923,-58.8895,500.000006643,86.35,500.0,0.002,1,500,1.0,0.002,-58.8895,-59.2935553309,1.0,1.0,1.0,100,-59.2935553309,,0.002,61.5857854923,5.43187e-20
1.0,-63.0668995103,36.3282,1333.07212828,-63.0669,100.0,90.84,500.0,0.01,2,500,1.0,0.01,-63.0669,-63.0668995103,1.0,1.0,1.0,100,-63.0668995103,,0.01,1333.07212828,3.50449e-18
1.0,-62.566109343,36.313,1330.70278331,-62.8165,200.000000102,89.99,500.0,0.005,2,500,1.0,0.005,-62.8165,-62.566109343,1.0,1.0,1.0,100,-62.566109343,,0.005,1330.70278331,2.1793e-19
1.0,-65.8148139021,41.6635,2590.19547456,-63.8159,299.999969474,94.06,500.0,0.00333333,2,500,1.0,0.00333333,-63.8159,-65.8148139021,1.0,1.0,1.0,100,-65.8148139021,,0.00333333,2590.19547456,5.43914e-20
1.0,-61.9881458308,40.4434,1346.09146748,-63.359,400.0,89.4,500.0,0.0025,2,500,1.0,0.0025,-63.359,-61.9881458308,1.0,1.0,1.0,100,-61.9881458308,,0.0025,1346.09146748,5.4346e-20
1.0,-58.3075094704,36.3697,51.1869124647,-62.3487,500.000006643,84.7,500.0,0.002,1,500,1.0,0.002,-62.3487,-58.3075094704,1.0,1.0,1.0,100,-58.3075094704,,0.002,51.1869124647,5.43187e-20
1.0,-61.9426439857,36.5032,1345.94063017,-61.9426,100.0,88.94,500.0,0.01,2,500,1.0,0.01,-61.9426,-61.9426439857,1.0,1.0,1.0,100,-61.9426439857,,0.01,1345.94063017,3.50449e-18
1.0,-64.7937111075,44.2792,2610.8598569,-63.3682,200.000000102,92.07,500.0,0.005,2,500,1.0,0.005,-63.3682,-64.7937111075,1.0,1.0,1.0,100,-64.7937111075,,0.005,2610.8598569,2.1793e-19
1.0,-62.6395990895,41.8028,1334.10555016,-63.1253,299.999969474,90.15,500.0,0.00333333,2,500,1.0,0.00333333,-63.1253,-62.6395990895,1.0,1.0,1.0,100,-62.6395990895,,0.00333333,1334.10555016,5.43914e-20
1.0,-57.9218022266,36.4357,47.9953804971,-61.8244,400.0,84.3,500.0,0.0025,2,500,1.0,0.0025,-61.8244,-57.9218022266,1.0,1.0,1.0,100,-57.9218022266,,0.0025,47.9953804971,5.4346e-20
1.0,-61.5952784106,36.4345,1340.48044883,-61.7786,500.000006643,88.55,500.0,0.002,1,500,1.0,0.002,-61.7786,-61.5952784106,1.0,1.0,1.0,100,-61.5952784106,,0.002,1340.48044883,5.43187e-20
1.0,-58.9633666521,6.3461,40.6797413129,-58.9634,100.0,86.2,500.0,0.01,2,500,1.0,0.01,-58.9634,-58.9633666521,1.0,1.0,1.0,100,-58.9633666521,,0.01,40.6797413129,3.50449e-18
1.0,-58.4555279221,6.34186,40.4409062744,-58.7094,200.000000102,84.89,500.0,0.005,2,500,1.0,0.005,-58.7094,-58.4555279221,1.0,1.0,1.0,100,-58.4555279221,,0.005,40.4409062744,2.1793e-19
1.0,-57.9177025694,6.70355,54.5014829213,-58.4455,299.999969474,84.41,500.0,0.00333333,2,500,1.0,0.00333333,-58.4455,-57.9177025694,1.0,1.0,1.0,100,-57.9177025694,,0.00333333,54.5014829213,5.43914e-20
1.0,-58.7668039255,6.70342,45.3063172457,-58.5258,400.0,85.92,500.0,0.0025,2,500,1.0,0.0025,-58.5258,-58.7668039255,1.0,1.0,1.0,100,-58.7668039255,,0.0025,45.3063172457,5.4346e-20
1.0,-58.6046355182,6.92208,60.4319419769,-58.5416,500.000006643,85.5,500.0,0.002,1,500,1.0,0.002,-58.5416,-58.6046355182,1.0,1.0,1.0,100,-58.6046355182,,0.002,60.4319419769,5.43187e-20
1.0,-69.606212984,61.6428,3838.217268,-69.6062,100.0,98.25,500.0,0.01,2,500,1.0,0.01,-69.6062,-69.606212984,1.0,1.0,1.0,100,-69.606212984,,0.01,3838.217268,3.50449e-18
1.0,-62.6753323361,50.7529,1341.26508269,-66.1408,200.000000102,90.12,500.0,0.005,2,500,1.0,0.005,-66.1408,-62.6753323361,1.0,1.0,1.0,100,-62.6753323361,,0.005,1341.26508269,2.1793e-19
1.0,-57.7475393946,41.8487,55.8287270264,-63.343,299.999969474,84.0,500.0,0.00333333,2,500,1.0,0.00333333,-63.343,-57.7475393946,1.0,1.0,1.0,100,-57.7475393946,,0.00333333,55.8287270264,5.43914e-20
1.0,-57.4038100895,36.5435,61.9355730288,-61.8582,400.0,83.57,500.0,0.0025,2,500,1.0,0.0025,-61.8582,-57.4038100895,1.0,1.0,1.0,100,-57.4038100895,,0.0025,61.9355730288,5.4346e-20
1.0,-59.7389793901,32.8746,58.9823015561,-61.4344,500.000006643,87.38,500.0,0.002,1,500,1.0,0.002,-61.4344,-59.7389793901,1.0,1.0,1.0,100,-59.7389793901,,0.002,58.9823015561,5.43187e-20
1.0,-66.2502249689,50.6615,2592.51073648,-66.2502,100.0,94.81,500.0,0.01,2,500,1.0,0.01,-66.2502,-66.2502249689,1.0,1.0,1.0,100,-66.2502249689,,0.01,2592.51073648,3.50449e-18
1.0,-58.6673062968,36.4447,61.7151682101,-62.4588,200.000000102,85.46,500.0,0.005,2,500,1.0,0.005,-62.4588,-58.6673062968,1.0,1.0,1.0,100,-58.6673062968,,0.005,61.7151682101,2.1793e-19
1.0,-64.6451777466,41.8097,2610.64110858,-63.1876,299.999969474,91.8,500.0,0.00333333,2,500,1.0,0.00333333,-63.1876,-64.6451777466,1.0,1.0,1.0,100,-64.6451777466,,0.00333333,2610.64110858,5.43914e-20
1.0,-58.2669701494,36.4608,55.8075080989,-61.9574,400.0,84.88,500.0,0.0025,2,500,1.0,0.0025,-61.9574,-58.2669701494,1.0,1.0,1.0,100,-58.2669701494,,0.0025,55.8075080989,5.4346e-20
1.0,-61.4847885394,36.4589,1341.93502667,-61.8629,500.000006643,88.02,500.0,0.002,1,500,1.0,0.002,-61.8629,-61.4847885394,1.0,1.0,1.0,100,-61.4847885394,,0.002,1341.93502667,5.43187e-20
1.0,-61.5081735316,36.5348,1348.27539379,-61.5082,100.0,88.54,500.0,0.01,2,500,1.0,0.01,-61.5082,-61.5081735316,1.0,1.0,1.0,100,-61.5081735316,,0.01,1348.27539379,3.50449e-18
1.0,-65.8122874412,44.2982,2606.66431756,-63.6602,200.000000102,93.43,500.0,0.005,2,500,1.0,0.005,-63.6602,-65.8122874412,1.0,1.0,1.0,100,-65.8122874412,,0.005,2606.66431756,2.1793e-19
1.0,-57.7274080163,36.5474,59.6129546291,-61.6826,299.999969474,84.11,500.0,0.00333333,2,500,1.0,0.00333333,-61.6826,-57.7274080163,1.0,1.0,1.0,100,-57.7274080163,,0.00333333,59.6129546291,5.43914e-20
1.0,-56.3299354735,31.9436,53.482502079,-60.3445,400.0,81.65,500.0,0.0025,2,500,1.0,0.0025,-60.3445,-56.3299354735,1.0,1.0,1.0,100,-56.3299354735,,0.0025,53.482502079,5.4346e-20
1.0,-62.1436141907,32.914,1345.96261657,-60.7043,500.000006643,89.7,500.0,0.002,1,500,1.0,0.002,-60.7043,-62.1436141907,1.0,1.0,1.0,100,-62.1436141907,,0.002,1345.96261657,5.43187e-20
1.0,-58.4646171622,8.18221,67.6248713496,-58.4646,100.0,85.08,500.0,0.01,2,500,1.0,0.01,-58.4646,-58.4646171622,1.0,1.0,1.0,100,-58.4646171622,,0.01,67.6248713496,3.50449e-18
1.0,-58.8803308406,7.96899,60.5802865508,-58.6725,200.000000102,86.11,500.0,0.005,2,500,1.0,0.005,-58.6725,-58.8803308406,1.0,1.0,1.0,100,-58.8803308406,,0.005,60.5802865508,2.1793e-19
1.0,-62.3993527837,22.1751,1352.46388989,-59.9148,299.999969474,89.97,500.0,0.00333333,2,500,1.0,0.00333333,-59.9148,-62.3993527837,1.0,1.0,1.0,100,-62.3993527837,,0.00333333,1352.46388989,5.43914e-20
1.0,-58.0025584932,19.5083,44.798442633,-59.4367,400.0,84.63,500.0,0.0025,2,500,1.0,0.0025,-59.4367,-58.0025584932,1.0,1.0,1.0,100,-58.0025584932,,0.0025,44.798442633,5.4346e-20
1.0,-61.5643942742,23.8892,1340.96148707,-59.8623,500.000006643,88.35,500.0,0.002,1,500,1.0,0.002,-59.8623,-61.5643942742,1.0,1.0,1.0,100,-61.5643942742,,0.002,1340.96148707,5.43187e-20
1.0,-62.7359861094,36.5914,1352.45630872,-62.736,100.0,90.53,500.0,0.01,2,500,1.0,0.01,-62.736,-62.7359861094,1.0,1.0,1.0,100,-62.7359861094,,0.01,1352.45630872,3.50449e-18
1.0,-58.0632288416,26.582,63.9938335849,-60.3996,200.000000102,84.86,500.0,0.005,2,500,1.0,0.005,-60.3996,-58.0632288416,1.0,1.0,1.0,100,-58.0632288416,,0.005,63.9938335849,2.1793e-19
1.0,-58.2356776556,22.1317,53.6500952386,-59.6783,299.999969474,85.14,500.0,0.00333333,2,500,1.0,0.00333333,-59.6783,-58.2356776556,1.0,1.0,1.0,100,-58.2356776556,,0.00333333,53.6500952386,5.43914e-20
1.0,-58.5760703002,19.6145,69.2564333656,-59.4027,400.0,85.6,500.0,0.0025,2,500,1.0,0.0025,-59.4027,-58.5760703002,1.0,1.0,1.0,100,-58.5760703002,,0.0025,69.2564333656,5.4346e-20
1.0,-62.4591095105,23.9397,1332.48969926,-60.014,500.000006643,89.78,500.0,0.002,1,500,1.0,0.002,-60.014,-62.4591095105,1.0,1.0,1.0,100,-62.4591095105,,0.002,1332.48969926,5.43187e-20
1.0,-58.9361884631,8.12737,66.7212778776,-58.9362,100.0,85.93,500.0,0.01,2,500,1.0,0.01,-58.9362,-58.9361884631,1.0,1.0,1.0,100,-58.9361884631,,0.01,66.7212778776,3.50449e-18
1.0,-57.8267393385,7.71125,52.7850095379,-58.3815,200.000000102,84.39,500.0,0.005,2,500,1.0,0.005,-58.3815,-57.8267393385,1.0,1.0,1.0,100,-57.8267393385,,0.005,52.7850095379,2.1793e-19
1.0,-61.3876885819,21.9462,1333.28790926,-59.3835,299.999969474,88.27,500.0,0.00333333,2,500,1.0,0.00333333,-59.3835,-61.3876885819,1.0,1.0,1.0,100,-61.3876885819,,0.00333333,1333.28790926,5.43914e-20
1.0,-58.9687319058,19.3424,51.9936341631,-59.2798,400.0,85.99,500.0,0.0025,2,500,1.0,0.0025,-59.2798,-58.9687319058,1.0,1.0,1.0,100,-58.9687319058,,0.0025,51.9936341631,5.4346e-20
1.0,-68.9680744497,32.771,3836.45090854,-61.2175,500.000006643,97.01,500.0,0.002,1,500,1.0,0.002,-61.2175,-68.9680744497,1.0,1.0,1.0,100,-68.9680744497,,0.002,3836.45090854,5.43187e-20
1.0,-59.5865480237,7.20594,52.4500755737,-59.5865,100.0,86.59,500.0,0.01,2,500,1.0,0.01,-59.5865,-59.5865480237,1.0,1.0,1.0,100,-59.5865480237,,0.01,52.4500755737,3.50449e-18
1.0,-59.1899986324,7.43013,58.9993308869,-59.3883,200.000000102,86.16,500.0,0.005,2,500,1.0,0.005,-59.3883,-59.1899986324,1.0,1.0,1.0,100,-59.1899986324,,0.005,58.9993308869,2.1793e-19
1.0,-58.1645954753,7.42721,54.6249659291,-58.9804,299.999969474,84.69,500.0,0.00333333,2,500,1.0,0.00333333,-58.9804,-58.1645954753,1.0,1.0,1.0,100,-58.1645954753,,0.00333333,54.6249659291,5.43914e-20
1.0,-57.6392035295,7.5142,59.6093402409,-58.6451,400.0,83.87,500.0,0.0025,2,500,1.0,0.0025,-58.6451,-57.6392035295,1.0,1.0,1.0,100,-57.6392035295,,0.0025,59.6093402409,5.4346e-20
1.0,-58.5095080926,7.41956,49.8808628899,-58.618,500.000006643,85.06,500.0,0.002,1,500,1.0,0.002,-58.618,-58.5095080926,1.0,1.0,1.0,100,-58.5095080926,,0.002,49.8808628899,5.43187e-20
