EpsThisIter,AvgNormIw,J,BatchSize,VarVanillaIw,Bound,MaxVanillaIw,VarJ,IterType,VarDiscRet,MinVanillaIw,eRenyi2,MaxNormIw,MinNormIw,AvgEpLen,ESSClassic,VanillaAvgRet,AvgRet,VarRet,AvgVanillaIw,AvgDiscRet,VarNormIw,ESSRenyi,Delta
100,0.002,89.2586,500,0.266569,79.5075,3.73743,6.18672,1,53.4452254088,0.0622132,1.20449,0.00721785,0.000120148,500.0,400.623356614,87.9248563222,87.9248563222,53.4452254088,1.03561,87.9248563222,9.94209e-07,415.113715495,0.2
100,0.01,88.6409,500,,69.0323,1.0,6.3727,2,41.0214697909,1.0,1.0,0.01,0.01,500.0,100.0,88.6409517003,88.6409517003,41.0214697909,1.0,88.6409517003,3.50449e-18,500.0,0.2
100,0.005,88.6744,500,,74.6008,1.0,6.13607,2,35.0396016563,1.0,1.0,0.005,0.005,500.0,200.000000102,88.7078093693,88.7078093693,35.0396016563,1.0,88.7078093693,2.1793e-19,500.0,0.2
100,0.00333333,88.6643,500,,77.0957,1.0,6.21472,2,40.9745802589,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,88.6440273738,88.6440273738,40.9745802589,1.0,88.6440273738,5.43914e-20,500.0,0.2
100,0.0025,88.4566,500,,78.4379,1.0,6.43805,2,49.9070718486,1.0,1.0,0.0025,0.0025,500.0,400.0,87.833496171,87.833496171,49.9070718486,1.0,87.833496171,5.4346e-20,500.0,0.2
100,0.002,89.7104,500,0.21455,80.0652,3.02259,5.8892,1,39.657741786,0.126598,1.15854,0.00611785,0.000256239,500.0,410.071333673,87.7641171459,87.7641171459,39.657741786,0.988121,87.7641171459,8.78957e-07,431.578914875,0.2
100,0.01,87.9179,500,,68.5071,1.0,6.78828,2,46.5462657057,1.0,1.0,0.01,0.01,500.0,100.0,87.9178819342,87.9178819342,46.5462657057,1.0,87.9178819342,3.50449e-18,500.0,0.2
100,0.005,88.3667,500,,74.3248,1.0,6.9876,2,51.6862682999,1.0,1.0,0.005,0.005,500.0,200.000000102,88.8155443336,88.8155443336,51.6862682999,1.0,88.8155443336,2.1793e-19,500.0,0.2
100,0.00333333,88.0525,500,,76.5873,1.0,7.21962,2,58.7099962531,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,87.423952751,87.423952751,58.7099962531,1.0,87.423952751,5.43914e-20,500.0,0.2
100,0.0025,88.1544,500,,78.2253,1.0,7.11268,2,46.3307744468,1.0,1.0,0.0025,0.0025,500.0,400.0,88.4603446898,88.4603446898,46.3307744468,1.0,88.4603446898,5.4346e-20,500.0,0.2
100,0.002,89.7831,500,0.183254,80.219,2.33121,5.50835,1,36.7595158178,0.100724,1.14946,0.00473138,0.000204428,500.0,420.756041764,89.1036581803,89.1036581803,36.7595158178,0.985425,89.1036581803,7.5486e-07,434.985931911,0.2
100,0.01,89.9319,500,,70.494,1.0,5.04943,2,25.7543119629,1.0,1.0,0.01,0.01,500.0,100.0,89.9319220738,89.9319220738,25.7543119629,1.0,89.9319220738,3.50449e-18,500.0,0.2
100,0.005,89.8099,500,,75.8671,1.0,5.15568,2,27.9146618921,1.0,1.0,0.005,0.005,500.0,200.000000102,89.6878743893,89.6878743893,27.9146618921,1.0,89.6878743893,2.1793e-19,500.0,0.2
100,0.00333333,89.9525,500,,78.3787,1.0,5.2991,2,31.2701688691,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,90.2375739457,90.2375739457,31.2701688691,1.0,90.2375739457,5.43914e-20,500.0,0.2
100,0.0025,89.8001,500,,79.7769,1.0,5.53159,2,38.2565255842,1.0,1.0,0.0025,0.0025,500.0,400.0,89.342981801,89.342981801,38.2565255842,1.0,89.342981801,5.4346e-20,500.0,0.2
100,0.002,90.6763,500,0.107934,81.1756,2.18197,4.90302,1,29.5709933691,0.0585202,1.09456,0.00432586,0.000116019,500.0,452.142277848,89.924537408,89.924537408,29.5709933691,1.0088,89.924537408,4.24233e-07,456.804599168,0.2
100,0.01,90.1718,500,,70.4348,1.0,5.53523,2,30.9482556412,1.0,1.0,0.01,0.01,500.0,100.0,90.1718543651,90.1718543651,30.9482556412,1.0,90.1718543651,3.50449e-18,500.0,0.2
100,0.005,90.2277,500,,76.0887,1.0,5.29039,2,25.587387658,1.0,1.0,0.005,0.005,500.0,200.000000102,90.2835374578,90.2835374578,25.587387658,1.0,90.2835374578,2.1793e-19,500.0,0.2
100,0.00333333,90.1252,500,,78.5807,1.0,5.27466,2,27.7037335506,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,89.9202035614,89.9202035614,27.7037335506,1.0,89.9202035614,5.43914e-20,500.0,0.2
100,0.0025,89.8514,500,,79.8359,1.0,5.37866,2,31.6707595406,1.0,1.0,0.0025,0.0025,500.0,400.0,89.0299627935,89.0299627935,31.6707595406,1.0,89.0299627935,5.4346e-20,500.0,0.2
100,0.002,90.4874,500,0.0726509,81.2239,1.95344,5.04683,1,47.3579523647,0.374031,1.06933,0.00390534,0.000747767,500.0,466.222834571,89.844089764,89.844089764,47.3579523647,1.00039,89.844089764,2.90374e-07,467.583505376,0.2
100,0.01,90.8465,500,,70.6323,1.0,5.41123,2,29.5771343807,1.0,1.0,0.01,0.01,500.0,100.0,90.84652836,90.84652836,29.5771343807,1.0,90.84652836,3.50449e-18,500.0,0.2
100,0.005,90.5228,500,,76.2292,1.0,5.45309,2,30.2842533006,1.0,1.0,0.005,0.005,500.0,200.000000102,90.1989922701,90.1989922701,30.2842533006,1.0,90.1989922701,2.1793e-19,500.0,0.2
100,0.00333333,90.5417,500,,78.871,1.0,5.13777,2,19.9144915929,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,90.579556479,90.579556479,19.9144915929,1.0,90.579556479,5.43914e-20,500.0,0.2
100,0.0025,90.6704,500,,80.5633,1.0,4.88882,2,16.3771927955,1.0,1.0,0.0025,0.0025,500.0,400.0,91.0566487818,91.0566487818,16.3771927955,1.0,91.0566487818,5.4346e-20,500.0,0.2
100,0.002,91.349,500,0.0747649,82.0362,1.72708,4.16418,1,19.0605272229,0.389095,1.06125,0.00344084,0.000775187,500.0,465.531783706,91.2033251117,91.2033251117,19.0605272229,1.00387,91.2033251117,2.96757e-07,471.144650245,0.2
100,0.01,90.6397,500,,70.9274,1.0,4.59474,2,21.3248963672,1.0,1.0,0.01,0.01,500.0,100.0,90.6397058016,90.6397058016,21.3248963672,1.0,90.6397058016,3.50449e-18,500.0,0.2
100,0.005,91.0235,500,,77.0221,1.0,4.65998,2,22.247112352,1.0,1.0,0.005,0.005,500.0,200.000000102,91.4073250184,91.4073250184,22.247112352,1.0,91.4073250184,2.1793e-19,500.0,0.2
100,0.00333333,91.29,500,,79.6663,1.0,4.60851,2,20.0585255185,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,91.8230013411,91.8230013411,20.0585255185,1.0,91.8230013411,5.43914e-20,500.0,0.2
100,0.0025,90.8972,500,,80.8308,1.0,4.76904,2,25.6655604932,1.0,1.0,0.0025,0.0025,500.0,400.0,89.7189911678,89.7189911678,25.6655604932,1.0,89.7189911678,5.4346e-20,500.0,0.2
100,0.002,91.35,500,0.0628998,82.1048,2.03392,4.43496,1,17.6768992694,0.343437,1.05436,0.00405656,0.000684971,500.0,470.620853368,90.6782341066,90.6782341066,17.6768992694,1.00278,90.6782341066,2.50207e-07,474.219866495,0.2
100,0.01,91.1386,500,,71.3743,1.0,4.19775,2,17.7991335934,1.0,1.0,0.01,0.01,500.0,100.0,91.1385646222,91.1385646222,17.7991335934,1.0,91.1385646222,3.50449e-18,500.0,0.2
100,0.005,91.4307,500,,77.4552,1.0,4.27884,2,19.0152629094,1.0,1.0,0.005,0.005,500.0,200.000000102,91.7228303425,91.7228303425,19.0152629094,1.0,91.7228303425,2.1793e-19,500.0,0.2
100,0.00333333,91.4068,500,,79.914,1.0,4.3413,2,20.1213670406,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,91.3588819664,91.3588819664,20.1213670406,1.0,91.3588819664,5.43914e-20,500.0,0.2
100,0.0025,91.4311,500,,81.478,1.0,4.24205,2,15.5881089206,1.0,1.0,0.0025,0.0025,500.0,400.0,91.5039535658,91.5039535658,15.5881089206,1.0,91.5039535658,5.4346e-20,500.0,0.2
100,0.002,91.8622,500,0.0550692,82.746,1.81973,3.86876,1,18.502899054,0.400013,1.04865,0.0036314,0.000798255,500.0,474.061070002,91.3778419176,91.3778419176,18.502899054,1.00222,91.3778419176,2.19303e-07,476.803280496,0.2
100,0.01,91.6151,500,,71.434,1.0,3.76141,2,14.2911386051,1.0,1.0,0.01,0.01,500.0,100.0,91.6150867512,91.6150867512,14.2911386051,1.0,91.6150867512,3.50449e-18,500.0,0.2
