ESSRenyi,AvgVanillaIw,eRenyi2,MaxVanillaIw,IterType,VarDiscRet,AvgEpLen,VanillaAvgRet,AvgRet,VarRet,VarVanillaIw,MaxNormIw,ESSClassic,VarJ,MinVanillaIw,Bound,AvgNormIw,VarNormIw,BatchSize,EpsThisIter,Delta,J,AvgDiscRet,MinNormIw
500.0,1.0,1.0,1.0,2,81.5708055893,87.89,-60.0349574444,-60.0349574444,81.5708055893,,0.0025,400.0,36.5363,1.0,-63.5515,0.0025,5.4346e-20,500,100,1.0,-63.5515,-60.0349574444,0.0025
500.0,1.0,1.0,1.0,1,1350.32351153,90.73,-62.8377911201,-62.8377911201,1350.32351153,,0.002,500.000006643,36.5427,1.0,-63.4088,0.002,5.43187e-20,500,100,1.0,-63.4088,-62.8377911201,0.002
500.0,1.0,1.0,1.0,2,66.4772213446,86.47,-59.5381323542,-59.5381323542,66.4772213446,,0.01,100.0,8.11249,1.0,-59.5381,0.01,3.50449e-18,500,100,1.0,-59.5381,-59.5381323542,0.01
500.0,1.0,1.0,1.0,2,1340.60909766,90.54,-62.8095760377,-62.8095760377,1340.60909766,,0.005,200.000000102,26.4421,1.0,-61.1739,0.005,2.1793e-19,500,100,1.0,-61.1739,-62.8095760377,0.005
500.0,1.0,1.0,1.0,2,1352.98640742,87.9,-61.2175863957,-61.2175863957,1352.98640742,,0.00333333,299.999969474,30.2094,1.0,-61.1884,0.00333333,5.43914e-20,500,100,1.0,-61.1884,-61.2175863957,0.00333333
500.0,1.0,1.0,1.0,2,2598.78136677,94.38,-66.3302388231,-66.3302388231,2598.78136677,,0.0025,400.0,36.505,1.0,-62.4739,0.0025,5.4346e-20,500,100,1.0,-62.4739,-66.3302388231,0.0025
500.0,1.0,1.0,1.0,1,1381.91956141,92.49,-64.2517255963,-64.2517255963,1381.91956141,,0.002,500.000006643,36.6089,1.0,-62.8295,0.002,5.43187e-20,500,100,1.0,-62.8295,-64.2517255963,0.002
500.0,1.0,1.0,1.0,2,2589.59822963,95.73,-66.8171604009,-66.8171604009,2589.59822963,,0.01,100.0,50.633,1.0,-66.8172,0.01,3.50449e-18,500,100,1.0,-66.8172,-66.8171604009,0.01
500.0,1.0,1.0,1.0,2,72.737969057,88.32,-60.3480920774,-60.3480920774,72.737969057,,0.005,200.000000102,36.4461,1.0,-63.5826,0.005,2.1793e-19,500,100,1.0,-63.5826,-60.3480920774,0.005
500.0,1.0,1.0,1.0,2,95.7126955484,87.58,-60.3094629426,-60.3094629426,95.7126955484,,0.00333333,299.999969474,30.3235,1.0,-62.4916,0.00333333,5.43914e-20,500,100,1.0,-62.4916,-60.3094629426,0.00333333
500.0,1.0,1.0,1.0,2,59.0822074468,87.37,-59.7633384539,-59.7633384539,59.0822074468,,0.0025,400.0,26.5641,1.0,-61.8095,0.0025,5.4346e-20,500,100,1.0,-61.8095,-59.7633384539,0.0025
500.0,1.0,1.0,1.0,1,1348.54135441,89.91,-62.4111245029,-62.4111245029,1348.54135441,,0.002,500.000006643,28.8373,1.0,-61.9298,0.002,5.43187e-20,500,100,1.0,-61.9298,-62.4111245029,0.002
500.0,1.0,1.0,1.0,2,1358.75408321,92.0,-63.7178278698,-63.7178278698,1358.75408321,,0.01,100.0,36.6765,1.0,-63.7178,0.01,3.50449e-18,500,100,1.0,-63.7178,-63.7178278698,0.01
500.0,1.0,1.0,1.0,2,1378.24300912,92.34,-64.320812396,-64.320812396,1378.24300912,,0.005,200.000000102,36.809,1.0,-64.0193,0.005,2.1793e-19,500,100,1.0,-64.0193,-64.320812396,0.005
500.0,1.0,1.0,1.0,2,1350.77726382,89.4,-62.1383788434,-62.1383788434,1350.77726382,,0.00333333,299.999969474,36.7398,1.0,-63.3923,0.00333333,5.43914e-20,500,100,1.0,-63.3923,-62.1383788434,0.00333333
500.0,1.0,1.0,1.0,2,1333.56058238,88.7,-61.7282118471,-61.7282118471,1333.56058238,,0.0025,400.0,36.6461,1.0,-62.9763,0.0025,5.4346e-20,500,100,1.0,-62.9763,-61.7282118471,0.0025
500.0,1.0,1.0,1.0,1,1342.79114566,89.03,-61.9951657857,-61.9951657857,1342.79114566,,0.002,500.000006643,36.6111,1.0,-62.7801,0.002,5.43187e-20,500,100,1.0,-62.7801,-61.9951657857,0.002
500.0,1.0,1.0,1.0,2,2582.99115567,96.64,-67.7392407246,-67.7392407246,2582.99115567,,0.01,100.0,50.5684,1.0,-67.7392,0.01,3.50449e-18,500,100,1.0,-67.7392,-67.7392407246,0.01
500.0,1.0,1.0,1.0,2,51.8458668501,84.93,-58.2962336962,-58.2962336962,51.8458668501,,0.005,200.000000102,36.4217,1.0,-63.0177,0.005,2.1793e-19,500,100,1.0,-63.0177,-58.2962336962,0.005
