ReturnMeanIW,Weights,EpisodesSoFar,J_sample_variance,MinIW,TimestepsSoFar,InitialReturnMin,InitialReturnMean,InitialReturnStd,StdIW,InitialBound,Bound,EmpiricalD2,EpRewMean,TimeElapsed,InitialReturnMax,Iteration,MeanIW,EpLenMean,EpThisIter,MaxIW
40.75496,[-0.516 -1.707 -3.152 -1.554 -1.47 ],7500,1635.282,0.0011485142,184600,-12.695995,1.2779236e-06,6.0064898,2.0813334,38.032776,40.75496,67.867455,-107.8644123756415,697.0271570682526,17.479557,75,0.99279064,17.35,100,21.783165
38.69484,[-0.515 -1.676 -3.118 -1.576 -1.481],7600,110.99984,0.04339893,186361,-10.111078,-8.392334e-07,5.3696804,0.6196053,37.930977,38.69484,2.1732845,-108.00367618570837,704.3132474422455,17.092842,76,1.0083818,17.61,100,4.6675687
40.472977,[-0.522 -1.677 -3.117 -1.592 -1.475],7700,451.30728,0.02124236,188045,-14.290075,1.9073487e-07,6.1588664,1.7609745,38.916294,40.472977,4.9055247,-107.80654556422742,711.3640179634094,17.39601,77,1.3215444,16.84,100,14.301666
53.75361,[-0.525 -1.691 -3.113 -1.606 -1.478],7800,16401.21,0.00010468211,189756,-15.1933975,-7.05719e-07,6.1984296,7.828747,38.543205,53.75361,27864.695,-108.20739030394964,718.1495032310486,19.152502,78,1.2692863,17.11,100,101.492035
40.28418,[-0.505 -1.679 -3.059 -1.623 -1.477],7900,1279.5436,0.00714498,191523,-14.344364,3.4332277e-07,7.216886,0.95934653,36.76216,40.28418,7.262922,-107.71338507619161,725.9258713722229,17.096497,79,0.92729264,17.67,100,8.397039
99.66344,[-0.517 -1.719 -3.091 -1.619 -1.479],8000,364805.78,6.511241e-10,193232,-14.451921,-2.4032593e-06,5.2326045,6.1612325,38.9251,99.66344,3.3563946e+17,-108.4616984878325,731.5955004692078,18.411184,80,1.3427247,17.09,100,594.5345
46.558945,[-0.482 -1.809 -3.12  -1.701 -1.445],8100,6916.7905,3.5078693e-11,194961,-14.774683,6.9618227e-07,5.9616284,1.4947948,38.27466,46.558945,5.8719337e+16,-108.58762627350754,739.4853436946869,17.647655,81,0.4637802,17.29,100,50.911995
42.820396,[-0.457 -1.835 -3.081 -1.763 -1.431],8200,930.29095,0.0002705828,196719,-14.620998,-5.245209e-07,7.101472,0.6795645,36.875668,42.820396,5194.8506,-107.59787619305334,746.0581123828888,19.15926,82,0.40037906,17.58,100,54.17103
48.531242,[-0.415 -1.818 -3.076 -1.787 -1.399],8300,9731.091,6.845257e-10,198451,-14.340929,-3.6239624e-07,6.1743717,1.1525613,37.982693,48.531242,86241730.0,-107.94348874162034,753.5927157402039,17.38155,83,0.16673721,17.32,100,142.98462
43.740425,[-0.345 -1.825 -3.113 -1.809 -1.409],8400,5415.657,3.065714e-07,200242,-14.516901,8.5830686e-07,6.5139384,1.8525623,36.802525,43.740425,16031355.0,-107.88441568590233,760.8926093578339,19.046017,84,0.62799364,17.91,100,154.33115
41.881775,[-0.34  -1.797 -3.091 -1.859 -1.422],8500,921.247,6.5619847e-06,202034,-18.41444,1.8787384e-06,7.1373777,0.8839108,36.19278,41.881775,3421.2478,-107.17532958650445,768.4527013301849,18.358622,85,0.30458647,17.92,100,26.664486
67.08381,[-0.361 -1.824 -3.082 -1.855 -1.437],8600,111676.86,,203913,-11.397526,1.0681152e-06,7.307715,4.6881523,34.722847,67.08381,inf,-107.4312837527649,776.0199835300446,17.923521,86,0.07712562,18.79,100,526.1046
47.385925,[-0.369 -1.931 -3.057 -1.793 -1.493],8700,13882.189,0.00015146796,205704,-12.70063,-9.536743e-08,6.235158,4.4048033,36.86268,47.385925,564.1271,-108.21858979850245,783.4236445426941,19.051754,87,1.4501969,17.91,100,56.36815
41.409195,[-0.341 -1.902 -3.003 -1.802 -1.503],8800,2862.4536,0.0001414145,207524,-14.278627,2.4795531e-06,7.4215,2.2250173,35.651077,41.409195,8837.537,-108.03729685203342,791.0531003475189,18.547718,88,0.85858935,18.2,100,79.40568
