EpisodesSoFar,TimestepsSoFar,InitialBound,EpLenMean,Weights,InitialReturnStd,StdIW,MeanIW,Bound,InitialReturnMax,InitialReturnMean,EpThisIter,EmpiricalD2,InitialReturnMin,ReturnMeanIW,J_sample_variance,MinIW,TimeElapsed,Iteration,MaxIW,EpRewMean
9700,458303,-1611066000000000.0,46.94,[-0.398 -0.66  -0.478 -0.276 -0.008],8.280221,0.04225926,1.0069833,-1611066000000000.0,20.569645,-5.1116945e-06,100,1.0020525,-17.254906,174.63911,87.54649,0.9031153,1053.7358138561249,97,1.1727563,-120.02651934317072
9800,462893,-1678051000000000.0,45.9,[-0.399 -0.66  -0.479 -0.274 -0.01 ],8.483696,0.038753446,1.0064814,-1678051000000000.0,25.905468,-6.2942504e-06,100,1.0015677,-15.0110855,179.0218,105.26499,0.90923387,1063.586586713791,98,1.1065869,-119.59081941400298
9900,467495,-1454925000000000.0,46.02,[-0.399 -0.66  -0.478 -0.275 -0.011],9.243726,0.040040396,1.0060654,-1454925000000000.0,36.313477,-2.2125244e-06,100,1.0017697,-18.135422,177.07191,104.08679,0.9042467,1074.223550081253,99,1.1010103,-118.61437353613611
10000,472308,-1425536000000000.0,48.13,[-0.4   -0.659 -0.48  -0.275 -0.011],9.892537,0.028224714,1.0069315,-1425536000000000.0,36.755493,3.0517577e-07,100,1.0006922,-18.04438,169.95769,151.4524,0.93739027,1084.614341020584,100,1.0865037,-120.79525564051227
10100,476885,-1454925000000000.0,45.77,[-0.4   -0.659 -0.479 -0.275 -0.011],9.134122,0.12272316,1.0069214,-1454925000000000.0,23.460194,5.722046e-06,100,1.0188717,-16.674011,180.41058,398.59418,0.7303195,1095.0258438587189,101,1.413776,-120.29634865542702
10200,481576,-1500130900000000.0,46.91,[-0.4   -0.66  -0.479 -0.269 -0.015],9.063601,0.04421234,1.0056843,-1500130900000000.0,22.80143,-1.1444092e-06,100,1.0018055,-15.777527,175.45139,141.75319,0.8907491,1106.031483411789,102,1.1189328,-120.5809799652904
10300,486217,-1440156600000000.0,46.41,[-0.401 -0.66  -0.478 -0.271 -0.014],9.393386,0.0340566,1.006546,-1440156600000000.0,38.741318,1.2969971e-06,100,1.0015497,-15.162117,177.91185,136.72906,0.8939944,1117.095273733139,103,1.126024,-120.6852143804462
10400,491145,-1500130900000000.0,49.28,[-0.401 -0.66  -0.477 -0.271 -0.015],10.113464,0.044538543,1.0060146,-1500130900000000.0,32.404217,-2.3269654e-06,100,1.0024004,-17.654282,163.76013,175.32893,0.9021994,1128.371108531952,104,1.1700029,-119.8975677100723
10500,495814,-1440156600000000.0,46.69,[-0.402 -0.66  -0.475 -0.272 -0.014],8.0281925,0.083599515,1.0103085,-1440156600000000.0,24.744537,8.163453e-06,100,1.0060036,-15.759209,175.18405,214.04962,0.8615975,1138.59694647789,105,1.3120619,-119.62986226973952
10600,500626,-1210530500000000.0,48.12,[-0.404 -0.661 -0.474 -0.27  -0.013],10.923445,0.044756822,1.0063189,-1210530500000000.0,33.879944,4.196167e-06,100,1.0027846,-15.766403,168.24713,159.86433,0.8676257,1148.9687976837158,106,1.1176311,-119.55679773338312
10700,505313,-976033100000000.0,46.87,[-0.405 -0.662 -0.474 -0.268 -0.013],8.861777,0.056433674,1.0072441,-976033100000000.0,36.20181,3.2424928e-06,100,1.0030003,-18.31826,174.499,159.12169,0.8591808,1159.6830246448517,107,1.2670887,-119.78821526306234
10800,509946,-1484910600000000.0,46.33,[-0.405 -0.662 -0.473 -0.266 -0.013],8.276989,0.042661924,1.0051577,-1484910600000000.0,26.513943,-3.0517579e-06,100,1.0019394,-18.071465,177.3474,112.83018,0.8768225,1170.1218512058258,108,1.1236339,-119.82099478068866
10900,514477,-1354597400000000.0,45.31,[-0.407 -0.664 -0.475 -0.268 -0.013],8.934658,0.10866658,1.0066845,-1354597400000000.0,25.24681,6.1416627e-06,100,1.0155033,-14.210022,183.40515,317.88736,0.74745035,1180.3955800533295,109,1.3742955,-120.7696272652978
11000,519257,-1611066000000000.0,47.8,[-0.405 -0.667 -0.476 -0.264 -0.017],9.557002,0.047697157,1.0060524,-1611066000000000.0,24.585602,-1.1062622e-06,100,1.0024197,-18.63301,170.57666,172.24037,0.8882101,1191.1672039031982,110,1.1487223,-119.94742181001732
11100,523897,-1546720500000000.0,46.4,[-0.406 -0.666 -0.475 -0.265 -0.018],7.646629,0.055335633,1.0073,-1546720500000000.0,17.62362,6.027222e-06,100,1.0030087,-16.125137,178.78532,129.29784,0.86289394,1201.3844244480133,111,1.1850743,-121.14992968185024
11200,528681,-1469842500000000.0,47.84,[-0.406 -0.666 -0.476 -0.267 -0.018],8.525368,0.045175474,1.0063138,-1469842500000000.0,27.259052,2.0599366e-06,100,1.0025263,-17.475998,171.67871,135.80026,0.89266557,1212.6385550498962,112,1.1545341,-120.94079035924078
11300,533598,-1411061800000000.0,49.17,[-0.406 -0.667 -0.475 -0.267 -0.019],8.636477,0.048378218,1.0074103,-1411061800000000.0,20.19004,-1.8692017e-06,100,1.002161,-15.833405,166.23041,144.52739,0.8937494,1223.0567502975464,113,1.1861719,-121.47784602480266
11400,538339,-1594736400000000.0,47.41,[-0.407 -0.668 -0.473 -0.267 -0.018],8.621978,0.037783287,1.0067511,-1594736400000000.0,21.319248,8.010864e-07,100,1.0016791,-17.08181,173.68813,106.9695,0.90347207,1233.772250175476,114,1.1215818,-121.01194737649789
11500,543199,-1469842500000000.0,48.6,[-0.407 -0.668 -0.473 -0.265 -0.018],8.552524,0.043946963,1.009102,-1469842500000000.0,32.256073,-4.272461e-06,100,1.0022157,-16.288452,166.35455,106.93902,0.8657088,1244.6453557014465,115,1.1362202,-119.53326403845233
11600,547935,-1210530500000000.0,47.36,[-0.407 -0.668 -0.474 -0.266 -0.019],6.8451653,0.070949316,1.0102527,-1210530500000000.0,18.85136,-5.340576e-07,100,1.0047224,-15.557503,175.0605,120.39635,0.6601789,1255.1027190685272,116,1.2221193,-121.80004679896169
11700,552674,-1500130900000000.0,47.39,[-0.405 -0.667 -0.475 -0.267 -0.019],9.275851,0.032148693,1.0059767,-1500130900000000.0,27.511387,3.7384034e-06,100,1.0012295,-17.52063,170.77022,114.57664,0.8938784,1265.9286122322083,117,1.0889225,-118.80294611385942
11800,557526,-1469842500000000.0,48.52,[-0.405 -0.667 -0.476 -0.268 -0.019],9.982649,0.03076532,1.006462,-1469842500000000.0,23.578762,4.615784e-06,100,1.0009944,-18.276619,168.16693,139.31876,0.8978884,1276.8151030540466,118,1.0863343,-120.72210072646665
11900,562254,-1382545800000000.0,47.28,[-0.406 -0.667 -0.476 -0.27  -0.02 ],9.117792,0.052680444,1.0059956,-1382545800000000.0,24.89486,9.918213e-07,100,1.0041559,-15.230705,173.17307,164.19658,0.8680646,1287.9372968673706,119,1.1560746,-120.23443137664027
12000,566840,-1611066000000000.0,45.86,[-0.407 -0.668 -0.474 -0.27  -0.019],7.745936,0.03061548,1.0071688,-1611066000000000.0,20.945187,1.2588501e-06,100,1.0010141,-15.071014,180.51328,64.35655,0.9280826,1298.0239980220795,120,1.0858829,-120.5240270219118
12100,571758,-1500130900000000.0,49.18,[-0.407 -0.668 -0.475 -0.271 -0.019],9.464303,0.05654236,1.0067841,-1500130900000000.0,27.622936,-1.6021728e-06,100,1.0028201,-17.606949,166.57242,184.75067,0.9049593,1309.0353844165802,121,1.1934706,-121.73926465932104
12200,576622,-976033100000000.0,48.64,[-0.408 -0.669 -0.474 -0.272 -0.018],10.464291,0.040474117,1.0075562,-976033100000000.0,47.78034,6.8664554e-07,100,1.0017947,-17.870628,167.79695,174.65242,0.8793496,1320.39887881279,122,1.133916,-120.92259352595576
12300,581221,-1562565200000000.0,45.99,[-0.408 -0.669 -0.474 -0.274 -0.018],9.061962,0.033501245,1.0066551,-1562565200000000.0,25.091957,1.8310546e-06,100,1.000904,-17.75177,179.40479,94.56231,0.9105297,1330.993400335312,123,1.1243471,-120.23802905212979
12400,585817,-1469842500000000.0,45.96,[-0.408 -0.668 -0.475 -0.273 -0.018],7.754218,0.05797921,1.0077441,-1469842500000000.0,16.132988,-4.7302246e-06,100,1.0038613,-17.119781,179.99486,130.86005,0.81181985,1341.9279918670654,124,1.1583201,-120.5117336015108
12500,590370,-1594736400000000.0,45.53,[-0.407 -0.668 -0.475 -0.276 -0.019],9.004737,0.043488618,1.0059373,-1594736400000000.0,31.232601,-2.1362305e-06,100,1.0021619,-17.68435,180.9957,138.56158,0.9084699,1351.2920413017273,125,1.1674072,-119.67432578332108
12600,595295,-1454925000000000.0,49.25,[-0.407 -0.668 -0.474 -0.275 -0.02 ],10.021755,0.042910416,1.0084671,-1454925000000000.0,26.630974,1.7929077e-06,100,1.0021969,-19.774467,164.33792,162.9616,0.902697,1362.3714921474457,126,1.1357313,-120.25402468891532
12700,600050,-1562565200000000.0,47.55,[-0.408 -0.669 -0.473 -0.274 -0.019],7.9717126,0.0411685,1.0060047,-1562565200000000.0,24.59819,-2.5939942e-06,100,1.0018593,-18.48751,171.14456,102.959145,0.8946706,1372.7191305160522,127,1.1202288,-119.61742301187853
12800,604974,-1469842500000000.0,49.24,[-0.408 -0.669 -0.471 -0.274 -0.019],9.213155,0.03596417,1.0082148,-1469842500000000.0,27.904343,-6.4849854e-07,100,1.0010911,-19.338028,165.92963,120.149,0.9296513,1383.2400078773499,128,1.1107919,-121.36042298347839
12900,609652,-1515505100000000.0,46.78,[-0.408 -0.67  -0.471 -0.273 -0.019],9.195971,0.0427524,1.007952,-1515505100000000.0,34.86716,-6.2942504e-06,100,1.0019658,-17.443108,173.95584,103.79075,0.8884434,1393.4951071739197,129,1.1319733,-119.00979645840025
13000,614651,-1354597400000000.0,49.99,[-0.407 -0.67  -0.472 -0.272 -0.021],9.255541,0.15829301,1.0120581,-1354597400000000.0,23.49955,-4.196167e-07,100,1.0213431,-16.667488,163.02882,489.11588,0.74754655,1405.2163877487183,130,1.5982997,-121.59748164432865
13100,619239,-1469842500000000.0,45.88,[-0.41  -0.668 -0.471 -0.266 -0.019],8.860036,0.037004754,1.0079044,-1469842500000000.0,24.119953,-1.8692017e-06,100,1.0012317,-15.978096,178.73152,80.11591,0.9068085,1414.7986159324646,131,1.113353,-119.30008880993266
13200,624196,-1425536000000000.0,49.57,[-0.41  -0.668 -0.472 -0.266 -0.019],8.784036,0.07353332,1.0081016,-1425536000000000.0,24.545643,-3.1661987e-06,100,1.005526,-14.713936,162.70259,177.60623,0.8484186,1425.9774150848389,132,1.1905886,-119.94091080529824
13300,628948,-1500130900000000.0,47.52,[-0.409 -0.667 -0.474 -0.268 -0.018],8.909666,0.049196467,1.0059656,-1500130900000000.0,34.8567,4.196167e-07,100,1.0029395,-18.539078,173.29968,149.72534,0.8654163,1436.35103058815,133,1.2173226,-121.14796457831095
13400,633593,-1500130900000000.0,46.45,[-0.409 -0.668 -0.473 -0.267 -0.018],7.5030146,0.067962594,1.0064943,-1500130900000000.0,21.325241,3.5476685e-06,100,1.0060706,-17.309273,176.56451,122.16135,0.77679634,1446.8465356826782,134,1.1986697,-119.7903246137035
13500,638322,-1327205000000000.0,47.29,[-0.409 -0.668 -0.475 -0.269 -0.017],9.339898,0.059282955,1.0057383,-1327205000000000.0,45.256027,5.0735475e-06,100,1.0041485,-16.268456,173.88483,195.25938,0.88380575,1457.7542824745178,135,1.2021185,-120.8211947792684
13600,643055,-1531034400000000.0,47.33,[-0.41  -0.669 -0.473 -0.271 -0.017],7.517438,0.041115914,1.0053335,-1531034400000000.0,22.25137,4.9209593e-06,100,1.0023646,-16.392014,173.12367,111.00613,0.9098984,1469.4320130348206,136,1.1194607,-120.31069905440671
13700,647855,-1327205000000000.0,48.0,[-0.411 -0.67  -0.472 -0.271 -0.017],10.079297,0.04431372,1.0068529,-1327205000000000.0,43.17956,-4.653931e-06,100,1.0021287,-18.285805,169.9602,141.63205,0.90315634,1479.2354290485382,137,1.1409065,-120.37405889712161
13800,652669,-1396732200000000.0,48.14,[-0.411 -0.671 -0.471 -0.27  -0.017],9.183073,0.10529396,1.0091691,-1396732200000000.0,28.84195,-4.9591063e-06,100,1.0094537,-14.315941,168.84612,248.23749,0.70022154,1490.1630675792694,138,1.3254865,-119.88283368131752
13900,657411,-1578569900000000.0,47.42,[-0.411 -0.67  -0.472 -0.273 -0.016],9.1427965,0.09005478,1.0098066,-1578569900000000.0,27.01107,-2.4795531e-06,100,1.0085706,-18.821075,170.24602,187.21344,0.7963879,1500.8478631973267,139,1.2783437,-118.47690164961645
14000,662163,-1531034400000000.0,47.52,[-0.411 -0.667 -0.475 -0.271 -0.014],7.856025,0.04127245,1.0092244,-1531034400000000.0,19.354458,2.0599366e-06,100,1.002159,-14.418274,171.04716,92.74552,0.8837166,1511.186170578003,140,1.1506873,-119.35057625183279
14100,666903,-1396732200000000.0,47.4,[-0.411 -0.667 -0.475 -0.272 -0.014],9.044381,0.06882502,1.0085523,-1396732200000000.0,25.404518,-2.9373168e-06,100,1.003815,-17.258255,172.55551,144.04126,0.83015966,1521.666665315628,141,1.2272525,-120.14961719712424
14200,671484,-1644221900000000.0,45.81,[-0.411 -0.666 -0.477 -0.269 -0.014],8.233437,0.025880048,1.0072479,-1644221900000000.0,23.666866,1.2969971e-06,100,1.0008214,-17.946,178.32457,82.72369,0.9434192,1531.5543794631958,142,1.0727686,-118.76831430667036
14300,676312,-1070507600000000.0,48.28,[-0.411 -0.666 -0.477 -0.27  -0.014],8.767758,0.024282502,1.0072005,-1070507600000000.0,29.877396,-1.6021728e-06,100,1.0005956,-18.332214,167.35446,88.782135,0.9486875,1541.9919238090515,143,1.0786705,-119.41133094356584
14400,681159,-1500130900000000.0,48.47,[-0.412 -0.665 -0.478 -0.27  -0.012],10.380961,0.09172476,1.0085198,-1500130900000000.0,31.56668,2.1362305e-06,100,1.0095803,-19.317085,166.82558,197.3863,0.78897417,1552.962027311325,144,1.237551,-119.59300324473763
14500,685862,-1440156600000000.0,47.03,[-0.411 -0.665 -0.48  -0.266 -0.013],8.821902,0.041731216,1.0072519,-1440156600000000.0,19.89637,5.760193e-06,100,1.002043,-15.742126,173.8471,118.06162,0.9117739,1563.37531208992,145,1.1471227,-119.79048111017275
14600,690621,-1222979300000000.0,47.59,[-0.41  -0.663 -0.481 -0.266 -0.014],9.218468,0.041616037,1.0065181,-1222979300000000.0,21.092285,3.2424928e-06,100,1.0014737,-17.742844,173.10152,150.10509,0.8688194,1574.1742794513702,146,1.1299336,-121.23525156539108
14700,695400,-1454925000000000.0,47.79,[-0.41  -0.663 -0.481 -0.268 -0.012],9.2364025,0.028543875,1.0067955,-1454925000000000.0,30.571835,-2.784729e-06,100,1.0008742,-17.800667,170.38669,122.20046,0.9158586,1584.7919414043427,147,1.0852844,-119.90584836444395
14800,700265,-1396732200000000.0,48.65,[-0.411 -0.664 -0.48  -0.268 -0.013],9.856925,0.0270899,1.0069379,-1396732200000000.0,41.065063,4.653931e-06,100,1.0010307,-17.545906,166.31511,119.97968,0.9432287,1595.831843137741,148,1.105134,-119.7043149282078
14900,704904,-1340832400000000.0,46.39,[-0.411 -0.664 -0.479 -0.268 -0.013],7.6957107,0.060592264,1.0073028,-1340832400000000.0,19.27919,2.2125244e-06,100,1.0039767,-16.659409,177.60236,112.89793,0.84877807,1606.537070274353,149,1.1712332,-120.30960878032809
15000,709618,-1546720500000000.0,47.14,[-0.412 -0.664 -0.481 -0.269 -0.015],8.001819,0.046292793,1.0076813,-1546720500000000.0,21.851414,-2.7465821e-06,100,1.0022124,-17.040611,172.92091,90.94928,0.897426,1618.084436416626,150,1.1413618,-119.4626796490787
15100,714269,-1469842500000000.0,46.51,[-0.41  -0.664 -0.482 -0.268 -0.017],8.310426,0.05983931,1.00816,-1469842500000000.0,19.817444,3.5095215e-06,100,1.0035167,-12.979347,177.36798,131.50125,0.83136415,1628.23707985878,151,1.2179954,-120.59301208382514
15200,718845,-1594736400000000.0,45.76,[-0.41  -0.664 -0.483 -0.27  -0.017],7.8759513,0.045899108,1.0058839,-1594736400000000.0,20.75977,1.2588501e-06,100,1.0020337,-16.10006,180.46432,106.55973,0.84105814,1638.0888366699219,152,1.1507312,-120.07096675868121
15300,723589,-1515505100000000.0,47.44,[-0.41  -0.664 -0.482 -0.272 -0.016],8.957151,0.07888264,1.0035975,-1515505100000000.0,21.179298,2.2888185e-06,100,1.0072685,-17.819664,172.79396,267.99567,0.8178488,1647.8716802597046,153,1.2558607,-120.4361741571586
15400,728178,-1578569900000000.0,45.89,[-0.411 -0.666 -0.48  -0.272 -0.015],7.974814,0.06189819,1.0072796,-1578569900000000.0,18.56549,-2.1362305e-06,100,1.0033438,-18.017632,179.32806,140.74207,0.8321817,1657.937581539154,154,1.1881853,-119.7375746923371
15500,732787,-1594736400000000.0,46.09,[-0.411 -0.666 -0.481 -0.274 -0.015],7.45598,0.05023754,1.006656,-1594736400000000.0,22.481018,-7.6293946e-07,100,1.0023402,-16.116066,176.9767,100.144356,0.8787039,1667.807579755783,155,1.1872969,-118.77085151988972
15600,737501,-1469842500000000.0,47.14,[-0.411 -0.665 -0.482 -0.275 -0.016],9.332401,0.053506475,1.0057595,-1469842500000000.0,33.632256,-3.2806397e-06,100,1.0030911,-18.816223,170.81915,123.07724,0.8726082,1677.488145828247,156,1.1442845,-117.96259759960441
15700,742030,-1546720500000000.0,45.29,[-0.412 -0.664 -0.484 -0.275 -0.017],7.8458743,0.056300376,1.0039109,-1546720500000000.0,22.303196,-2.2888183e-07,100,1.0037446,-15.090218,183.23126,157.85834,0.8693224,1687.7301864624023,157,1.2018543,-120.37001948327524
15800,746703,-1712566800000000.0,46.73,[-0.411 -0.665 -0.482 -0.274 -0.017],7.9004188,0.056028284,1.0079705,-1712566800000000.0,18.93932,1.1444092e-06,100,1.0037179,-17.495125,173.53839,124.37631,0.8496772,1698.9177522659302,158,1.1704153,-118.52270955625441
15900,751328,-1644221900000000.0,46.25,[-0.411 -0.664 -0.484 -0.275 -0.015],8.798927,0.076319754,1.0055236,-1644221900000000.0,27.64856,1.4495849e-06,100,1.0078261,-16.43628,178.98718,178.90451,0.75015336,1709.5871131420135,159,1.2618335,-120.91721960428424
16000,755814,-1661051400000000.0,44.86,[-0.411 -0.663 -0.488 -0.274 -0.013],7.88616,0.060454987,1.0058398,-1661051400000000.0,26.133587,2.822876e-06,100,1.0029353,-15.887283,183.72177,173.43024,0.8385881,1719.070475578308,160,1.2138033,-119.08712413637018
16100,760461,-1274044700000000.0,46.47,[-0.413 -0.663 -0.487 -0.276 -0.014],10.301829,0.048495863,1.0062202,-1274044700000000.0,50.627243,1.4495849e-06,100,1.0023745,-16.695732,174.97353,224.03282,0.8685174,1729.862922668457,161,1.1955563,-118.75996028069018
16200,765244,-1235554000000000.0,47.83,[-0.413 -0.663 -0.486 -0.277 -0.016],9.827845,0.059214763,1.0093268,-1235554000000000.0,48.552666,-2.2506713e-06,100,1.0027597,-15.437492,169.353,163.62753,0.83034,1740.5354070663452,162,1.1778712,-119.29755097352552
16300,769793,-1411061800000000.0,45.49,[-0.414 -0.663 -0.485 -0.276 -0.016],9.629501,0.04891,1.0079683,-1411061800000000.0,36.657566,5.264282e-06,100,1.0029244,-16.946548,181.35248,109.77439,0.8607694,1750.9808852672577,163,1.1051364,-119.87956372716353
16400,774350,-1382545800000000.0,45.57,[-0.414 -0.662 -0.486 -0.277 -0.015],7.720685,0.07250809,1.0069238,-1382545800000000.0,24.004204,1.2207031e-06,100,1.004763,-16.513748,181.96149,160.14532,0.80196655,1761.0417256355286,164,1.2017337,-120.4376892320094
16500,778628,-1611066000000000.0,42.78,[-0.414 -0.661 -0.488 -0.278 -0.014],7.4861245,0.060815036,1.0066307,-1611066000000000.0,20.688667,-2.5939942e-06,100,1.0044379,-13.711876,194.76515,116.03317,0.78802985,1770.4793243408203,165,1.1523836,-118.91814849014736
16600,783182,-1248255500000000.0,45.54,[-0.414 -0.66  -0.489 -0.28  -0.015],9.559706,0.046460215,1.00601,-1248255500000000.0,51.59954,-4.653931e-06,100,1.0014985,-16.473198,180.741,200.9335,0.9068766,1781.167349100113,166,1.2081999,-119.56652647670217
16700,787677,-1425536000000000.0,44.95,[-0.415 -0.66  -0.488 -0.282 -0.014],7.995894,0.095457844,1.0083741,-1425536000000000.0,28.532345,-5.722046e-07,100,1.0062903,-14.080261,181.42093,326.1612,0.81244385,1790.2379696369171,167,1.298771,-117.89722607815877
16800,792425,-1313714000000000.0,47.48,[-0.418 -0.659 -0.486 -0.282 -0.014],9.365986,0.079774864,1.0065169,-1313714000000000.0,29.404633,2.7465821e-06,100,1.0092102,-16.658722,171.41367,154.66177,0.768463,1800.7797775268555,168,1.1919843,-119.71069861436212
16900,797113,-1235554000000000.0,46.88,[-0.417 -0.661 -0.487 -0.278 -0.014],9.355871,0.046040628,1.0081921,-1235554000000000.0,34.620216,-1.6784668e-06,100,1.0028487,-15.141197,173.06921,108.39986,0.88470674,1811.40216588974,169,1.1689328,-118.8259820631686
17000,801597,-1454925000000000.0,44.84,[-0.416 -0.661 -0.487 -0.275 -0.015],8.579127,0.045806136,1.0065786,-1454925000000000.0,30.24067,-1.1062622e-06,100,1.001846,-16.53405,184.10764,117.47468,0.8806752,1821.4698128700256,170,1.1696516,-119.37080498584723
17100,806250,-1368501400000000.0,46.53,[-0.416 -0.66  -0.488 -0.277 -0.015],9.792111,0.1469863,1.009948,-1368501400000000.0,39.541508,6.866455e-06,100,1.0200801,-15.253601,177.44568,418.29028,0.6335983,1831.5255362987518,171,1.5460782,-120.78766346590774
17200,810897,-1644221900000000.0,46.47,[-0.414 -0.66  -0.489 -0.27  -0.014],9.502736,0.025941212,1.006648,-1644221900000000.0,25.395622,-1.8310546e-06,100,1.0006723,-17.363495,176.44524,123.46751,0.9462806,1841.740160226822,172,1.1181319,-119.77928499274437
17300,815550,-1411061800000000.0,46.53,[-0.414 -0.66  -0.488 -0.27  -0.014],9.441572,0.05966729,1.0074682,-1411061800000000.0,21.780685,2.4032593e-06,100,1.0039778,-17.60463,175.23775,207.32655,0.86121905,1852.6465528011322,173,1.2514814,-119.13699069534175
17400,820146,-1354597400000000.0,45.96,[-0.416 -0.659 -0.488 -0.272 -0.011],8.310108,0.036128603,1.0061615,-1354597400000000.0,21.244907,5.8364867e-06,100,1.0012435,-16.65252,178.93033,130.55135,0.91598475,1862.8041200637817,174,1.1545197,-119.77678522306938
17500,824663,-1594736400000000.0,45.17,[-0.417 -0.659 -0.487 -0.273 -0.011],8.353588,0.081585325,1.008736,-1594736400000000.0,26.322578,-4.272461e-06,100,1.0062615,-16.562904,181.5422,222.61732,0.7673307,1872.9503333568573,175,1.262288,-118.67776489169209
17600,829399,-1500130900000000.0,47.36,[-0.417 -0.662 -0.486 -0.271 -0.011],8.787039,0.039866332,1.0066432,-1500130900000000.0,28.168976,-4.53949e-06,100,1.0016618,-16.883331,172.7515,124.68019,0.88705784,1883.0692930221558,176,1.1290009,-120.15325234414699
17700,834012,-1500130900000000.0,46.13,[-0.417 -0.662 -0.486 -0.272 -0.011],8.808936,0.048484948,1.0060322,-1500130900000000.0,21.641914,-1.3732911e-06,100,1.003298,-18.297272,176.1132,113.26029,0.8821527,1893.3647751808167,177,1.1472036,-118.3510487221137
17800,838620,-1562565200000000.0,46.08,[-0.417 -0.663 -0.486 -0.275 -0.012],7.6823874,0.11913555,1.0067061,-1562565200000000.0,19.120316,,100,1.0118895,-16.557922,178.55388,307.97748,0.7088493,1903.4282608032227,178,1.3359394,-119.75289370126288
17900,843348,-1440156600000000.0,47.28,[-0.417 -0.659 -0.489 -0.275 -0.007],8.366015,0.06381189,1.0065068,-1440156600000000.0,20.059097,5.722046e-07,100,1.0037235,-17.475845,170.60025,184.90233,0.86784166,1914.1872589588165,179,1.2063379,-118.2046254460025
18000,848131,-1578569900000000.0,47.83,[-0.418 -0.66  -0.487 -0.276 -0.008],9.492241,0.053343832,1.0054624,-1578569900000000.0,21.693523,-9.155273e-07,100,1.0035281,-18.857399,171.67717,178.45279,0.8886619,1924.8527524471283,180,1.1430296,-120.99285717400939
18100,852906,-1368501400000000.0,47.75,[-0.417 -0.663 -0.485 -0.277 -0.009],9.155998,0.03863358,1.007604,-1368501400000000.0,24.785397,3.6239624e-06,100,1.0012347,-18.043068,170.05064,112.405174,0.9026841,1934.4719893932343,181,1.163743,-119.54452817086108
18200,857593,-1531034400000000.0,46.87,[-0.417 -0.662 -0.485 -0.279 -0.008],8.849406,0.037866592,1.0049058,-1531034400000000.0,30.52073,-3.967285e-06,100,1.0020372,-17.82711,175.02715,134.6425,0.89184046,1944.8094828128815,182,1.1095048,-120.12528065512197
18300,862163,-1562565200000000.0,45.7,[-0.418 -0.663 -0.484 -0.278 -0.008],8.754011,0.044858452,1.0073093,-1562565200000000.0,29.75142,1.8692017e-06,100,1.002249,-17.37741,178.92719,136.49649,0.86994153,1954.9246418476105,183,1.128256,-118.82673454868407
18400,866714,-1500130900000000.0,45.51,[-0.418 -0.663 -0.483 -0.277 -0.009],8.565154,0.027961396,1.0066108,-1500130900000000.0,22.914577,1.5258789e-07,100,1.000753,-16.747704,179.67976,92.525215,0.9104636,1964.724294424057,184,1.0860314,-118.68575587823977
18500,871466,-996295240000000.0,47.52,[-0.418 -0.663 -0.483 -0.278 -0.009],10.228793,0.08451295,1.0060078,-996295240000000.0,49.398705,-2.2125244e-06,100,1.0055496,-16.909798,172.71375,271.5234,0.80106586,1975.5514736175537,185,1.3720374,-120.70124727487666
18600,876152,-1161967800000000.0,46.86,[-0.419 -0.665 -0.481 -0.278 -0.007],9.571247,0.054751016,1.0061737,-1161967800000000.0,26.743713,-5.340576e-06,100,1.0028688,-17.85534,172.63571,172.60892,0.8849391,1985.7954745292664,186,1.1772567,-118.39808763461485
18700,881002,-1300357700000000.0,48.5,[-0.419 -0.666 -0.479 -0.278 -0.007],9.698248,0.06842629,1.0066563,-1300357700000000.0,26.75315,4.615784e-06,100,1.0046536,-17.510208,169.5076,180.54767,0.7605958,1996.6991651058197,187,1.23814,-121.6331733105456
18800,885697,-1515505100000000.0,46.95,[-0.418 -0.665 -0.478 -0.275 -0.007],8.436359,0.037233107,1.00605,-1515505100000000.0,23.17543,-6.3705443e-06,100,1.0015345,-17.802826,173.25879,124.714935,0.8967972,2005.866310119629,188,1.1334571,-119.1201244818118
18900,890691,-1546720500000000.0,49.94,[-0.418 -0.665 -0.477 -0.276 -0.007],11.227302,0.02561925,1.0069095,-1546720500000000.0,29.868488,-4.7302246e-06,100,1.0006621,-20.043182,160.22372,160.5394,0.9435018,2017.1061160564423,189,1.0856297,-119.33037488406937
19000,895418,-1644221900000000.0,47.27,[-0.419 -0.665 -0.476 -0.277 -0.007],10.284231,0.12628728,1.0058255,-1644221900000000.0,23.925064,1.9836425e-06,100,1.0169456,-16.2014,173.57158,406.0252,0.69284165,2027.8147575855255,190,1.3902028,-120.60504093324373
19100,900060,-1411061800000000.0,46.42,[-0.422 -0.663 -0.479 -0.28  -0.009],8.855478,0.035532635,1.0068238,-1411061800000000.0,28.083096,5.264282e-06,100,1.0013235,-17.10363,176.47755,104.00245,0.9128827,2038.7041983604431,191,1.112656,-119.68054567091386
19200,904674,-1531034400000000.0,46.14,[-0.422 -0.662 -0.48  -0.281 -0.009],9.100324,0.0431157,1.0060734,-1531034400000000.0,28.855362,3.8146973e-07,100,1.0019243,-16.996956,177.20552,152.68185,0.9033358,2048.5832617282867,192,1.1583768,-119.22459420949808
19300,909275,-1425536000000000.0,46.01,[-0.423 -0.663 -0.479 -0.282 -0.008],8.92062,0.06025201,1.0068097,-1425536000000000.0,39.526894,6.1798096e-06,100,1.0050389,-16.376648,177.36302,128.11333,0.863906,2058.6285486221313,193,1.1543889,-118.86941838343587
