EmpiricalD2,EpThisIter,TimeElapsed,MeanIW,EpisodesSoFar,StdIW,InitialReturnMin,Bound,Weights,ReturnMeanIW,InitialReturnMean,InitialBound,Iteration,EpLenMean,MinIW,TimestepsSoFar,EpRewMean,J_sample_variance,MaxIW,InitialReturnMax,InitialReturnStd
inf,100,1995.9495697021484,0.122232184,10600,0.8728519,-9.775834,8.406066,[-2.815 -0.437  2.138  0.036 -2.018],8.406066,-6.818771e-07,4.423628,106,120.95,,832212,-185.00841118654338,174.45395,37.86437,7.7899837,5.313787
2.2630354e+22,100,2031.7813138961792,3.1091475,10700,189.5404,-9.27813,261.5445,[-2.837 -0.448  2.121  0.031 -2.022],261.5445,-6.8664554e-07,2.5638428,107,162.16,2.612359e-17,848428,-219.63863536310473,6739084.5,29057.582,7.676196,4.90737
9.079751e+17,100,2071.84663772583,0.4341287,10800,5.711317,-9.23665,13.827742,[-2.838 -0.481  2.123  0.045 -2.023],13.827742,-5.912781e-07,2.3650897,108,175.47,8.421386e-17,865975,-230.9394298238245,12623.592,622.9569,7.2849793,4.584031
inf,100,2113.9835731983185,0.18002184,10900,3.8578336,-7.826936,5.4306345,[-2.843 -0.488  2.138  0.023 -2.027],5.4306345,-2.670288e-07,2.5431044,109,200.65,,886040,-249.67656018822015,81.56783,549.7229,6.534192,4.3595138
inf,100,2150.8978469371796,0.13934013,11000,5.054512,-10.017007,19.861824,[-2.834 -0.492  2.168  0.037 -2.022],19.861824,-2.670288e-07,3.2429814,110,172.75,1.5169307e-26,903315,-225.86954887906919,19732.588,404.39026,7.21161,4.8122826
313765650000000.0,100,2189.4724504947662,0.0637153,11100,0.61432964,-7.6179256,5.9441385,[-2.868 -0.543  2.198  0.01  -2.019],5.9441385,-2.2411346e-07,2.3448083,111,180.33,5.9270395e-13,921348,-233.93224099710417,37.543865,64.38003,7.0910616,4.545163
inf,100,2212.9932074546814,0.13479981,11200,0.49640143,-9.855668,9.14881,[-2.853 -0.524  2.195  0.031 -2.021],9.14881,6.67572e-07,5.424854,112,111.72,,932520,-179.971150258118,76.45185,22.398981,7.848304,4.6739373
3.3276024e+18,100,2245.8841331005096,0.20721188,11300,3.1903143,-7.310729,13.266521,[-2.863 -0.521  2.175  0.018 -2.03 ],13.266521,-1.2874603e-06,2.9657848,113,152.44,1.546263e-14,947764,-212.396705329592,6714.504,256.14923,7.8211412,4.542622
inf,100,2293.786041021347,0.15859981,11400,1.5922967,-8.635137,6.3584337,[-2.885 -0.534  2.186 -0.013 -2.033],6.3584337,-2.861023e-07,2.213165,114,233.19,,971083,-275.4486036078734,461.07925,129.56003,6.2756696,4.1134944
2843171700000000.0,100,2332.373941421509,0.25203273,11500,6.2636943,-7.4432497,21.83999,[-2.884e+00 -5.465e-01  2.208e+00  1.985e-03 -2.033e+00],21.83999,5.626678e-07,2.367051,115,180.95,2.0601817e-10,989178,-234.9294971807776,33753.74,583.6833,7.044492,4.4835005
inf,100,2381.800356388092,0.082645945,11600,0.909934,-8.451359,6.546703,[-2.916 -0.561  2.228 -0.024 -2.033],6.546703,-7.4863436e-07,1.8446034,116,246.64,,1013842,-286.18724070667673,205.05743,87.050575,6.3217115,4.3047137
inf,100,2413.544957637787,0.08812519,11700,1.2397742,-9.294064,7.053402,[-2.92  -0.555  2.257 -0.016 -2.038],7.053402,-5.865097e-07,3.4491298,117,149.13,,1028755,-208.83910292882084,243.60378,169.9196,7.3550997,4.861555
inf,100,2446.916700363159,0.117253445,11800,0.48544222,-8.654781,6.2503877,[-2.942 -0.545  2.236 -0.037 -2.037],6.2503877,-1.2397766e-07,3.6291811,118,149.38,,1043693,-208.2593856957783,17.331377,22.950317,7.3322206,4.788346
inf,100,2493.430916786194,0.06419114,11900,0.43367293,-7.4801865,5.146491,[-2.959 -0.555  2.228 -0.056 -2.042],5.146491,-6.198883e-07,2.220678,119,218.35,,1065528,-263.50686303675513,55.7671,21.512154,6.8404264,4.163361
inf,100,2538.377955198288,0.106191896,12000,6.239606,-7.6472273,13.242233,[-2.996 -0.564  2.22  -0.054 -2.05 ],13.242233,4.005432e-07,2.3924315,120,233.29,,1088857,-274.4172487950939,6443.2783,1291.0583,5.8733377,4.018795
inf,100,2590.305222272873,0.06541299,12100,0.73539984,-9.527823,5.2500134,[-2.992 -0.552  2.271 -0.022 -2.052],5.2500134,-5.7220458e-08,2.3806915,121,252.73,,1114130,-289.35396059714776,48.315258,63.908634,5.889375,4.227789
inf,100,2647.57137799263,0.4920158,12200,24.930397,-8.698657,34.9106,[-3.021 -0.562  2.265 -0.036 -2.055],34.9106,-3.4809113e-07,2.779649,122,281.16,,1142246,-310.40914200960987,103484.09,2359.0698,5.099636,3.8177195
inf,100,2691.677571296692,0.5439423,12300,4.405048,-9.319679,14.244058,[-3.001 -0.562  2.307 -0.034 -2.056],14.244058,-1.7642975e-07,3.1546106,123,211.78,,1163424,-255.1786928722478,6135.5693,275.51126,6.3438306,4.4680285
1.116892e+29,100,2727.5826830863953,0.30844015,12400,2.1519182,-7.9625616,7.3315005,[-3.011 -0.581  2.343 -0.032 -2.062],7.3315005,-3.33786e-07,3.370004,124,173.59,1.0835484e-17,1180783,-227.27298012579516,2201.865,290.5934,7.1953955,4.632136
inf,100,2763.8946425914764,0.12292536,12500,9.2295685,-8.253327,24.900208,[-3.013 -0.549  2.332 -0.041 -2.052],24.900208,-1.14440915e-07,2.2414865,125,175.9,,1198373,-230.98986764382934,43195.625,1440.3689,8.237966,4.898404
5306367000000.0,100,2786.3306596279144,0.7812055,12600,2.04047,-10.319829,6.956447,[-2.975 -0.502  2.393  0.012 -2.048],6.956447,3.671646e-07,6.235432,126,92.37,5.6897084e-11,1207610,-164.32153341348402,163.21167,40.85013,7.909434,5.233779
inf,100,2803.789913892746,0.5404332,12700,33.89392,-8.786592,140.77013,[-2.97  -0.5    2.399  0.019 -2.045],140.77013,-5.8174135e-07,10.246405,127,62.34,,1213844,-141.8930778415918,1737074.9,3738.3743,9.522799,5.405691
4.2532463e+33,100,2817.696926832199,0.20051864,12800,1.9069445,-10.03736,36.51016,[-2.938 -0.497  2.418  0.067 -2.049],36.51016,7.8201293e-07,21.575806,128,34.79,7.513342e-25,1217323,-120.3216985796402,12334.737,148.82695,9.406885,5.7698755
inf,100,2831.412830591202,0.09395112,12900,3.9182537,-10.001606,39.509487,[-2.953 -0.539  2.426  0.047 -2.053],39.509487,1.7166138e-07,16.250526,129,45.2,,1221843,-128.5046349362982,63729.832,362.25134,8.8962555,5.2266603
inf,100,2842.706296443939,0.59683275,13000,16.95786,-9.872462,105.60498,[-2.948 -0.552  2.472  0.066 -2.055],105.60498,1.8310546e-06,26.287617,130,29.59,1.5990077e-30,1224802,-116.75407518688904,724838.06,1757.3569,9.695919,5.350884
377816.28,100,2854.808931350708,0.4033535,13100,2.0358968,-10.619608,29.499,[-2.971 -0.582  2.514  0.099 -2.062],29.499,5.865097e-07,26.549292,131,29.45,6.88733e-08,1227747,-116.77062555582525,955.4768,36.025974,9.9798155,5.398857
827728.75,100,2864.5474393367767,1.0137298,13200,4.6071362,-8.958838,31.692987,[-2.972 -0.581  2.495  0.084 -2.062],31.692987,-1.2969971e-06,26.051762,132,29.87,8.865648e-08,1230734,-116.77122119854883,11763.939,165.89774,9.536387,5.3008723
197463.44,100,2874.6234183311462,0.3300603,13300,1.0388303,-9.661294,34.534885,[-2.977 -0.598  2.497  0.096 -2.064],34.534885,-2.6226044e-07,26.513855,133,29.33,3.4713642e-06,1233667,-116.48791249198528,5424.013,41.918182,9.5969715,5.222068
inf,100,2888.28671169281,0.33068883,13400,3.9198346,-9.670519,22.059633,[-2.976 -0.588  2.465  0.098 -2.068],22.059633,2.670288e-07,16.235472,134,45.96,,1238263,-128.1308406493781,2678.7673,556.6746,8.222285,5.0186768
inf,100,2901.005719900131,1.2678491,13500,117.62168,-9.631288,762.5307,[-3.024 -0.585  2.444  0.106 -2.057],762.5307,6.7710874e-07,16.333399,135,44.24,,1242687,-127.85728650526927,57657436.0,16711.258,9.060351,5.1462226
inf,100,2939.1241176128387,0.047290817,13600,1.6557763,-11.319595,6.89604,[-3.029 -0.55   2.356  0.044 -2.064],6.89604,-1.2874604e-07,2.8889475,136,167.18,,1259405,-223.41847357180058,154.73416,305.9014,6.9050436,4.8817763
inf,100,2955.2464475631714,0.087746814,13700,0.6538105,-10.077912,17.519768,[-2.973 -0.544  2.36   0.065 -2.08 ],17.519768,-1.6212464e-07,13.028684,137,55.06,,1264911,-136.10908798026344,610.2316,29.113811,9.146641,4.79002
121173150.0,100,2971.0285561084747,0.7381121,13800,3.05097,-9.5908575,20.082798,[-2.962 -0.547  2.381  0.084 -2.09 ],20.082798,3.6239624e-07,13.019951,138,53.57,2.2743193e-06,1270268,-135.43531650138308,3843.578,180.75389,9.245737,5.0750384
5.5628657e+23,100,2985.1562066078186,0.30545312,13900,1.1996192,-9.242324,20.22795,[-2.96  -0.559  2.382  0.101 -2.094],20.22795,-3.9100647e-07,16.704937,139,43.98,2.2525968e-16,1274666,-128.57280314221416,484.71695,94.307816,9.097685,4.8284693
inf,100,2998.2051162719727,0.36390513,14000,3.0767112,-8.783267,35.91021,[-2.991 -0.536  2.397  0.12  -2.102],35.91021,-1.5354157e-06,18.638876,140,40.51,,1278717,-125.2015393344474,12913.635,286.26367,9.001702,5.1779456
inf,100,3011.543819665909,3.9928193,14100,40.00667,-9.226521,65.10467,[-3.002 -0.516  2.357  0.11  -2.102],65.10467,1.9168854e-06,16.41677,141,44.51,,1283168,-128.5252766095671,176670.73,954.6045,9.025845,5.0803547
1.1672695e+32,100,3023.7122344970703,0.46326047,14200,4.3197107,-8.030719,37.346596,[-2.99  -0.513  2.385  0.106 -2.105],37.346596,-2.479553e-07,21.706005,142,34.95,3.532596e-27,1286663,-120.5924954343227,65997.81,194.90607,9.468422,5.366418
inf,100,3037.695344686508,0.21612477,14300,1.8155962,-9.083128,20.832357,[-3.03  -0.512  2.431  0.111 -2.109],20.832357,-5.340576e-07,16.09449,143,44.55,,1291118,-127.75450426538642,523.3971,109.06735,9.118063,5.3984866
inf,100,3050.960147380829,0.17368136,14400,1.4473798,-9.928405,23.850971,[-3.045 -0.514  2.414  0.092 -2.109],23.850971,-4.6730042e-07,16.462505,144,44.9,,1295608,-129.2472265331774,855.22473,183.76607,8.615547,4.9085765
1.9182449e+28,100,3066.2941625118256,0.22475858,14500,1.8843824,-10.156119,17.04041,[-3.036 -0.502  2.431  0.098 -2.111],17.04041,1.5830993e-06,12.735615,145,55.25,2.3687568e-16,1301133,-134.98601061675444,313.37637,281.1232,8.685142,5.449639
inf,100,3080.814253091812,0.10033344,14600,1.4514394,-10.327428,18.853058,[-3.029 -0.474  2.424  0.121 -2.108],18.853058,-1.1444092e-06,12.700235,146,53.34,,1306467,-135.0080421355476,1278.6829,181.38011,9.674834,5.665211
inf,100,3092.772696018219,0.15606861,14700,6.6733365,-10.291898,54.149006,[-2.973 -0.48   2.437  0.112 -2.108],54.149006,1.7166138e-07,21.422033,147,35.28,,1309995,-120.44624663169373,136044.4,997.7838,9.442239,5.471478
inf,100,3105.74387550354,0.12778844,14800,7.288392,-9.397133,75.6612,[-2.961 -0.488  2.396  0.1   -2.105],75.6612,5.1498415e-07,19.246956,148,37.94,,1313789,-124.2471358544469,416783.47,733.63947,10.1345625,5.2989273
2.6965596e+21,100,3134.333203315735,0.15198945,14900,2.221462,-8.711345,8.941961,[-2.971 -0.522  2.337  0.025 -2.113],8.941961,-6.294251e-07,4.2512965,149,120.01,1.6767048e-15,1325790,-187.34415713465742,73.514725,212.05594,8.651731,4.936524
inf,100,3164.382528781891,0.3139383,15000,0.9970877,-10.015528,6.4842205,[-2.974 -0.541  2.327  0.015 -2.116],6.4842205,5.2452087e-08,4.1758676,150,135.83,,1339373,-198.66783224875857,264.7365,79.040115,7.792143,4.7347293
32473640.0,100,3191.6503863334656,0.4887559,15100,0.7268775,-7.711523,5.2607074,[-2.979 -0.502  2.308  0.014 -2.117],5.2607074,1.0108947e-06,4.0595074,151,119.83,7.27608e-08,1351356,-187.49232956437157,263.97318,39.418964,8.646113,5.0009933
inf,100,3222.130577325821,0.5548171,15200,39.84346,-8.37285,51.994057,[-2.979 -0.515  2.313  0.024 -2.123],51.994057,-9.3460085e-07,3.4718,152,139.04,,1365260,-201.91482563703258,227935.72,4826.065,7.7373557,4.8373585
9.516181e+35,100,3249.4633395671844,0.13758592,15300,4.0340953,-7.3266144,11.148889,[-2.988 -0.48   2.282 -0.025 -2.128],11.148889,8.583069e-08,4.0616975,153,124.42,9.7147445e-20,1377702,-189.964267716265,5875.063,400.67905,7.8249927,4.7598925
inf,100,3281.933181285858,0.086317204,15400,2.8357055,-10.011993,10.529216,[-2.999 -0.473  2.29  -0.063 -2.117],10.529216,4.2438506e-07,3.517937,154,158.95,,1393597,-215.15461316489564,2541.666,250.26707,6.9994307,4.888684
inf,100,3305.1773409843445,3.4405239,15500,731.3405,-6.8830013,1298.7097,[-2.979 -0.494  2.333 -0.066 -2.125],1298.7097,1.2636185e-06,5.48078,155,100.4,,1403637,-172.7402917057529,167460940.0,163357.52,8.537499,4.3200145
inf,100,3326.147283554077,0.6355345,15600,5.2593307,-8.843543,37.405422,[-2.976 -0.439  2.379 -0.064 -2.113],37.405422,-7.9154967e-07,10.361839,156,65.1,6.1929815e-32,1410147,-142.0637087722655,25526.127,339.98315,8.13332,5.2869687
inf,100,3347.160103082657,0.0810254,15700,3.1620195,-10.5646305,15.294211,[-2.974 -0.446  2.36  -0.058 -2.114],15.294211,-2.9087067e-07,7.4984503,157,85.11,,1418658,-155.9909876544116,1582.0071,628.6415,7.376047,5.5651703
inf,100,3362.0745029449463,0.10463257,15800,14.898294,-9.924126,49.977913,[-2.965 -0.431  2.38  -0.048 -2.114],49.977913,3.8146972e-08,14.04133,158,51.36,,1423794,-131.45561000359038,194978.7,3164.4675,7.725958,5.288785
2.0858242e+34,100,3393.8028542995453,3.1028793,15900,21.506643,-8.134745,30.016254,[-2.997 -0.477  2.322 -0.079 -2.128],30.016254,2.002716e-07,3.989314,159,145.15,3.952012e-24,1438309,-204.30018106749102,54806.01,928.6936,6.419631,4.6608753
inf,100,3417.5619752407074,0.21171466,16000,3.3944628,-9.502079,9.664044,[-2.995 -0.473  2.334 -0.093 -2.129],9.664044,4.7683716e-07,5.8144846,160,102.26,,1448535,-170.72311377928415,2408.9927,341.31757,7.4633236,5.1243553
inf,100,3450.1374142169952,0.2190641,16100,11.381368,-9.343418,9.380218,[-3.011 -0.485  2.325 -0.065 -2.131],9.380218,7.9631803e-07,3.4717214,161,149.08,,1463443,-208.3050762423165,3577.723,1867.3671,7.1575003,4.907347
inf,100,3472.224152803421,0.2798356,16200,12.398314,-8.992425,87.05634,[-2.992 -0.457  2.334 -0.072 -2.135],87.05634,-1.7166138e-07,6.9265842,162,88.25,,1472268,-159.54428918764103,627709.06,834.0438,7.7570047,5.3001604
inf,100,3488.496213912964,0.9029,16300,5.0806704,-10.4426155,18.699348,[-2.971 -0.441  2.396 -0.018 -2.132],18.699348,-4.7683717e-08,13.923823,163,52.33,,1477501,-132.61675211949262,936.63654,462.16455,7.859798,5.4883385
inf,100,3507.9435737133026,0.5184589,16400,3.8088374,-9.216675,19.209677,[-2.989 -0.442  2.386 -0.008 -2.135],19.209677,-8.249283e-07,8.1338415,164,80.0,,1485501,-152.73377859795667,16447.312,423.08337,8.201058,5.306561
inf,100,3525.702870130539,0.38408893,16500,3.2451875,-9.029745,13.994692,[-2.996 -0.411  2.368 -0.014 -2.126],13.994692,2.8610229e-08,8.5787115,165,73.75,,1492876,-149.66572962758056,608.0094,303.49408,8.367262,5.2951922
6.5773884e+33,100,3544.112634897232,0.45541093,16600,6.463702,-12.377191,27.228868,[-2.981 -0.415  2.385  0.004 -2.131],27.228868,4.1007996e-07,9.502301,166,71.11,8.0462126e-22,1499987,-145.31428608879207,31491.863,794.4295,7.726801,5.7918286
50.013622,100,3561.906616449356,0.98483986,16700,0.6673174,-11.148642,8.582052,[-2.997 -0.454  2.405  0.019 -2.137],8.582052,-2.9563904e-07,8.354182,167,73.73,0.003086574,1507360,-149.14924121481783,45.084064,14.954319,8.562301,5.9229712
73320950000000.0,100,3581.4293570518494,0.27706707,16800,2.9287195,-10.063274,14.7977,[-2.998 -0.451  2.401  0.021 -2.137],14.7977,-6.67572e-08,9.313337,168,68.18,3.1463188e-14,1514178,-146.61137525811998,1242.0992,275.34393,8.641371,5.3671393
inf,100,3596.242219686508,2.5495665,16900,249.46492,-10.309647,291.03738,[-2.963 -0.433  2.382  0.028 -2.133],291.03738,-7.724762e-07,12.421987,169,54.2,,1519598,-134.99781164042713,7896806.0,50662.2,8.922528,5.503906
inf,100,3609.6624455451965,0.25818068,17000,16.942867,-10.124309,131.70538,[-2.973 -0.463  2.444  0.038 -2.138],131.70538,-1.3923645e-06,20.993948,170,35.4,,1523138,-119.47558160400396,1391235.8,2194.958,9.412764,5.9785867
89052860.0,100,3628.5609154701233,5.0205035,17100,57.12983,-11.286653,120.50483,[-2.964 -0.427  2.373  0.019 -2.152],120.50483,-4.005432e-07,10.109504,171,64.87,1.0177546e-08,1529625,-141.20461039255892,1251955.1,3002.602,8.369032,5.8773685
inf,100,3649.131616830826,1.807545,17200,146.18118,-9.037445,560.8531,[-2.979 -0.419  2.385  0.005 -2.154],560.8531,-5.245209e-07,8.406071,172,73.56,,1536981,-149.36390411953386,30430900.0,21908.08,8.401086,5.802389
inf,100,3667.9489006996155,0.09128468,17300,4.031881,-8.998312,34.865147,[-2.971 -0.595  2.457 -0.085 -2.149],34.865147,-7.4386594e-07,12.930963,173,56.63,,1542644,-136.29400077092913,43542.85,534.48206,7.693931,5.2017055
4.8394584e+21,100,3682.9590859413147,0.2006348,17400,0.499055,-7.696452,17.62802,[-2.977 -0.604  2.446 -0.125 -2.155],17.62802,-2.3841858e-07,14.312104,174,51.53,3.368222e-13,1547797,-132.2892260129096,94.03045,26.675163,7.92659,4.9560432
inf,100,3697.8019387722015,0.12212286,17500,0.6858979,-7.624975,19.82264,[-2.968 -0.591  2.45  -0.117 -2.158],19.82264,1.8024444e-06,14.607893,175,50.91,4.18154e-37,1552888,-131.52775506872436,443.8668,41.36749,7.877941,4.8942795
inf,100,3715.941218852997,0.24587102,17600,2.4454927,-9.0577545,16.25541,[-2.979 -0.605  2.441 -0.121 -2.156],16.25541,2.193451e-07,9.698263,176,69.95,,1559883,-146.0467817187162,782.29553,233.14323,7.992852,5.057985
33.331676,100,3736.7795782089233,1.0554981,17700,1.8176085,-7.734398,9.227419,[-2.992 -0.591  2.415 -0.131 -2.157],9.227419,1.077652e-06,7.836937,177,83.99,0.012022405,1568282,-156.89199625163124,171.20679,48.568077,7.3398743,4.884202
inf,100,3755.6723697185516,0.8552356,17800,2.388065,-7.6210356,13.899891,[-2.977 -0.583  2.401 -0.131 -2.157],13.899891,-4.7683715e-09,9.109955,178,74.54,1.4417973e-30,1575736,-149.88647140789027,1565.0586,71.99533,8.102794,4.8192196
3.6729518e+21,100,3779.442042350769,6.0969687,17900,127.36161,-7.7144604,229.15543,[-2.977 -0.575  2.384 -0.118 -2.158],229.15543,4.7683717e-08,6.137929,179,102.58,7.9883094e-13,1585994,-172.32519978418,4971567.0,12090.705,7.5534525,4.751858
inf,100,3799.933594226837,0.093277276,18000,5.2139273,-8.724302,26.166403,[-2.943 -0.543  2.362 -0.103 -2.16 ],26.166403,4.959106e-07,9.014599,180,75.64,,1593558,-149.41850881299203,46997.95,566.97076,7.488042,5.2453375
inf,100,3832.640590429306,0.14219362,18100,2.0999022,-7.893903,9.082498,[-2.95  -0.517  2.304 -0.112 -2.155],9.082498,-1.9073487e-07,4.0263042,181,135.24,,1607082,-198.17972102745304,1158.1768,390.72995,6.947236,4.626804
inf,100,3852.1352932453156,0.19849488,18200,22.18087,-9.370841,35.22532,[-2.911 -0.5    2.294 -0.115 -2.155],35.22532,-1.7166138e-07,8.281873,182,79.15,,1614997,-152.0670383669594,64548.598,4426.548,7.5938826,5.059455
inf,100,3877.830582141876,0.08953819,18300,2.3657904,-7.667369,16.014246,[-2.957 -0.525  2.298 -0.154 -2.165],16.014246,-2.3841858e-07,5.613175,183,107.88,,1625785,-175.4542232453188,5229.6357,166.23325,8.150442,4.804348
inf,100,3904.213130235672,0.16190313,18400,4.5897408,-8.163129,27.274555,[-2.95  -0.521  2.26  -0.164 -2.16 ],27.274555,7.4386594e-07,5.407391,184,117.71,,1637556,-181.9042826670546,21187.803,259.11353,6.933837,4.6490874
inf,100,3930.853989839554,0.14267287,18500,7.3626256,-8.663418,28.076729,[-2.944 -0.515  2.302 -0.137 -2.162],28.076729,9.536743e-08,5.282635,185,116.04,,1649160,-182.13721027817272,52012.152,794.28516,6.770932,4.499509
2.2174789e+20,100,3955.739882707596,1.3664937,18600,7.9561024,-8.774772,10.491279,[-2.981 -0.459  2.324 -0.101 -2.158],10.491279,-4.7683717e-08,5.9429517,186,102.74,1.0773793e-15,1659434,-170.83625119269783,1931.3905,179.878,7.7498975,5.2015777
inf,100,3978.745770215988,0.10444545,18700,2.9968512,-9.368149,16.461367,[-3.001 -0.481  2.35  -0.101 -2.161],16.461367,9.536743e-07,6.330769,187,99.04,,1669338,-166.87746447626324,5000.687,298.21466,7.9326653,5.2378902
inf,100,3995.0307927131653,0.10582288,18800,1.0377676,-7.683612,16.462458,[-2.994 -0.465  2.366 -0.095 -2.163],16.462458,-3.9100647e-07,10.32642,188,62.85,,1675623,-142.5484606977192,221.40805,162.58127,8.910074,4.97498
inf,100,4014.786800146103,0.07077627,18900,1.7884064,-8.948629,18.886972,[-3.018 -0.466  2.363 -0.112 -2.174],18.886972,-3.1471254e-07,8.917581,189,75.79,,1683202,-149.46615232874217,6169.1587,126.893425,7.568319,5.192529
inf,100,4034.3294565677643,0.15638189,19000,2.8011553,-10.223566,15.2619295,[-2.996 -0.459  2.399 -0.071 -2.177],15.2619295,-4.5776366e-07,9.547928,190,70.64,2.8435763e-31,1690266,-145.99082951177513,1066.0514,527.69147,8.209014,5.371214
inf,100,4047.906594991684,1.1792768,19100,10.101229,-9.691016,52.116543,[-2.987 -0.442  2.409 -0.066 -2.182],52.116543,-1.14440915e-07,16.04848,191,45.55,9.1758555e-30,1694821,-128.1577405272672,142908.52,594.75854,8.211068,5.2022552
7788943400.0,100,4062.4075257778168,0.25974,19200,2.1495368,-9.553016,26.159468,[-3.01  -0.453  2.445 -0.067 -2.187],26.159468,6.4849854e-07,15.99226,192,45.58,5.633008e-11,1699379,-126.8550975952789,4851.604,306.01474,8.663603,5.384767
inf,100,4076.7873849868774,0.2090427,19300,8.663883,-10.071998,51.09567,[-3.029 -0.475  2.455 -0.068 -2.185],51.09567,-8.2969666e-07,15.805488,193,45.96,,1703975,-127.77349849655907,160280.4,817.52045,8.223178,5.0357156
inf,100,4095.550543308258,0.100972526,19400,0.72543347,-8.262505,14.942019,[-3.053 -0.537  2.47  -0.035 -2.198],14.942019,1.14440915e-07,9.802019,194,69.86,1.5609081e-28,1710961,-146.29862988077355,317.31387,49.4914,7.6163006,5.018799
inf,100,4116.59364938736,0.06432584,19500,1.540129,-10.911826,14.808653,[-3.036 -0.518  2.471 -0.029 -2.201],14.808653,2.479553e-07,7.649347,195,83.71,,1719332,-156.54222179600893,997.5234,204.9909,7.7834415,5.417107
inf,100,4139.013722419739,0.8600626,19600,124.687065,-8.985041,222.7034,[-3.052 -0.533  2.453 -0.042 -2.202],222.7034,-5.865097e-07,6.946458,196,88.4,,1728172,-161.3878472330158,4636352.0,27872.543,8.108734,5.159144
inf,100,4161.342270851135,0.06216786,19700,1.5747994,-9.618758,13.356218,[-3.061 -0.562  2.421  0.006 -2.206],13.356218,-5.7220458e-08,7.1215363,197,88.57,,1737029,-161.7044601166278,1367.6395,164.17644,7.896767,5.0986094
inf,100,4192.278310537338,0.20888638,19800,5.3710628,-8.625907,10.476805,[-3.075 -0.575  2.401 -0.005 -2.204],10.476805,-5.1498415e-07,3.0988383,198,143.35,,1751364,-206.27414426221745,4224.8013,525.5319,8.040491,4.8426065
inf,100,4233.356812000275,0.1344839,19900,0.86364615,-8.216242,5.7106247,[-3.084 -0.587  2.389  0.007 -2.219],5.7106247,1.8119812e-07,2.8471124,199,200.94,,1771458,-248.75191599690112,38.421726,66.71755,6.477747,4.4979973
inf,100,4266.488822937012,0.27596566,20000,19.963005,-8.374121,37.482613,[-3.093e+00 -5.919e-01  2.374e+00  1.465e-03 -2.221e+00],37.482613,-9.536743e-09,3.1882567,200,152.79,,1786737,-210.9083562994342,64452.312,3255.4976,6.9598827,4.8573256
5.2261587e+16,100,4301.550555944443,0.08824543,20100,0.40710318,-8.84558,5.660412,[-3.085 -0.576  2.385  0.042 -2.219],5.660412,-2.7656554e-07,3.4965072,201,159.02,4.8611356e-15,1802639,-215.67038322035395,43.882698,25.018808,6.685887,4.874711
inf,100,4327.349762678146,0.14575332,20200,7.0358834,-7.8781366,13.920192,[-3.082 -0.563  2.39   0.063 -2.217],13.920192,9.536743e-09,4.7090845,202,110.39,,1813678,-180.2096001850279,3253.0278,1176.7053,8.538263,4.912746
848445500.0,100,4350.387072086334,1.0331092,20300,2.5729344,-8.991564,8.129439,[-3.092 -0.555  2.419  0.068 -2.214],8.129439,-6.4849854e-07,6.0226707,203,97.01,2.310432e-08,1823379,-168.38878136220862,682.507,49.549774,7.9280014,5.050818
inf,100,4372.999258756638,0.1518588,20400,6.990384,-9.5136385,17.377947,[-3.081 -0.552  2.404  0.074 -2.215],17.377947,2.002716e-07,6.3998833,204,91.6,9.340663e-33,1832539,-166.2454245428333,4345.8843,1002.24615,8.55818,4.770499
inf,100,4395.836998939514,0.1881093,20500,0.98515296,-8.00899,9.847455,[-3.107 -0.584  2.41   0.066 -2.221],9.847455,3.1471254e-07,6.687824,205,93.24,,1841863,-165.39863834642358,102.273224,41.916683,7.918407,4.781333
inf,100,4420.273968935013,0.57420635,20600,4.945291,-8.760945,15.941718,[-3.085 -0.578  2.421  0.069 -2.225],15.941718,9.584427e-07,5.327118,206,105.62,6.875328e-32,1852425,-176.94864866745004,14622.909,269.46356,8.960087,4.6892853
inf,100,4442.6280426979065,0.29091206,20700,2.2816603,-9.187831,9.251604,[-3.09  -0.579  2.44   0.048 -2.23 ],9.251604,-8.2969666e-07,5.5705705,207,95.83,,1862008,-169.13985111555138,95.09988,182.79364,8.838826,5.0857186
2.8508513e+32,100,4463.707223176956,0.46433905,20800,10.431832,-8.9890375,33.877865,[-3.064 -0.582  2.452  0.055 -2.245],33.877865,6.9618227e-07,7.6664395,208,82.63,2.4873124e-20,1870271,-157.52705570299358,32012.93,1188.8275,8.673753,4.998665
2138276800000000.0,100,4478.196454524994,0.20005101,20900,0.7159466,-8.376751,15.673137,[-3.071 -0.578  2.455  0.02  -2.253],15.673137,-8.392334e-07,13.10444,209,54.73,6.5067502e-09,1875744,-137.03611553376183,442.1616,31.324627,9.178374,4.611114
3.3901236e+22,100,4496.681343793869,0.10685541,21000,0.79397446,-8.385952,13.712189,[-3.076 -0.599  2.459  0.006 -2.259],13.712189,-8.201599e-07,9.603043,210,68.73,3.778381e-16,1882617,-147.06267121475278,343.47876,92.913826,8.650005,4.8856254
inf,100,4527.168290376663,0.109869316,21100,6.0712376,-9.155672,22.241333,[-3.086e+00 -6.255e-01  2.462e+00 -2.267e-03 -2.260e+00],22.241333,2.3365021e-07,4.4079437,211,130.25,,1895642,-195.14964528840747,18354.979,1082.495,7.3245044,4.6547117
