MaxIW,MeanD2w0t,MeanIW,EpisodesSoFar,Bound,EpRewMean,InitialBound,EmpiricalD2,MinIW,StdD2w0t,TimestepsSoFar,StdIW,EpLenMean,InitialReturnStd,Iteration,InitialReturnMax,Weights,MaxD2w0t,MinD2w0t,EpThisIter,InitialReturnMin,ReturnStepMax,ReturnMeanIW,TimeElapsed,J_sample_variance,ReturnStepMaxmin,InitialReturnMean
1.0,0.17112,1.0,5600,-40.34855,-121.29249618584203,-40.34855,1.0,1.0,0.37662208,370829,,85.56,1.7022438,56,-3.1102166,[-0.608 -0.761 -0.454 -0.325 -0.08 ],1.0,,100,-9.785603,100.0,-7.015212,884.6851091384888,2.926903,99.0,-7.0152116
2.8081908,0.16554467,1.007211,5700,-40.156956,-119.19430562814428,-40.207962,1.04998,0.58349055,0.37761897,378893,0.2667698,80.64,1.5597521,57,-3.2331882,[-0.608 -0.761 -0.454 -0.325 -0.08 ],1.1500049,,100,-10.209625,100.0,-6.780582,901.8872230052948,2.4720654,99.00007,-6.8746247
1.7552664,0.18778507,0.99613553,5800,-40.31997,-123.06610032389119,-40.36099,1.0552089,0.5278842,0.3983048,387992,0.22527073,90.99,1.6285981,58,-3.013897,[-0.609 -0.763 -0.449 -0.324 -0.08 ],1.1369755,,100,-12.238202,100.0,-6.950341,921.387921333313,2.4936554,99.01439,-7.027652
1.0002277,0.17614,1.0000162,5900,-39.983665,-121.26256576618931,-39.98368,1.0,0.99981236,0.38093328,396799,8.0773585e-05,88.07,1.6268009,59,-2.8766823,[-0.612 -0.767 -0.452 -0.319 -0.09 ],1.0,,100,-10.077962,100.0,-6.6503286,940.4760434627533,2.6731932,99.00002,-6.6503463
1.0,0.17462,1.0,6000,-40.4993,-122.94401851874959,-40.4993,1.0,1.0,0.3796528,405530,,87.31,1.5441527,60,-3.114534,[-0.612 -0.767 -0.452 -0.319 -0.09 ],1.0,,100,-9.676167,100.0,-7.165963,958.8469841480255,2.4084928,99.000015,-7.165963
1.8370084,0.17109348,0.9336575,6100,-40.21437,-120.71049893315059,-40.2648,1.0531538,0.5606679,0.38285175,413857,0.20567913,83.27,1.4291081,61,-2.9738395,[-0.612 -0.767 -0.452 -0.319 -0.09 ],1.1327152,,100,-9.981188,100.0,-6.835494,978.5849595069885,2.090275,99.0,-6.931466
1.9745688,0.19785956,1.0062578,6200,-40.302498,-124.81202901309729,-40.343643,1.0617092,0.45339233,0.40840313,423372,0.20340985,95.15,1.6735082,62,-3.2895517,[-0.613 -0.769 -0.446 -0.318 -0.091],1.2005951,,100,-9.833576,100.0,-6.931124,999.4173939228058,2.8615913,99.002396,-7.010309
1.2876927,0.17338735,0.99134547,6300,-40.42955,-124.6927584324711,-40.44564,1.018271,0.693631,0.3807975,431959,0.11097823,85.87,1.6599796,63,-2.5684354,[-0.614 -0.767 -0.441 -0.323 -0.094],1.0498698,,100,-9.934722,100.0,-7.080745,1017.826352596283,2.7375698,99.00668,-7.112304
1.0,0.18284,1.0,6400,-40.229584,-124.17381290128877,-40.229584,1.0,1.0,0.3865366,441101,,91.42,1.6689937,64,-3.2254102,[-0.615 -0.765 -0.443 -0.325 -0.095],1.0,,100,-9.968345,100.0,-6.8962493,1037.5052571296692,2.8136766,99.00001,-6.8962493
3.1207652,0.17114496,1.0048175,6500,-40.288563,-122.04548254662579,-40.332794,1.0455936,0.65533376,0.38212824,449458,0.22948565,83.57,1.558319,65,-3.4336133,[-0.615 -0.765 -0.443 -0.325 -0.095],1.1329367,,100,-11.708635,100.0,-6.9110875,1054.1954107284546,2.3639097,99.00003,-6.99946
