EmpiricalD2,ReturnMeanIW,EpLenMean,StdIW,Iteration,Weights,InitialReturnStd,InitialReturnMax,TimeElapsed,MaxIW,EpThisIter,Bound,EpRewMean,J_sample_variance,InitialReturnMin,MeanIW,MinIW,InitialReturnMean,TimestepsSoFar,EpisodesSoFar,InitialBound
3.9048455e+32,18.903654,76.79,13.682363,79,[-2.819 -0.532  2.187 -0.177 -1.961],4.326286,6.653315,1213.2197766304016,1305.5906,100,18.903654,-150.2375757969031,4505.1763,-7.045328,0.3851342,2.0970912e-22,2.479553e-07,445626,7900,9.435988
inf,10.96018,93.93,2.9037151,80,[-2.822 -0.552  2.173 -0.193 -1.967],4.1223583,7.1685658,1234.4416313171387,528.4134,100,10.96018,-165.88269475810125,146.3944,-6.3340397,0.18319428,,4.7683717e-08,455019,8000,7.0632744
inf,10.81117,165.62,3.1649697,81,[-2.876 -0.555  2.171 -0.2   -1.972],4.148821,5.8596487,1268.1262197494507,387.58612,100,10.81117,-220.52791784841324,2514.2434,-8.245488,0.08865549,,-7.0095064e-07,471581,8100,4.129678
inf,8.8351,136.72,1.2534245,82,[-2.871 -0.573  2.217 -0.189 -1.965],4.368174,6.7082233,1298.531327009201,93.71479,100,8.8351,-197.56444089956133,747.60315,-7.979188,0.077378534,,-3.6239624e-07,485253,8200,4.6047173
inf,19.531439,116.55,8.577585,83,[-2.866 -0.586  2.262 -0.179 -1.966],4.220595,7.4554205,1324.839230298996,748.92834,100,19.531439,-183.6304602342958,21421.885,-7.0673857,0.57708126,,2.861023e-07,496908,8300,5.440701
inf,20.430145,84.18,43.779854,84,[-2.88  -0.635  2.307 -0.23  -1.994],4.399176,7.2490654,1344.4373831748962,6702.156,100,20.430145,-157.45743886661384,10777.999,-6.5043697,0.43010315,,-1.2159347e-06,505326,8400,8.20081
inf,13.2325115,81.68,0.66902995,85,[-2.872 -0.638  2.273 -0.242 -1.999],4.1529455,6.7324505,1364.3709897994995,41.639954,100,13.2325115,-154.60125050531911,761.83563,-6.822397,0.07479212,,-3.862381e-07,513494,8500,9.06897
inf,25.293678,91.79,2.6266518,86,[-2.874 -0.637  2.244 -0.265 -1.999],4.074055,5.9186106,1386.826895236969,323.269,100,25.293678,-162.15744186445426,14890.792,-6.6668253,0.10447045,,-7.9631803e-07,522673,8600,8.289965
inf,11.367598,116.11,1.1004409,87,[-2.88  -0.634  2.199 -0.289 -1.999],3.875378,5.714496,1413.0430221557617,103.96402,100,11.367598,-180.1186612141893,1074.6526,-7.269231,0.048679706,,3.2424927e-07,534284,8700,6.405732
inf,70.42486,66.02,16.892998,88,[-2.833 -0.615  2.235 -0.247 -2.014],3.9622567,6.9273996,1431.0984952449799,1734.4597,100,70.42486,-144.08887428384375,358279.4,-7.303794,0.35527337,2.487657e-25,9.536743e-09,540886,8800,11.080765
