EpLenMean,EpRewMean,InitialReturnMax,Iteration,ReturnMeanIW,InitialBound,EmpiricalD2,J_sample_variance,InitialReturnMin,EpisodesSoFar,TimeElapsed,Bound,InitialReturnMean,MinIW,EpThisIter,MeanIW,TimestepsSoFar,StdIW,InitialReturnStd,MaxIW,Weights
104.56,-105.06064975664421,3.3589365,71,4.6532845,-171.11584,210.8406,13.894084,-3.1904192,7100,1500.7063882350922,-170.46924,3.3855437e-07,0.0012667546,100,1.4532305,745814,5.2132726,1.7227783,146.09398,[-0.706 -1.305 -0.363 -0.972 -0.14 ]
141.44,-103.46648827393014,4.488793,72,1.1812338,-8.869154,1.0,2.5784845,-2.7310243,7200,1527.9378726482391,-8.869154,-6.198883e-08,1.0,100,1.0,759958,,1.5977172,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
126.46,-106.71652159791765,3.4156966,73,2.194361,-7.8561754,1.0,2.4678948,-3.3582196,7300,1552.8476881980896,-7.8561754,4.720688e-07,1.0,100,1.0,772604,,1.563079,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
146.77,-107.81034217934963,3.8010046,74,1.23997,-8.810486,1.0,2.1880932,-3.2049642,7400,1581.6879415512085,-8.810486,-1.6927719e-07,1.0,100,1.0,787281,,1.4718059,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
136.87,-106.48206486962935,4.214634,75,1.6921809,-8.358258,1.0,2.9304333,-3.151867,7500,1608.2088024616241,-8.358258,-2.813339e-07,1.0,100,1.0,800968,,1.7032702,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
130.27,-105.14478427129124,3.2923439,76,2.1297808,-7.9207735,1.0,2.6289592,-3.1783953,7600,1633.7866325378418,-7.9207735,-4.4822693e-07,1.0,100,1.0,813995,,1.6132792,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
141.35,-104.00811728692894,3.7687643,77,1.2363586,-8.814073,1.0,2.6373143,-3.2560873,7700,1660.461745262146,-8.814073,-2.503395e-07,1.0,100,1.0,828130,,1.6158408,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
135.6,-106.47246198104713,4.494698,78,1.7160821,-8.334312,1.0,2.9885468,-2.9664721,7800,1685.6765444278717,-8.334312,-2.4318695e-07,1.0,100,1.0,841690,,1.7200761,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
137.94,-102.98093205470752,3.5718086,79,1.5679382,-8.482778,1.0,2.4822793,-3.5217876,7900,1712.779599905014,-8.482778,4.529953e-07,1.0,100,1.0,855484,,1.5676278,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
127.47,-104.67418709445683,3.3409238,80,2.2043092,-7.8461056,1.0,2.593467,-3.6072564,8000,1736.6188559532166,-7.8461056,-4.1484833e-07,1.0,100,1.0,868231,,1.6023521,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
139.23,-103.39453699331702,3.2510734,81,1.6558318,-8.394638,1.0,2.629222,-3.5091338,8100,1763.9508683681488,-8.394638,-8.583069e-08,1.0,100,1.0,882154,,1.6133597,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
120.19,-104.70823136381055,3.540445,82,2.4560068,-7.6271152,1.0,2.711267,-3.3386936,8200,1788.4507081508636,-7.6271152,2.8610229e-08,1.0,100,1.0,894173,,1.638339,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
152.19,-104.81477452239224,3.6051793,83,1.0269439,-9.023529,1.0,3.3866837,-3.3817778,8300,1818.9363141059875,-9.023529,-1.7166138e-07,1.0,100,1.0,909392,,1.8310698,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
130.78,-106.35077270051156,3.6572442,84,1.8988028,-8.151603,1.0,2.7342148,-3.4310694,8400,1843.3685450553894,-8.151603,1.2874604e-07,1.0,100,1.0,922470,,1.6452577,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
154.76,-103.79744655106575,4.672185,85,0.64665395,-9.403733,1.0,2.1778297,-3.628954,8500,1872.0049676895142,-9.403733,2.861023e-07,1.0,100,1.0,937946,,1.4683499,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
139.83,-102.99442931662279,3.3439076,86,1.6077008,-8.44301,1.0,2.3709924,-3.2858586,8600,1900.4675443172455,-8.44301,-2.813339e-07,1.0,100,1.0,951929,,1.5320845,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
136.74,-102.49674326202513,4.25763,87,1.4827012,-8.567711,1.0,2.8750894,-3.3368897,8700,1927.7372636795044,-8.567711,-4.005432e-07,1.0,100,1.0,965603,,1.6871097,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
128.15,-105.19786008288943,3.4766035,88,2.3099666,-7.7404838,1.0,2.8321836,-3.4782252,8800,1953.6754319667816,-7.7404838,-2.479553e-07,1.0,100,1.0,978418,,1.6744736,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
148.35,-105.68926826316745,3.4632006,89,0.9206344,-9.129808,1.0,2.6965954,-2.920529,8900,1982.088485956192,-9.129808,-7.343292e-07,1.0,100,1.0,993253,,1.6339002,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
139.04,-104.15838461013884,3.8706486,90,1.4923844,-8.558025,1.0,2.8967178,-3.454496,9000,2008.616052865982,-8.558025,-1.14440915e-07,1.0,100,1.0,1007157,,1.6934435,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
141.88,-104.02387325136995,3.366088,91,1.2974962,-8.752898,1.0,2.5120738,-3.1021276,9100,2036.430864572525,-8.752898,-1.14440915e-07,1.0,100,1.0,1021345,,1.5770078,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
133.91,-107.73390580610923,3.6813211,92,1.7456493,-8.3049,1.0,2.5006332,-2.996428,9200,2062.2387549877167,-8.3049,-1.5735627e-07,1.0,100,1.0,1034736,,1.5734125,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
135.25,-105.45984453725998,3.469497,93,1.6367688,-8.413809,1.0,2.3122468,-3.2544417,9300,2090.938838005066,-8.413809,6.4849854e-07,1.0,100,1.0,1048261,,1.5129853,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
142.1,-103.54922127818186,3.6596475,94,1.3851238,-8.665277,1.0,2.5624743,-3.5274014,9400,2117.917560338974,-8.665277,2.5272368e-07,1.0,100,1.0,1062471,,1.5927491,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
128.26,-104.9070995247549,4.2831564,95,1.9527371,-8.097927,1.0,2.8530684,-2.7198315,9500,2142.383330345154,-8.097927,,1.0,100,1.0,1075297,,1.6806362,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
139.05,-104.21532803432983,3.4029882,96,1.4244914,-8.6259,1.0,2.5373652,-3.4397745,9600,2169.4937720298767,-8.6259,-1.5735627e-07,1.0,100,1.0,1089202,,1.5849265,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
135.52,-106.44385285143815,3.3587437,97,1.6515034,-8.398904,1.0,2.3004887,-3.0307713,9700,2196.956444501877,-8.398904,3.004074e-07,1.0,100,1.0,1102754,,1.5091335,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
149.52,-105.21443139804428,3.8434334,98,1.093359,-8.957031,1.0,2.8513384,-3.9617825,9800,2226.1720037460327,-8.957031,2.193451e-07,1.0,100,1.0,1117706,,1.6801264,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
144.88,-104.09573768888002,4.229279,99,1.1373007,-8.913137,1.0,2.5740824,-3.7419395,9900,2256.5169122219086,-8.913137,8.583069e-08,1.0,100,1.0,1132194,,1.5963525,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
132.18,-104.20999479435335,3.6581388,100,1.7814339,-8.269096,1.0,2.4627962,-3.0623732,10000,2283.5915553569794,-8.269096,1.8119812e-07,1.0,100,1.0,1145412,,1.5614635,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
144.48,-104.13976966823766,3.6123888,101,1.2004433,-8.8500185,1.0,2.657098,-3.1991105,10100,2311.585186958313,-8.8500185,3.671646e-07,1.0,100,1.0,1159860,,1.62189,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
140.23,-101.58165392533618,3.5042107,102,1.393908,-8.656723,1.0,2.317267,-3.7957215,10200,2339.866455554962,-8.656723,-2.8610229e-08,1.0,100,1.0,1173883,,1.5146267,1.0,[-0.713 -1.316 -0.333 -0.95  -0.161]
