EmpiricalD2,EpThisIter,EpRewMean,InitialReturnMax,TimeElapsed,Iteration,Bound,Weights,InitialReturnMean,InitialBound,InitialReturnStd,TimestepsSoFar,EpisodesSoFar,ReturnMeanIW,InitialReturnMin,EpLenMean,J_sample_variance
1.0045726,100,-151.15555013417398,10.753708,480.1683359146118,97,-98.9046,[ 0.406 -0.573  0.156  0.295 -0.04 ],-3.0517577e-07,-99.01892,2.2572875,470919,9700,0.2045415,-2.2033234,55.29,7.4862194
1.0016786,100,-152.34861586758245,6.632614,484.58312940597534,98,-99.3353,[ 0.41  -0.572  0.156  0.295 -0.037],3.8146973e-07,-99.390144,2.1300452,476573,9800,0.09525376,-2.4079285,56.54,6.080888
1.0024045,100,-148.99224743909633,6.203926,489.9076042175293,99,-98.8844,[ 0.407 -0.573  0.156  0.293 -0.038],,-99.00109,2.1369267,481880,9900,0.203602,-2.3612823,53.07,7.909376
1.02353,100,-150.4733939272841,6.5280304,495.8502173423767,100,-98.35543,[ 0.403 -0.571  0.156  0.29  -0.039],-3.3569336e-06,-98.71072,2.2006023,487371,10000,0.7288897,-2.6806564,54.91,26.321783
1.018264,100,-149.07959429140317,7.71196,501.7404808998108,101,-98.87305,[ 0.398 -0.579  0.154  0.29  -0.035],8.468628e-06,-99.17686,2.1097481,492689,10100,0.61486745,-2.3940735,53.18,16.759613
1.0064472,100,-150.58680479277402,5.3576736,506.6820902824402,102,-97.77441,[ 0.392 -0.583  0.153  0.294 -0.035],2.1362305e-06,-98.005775,2.077024,498194,10200,0.46173227,-2.6604233,55.05,6.3540187
1.0071166,100,-152.1098533823865,5.6573715,511.6946589946747,103,-99.030655,[ 0.397 -0.591  0.151  0.293 -0.032],-4.043579e-06,-99.20466,2.0214884,503800,10300,0.32192546,-2.2431335,56.06,12.197818
1.0139251,100,-148.0992628085318,6.99366,517.6274211406708,104,-97.455086,[ 0.391 -0.591  0.15   0.292 -0.029],-1.1749267e-05,-97.75933,2.0657184,509020,10400,0.5251346,-2.360138,52.2,7.794673
1.0368754,100,-154.80797173841566,5.9576035,522.2015516757965,105,-98.11682,[ 0.395 -0.588  0.153  0.292 -0.03 ],1.5258789e-07,-98.55816,1.902415,514927,10500,0.91315573,-2.5245209,59.07,36.505737
1.0065359,100,-150.54867792606876,7.172989,527.573100566864,106,-96.86492,[ 0.403 -0.579  0.154  0.295 -0.029],-4.4250487e-06,-96.988914,2.0249686,520361,10600,0.2135933,-2.1498795,54.34,7.5886836
1.0072504,100,-152.75879808016776,6.507057,533.4089734554291,107,-99.5103,[ 0.398 -0.582  0.153  0.297 -0.029],1.083374e-05,-99.65881,2.2602203,526082,10700,0.26977602,-2.6244965,57.21,11.839239
1.0016584,100,-153.33163567932678,7.095436,539.4986851215363,108,-97.729095,[ 0.395 -0.587  0.154  0.298 -0.03 ],3.0517577e-07,-97.802376,1.8634229,531813,10800,0.13696393,-2.2343216,57.31,4.6626225
