Iteration,EpThisIter,InitialReturnStd,EpRewMean,InitialReturnMean,InitialBound,TimestepsSoFar,EpLenMean,EmpiricalD2,Weights,ReturnMeanIW,InitialReturnMax,EpisodesSoFar,InitialReturnMin,Bound,J_sample_variance,TimeElapsed
126,100,2.6694067,-108.09688437081391,2.822876e-06,-93.249176,410516,16.51,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.249176,6.803833,12600,-4.5109177,-93.249176,7.1977124,258.8331594467163
127,100,2.7760642,-108.34038019680344,5.0354006e-06,-93.59171,412152,16.36,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.59171,7.761818,12700,-4.0993195,-93.59171,7.7844105,260.10010838508606
128,100,2.6710932,-107.84739140653868,1.8310546e-06,-93.31564,413768,16.16,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.31564,7.827606,12800,-4.3164673,-93.31564,7.2068424,261.2960796356201
129,100,2.7206507,-107.56387790299213,-2.2888185e-06,-92.92632,415401,16.33,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.92632,8.085854,12900,-4.643944,-92.92632,7.4767346,262.6074538230896
130,100,2.77671,-107.93198083198898,-4.196167e-06,-93.5116,417002,16.01,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.5116,8.035011,13000,-4.0759354,-93.5116,7.7879643,263.87185406684875
131,100,2.692801,-107.96199553625496,3.0517579e-06,-93.49519,418608,16.06,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.49519,9.588524,13100,-3.9601822,-93.49519,7.3244495,265.1270754337311
132,100,2.2947135,-107.99880215889368,-8.392334e-07,-93.438896,420227,16.19,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.438896,5.1682663,13200,-3.6956863,-93.438896,5.3189006,266.31099915504456
133,100,2.4761353,-108.14654563633647,4.9591063e-06,-93.776825,421819,15.92,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.776825,7.8447037,13300,-3.6720505,-93.776825,6.1931763,267.90891337394714
134,100,2.5846364,-107.80906451785047,1.1291504e-05,-93.50517,423408,15.89,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.50517,9.481537,13400,-4.0722504,-93.50517,6.7478275,269.17339277267456
135,100,2.3867214,-107.97592580760626,-1.6784668e-06,-93.451485,425022,16.14,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.451485,6.7819977,13500,-3.8340988,-93.451485,5.7539806,270.43396258354187
136,100,2.457022,-107.62275330878595,7.93457e-06,-93.41714,426603,15.81,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.41714,7.3151855,13600,-3.8386078,-93.41714,6.097942,271.6801497936249
137,100,2.3559084,-107.92497825160375,-5.0354006e-06,-93.72176,428178,15.75,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.72176,9.591797,13700,-3.859436,-93.72176,5.6063714,272.9795398712158
138,100,2.6066372,-107.96451162288969,1.5258789e-06,-93.43937,429791,16.13,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.43937,7.6038895,13800,-4.073448,-93.43937,6.863231,274.22548818588257
139,100,2.7494912,-107.6955612472292,2.5939942e-06,-93.18472,431405,16.14,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.18472,6.9866333,13900,-4.285881,-93.18472,7.6360645,275.5169794559479
140,100,2.8120785,-107.97447430092411,-6.4849855e-06,-93.1895,433051,16.46,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.1895,8.372475,14000,-4.145462,-93.1895,7.9876947,276.81984400749207
141,100,2.3031607,-107.88445269025719,3.8146973e-06,-93.725006,434622,15.71,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.725006,5.644745,14100,-4.0414734,-93.725006,5.358099,278.0930082798004
142,100,2.7310915,-108.03589811683709,-9.689331e-06,-93.41607,436248,16.26,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.41607,8.012314,14200,-4.175316,-93.41607,7.5342426,279.5205543041229
143,100,2.8476443,-107.92572164815861,2.822876e-06,-93.37083,437865,16.17,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.37083,8.922272,14300,-4.283905,-93.37083,8.191016,280.6595866680145
144,100,2.7632375,-107.95438547068984,2.5939942e-06,-93.14887,439513,16.48,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.14887,8.847839,14400,-4.36322,-93.14887,7.7126017,282.28027629852295
145,100,2.6835864,-107.9555911145924,5.722046e-06,-93.25772,441148,16.35,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.25772,7.6962433,14500,-4.163887,-93.25772,7.274338,283.5875267982483
146,100,2.6857653,-107.83569738711729,-3.5095215e-06,-93.53492,442736,15.88,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.53492,7.7721024,14600,-4.0286484,-93.53492,7.2861996,284.8533444404602
147,100,2.9789305,-107.94266472890223,2.670288e-06,-93.35854,444357,16.21,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.35854,8.842308,14700,-3.8526611,-93.35854,8.963657,286.23316955566406
148,100,2.7555392,-107.66259750193517,9.918213e-07,-92.97495,445995,16.38,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.97495,6.8771286,14800,-4.169716,-92.97495,7.669698,287.6682209968567
149,100,2.645051,-107.74273480136497,-3.2043456e-06,-93.19732,447615,16.2,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.19732,7.680435,14900,-4.0759125,-93.19732,7.066963,289.0342175960541
150,100,2.9514368,-107.67882908901029,2.0599366e-06,-92.92604,449260,16.45,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.92604,8.271027,15000,-4.210823,-92.92604,8.799004,290.3080337047577
151,100,3.0004194,-107.78831406089589,-4.5013426e-06,-93.22168,450881,16.21,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.22168,8.841049,15100,-4.384033,-93.22168,9.093488,291.600768327713
152,100,2.6379662,-108.67230139282633,-5.4931643e-06,-93.61021,452551,16.7,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.61021,9.549957,15200,-3.8170166,-93.61021,7.029158,292.81275510787964
153,100,3.024026,-107.85652817022802,-5.1879883e-06,-93.123405,454190,16.39,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.123405,8.204964,15300,-4.454178,-93.123405,9.237097,294.0293209552765
154,100,2.395797,-107.48414292326696,-4.7302246e-06,-93.06288,455798,16.08,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.06288,7.121666,15400,-3.835312,-93.06288,5.797784,295.2163224220276
155,100,2.9626114,-107.6826755374493,8.850097e-06,-92.90804,457445,16.47,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.90804,9.035461,15500,-4.4337616,-92.90804,8.86572,296.7399547100067
156,100,2.4569523,-107.71116705742554,-1.6784668e-06,-93.62272,459009,15.64,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.62272,9.125969,15600,-3.733551,-93.62272,6.097593,298.0204076766968
157,100,2.8857546,-107.99850944650323,4.9591063e-06,-93.07056,460672,16.63,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.07056,7.8547897,15700,-4.49852,-93.07056,8.411655,299.29319977760315
158,100,2.7657688,-107.6422643429885,5.7983398e-06,-93.10995,462291,16.19,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.10995,7.532387,15800,-4.332077,-93.10995,7.7267814,300.52369713783264
159,100,2.287652,-108.12992650070069,5.8746336e-06,-93.660645,463895,16.04,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.660645,6.9189606,15900,-3.798935,-93.660645,5.2862377,301.81283712387085
160,100,2.648021,-107.93161702124421,-2.1362305e-06,-93.21989,465532,16.37,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.21989,7.352379,16000,-4.2963333,-93.21989,7.0828495,303.1436641216278
161,100,2.6999996,-107.57204075862914,-1.3732911e-06,-93.27766,467122,15.9,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.27766,8.082993,16100,-4.254219,-93.27766,7.3636365,304.4506719112396
162,100,2.6270914,-107.89239171190633,-3.1280517e-06,-93.33786,468739,16.17,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.33786,8.196556,16200,-4.1224213,-93.33786,6.971321,305.734915971756
163,100,2.2995813,-107.75680421350535,-1.6784668e-06,-93.24547,470354,16.15,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.24547,7.449074,16300,-4.283058,-93.24547,5.341513,307.0376901626587
164,100,2.6549256,-107.88350594275069,-3.2806397e-06,-93.5908,471942,15.88,nan,[ 118.62    18.198 1143.508  200.7     -9.842],,9.18734,16400,-3.9311066,,,308.3072636127472
165,100,2.6989884,-107.87179816994527,5.0354006e-06,-93.12407,473585,16.43,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.12407,7.2652893,16500,-4.4284134,-93.12407,7.3580875,309.9986126422882
166,100,2.8794055,-108.08151399085762,2.1362305e-06,-93.22667,475238,16.53,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.22667,7.5258865,16600,-4.123352,-93.22667,8.374722,311.1503427028656
167,100,2.3201547,-107.90218306804032,8.239746e-06,-93.53087,476834,15.96,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.53087,7.2608643,16700,-3.980919,-93.53087,5.437492,312.80254459381104
168,100,2.7094579,-108.04671337858494,-1.9073486e-06,-93.206024,478485,16.51,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.206024,8.500771,16800,-4.316551,-93.206024,7.415282,314.05278730392456
169,100,2.6746895,-107.94025133291134,1.5258789e-07,-93.120224,480136,16.51,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.120224,6.930969,16900,-4.3424683,-93.120224,7.226223,315.3631863594055
170,100,2.4581172,-108.3700713893243,-8.392334e-07,-93.643295,481769,16.33,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.643295,6.3089294,17000,-3.8543777,-93.643295,6.1033444,316.6571488380432
171,100,2.9558694,-108.13165952518979,5.340576e-07,-93.24851,483421,16.52,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.24851,8.624283,17100,-4.403816,-93.24851,8.825369,317.9168028831482
172,100,2.6708856,-108.47768930153738,4.4250487e-06,-93.60456,485069,16.48,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.60456,9.171761,17200,-3.9959106,-93.60456,7.2056465,319.2629454135895
173,100,2.5874949,-107.61139294645398,-7.6293945e-06,-93.1833,486676,16.07,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.1833,8.497986,17300,-4.433197,-93.1833,6.762784,320.58294200897217
174,100,2.5922563,-107.99419607801391,1.6555787e-05,-93.26946,488313,16.37,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.26946,6.721077,17400,-4.224472,-93.26946,6.7877054,321.78036236763
175,100,2.8077784,-107.87089101216658,-3.8146973e-07,-93.16107,489949,16.36,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.16107,8.378464,17500,-4.2938004,-93.16107,7.9632564,323.1119341850281
176,100,2.4196308,-107.84193199756915,-6.8664554e-07,-93.24168,491573,16.24,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.24168,7.833046,17600,-4.58136,-93.24168,5.913747,324.3294379711151
177,100,2.5384035,-108.29617697516447,-1.4190674e-05,-93.710915,493190,16.17,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.710915,7.8816376,17700,-3.897606,-93.710915,6.50858,325.4558699131012
178,100,2.8086472,-107.95752318824688,4.653931e-06,-93.516235,494792,16.02,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.516235,9.303413,17800,-4.0252304,-93.516235,7.968184,326.97753643989563
179,100,2.7150247,-107.7580440198374,-3.5858154e-06,-93.0495,496429,16.37,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.0495,8.136841,17900,-4.2974243,-93.0495,7.4458265,328.29514384269714
180,100,2.7327108,-108.19999454551515,2.1362305e-06,-93.2265,498095,16.66,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.2265,8.325012,18000,-4.1041946,-93.2265,7.5431714,329.5514621734619
181,100,2.6525266,-108.05768262440293,-1.4495849e-06,-93.39458,499723,16.28,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.39458,6.7693253,18100,-3.9841156,-93.39458,7.106963,330.8279469013214
182,100,2.452406,-108.17545896221488,7.3242186e-06,-93.77544,501318,15.95,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.77544,7.710602,18200,-3.5019302,-93.77544,6.0750422,332.12726521492004
183,100,2.726028,-107.7456156972694,4.5013426e-06,-93.00925,502959,16.41,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.00925,8.089745,18300,-4.514786,-93.00925,7.5063205,333.41168546676636
184,100,2.9084334,-108.06119019755931,3.0517579e-06,-93.32939,504596,16.37,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.32939,10.067215,18400,-4.0227356,-93.32939,8.544428,334.668336391449
185,100,2.5320427,-108.14435590570761,2.2125244e-06,-93.758835,506189,15.93,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.758835,8.658775,18500,-4.0716705,-93.758835,6.476004,335.9003071784973
186,100,2.6554081,-107.89193351958706,-7.705688e-06,-93.38897,507801,16.12,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.38897,7.596092,18600,-4.225273,-93.38897,7.1223845,337.17824029922485
187,100,2.5667171,-108.16077840668318,-9.07898e-06,-93.228165,509463,16.62,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.228165,7.7804794,18700,-3.8914719,-93.228165,6.654541,338.4402527809143
188,100,2.7656944,-108.00788877019102,-2.1362305e-06,-93.50269,511072,16.09,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.50269,7.779625,18800,-4.315651,-93.50269,7.7262945,339.613774061203
189,100,2.7083638,-107.73142410448997,4.8065185e-06,-93.44441,512660,15.88,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.44441,8.9136505,18900,-3.608841,-93.44441,7.4093246,341.2437171936035
190,100,2.6299684,-107.55658363384093,-7.019043e-06,-92.96909,514286,16.26,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-92.96909,6.3906937,19000,-4.5708847,-92.96909,6.9865937,342.6345953941345
191,100,2.651779,-108.08712806573507,-3.3569336e-06,-93.23622,515938,16.52,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.23622,6.408989,19100,-4.1104736,-93.23622,7.103,343.969975233078
192,100,2.7646387,-107.90007136397278,-8.010864e-06,-93.29553,517561,16.23,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.29553,9.12886,19200,-4.034523,-93.29553,7.720427,345.2195711135864
193,100,2.6692047,-108.19865184132372,-2.5177003e-06,-93.40295,519204,16.43,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.40295,7.9600143,19300,-3.969162,-93.40295,7.1966515,346.59666419029236
194,100,2.5812986,-108.15055052968319,2.2125244e-06,-93.11122,520878,16.74,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.11122,7.267746,19400,-4.3571014,-93.11122,6.7303715,347.9910213947296
195,100,3.0917428,-108.05462766317996,5.0354006e-06,-93.08166,522544,16.66,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.08166,8.085548,19500,-4.274269,-93.08166,9.655424,349.2475731372833
196,100,2.472892,-108.61509110867533,1.5258789e-06,-93.88763,524172,16.28,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.88763,7.4342957,19600,-3.537178,-93.88763,6.176966,350.45578122138977
197,100,2.615709,-108.83734840027546,3.3569336e-06,-93.806404,525833,16.61,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.806404,8.086075,19700,-3.8779068,-93.806404,6.911044,351.590811252594
198,100,2.4111621,-108.23350102188249,1.4495849e-06,-93.932976,527415,15.82,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.932976,6.6490707,19800,-3.6228867,-93.932976,5.87242,352.870977640152
199,100,2.3286085,-108.55234391643468,-6.866455e-06,-94.1768,529004,15.89,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-94.1768,6.800667,19900,-3.4419403,-94.1768,5.4771924,354.1227967739105
200,100,2.199679,-108.44760519760933,3.890991e-06,-94.05383,530596,15.92,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-94.05383,6.075493,20000,-3.2814941,-94.05383,4.8874636,355.40629506111145
201,100,2.5763085,-107.64983771536576,-1.2588501e-05,-93.50913,532167,15.71,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.50913,8.857765,20100,-3.665985,-93.50913,6.7044263,356.71189546585083
202,100,2.9256015,-108.2545823907723,-9.460449e-06,-93.234695,533837,16.7,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.234695,8.448776,20200,-3.7296677,-93.234695,8.645589,358.04845571517944
203,100,2.6874425,-108.0540496791154,3.2806397e-06,-93.50454,535451,16.14,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.50454,8.454506,20300,-4.0057297,-93.50454,7.295265,359.36036801338196
204,100,2.9758623,-107.79889968045494,-2.8991699e-06,-92.99031,537102,16.51,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-92.99031,7.9662857,20400,-4.602112,-92.99031,8.94517,360.6598336696625
205,100,2.5996184,-108.25219063131551,1.8310546e-06,-93.5434,538733,16.31,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.5434,7.6474533,20500,-4.194298,-93.5434,6.8262787,361.9601364135742
206,100,2.6161892,-108.54932430892185,6.1035155e-07,-93.757866,540371,16.38,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.757866,7.180275,20600,-3.8743744,-93.757866,6.913585,363.23077154159546
207,100,2.6647105,-108.17923830888148,-4.196167e-06,-93.45233,542005,16.34,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.45233,8.138481,20700,-4.0708313,-93.45233,7.1724057,364.5388355255127
208,100,2.6337194,-107.54128824084118,3.2806397e-06,-93.219215,543599,15.94,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.219215,9.291252,20800,-4.200844,-93.219215,7.0065374,365.63544392585754
209,100,2.6234584,-108.05042794893473,1.0604858e-05,-93.484474,545216,16.17,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.484474,7.1346664,20900,-3.8932343,-93.484474,6.952025,367.08845353126526
210,100,2.4719787,-108.0473242806116,4.119873e-06,-93.17679,546870,16.54,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.17679,6.653023,21000,-4.2311935,-93.17679,6.172372,368.39963579177856
211,100,2.478046,-107.99598283532119,-4.043579e-06,-93.20816,548513,16.43,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.20816,7.197052,21100,-3.9699554,-93.20816,6.202771,369.68516421318054
212,100,2.8342738,-107.97708505043482,-8.7738035e-06,-93.175575,550161,16.48,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.175575,8.554024,21200,-4.2306747,-93.175575,8.114252,371.02047991752625
213,100,2.3227985,-108.18278217770342,3.5858154e-06,-93.49721,551791,16.3,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.49721,8.8131485,21300,-3.7710724,-93.49721,5.449894,372.35082483291626
214,100,3.2366138,-108.31322152297362,-4.119873e-06,-93.338455,553453,16.62,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.338455,8.958015,21400,-4.2631607,-93.338455,10.581474,373.66081142425537
215,100,2.2441986,-108.183743219067,5.264282e-06,-93.702156,555059,16.06,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.702156,6.9576416,21500,-3.5213623,-93.702156,5.0873303,374.93625140190125
216,100,2.7073562,-108.29649399148845,9.155274e-06,-93.68338,556678,16.19,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.68338,8.631889,21600,-3.7361145,-93.68338,7.403843,376.2519414424896
217,100,2.9411929,-108.14600299686052,-5.340576e-06,-93.17566,558342,16.64,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.17566,8.595154,21700,-4.113304,-93.17566,8.737996,377.5582025051117
218,100,2.9161563,-108.30122675471276,1.6021728e-06,-93.309555,560009,16.67,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.309555,7.927971,21800,-4.084694,-93.309555,8.589833,378.75278186798096
219,100,2.7850451,-107.776415210585,1.4190674e-05,-93.19956,561632,16.23,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.19956,8.460197,21900,-4.262512,-93.19956,7.8348255,379.85125732421875
220,100,2.8230658,-107.7895265237464,-7.6293944e-08,-93.28639,563244,16.12,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.28639,7.6124496,22000,-3.9200287,-93.28639,8.050238,381.3738260269165
221,100,2.6373365,-108.11443455824576,-4.577637e-06,-93.751465,564837,15.93,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.751465,9.2513275,22100,-3.653122,-93.751465,7.025808,382.6377604007721
222,100,2.6914575,-107.95163621363682,-1.9073486e-06,-93.547195,566438,16.01,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.547195,9.249268,22200,-4.1856613,-93.547195,7.317122,383.88333344459534
223,100,2.6719,-108.4137763259599,5.645752e-06,-93.62101,568078,16.4,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.62101,7.88813,22300,-4.098236,-93.62101,7.2112007,385.1819100379944
224,100,2.629469,-108.1317245661177,-3.967285e-06,-93.439835,569708,16.3,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.439835,6.9540176,22400,-4.2646484,-93.439835,6.983982,386.52969002723694
225,100,2.5644262,-107.69273288410892,-8.7738035e-06,-93.439804,571295,15.87,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.439804,8.194313,22500,-3.5467987,-93.439804,6.642743,387.86769676208496
226,100,2.494251,-108.09659840480242,8.7738035e-06,-93.4992,572914,16.19,1.0,[ 118.717   17.647 1140.601  201.662   -9.186],-93.4992,6.6637497,22600,-3.8493423,-93.4992,6.284097,389.16119718551636
