InitialReturnMax,EpLenMean,TimeElapsed,ReturnMeanIW,J_sample_variance,InitialReturnStd,EpThisIter,EpisodesSoFar,EmpiricalD2,InitialReturnMin,InitialBound,Weights,EpRewMean,TimestepsSoFar,Bound,InitialReturnMean,Iteration
4.4204407,40.58,195.8667426109314,0.046903294,2.8234916,1.6369098,100,4600,1.0001153,-2.1612015,-322.61804,[ 0.599 -0.547  0.23   0.396 -0.002],-136.82454705307566,197519,-322.5912,2.8991699e-06,46
4.724083,42.38,199.63191652297974,0.02607716,3.0586302,1.7110476,100,4700,1.0000939,-2.1543274,-321.6759,[ 0.599 -0.547  0.23   0.395 -0.003],-138.511666653425,201757,-321.66086,-3.8146973e-07,47
6.0399857,43.13,203.31891798973083,0.042873096,3.116938,1.7297817,100,4800,1.0003517,-1.9514084,-323.1376,[ 0.599 -0.547  0.23   0.395 -0.003],-139.33698909418644,206070,-323.11575,6.2561035e-06,48
4.490608,41.13,207.17661547660828,0.11819389,3.1162348,1.5157733,100,4900,1.00111,-1.8791962,-323.9346,[ 0.599 -0.548  0.23   0.395 -0.003],-137.60171534616936,210183,-323.87384,5.8746336e-06,49
3.4977417,39.8,210.64401936531067,0.051708546,1.9855994,1.3710953,100,5000,1.0001323,-1.7983093,-324.23062,[ 0.6   -0.546  0.23   0.395 -0.004],-136.01308623084054,214163,-324.20612,-1.5258789e-07,50
6.285248,40.43,215.65100193023682,0.32527095,4.1935587,1.5981714,100,5100,1.0035015,-1.8436127,-323.46637,[ 0.602 -0.547  0.23   0.396 -0.005],-136.8852272291636,218206,-323.291,-1.6784668e-06,51
4.925873,42.85,221.1672101020813,0.06382022,3.3741288,1.7069036,100,5200,1.0005373,-2.1295776,-320.8476,[ 0.606 -0.545  0.231  0.396 -0.004],-138.979710234447,222491,-320.8117,6.8664554e-07,52
6.240547,42.76,225.09741115570068,0.080842406,3.4988952,1.8276253,100,5300,1.0002694,-1.9264069,-319.2194,[ 0.606 -0.544  0.231  0.396 -0.004],-139.10375763748124,226767,-319.17618,4.196167e-06,53
4.748764,38.9,229.03801274299622,0.038714405,2.6675766,1.5989914,100,5400,1.0003762,-2.0342636,-322.618,[ 0.606 -0.544  0.231  0.395 -0.003],-135.2804289323391,230657,-322.59894,5.722046e-06,54
5.1505356,45.76,232.52129459381104,0.0066873953,2.5462337,1.5847007,100,5500,1.0000565,-1.8983154,-326.5055,[ 0.605 -0.545  0.23   0.395 -0.003],-142.24940810753202,235233,-326.50125,-1.3198853e-05,55
5.776993,46.83,236.48123741149902,0.017187042,2.5958664,1.5934268,100,5600,1.0000931,-2.1319275,-319.94687,[ 0.605 -0.545  0.23   0.395 -0.003],-143.15954131432295,239916,-319.9353,4.9591063e-06,56
6.3732224,40.24,240.28846955299377,0.04615069,3.614147,1.8259699,100,5700,1.0002915,-2.153038,-320.1792,[ 0.606 -0.545  0.23   0.395 -0.003],-136.42412646374297,243940,-320.15424,1.9073486e-06,57
5.0889587,45.11,245.07703113555908,0.054039076,1.9751012,1.3379326,100,5800,1.0002277,-1.8561935,-316.73828,[ 0.604 -0.544  0.229  0.395 -0.002],-141.55741230012575,248451,-316.7086,1.2207031e-06,58
5.5077286,44.25,249.3560347557068,0.027319865,2.7003753,1.600738,100,5900,1.0002245,-1.7782974,-328.03757,[ 0.603 -0.544  0.229  0.394 -0.003],-140.7443038706814,252876,-328.02026,1.0986329e-05,59
