EpLenMean,EpRewMean,InitialReturnMin,TimestepsSoFar,Bound,InitialBound,InitialReturnStd,J_sample_variance,InitialReturnMax,Iteration,EpThisIter,EpisodesSoFar,TimeElapsed,InitialReturnMean,Weights,EmpiricalD2,ReturnMeanIW
43.82,-139.9889602664894,-99.63131,308314,-419.4384,-419.59293,1.6787821,9.332453,-92.35455,72,100,7200,344.4971854686737,-97.528244,[ 0.635 -0.564  0.24   0.39   0.02 ],1.0011518,-97.217384
40.71,-136.5086252773483,-99.63806,312385,-416.19003,-417.3321,1.9530448,148.75195,-91.82177,73,100,7300,349.8001811504364,-97.15293,[ 0.635 -0.566  0.24   0.389  0.023],1.0227005,-94.95993
44.72,-140.5399318305092,-99.57434,316857,-421.34503,-422.91287,1.7514104,184.9252,-90.46136,74,100,7400,354.69556999206543,-97.257,[ 0.639 -0.558  0.243  0.388  0.021],1.0311835,-94.419586
38.82,-135.148618506994,-99.65516,320739,-406.0954,-406.33737,1.5496638,13.531536,-91.95387,75,100,7500,359.2056088447571,-97.6323,[ 0.647 -0.551  0.246  0.392  0.022],1.0021952,-97.148346
41.88,-138.02531442736742,-99.55784,324927,-415.8869,-416.47083,1.6328596,24.10612,-89.630745,76,100,7600,363.52594208717346,-97.50429,[ 0.647 -0.554  0.246  0.389  0.025],1.0029808,-96.45365
37.24,-133.20176470417312,-99.417915,328651,-411.41412,-411.73743,1.815403,15.351473,-91.26925,77,100,7700,367.58296060562134,-97.2854,[ 0.649 -0.557  0.248  0.391  0.03 ],1.0013901,-96.79364
38.1,-134.4329500402016,-99.577866,332461,-405.3264,-405.85873,1.6933622,33.47739,-92.83305,78,100,7800,372.22272849082947,-97.63486,[ 0.642 -0.549  0.246  0.392  0.03 ],1.0041698,-96.557045
40.52,-136.70309592612884,-99.54447,336513,-410.76535,-411.2625,1.5850087,36.26793,-92.014305,79,100,7900,376.8457555770874,-97.52913,[ 0.642 -0.555  0.248  0.398  0.028],1.004647,-96.584625
44.74,-140.87700257170263,-99.58055,340987,-423.91852,-424.0212,1.6149333,11.136261,-92.51724,80,100,8000,382.03519105911255,-97.51572,[ 0.635 -0.554  0.247  0.395  0.032],1.0020366,-97.284805
44.62,-140.7772522135145,-99.47839,345449,-423.64215,-423.9206,1.7013968,17.652802,-91.82958,81,100,8100,387.72342562675476,-97.5137,[ 0.635 -0.557  0.247  0.395  0.032],1.0017891,-97.03164
44.98,-141.0498157173248,-99.52537,349947,-424.3456,-427.64038,1.9555588,308.95575,-91.837204,82,100,8200,393.1213388442993,-97.45003,[ 0.64  -0.558  0.247  0.397  0.029],1.057965,-91.23867
39.39,-135.27868668907828,-99.702225,353886,-414.07855,-414.30243,1.996153,9.276131,-90.712906,83,100,8300,398.1178443431854,-97.26441,[ 0.649 -0.548  0.251  0.404  0.022],1.0007766,-96.92367
39.73,-135.86369234550443,-99.74869,357859,-412.1801,-412.5776,1.7120286,25.42713,-92.43652,84,100,8400,402.72120094299316,-97.43711,[ 0.646 -0.544  0.25   0.403  0.024],1.0040183,-96.72266
40.23,-136.26454736166775,-99.52011,361882,-402.36578,-403.04803,1.5980167,49.09494,-91.043976,85,100,8500,407.1824266910553,-97.394806,[ 0.641 -0.543  0.248  0.399  0.027],1.007568,-96.19298
46.34,-142.5208573908249,-99.59222,366516,-421.15927,-421.9578,1.7876291,57.87039,-91.890884,86,100,8600,411.9725167751312,-97.583626,[ 0.633 -0.542  0.246  0.394  0.03 ],1.0109918,-96.05706
37.19,-133.1607947921527,-99.51426,370235,-405.0762,-406.00397,1.7195935,64.0693,-91.43643,87,100,8700,416.8356873989105,-97.2989,[ 0.643 -0.544  0.248  0.395  0.025],1.0078592,-95.72799
37.99,-134.1764829065507,-99.53263,374034,-407.07324,-407.57965,1.4919602,24.942865,-92.72449,88,100,8800,422.2224645614624,-97.49236,[ 0.644 -0.551  0.249  0.399  0.029],1.0053986,-96.48858
40.68,-137.16562939093518,-99.72824,378102,-421.58813,-422.71774,1.4875642,105.4842,-92.27355,89,100,8900,426.91317534446716,-97.79862,[ 0.646 -0.548  0.25   0.394  0.033],1.0203695,-95.69348
41.63,-137.52233734716367,-99.52994,382265,-417.48148,-418.29877,1.6728607,61.54554,-92.46376,90,100,9000,431.6752121448517,-97.23741,[ 0.642 -0.554  0.247  0.388  0.034],1.0087858,-95.57978
41.48,-137.82585911448712,-99.69414,386413,-419.70132,-420.28384,1.590007,60.041317,-92.34263,91,100,9100,435.62201976776123,-97.66578,[ 0.644 -0.552  0.249  0.395  0.031],1.0103247,-96.56128
39.12,-135.10784455297534,-99.813385,390325,-403.526,-404.04294,1.6476921,35.7341,-91.92525,92,100,9200,439.6508514881134,-97.32749,[ 0.649 -0.547  0.25   0.395  0.029],1.006181,-96.29335
41.66,-137.95313774512158,-99.85153,394491,-420.94034,-424.23743,1.7734491,308.2431,-91.02765,93,100,9300,444.41636657714844,-97.6353,[ 0.652 -0.556  0.251  0.393  0.025],1.0588399,-91.754364
38.57,-134.5494257051892,-99.59856,398348,-408.1615,-408.68146,1.7119472,13.102406,-92.62828,94,100,9400,449.1905529499054,-97.29921,[ 0.662 -0.545  0.255  0.394  0.024],1.0014323,-96.5857
41.37,-137.59368150594375,-99.64072,402485,-419.49652,-420.36224,1.5868917,43.75323,-91.216255,95,100,9500,453.81834840774536,-97.56728,[ 0.656 -0.538  0.253  0.393  0.021],1.0084028,-95.835205
41.01,-137.2001227653931,-99.48713,406586,-424.93307,-425.1573,1.3896246,10.605861,-93.786255,96,100,9600,459.2538900375366,-97.53994,[ 0.651 -0.54   0.251  0.399  0.022],1.0014198,-97.11524
36.2,-132.50992368595305,-99.446175,410206,-418.2574,-418.6353,1.5245804,13.393484,-92.47351,97,100,9700,463.9580442905426,-97.57398,[ 0.65  -0.541  0.251  0.396  0.023],1.0018142,-96.813934
37.59,-133.71179745114162,-99.519554,413965,-413.4552,-413.86728,1.6399785,22.800964,-91.64591,98,100,9800,468.9819767475128,-97.43498,[ 0.64  -0.533  0.249  0.393  0.023],1.0022006,-96.64064
35.37,-131.55644417441397,-99.46651,417502,-412.67053,-413.59314,1.61811,90.606674,-91.25149,99,100,9900,473.2233335971832,-97.473495,[ 0.641 -0.533  0.25   0.399  0.024],1.01469,-95.634186
38.3,-134.64552256836248,-99.582016,421332,-415.05106,-415.54465,1.5445696,58.443127,-92.51866,100,100,10000,477.71399688720703,-97.64496,[ 0.642 -0.523  0.249  0.398  0.02 ],1.0085546,-96.73477
41.28,-137.13683003434645,-99.55952,425460,-418.83142,-419.72058,1.9631214,55.487606,-90.60945,101,100,10100,482.0988070964813,-97.28311,[ 0.646 -0.519  0.25   0.401  0.018],1.0065478,-95.63487
36.61,-132.8840054214658,-99.60542,429121,-403.20206,-404.28418,1.4749922,91.26832,-93.832275,102,100,10200,486.93394684791565,-97.56874,[ 0.642 -0.52   0.249  0.406  0.015],1.0220442,-95.33427
41.72,-137.975111253089,-99.77624,433293,-419.29434,-419.64978,1.4679695,23.798191,-92.68593,103,100,10300,492.2609965801239,-97.58507,[ 0.631 -0.521  0.245  0.407  0.017],1.0033255,-96.878395
37.56,-134.05128227059487,-99.459175,437049,-405.84314,-406.47714,1.4988184,27.400768,-92.38826,104,100,10400,497.55214762687683,-97.772064,[ 0.633 -0.52   0.245  0.412  0.017],1.0036075,-96.63536
37.16,-133.41569965482822,-99.52465,440765,-416.3996,-417.26852,1.6643369,75.69858,-92.01538,105,100,10500,502.0774738788605,-97.55911,[ 0.634 -0.525  0.247  0.411  0.021],1.0100056,-96.09656
36.75,-132.8924392899583,-99.47517,444440,-414.51804,-414.77225,1.6232687,21.811172,-90.75858,106,100,10600,507.1100158691406,-97.44088,[ 0.642 -0.525  0.25   0.409  0.02 ],1.0028825,-96.957954
38.86,-135.08544561509842,-99.46294,448326,-409.1471,-409.7567,1.6898696,26.369436,-92.26802,107,100,10700,512.4960339069366,-97.55675,[ 0.634 -0.523  0.249  0.41   0.021],1.003181,-96.44282
38.59,-135.01737803461762,-99.70471,452185,-415.9516,-416.93988,1.4284191,45.831593,-92.53775,108,100,10800,517.2939717769623,-97.720505,[ 0.635 -0.526  0.252  0.416  0.023],1.0070416,-95.8235
37.55,-133.7042832838273,-99.58218,455940,-415.6182,-415.92572,1.7143334,16.560514,-91.454636,109,100,10900,522.2279229164124,-97.48134,[ 0.636 -0.522  0.251  0.41   0.029],1.001576,-96.88813
42.71,-138.83995798560605,-99.62363,460211,-420.34955,-420.95975,1.6434287,27.230898,-92.32382,110,100,11000,527.0251655578613,-97.49328,[ 0.637 -0.524  0.252  0.415  0.027],1.0032216,-96.370995
38.78,-135.10826050745337,-99.68444,464089,-411.17145,-411.3977,1.4581574,10.965418,-93.12996,111,100,11100,531.6616446971893,-97.664314,[ 0.64  -0.527  0.252  0.414  0.022],1.0010339,-97.33104
40.33,-136.28104035966874,-99.537544,468122,-416.23135,-416.27853,1.5881966,6.5636787,-93.08403,112,100,11200,536.6140697002411,-97.31202,[ 0.635 -0.525  0.251  0.417  0.021],1.0005246,-97.234
40.26,-136.3987969362956,-99.56825,472148,-406.87064,-407.5638,1.6783004,79.66371,-92.723724,113,100,11300,540.3593800067902,-97.476524,[ 0.634 -0.526  0.25   0.416  0.02 ],1.0172207,-95.94355
40.47,-136.88921221073372,-99.55779,476195,-412.1076,-412.19092,1.5348877,8.42584,-91.44182,114,100,11400,545.1773302555084,-97.7389,[ 0.637 -0.516  0.25   0.417  0.019],1.0008657,-97.57356
37.7,-133.78970891106462,-99.77059,479965,-417.36346,-417.5776,1.7586993,20.514248,-92.58651,115,100,11500,549.6440505981445,-97.398445,[ 0.635 -0.513  0.25   0.418  0.021],1.0030545,-97.002144
40.3,-136.5525773525194,-99.63101,483995,-415.78506,-416.27673,1.5759774,44.19408,-92.96411,116,100,11600,554.777191400528,-97.56854,[ 0.642 -0.516  0.252  0.418  0.021],1.0079104,-96.62739
38.32,-134.4834446863305,-99.609215,487827,-414.96753,-415.38214,1.6216334,21.920847,-93.46802,117,100,11700,559.7266762256622,-97.48246,[ 0.645 -0.511  0.253  0.417  0.024],1.0021598,-96.69017
37.01,-133.29138271362203,-99.48528,491528,-404.91498,-405.3304,1.5534467,36.84727,-91.22547,118,100,11800,564.3342578411102,-97.59832,[ 0.64  -0.508  0.252  0.42   0.02 ],1.0054389,-96.79649
44.21,-140.02459470826446,-99.41098,495949,-418.16275,-418.88928,1.5803725,45.905865,-91.85948,119,100,11900,568.9566459655762,-97.21335,[ 0.637 -0.509  0.251  0.415  0.017],1.0086539,-95.784035
36.72,-132.97498297364103,-99.45834,499621,-409.6675,-410.13312,1.4738884,20.293333,-92.61441,120,100,12000,574.0247936248779,-97.53732,[ 0.641 -0.506  0.252  0.411  0.02 ],1.0028187,-96.63941
