Iteration,MinIW,ReturnStepMax,MaxIW,MeanIW,EpLenMean,OptimizationReturnMin,Bound,OptimizationReturnMean,InitialReturnMax,InitialReturnMean,VarianceInit,ReturnStepMaxmin,InitialReturnMin,Weights,EpRewMean,StdIWNorm,EpThisIter,MinIWNorm,MeanEntropy,StdIW,ESSRenyi,EpisodesSoFar,OptimizationReturnMax,ReturnMeanIW,MeanIWNorm,InitialReturnStd,TimeElapsed,MaxIWNorm,InitialBound,J_sample_variance,EmpiricalD2,TimestepsSoFar,ESSClassic,LearnableVariance
127,0.72578096,9.359995,1.9820586,1.0238214,36.0,,77.02225,121.839035,875.0815,333.109,-1.0,9.359995,211.26999,[ 0.088  0.287  0.131  0.075 -0.03   0.039  0.564 -0.048  0.     0.  0.   ],333.1090140508269,0.002053404,100,0.0072578094,0.4189424,0.2053404,97.04129,12700,663.8115,343.5187,0.010238214,90.267845,706.5248069763184,0.019820586,70.584595,57947.758,1.0304892,367156,96.13299,
128,0.23343037,9.359932,3.498417,1.036799,35.3,,132.17856,123.81464,687.6668,326.61536,-1.0,9.359932,202.8007,[ 0.084  0.287  0.127  0.069 -0.03   0.038  0.55  -0.049  0.     0.  0.   ],326.61534208707866,0.003736136,100,0.0023343037,0.4189424,0.3736136,92.63897,12800,484.8661,346.5182,0.01036799,70.56555,714.1973929405212,0.034984168,120.31529,75087.3,1.0794593,370686,88.506996,
129,0.14299187,9.359669,2.8959699,1.0799481,35.72,,173.91072,100.72837,576.7277,330.72516,-1.0,9.359669,229.99678,[ 0.064  0.284  0.127  0.072 -0.03   0.028  0.544 -0.051  0.     0.  0.   ],330.7251532605587,0.004350389,100,0.0014299187,0.4189424,0.4350389,84.376625,12900,346.73096,362.2674,0.010799481,73.74959,721.9667339324951,0.028959697,157.70685,76643.35,1.1851623,374258,86.0382,
130,0.46870187,9.35979,2.0215282,1.0150942,35.57,,145.78972,99.07126,633.4222,329.18155,-1.0,9.35979,230.11028,[ 0.065  0.295  0.128  0.071 -0.029  0.031  0.554 -0.063  0.     0.  0.   ],329.1815349102749,0.0027331621,100,0.0046870187,0.4189424,0.27331623,94.08588,13000,403.3119,341.69778,0.010150942,72.38357,729.6235752105713,0.020215282,139.1549,66215.01,1.0628588,377815,93.24038,
131,0.68081933,9.359946,1.687439,1.03036,36.83,,177.74994,119.324104,558.25244,340.97083,-1.0,9.359946,221.64673,[ 0.053  0.298  0.13   0.069 -0.039  0.029  0.564 -0.064  0.     0.  0.   ],340.970833801553,0.0019329938,100,0.0068081934,0.4189424,0.19329937,96.5465,13100,336.6057,348.19467,0.0103036,74.58231,737.4753978252411,0.01687439,173.4951,58349.625,1.0357703,381498,96.60013,
132,0.029266996,9.359902,28.704988,1.2930481,36.31,,261.07935,107.16811,547.13306,336.0873,-1.0,9.359902,228.91919,[ 0.056  0.297  0.128  0.074 -0.035  0.024  0.568 -0.064  0.     0.  0.   ],336.08730636781115,0.02807591,100,0.00029266995,0.4189424,2.807591,50.85072,13200,318.21387,491.25833,0.012930482,68.07589,745.3683218955994,0.2870499,171.9474,913380.7,1.9665406,385129,17.499256,
133,0.23673001,9.359895,3.8515134,1.1331422,37.02,,190.45189,102.93086,638.87646,342.97168,-1.0,9.359895,240.04086,[ 0.088  0.296  0.135  0.082 -0.031  0.054  0.586 -0.054  0.     0.  0.   ],342.9717151594559,0.0059853154,100,0.0023673,0.4189424,0.59853154,78.23218,13300,398.8356,407.14517,0.011331422,75.14108,753.8084692955017,0.038515132,151.30878,108531.35,1.2782464,388831,78.18605,
134,0.30958652,9.3598385,2.8921793,1.067672,36.03,,199.98224,113.31488,491.41714,333.4233,-1.0,9.3598385,220.10843,[ 0.108  0.294  0.141  0.078 -0.05   0.064  0.615 -0.052  0.     0.  0.   ],333.4233051919892,0.0040877755,100,0.0030958652,0.4189424,0.40877756,86.58372,13400,271.30872,358.4181,0.01067672,61.237522,761.8481209278107,0.028921792,185.99814,63469.418,1.1549516,392434,87.21529,
135,0.17986912,9.359967,10.218065,1.1482327,39.37,,201.49174,115.305756,741.7648,364.6159,-1.0,9.359967,249.31017,[ 0.11   0.295  0.142  0.075 -0.05   0.051  0.633 -0.054  0.     0.  0.   ],364.61590945595196,0.010336018,100,0.0017986911,0.4189424,1.0336019,77.446205,13500,492.4546,454.35596,0.011482328,95.462616,770.3157787322998,0.10218065,142.08649,337161.5,1.2912189,396371,55.239403,
136,0.48309958,9.359976,2.5748286,1.0795761,36.55,,168.56384,136.4384,624.3685,338.46378,-1.0,9.359976,202.02536,[ 0.138  0.296  0.151  0.082 -0.047  0.061  0.677 -0.05   0.     0.  0.   ],338.46377421020617,0.0038828596,100,0.0048309956,0.4189424,0.38828596,88.2078,13600,422.34317,368.00223,0.010795761,68.63444,778.4200961589813,0.025748286,151.15326,61376.066,1.1336865,400026,88.54579,
137,0.39141825,9.359907,1.9408951,1.0295333,36.08,,179.21954,141.55191,538.1638,334.07452,-1.0,9.359907,192.52261,[ 0.133  0.301  0.151  0.077 -0.053  0.059  0.671 -0.04   0.     0.  0.   ],334.07452934908144,0.0028697932,100,0.0039141825,0.4189424,0.28697935,93.107025,13700,345.6412,346.53827,0.0102953315,65.053986,786.3164858818054,0.01940895,172.62538,48352.61,1.0740328,403634,92.79021,
138,0.29931837,9.359836,3.427727,1.0435296,36.79,,169.36067,129.33994,609.0596,340.57327,-1.0,9.359836,211.23334,[ 0.134  0.304  0.154  0.08  -0.051  0.05   0.684 -0.041  0.     0.  0.   ],340.5732813747945,0.0042786016,100,0.0029931837,0.4189424,0.42786023,88.4463,13800,397.82623,363.6465,0.010435296,76.9468,794.2240705490112,0.034277268,157.85541,68249.195,1.1306295,407313,85.60837,
139,0.33075106,9.359777,8.134759,1.1596314,37.31,,186.68079,125.10123,686.3153,345.34473,-1.0,9.359777,220.24352,[ 0.142  0.312  0.16   0.082 -0.059  0.055  0.709 -0.046  0.     0.  0.   ],345.3447514729251,0.009704443,100,0.0033075106,0.4189424,0.9704443,75.60914,13900,466.07178,423.46774,0.011596313,81.950836,802.2486689090729,0.081347585,139.45015,217182.33,1.3225914,411044,58.812187,
140,0.61825013,9.359978,3.1175966,1.0296189,38.95,,163.72702,130.6577,687.0154,360.83362,-1.0,9.359978,230.17593,[ 0.089  0.32   0.155  0.088 -0.054  0.058  0.681 -0.04   0.     0.  0.   ],360.8336283963049,0.0026947116,100,0.006182501,0.4189424,0.26947117,94.713745,14000,456.83945,375.5052,0.010296187,89.17329,810.0785365104675,0.031175965,154.72902,69694.75,1.055813,414939,93.58941,
141,0.23128092,9.359843,2.4474387,1.0596128,37.97,,178.1467,121.28931,614.7409,351.8377,-1.0,9.359843,230.54837,[ 0.078  0.326  0.154  0.083 -0.055  0.051  0.686 -0.039  0.     0.  0.   ],351.83768554844295,0.004586788,100,0.0023128092,0.4189424,0.45867878,85.13639,14100,384.19254,378.02045,0.010596129,70.50691,817.3180108070374,0.024474386,167.41545,71628.74,1.1745858,418736,84.21904,
142,0.56421417,9.359927,1.8542142,1.029245,37.42,,162.34683,125.79756,646.9363,346.48782,-1.0,9.359927,220.69022,[ 0.074  0.324  0.155  0.081 -0.055  0.048  0.694 -0.052  0.     0.  0.   ],346.48777009694277,0.0026428767,100,0.0056421417,0.4189424,0.26428768,95.00324,14200,426.24606,361.46622,0.010292449,82.96354,824.6424655914307,0.01854214,152.40689,65750.14,1.0525956,422478,93.81436,
143,0.33078796,9.359854,4.2295265,1.1077585,37.31,,135.59677,106.627174,782.2907,345.57544,-1.0,9.359854,238.94821,[ 0.082  0.322  0.148  0.079 -0.056  0.044  0.672 -0.054  0.     0.  0.   ],345.5753861140711,0.0051227207,100,0.0033078794,0.4189424,0.5122721,83.30298,14300,543.3425,392.73056,0.011077586,88.72197,831.7992670536041,0.042295266,110.88818,100902.836,1.2004373,426209,82.38243,
144,0.5957758,9.35991,2.1209357,1.0128174,37.45,,172.54362,107.59748,593.13574,346.6447,-1.0,9.35991,239.04723,[ 0.064  0.326  0.145  0.072 -0.065  0.037  0.666 -0.066  0.     0.  0.   ],346.6447016973699,0.0022847254,100,0.0059577576,0.4189424,0.22847253,96.480515,14400,354.0885,353.7008,0.010128174,71.35124,839.3033368587494,0.021209355,168.70396,66971.85,1.0364788,429954,95.15773,
145,0.54601395,9.359987,1.6594373,1.0368834,37.53,,164.70068,117.85458,641.9353,347.54315,-1.0,9.359987,229.68857,[ 0.051  0.329  0.142  0.076 -0.065  0.044  0.662 -0.069  0.     0.  0.   ],347.54314661892226,0.0021084335,100,0.0054601394,0.4189424,0.21084334,94.9742,14500,412.24673,362.31104,0.010368833,72.89097,846.8617289066315,0.016594373,154.96257,65118.125,1.0529176,433707,96.02932,
146,0.7245455,9.359823,1.3558537,1.0181421,36.97,,170.73228,85.02517,585.25903,342.26245,-1.0,9.359823,257.2373,[ 0.06   0.325  0.144  0.079 -0.061  0.052  0.665 -0.07   0.     0.  0.   ],342.262464887268,0.0013405933,100,0.0072454545,0.4189424,0.13405934,98.10786,14600,328.02173,347.99503,0.010181421,60.639168,854.0269794464111,0.013558537,166.68475,73264.875,1.0192864,437404,98.295815,
147,0.29017624,9.359825,2.5405984,1.030576,37.86,,153.20029,102.58615,685.0391,350.63458,-1.0,9.359825,248.0484,[ 0.061  0.309  0.141  0.083 -0.065  0.048  0.653 -0.074  0.     0.  0.   ],350.6345577943276,0.003098269,100,0.0029017623,0.4189424,0.3098269,93.14764,14700,436.99072,366.1371,0.010305759,75.69665,861.3934273719788,0.025405983,145.12286,78778.58,1.0735645,441190,91.71104,
148,0.035745446,9.359924,19.315474,1.3716626,37.63,,260.9084,108.10942,595.8875,348.45914,-1.0,9.359924,240.34972,[ 0.054  0.315  0.139  0.083 -0.071  0.039  0.651 -0.08   0.     0.  0.   ],348.45914030442606,0.021062141,100,0.00035745444,0.4189424,2.1062143,55.578873,14800,355.53778,500.69815,0.013716626,73.57164,868.4364972114563,0.19315474,169.69292,434589.97,1.7992449,444953,29.781237,
149,0.46248817,9.35996,2.0329878,1.0322425,38.59,,169.08846,127.220116,652.4133,357.46304,-1.0,9.35996,230.24289,[ 0.062  0.319  0.141  0.068 -0.085  0.057  0.654 -0.068  0.     0.  0.   ],357.4630147585046,0.0031786838,100,0.004624882,0.4189424,0.31786838,92.31562,14900,422.17044,372.7957,0.0103224255,87.36187,876.002110004425,0.020329878,161.73903,68487.53,1.0832403,448812,91.338646,
150,0.092264816,9.359934,4.5976853,1.181919,38.12,,213.49564,113.49685,610.8177,353.0276,-1.0,9.359934,239.53075,[ 0.073  0.315  0.14   0.07  -0.078  0.05   0.665 -0.072  0.     0.  0.   ],353.02759683666045,0.007872936,100,0.0009226481,0.4189424,0.7872936,69.892204,15000,371.28693,432.6845,0.0118191885,71.64678,883.2665371894836,0.04597685,169.78232,109273.99,1.4307748,452624,69.26605,
151,0.58875686,9.359905,1.7791784,1.0266957,39.69,,170.33641,127.571526,689.3158,367.66437,-1.0,9.359905,240.09288,[ 0.091  0.307  0.146  0.061 -0.084  0.052  0.684 -0.086  0.     0.  0.   ],367.6643992551832,0.0022260337,100,0.0058875685,0.4189424,0.22260338,94.46372,15100,449.2229,383.10474,0.010266956,88.401505,891.048006772995,0.017791783,160.86967,75878.95,1.0586075,456593,95.510185,
152,0.0015970089,9.359958,511.243,6.626704,39.34,,1245.586,133.74051,723.99023,364.4316,-1.0,9.359958,230.69109,[ 0.086  0.313  0.143  0.063 -0.085  0.049  0.687 -0.094  0.     0.  0.   ],364.43159161623845,0.5100067,100,1.5970088e-05,0.4189424,51.00067,1.410081,15200,493.29913,3074.6626,0.066267036,87.158905,898.4812655448914,5.11243,147.23453,182341070.0,70.91791,460527,1.6602464,
153,0.45455098,9.359883,2.4538143,1.0626315,39.34,,207.56613,97.4631,567.41046,364.63492,-1.0,9.359883,267.1718,[ 0.109  0.305  0.139  0.07  -0.079  0.035  0.719 -0.157  0.     0.  0.   ],364.6349130621396,0.0032555875,100,0.00454551,0.4189424,0.32555875,90.59033,15300,300.23865,386.41147,0.010626313,61.653484,907.0710351467133,0.024538143,194.41179,86571.04,1.1038705,464461,91.41915,
154,0.48153815,9.359955,2.1678424,1.084677,39.83,,142.58554,129.8628,824.8881,369.0688,-1.0,9.359955,239.20598,[ 0.108  0.293  0.134  0.067 -0.085  0.026  0.704 -0.169  0.     0.  0.   ],369.06876140192,0.0037592025,100,0.0048153815,0.4189424,0.37592027,89.10367,15400,585.6821,404.7468,0.0108467685,84.42723,914.5248508453369,0.021678424,121.60234,82422.51,1.1222882,468444,89.27671,
155,0.011490308,9.3599415,346.56476,4.385866,39.5,,1102.9209,117.475716,659.6645,366.03992,-1.0,9.3599415,248.56421,[ 0.122  0.298  0.135  0.072 -0.081  0.029  0.726 -0.172  0.     0.  0.   ],366.03992527681004,0.3441978,100,0.00011490307,0.4189424,34.41978,6.064037,15500,411.10028,1906.5643,0.043858662,71.84703,922.2056946754456,3.4656475,168.14058,51402960.0,16.490665,472394,1.5977165,
156,0.3597407,9.359697,2.1705313,1.0519834,40.5,,222.7057,125.5125,558.74164,375.34372,-1.0,9.359697,249.83124,[ 0.133  0.296  0.135  0.063 -0.09   0.074  0.705 -0.161  0.     0.  0.   ],375.3437509973881,0.0032124487,100,0.003597407,0.4189424,0.32124487,88.97107,15600,308.9104,400.41406,0.010519832,71.90966,930.7980275154114,0.021705313,207.72127,79806.266,1.1239609,476444,91.47028,
157,0.32261834,9.359864,4.1897135,1.1131852,40.73,,224.06749,156.68878,624.316,377.66672,-1.0,9.359864,220.97794,[ 0.137  0.295  0.134  0.071 -0.081  0.069  0.702 -0.167  0.     0.  0.   ],377.66673228825914,0.0052182428,100,0.0032261834,0.4189424,0.5218243,81.401985,15700,403.33804,431.65833,0.01113185,82.05835,938.4773228168488,0.041897133,190.37196,86115.82,1.2284713,480517,81.98453,
158,0.43026376,9.359974,2.685851,1.0471239,41.3,,192.42215,115.81024,659.2673,382.93027,-1.0,9.359974,267.12003,[ 0.139  0.304  0.136  0.074 -0.081  0.077  0.726 -0.177  0.     0.  0.   ],382.9302684723632,0.0043757046,100,0.0043026377,0.4189424,0.4375705,88.21097,15800,392.14725,403.00424,0.010471239,78.75284,946.4268755912781,0.02685851,185.1501,88850.98,1.1336459,484647,85.13374,
159,0.21064653,9.35994,3.1310103,1.0850257,39.63,,194.10593,127.762985,614.5394,367.215,-1.0,9.35994,239.452,[ 0.137  0.305  0.135  0.073 -0.077  0.075  0.739 -0.188  0.     0.  0.   ],367.21498672969255,0.005031201,100,0.0021064652,0.4189424,0.50312006,85.88113,15900,375.08743,393.04593,0.010850255,79.04239,953.9673039913177,0.031310104,182.85315,84225.98,1.1644002,488610,82.303696,
160,0.049413852,9.359848,30.607327,1.850798,40.99,,247.55905,139.58615,675.5983,380.1755,-1.0,9.359848,240.58936,[ 0.117  0.315  0.131  0.076 -0.071  0.084  0.725 -0.18   0.     0.  0.   ],380.1755068491248,0.044445373,100,0.0004941385,0.4189424,4.4445376,23.684628,16000,435.00897,664.02216,0.01850798,87.40237,961.5777509212494,0.30607325,177.49599,473260.4,4.222148,492709,14.7780285,
161,0.6049185,9.359866,1.7466673,1.0198135,38.68,,160.78265,126.771965,679.5631,358.3673,-1.0,9.359866,231.59535,[ 0.124  0.316  0.141  0.044 -0.103  0.087  0.744 -0.173  0.     0.  0.   ],358.3673104845055,0.002091457,100,0.0060491846,0.4189424,0.20914571,95.914276,16100,447.96777,368.94846,0.010198134,84.02608,969.5778586864471,0.017466672,154.49835,65762.8,1.0425977,496577,95.9639,
162,0.372617,9.359886,2.1357005,1.0761726,41.07,,199.30975,151.1379,675.36487,380.56177,-1.0,9.359886,229.42387,[ 0.131  0.315  0.143  0.047 -0.094  0.083  0.749 -0.171  0.     0.  0.   ],380.56176772322345,0.0041276445,100,0.00372617,0.4189424,0.41276443,86.027695,16200,445.94098,417.75397,0.010761727,86.298386,977.3426170349121,0.021357004,177.95232,81995.89,1.1624163,500684,87.17565,
163,0.2107174,9.359959,13.087529,1.3075427,39.35,,201.88806,134.88765,679.2558,364.5398,-1.0,9.359959,229.65219,[ 0.121  0.315  0.139  0.047 -0.095  0.077  0.738 -0.186  0.     0.  0.   ],364.53984117943565,0.01714364,100,0.002107174,0.4189424,1.714364,59.664127,16300,449.6036,465.70212,0.013075427,83.89091,984.8129842281342,0.13087529,160.76309,126105.75,1.676049,504619,36.777237,
164,0.71983385,9.359816,1.5586634,1.0149311,40.36,,169.70132,105.423615,697.34357,373.9146,-1.0,9.359816,268.491,[ 0.125  0.324  0.145  0.065 -0.082  0.084  0.754 -0.164  0.     0.  0.   ],373.91460251003247,0.0013986764,100,0.0071983384,0.4189424,0.13986765,97.68612,16400,428.85257,381.36758,0.010149311,91.29626,993.2496321201324,0.015586633,164.71152,84833.02,1.0236869,508655,98.136215,
165,0.24667092,9.359894,3.052221,1.0946536,39.55,,181.33426,128.28937,677.4208,366.6866,-1.0,9.359894,238.39722,[ 0.111  0.322  0.143  0.063 -0.084  0.087  0.745 -0.166  0.     0.  0.   ],366.686579119299,0.0043835565,100,0.0024667091,0.4189424,0.43835568,86.942184,16500,439.02356,399.2881,0.010946535,81.74984,1001.3288407325745,0.03052221,163.46036,78822.44,1.1501896,512610,86.18004,
166,0.03780939,9.359643,50.785667,1.8932998,42.58,,403.4726,125.83896,763.0114,394.83682,-1.0,9.359643,268.99786,[ 0.11   0.31   0.135  0.062 -0.084  0.089  0.719 -0.168  0.     0.  0.   ],394.83681838467885,0.06606952,100,0.0003780939,0.4189424,6.6069527,15.544797,16600,494.01355,984.0495,0.018932998,84.52997,1010.2113053798676,0.50785667,165.93338,7497405.0,6.4330206,516868,7.588606,
167,0.33796003,9.359962,3.223507,1.0985721,39.27,,175.61403,133.09903,711.4761,363.9276,-1.0,9.359962,230.8286,[ 0.085  0.307  0.126  0.076 -0.061  0.113  0.665 -0.152  0.     0.  0.   ],363.9276230964143,0.004779455,100,0.0033796004,0.4189424,0.47794554,83.92087,16700,480.64746,408.609,0.01098572,88.55827,1018.4927732944489,0.032235067,150.4848,93693.21,1.1915988,520795,84.084656,
168,0.2087597,9.359921,3.2173269,1.094072,39.13,,160.96826,113.6125,753.5532,362.78918,-1.0,9.359921,249.17668,[ 0.065  0.303  0.12   0.083 -0.055  0.114  0.636 -0.16   0.     0.  0.   ],362.7891707388137,0.005685118,100,0.0020875968,0.4189424,0.5685118,80.58137,16800,504.37653,412.8043,0.010940718,85.37486,1025.8390138149261,0.03217327,136.72324,105857.52,1.2409817,524708,78.73925,
169,0.36443287,9.359935,4.0723834,1.0675523,39.38,,202.46712,126.010735,613.321,364.8666,-1.0,9.359935,238.85588,[ 0.089  0.301  0.122  0.089 -0.051  0.119  0.652 -0.173  0.     0.  0.   ],364.8666166931674,0.0047722803,100,0.0036443286,0.4189424,0.47722805,85.3907,16900,374.4651,401.58203,0.010675523,79.14352,1033.2487287521362,0.040723834,180.87036,92596.586,1.1710877,528646,83.34471,
170,0.32450706,9.3597975,3.124222,1.1500455,39.72,,205.36511,128.86362,651.81366,368.15665,-1.0,9.3597975,239.29303,[ 0.065  0.308  0.122  0.092 -0.049  0.12   0.669 -0.182  0.     0.  0.   ],368.1566461067257,0.0051023923,100,0.0032450706,0.4189424,0.5102393,82.46313,17000,412.52063,420.7002,0.011500456,84.43551,1040.759283065796,0.03124222,172.61253,91188.96,1.2126632,532618,83.55322,
171,0.6323531,9.359978,2.0176437,1.0327988,41.16,,145.8746,161.2151,816.60095,381.40588,-1.0,9.359978,220.19083,[ 0.039  0.314  0.118  0.098 -0.058  0.127  0.643 -0.192  0.     0.  0.   ],381.40591377765503,0.002462193,100,0.0063235313,0.4189424,0.2462193,95.39131,17100,596.41016,396.703,0.010327987,96.17804,1048.4051229953766,0.020176437,136.42567,67209.37,1.0483135,536734,94.6222,
172,0.41673672,9.359825,4.1549654,1.069358,40.42,,159.09402,134.97852,787.2345,374.63016,-1.0,9.359825,239.65164,[ 0.05   0.31   0.117  0.097 -0.058  0.115  0.64  -0.187  0.     0.  0.   ],374.6301582042213,0.005387051,100,0.0041673672,0.4189424,0.5387051,84.414276,17200,547.5829,416.1439,0.010693579,100.12586,1055.7939789295197,0.041549653,138.45982,111178.93,1.1846337,540776,79.758865,
173,0.32734045,9.359862,8.943174,1.168973,39.54,,209.62454,135.6112,613.2842,366.66714,-1.0,9.359862,231.05591,[ 0.054  0.32   0.121  0.097 -0.058  0.127  0.666 -0.195  0.     0.  0.   ],366.66713297234986,0.011756283,100,0.0032734044,0.4189424,1.1756284,72.11239,17300,382.22827,426.2842,0.011689728,82.04548,1063.3674957752228,0.08943174,182.68187,105300.734,1.3867242,544730,49.71615,
174,0.5181398,9.359954,2.3591843,1.0322483,39.62,,165.51279,126.052414,713.75696,367.23108,-1.0,9.359954,241.17868,[ 0.08   0.316  0.13   0.081 -0.069  0.134  0.694 -0.184  0.     0.  0.   ],367.2310908513666,0.0024972367,100,0.005181398,0.4189424,0.24972369,94.72856,17400,472.57828,385.51706,0.010322482,83.510544,1071.0314164161682,0.023591843,153.104,79993.04,1.0556479,548692,94.47097,
175,0.13506573,9.359845,14.0172415,1.199513,41.68,,183.8895,156.99171,829.9729,386.41824,-1.0,9.359845,229.42654,[ 0.054  0.317  0.126  0.078 -0.065  0.143  0.686 -0.188  0.     0.  0.   ],386.4182588874214,0.015874643,100,0.0013506573,0.4189424,1.5874642,59.715103,17500,600.5464,506.1025,0.011995129,104.30065,1079.3779306411743,0.1401724,137.42639,306352.28,1.6746182,552860,36.344463,
176,0.6216407,9.359918,1.4362903,1.0185432,40.4,,170.20508,153.96585,689.9321,374.48648,-1.0,9.359918,220.52065,[ 0.051  0.309  0.127  0.089 -0.048  0.128  0.67  -0.205  0.     0.  0.   ],374.48649012536504,0.001408636,100,0.006216407,0.4189424,0.1408636,98.11713,17600,469.4115,379.16125,0.010185432,85.915764,1087.1965110301971,0.014362902,167.50682,57686.633,1.0191901,556900,98.123245,
177,0.24353154,9.359914,2.8304644,1.0916991,40.82,,155.39786,130.1151,802.1001,378.4662,-1.0,9.359914,248.35107,[ 0.053  0.301  0.124  0.091 -0.044  0.122  0.665 -0.209  0.     0.  0.   ],378.46617552283203,0.004818534,100,0.0024353154,0.4189424,0.48185343,86.0698,17700,553.749,414.77063,0.010916991,80.68299,1094.5966720581055,0.028304644,137.83617,90471.13,1.1618477,560982,83.69493,
178,0.013058034,9.359915,17.76364,1.1608281,40.83,,224.82901,139.03996,715.8084,378.45374,-1.0,9.359915,239.41376,[ 0.065  0.295  0.125  0.096 -0.041  0.127  0.675 -0.221  0.     0.  0.   ],378.4537131542787,0.017975738,100,0.00013058033,0.4189424,1.7975739,57.674477,17800,476.39465,507.59436,0.01160828,96.2307,1102.2656209468842,0.17763638,163.7112,798982.6,1.7338692,565065,29.429628,
179,0.2846621,9.359957,2.386456,1.0655634,41.95,,213.10081,138.73425,640.94214,388.8339,-1.0,9.359957,250.09969,[ 0.018  0.314  0.126  0.098 -0.047  0.144  0.69  -0.242  0.     0.  0.   ],388.8339304385614,0.0035098463,100,0.002846621,0.4189424,0.35098463,91.221085,17900,390.84247,414.42337,0.010655636,86.84917,1110.9650988578796,0.02386456,196.55127,82627.664,1.0962378,569260,90.212234,
180,0.3368573,9.359718,2.9736626,1.0990497,40.19,,187.51562,133.54338,680.17285,372.6798,-1.0,9.359718,239.13638,[-0.007  0.323  0.129  0.097 -0.049  0.161  0.696 -0.25   0.     0.  0.   ],372.6797569699353,0.0057875155,100,0.0033685728,0.4189424,0.5787516,81.48279,18000,441.03647,413.56723,0.010990496,86.66735,1118.9869365692139,0.029736625,168.62793,86449.49,1.2272531,573279,78.29014,
181,0.12304621,9.359933,15.269932,1.154205,43.65,,214.66171,135.84924,840.56274,404.58905,-1.0,9.359933,268.7398,[-0.003  0.323  0.132  0.086 -0.061  0.166  0.712 -0.253  0.     0.  0.   ],404.58906172024473,0.014808094,100,0.0012304621,0.4189424,1.4808093,70.816185,18100,571.82294,514.3192,0.011542049,108.33211,1127.6822361946106,0.15269932,152.42024,678203.7,1.4121066,577644,37.79276,
182,0.0050033364,9.359836,199.71992,3.633916,42.85,,633.96204,129.63478,713.9297,397.53094,-1.0,9.359836,267.89612,[ 0.025  0.316  0.136  0.085 -0.062  0.17   0.721 -0.239  0.     0.  0.   ],397.53090200606965,0.20775095,100,5.0033363e-05,0.4189424,20.775095,3.9866211,18200,446.03357,1706.652,0.03633916,84.36201,1136.5794517993927,1.9971992,183.35202,19441158.0,25.083899,581929,2.9687617,
183,0.06107295,9.359866,18.243713,1.2766566,41.63,,182.22397,128.01509,810.8257,386.0739,-1.0,9.359866,258.0588,[ 0.048  0.325  0.149  0.058 -0.092  0.177  0.803 -0.262  0.     0.  0.   ],386.0739017092284,0.02011506,100,0.0006107295,0.4189424,2.0115058,45.06534,18300,552.76685,544.57324,0.012766566,97.38065,1146.0673303604126,0.18243714,142.82619,927670.44,2.2190003,586092,28.714756,
184,0.039469562,9.359972,89.24313,2.06489,42.92,,327.70715,140.78761,790.28796,398.0954,-1.0,9.359972,257.30777,[ 0.054  0.332  0.147  0.06  -0.089  0.167  0.827 -0.288  0.     0.  0.   ],398.0953733823112,0.08868577,100,0.0003946956,0.4189424,8.868577,23.351805,18400,532.9802,818.3284,0.020648899,97.08764,1154.8812191486359,0.8924313,161.00896,2048420.4,4.2823243,590384,5.1423135,
185,0.20684499,9.359835,9.00807,1.2506514,40.83,,200.99966,129.09247,697.90875,378.24286,-1.0,9.359835,249.15039,[ 0.066  0.302  0.148  0.082 -0.07   0.134  0.808 -0.277  0.     0.  0.   ],378.2428480473943,0.012025773,100,0.0020684497,0.4189424,1.2025774,65.74561,18500,448.75836,459.21765,0.012506514,80.64267,1164.030595779419,0.0900807,168.87024,118261.73,1.5210141,594467,51.958874,
186,0.086808905,9.359942,22.802216,1.2435434,41.67,,205.27734,117.69797,763.6672,386.17224,-1.0,9.359942,268.47424,[ 0.06   0.328  0.158  0.071 -0.083  0.139  0.827 -0.26   0.     0.  0.   ],386.1722048841121,0.022776805,100,0.00086808903,0.4189424,2.2776806,51.205433,18600,495.19293,525.43756,0.012435433,79.38931,1172.7611384391785,0.22802214,157.07204,515997.34,1.9529178,598634,22.963287,
187,0.005890577,9.359886,153.13934,3.9863763,40.75,,449.73688,110.90429,601.0556,377.71936,-1.0,9.359886,266.81506,[ 0.071  0.317  0.163  0.089 -0.064  0.153  0.824 -0.254  0.     0.  0.   ],377.7193549122434,0.20561649,100,5.890577e-05,0.4189424,20.56165,4.4732018,18700,334.24054,1302.3002,0.03986376,73.02725,1181.4239468574524,1.5313934,197.40266,2501621.8,22.355352,602709,3.6225636,
188,0.023541745,9.3599205,87.46536,1.8429297,39.13,,244.2031,150.59068,716.1832,362.56317,-1.0,9.3599205,211.97247,[ 0.087  0.3    0.168  0.131 -0.021  0.141  0.829 -0.241  0.     0.  0.   ],362.56315236570515,0.08707323,100,0.00023541744,0.4189424,8.707323,23.309063,18800,504.21075,689.2266,0.018429296,78.14746,1189.5243108272552,0.8746536,147.70816,2539037.5,4.290177,606622,4.287621,
189,0.4447027,9.359624,4.1010847,1.0523103,38.6,,188.86351,108.41249,628.11584,357.7713,-1.0,9.359624,249.35883,[ 0.08   0.284  0.174  0.139 -0.025  0.1    0.833 -0.244  0.     0.  0.   ],357.7713181276143,0.0040759835,100,0.004447027,0.4189424,0.40759838,90.496826,18900,378.75702,386.9452,0.010523102,80.60082,1197.065702199936,0.041010845,169.3366,97392.07,1.1050111,610482,86.95428,
