eRenyi2,AvgNormIw,MinVanillaIw,MaxNormIw,AvgRet,VarVanillaIw,AvgEpLen,MinNormIw,ESSRenyi,VarNormIw,ESSClassic,VarDiscRet,AvgVanillaIw,AvgDiscRet,MaxVanillaIw,Bound,J,BatchSize,VarJ,VarRet
1.0027144,0.010000002,0.90508217,0.012663203,1999.9972776985169,0.0032714973,200.0,0.00904328,99.72929524746124,3.2660478e-07,99.67767505786863,4.1452316717903384e-06,1.000834,866.017763583765,1.2673764,866.01605,866.01776,100,0.002000047,4.641369767966233e-06
,0.01,,0.99196285,1999.9976125717162,2.63019e-18,200.0,,inf,0.009838666,1.0162314287050824,4.065593975068179e-06,1.635029e-10,866.0180845867986,1.621888e-08,866.0163,866.0202,100,0.0018167777,4.585549238136725e-06
0.052460875,0.01,0.073027894,0.9107612,1999.997800769806,2727.7385,200.0,0.00012722793,1906.1824513918443,0.008279233,1.2053362320078063,3.3514760203719816e-06,5.7399263,866.0182345331358,522.7702,866.01666,866.0199,100,0.0003677115,3.663172982935912e-06
4350.454,0.01,,1.0,1999.9977244853974,2.3458616e-27,200.0,,0.02298610620074907,0.010000002,1.0,3.970299713876405e-06,4.8434085e-15,866.0181796304782,4.8434087e-13,866.01654,866.0195,100,,4.375614588468006e-06
128.46115,0.01,,0.9999995,1999.9974563598632,8.174423,200.0,,0.7784454609488491,0.009999991,1.0000009339629177,4.2932093123408415e-06,0.28590962,866.0179326876782,28.59095,866.0161,866.0165,100,1.6917449e-08,4.806631212969395e-06
4715.038,0.01,,0.8499305,1999.9974844551086,3511.121,200.0,,0.021208736425321326,0.0074232565,1.342458089657571,3.883533713541021e-06,6.877422,866.0179592433783,584.5331,866.0163,866.02014,100,0.0005267805,4.3415836530538865e-06
1.136718,0.009999999,0.17615399,0.017318876,1999.9973738765716,0.14341794,200.0,0.001824599,87.97256394590227,1.5386977e-05,86.78061916121568,3.6058712201273186e-06,0.96543944,866.0178536305754,1.6720326,866.01624,866.0181,100,0.0020160957,4.0365996909428645e-06
1.1778471,0.01,0.36342224,0.061878525,1999.9974418735503,0.39814657,200.0,0.003519945,84.900659865525,3.73501e-05,73.00515876151331,4.422145894883687e-06,1.0324657,866.017921719623,6.3887453,866.0161,866.0182,100,0.0019411602,4.916403418202676e-06
1.2801468,0.01,0.15078461,0.031830654,1999.9978318309784,0.23707232,200.0,0.0016326796,78.11603879444809,2.7795131e-05,78.42080636012874,3.754512654914283e-06,0.9235407,866.0182814544697,2.9396906,866.0166,866.01855,100,0.0020794156,4.17126064872498e-06
55.825306,0.01,,1.0,1999.997584104538,7.163434e-33,200.0,,1.7913023192343942,0.0100000035,1.0,3.7646312858131934e-06,8.4637095e-18,866.018054724861,8.4637094e-16,866.0165,866.0194,100,,4.201392536715227e-06
1.4286389,0.01,0.01982256,0.03530186,1999.9974771499633,0.47977304,200.0,0.00018790222,69.99669233693571,4.3110205e-05,70.08734568051162,4.030107032362002e-06,1.0549402,866.0179512947146,3.724135,866.0162,866.01843,100,0.00219533,4.533390635671565e-06
2.9474075,0.01,,1.0,1999.9973652553558,1.1617e-41,200.0,,33.928121761581544,0.010000003,1.0000003792055436,4.331884390264623e-06,3.4083628e-22,866.0178476007422,3.4083628e-20,866.0161,866.0198,100,,4.815889076303163e-06
