ESSRenyi,MaxNormIw,VarVanillaIw,AvgNormIw,BatchSize,ESSClassic,VanillaAvgRet,VarDiscRet,J,AvgEpLen,VarRet,MinVanillaIw,AvgDiscRet,VarNormIw,MaxVanillaIw,AvgRet,Bound,AvgVanillaIw,MinNormIw,eRenyi2,VarJ
100.0,0.01,,0.009999998,100,100.0,3261.065065073642,3026155.9643318085,9.536743e-06,326.81,3026155.9643318085,1.0,6.912159733474255e-13,3.5044917e-18,1.0,6.912159733474255e-13,-146.30435,1.0,0.01,1.0,1730.8652
100.0,0.01,,0.009999998,100,100.0,3258.0935483734556,2632404.8045407734,1.7166138e-05,326.57,2632404.8045407734,1.0,-5.184119800105691e-13,3.5044917e-18,1.0,-5.184119800105691e-13,-136.45451,1.0,0.01,1.0,1614.336
100.0,0.01,,0.009999998,100,100.0,3008.8842686109356,2881402.916539521,1.5258789e-05,301.71,2881402.916539521,1.0,-6.59383658785373e-13,3.5044917e-18,1.0,-6.59383658785373e-13,-142.76227,1.0,0.01,1.0,1688.9608
100.0,0.01,,0.009999998,100,100.0,3070.7960826378735,2661247.7556045773,-5.722046e-06,307.87,2661247.7556045773,1.0,-2.5465851649641993e-13,3.5044917e-18,1.0,-2.5465851649641993e-13,-137.20006,1.0,0.01,1.0,1623.156
100.0,0.01,,0.009999998,100,100.0,3335.3852704716555,2442509.5692787003,1.04904175e-05,334.29,2442509.5692787003,1.0,-6.366462912410498e-14,3.5044917e-18,1.0,-6.366462912410498e-14,-131.44064,1.0,0.01,1.0,1555.0192
100.0,0.01,,0.009999998,100,100.0,3295.0354096685296,2746665.6686395984,-1.5258789e-05,330.23,2746665.6686395984,1.0,-8.049028110690415e-13,3.5044917e-18,1.0,-8.049028110690415e-13,-139.38445,1.0,0.01,1.0,1648.9994
100.0,0.01,,0.009999998,100,100.0,3118.261575775046,2545076.046405907,-1.1444092e-05,312.61,2545076.046405907,1.0,6.366462912410498e-14,3.5044917e-18,1.0,6.366462912410498e-14,-134.172,1.0,0.01,1.0,1587.3326
100.0,0.01,,0.009999998,100,100.0,3243.1031188790803,2534174.673879503,-5.722046e-06,325.07,2534174.673879503,1.0,-1.887201506178826e-13,3.5044917e-18,1.0,-1.887201506178826e-13,-133.88435,1.0,0.01,1.0,1583.9296
100.0,0.01,,0.009999998,100,100.0,3395.7190174526713,2697422.4970144345,-2.2888184e-05,340.31,2697422.4970144345,1.0,1.8189894035458566e-13,3.5044917e-18,1.0,1.8189894035458566e-13,-138.12938,1.0,0.01,1.0,1634.1505
100.0,0.01,,0.009999998,100,100.0,3145.632390623518,2454409.183987287,-1.5258789e-05,315.37,2454409.183987287,1.0,8.003553375601769e-13,3.5044917e-18,1.0,8.003553375601769e-13,-131.76042,1.0,0.01,1.0,1558.8025
100.0,0.01,,0.009999998,100,100.0,3151.9562535591162,2751611.232510517,5.722046e-06,315.92,2751611.232510517,1.0,1.0004441719502211e-13,3.5044917e-18,1.0,1.0004441719502211e-13,-139.50992,1.0,0.01,1.0,1650.4833
100.0,0.01,,0.009999998,100,100.0,3387.221665294321,2892600.433729691,-1.9073486e-05,339.4,2892600.433729691,1.0,4.911271389573813e-13,3.5044917e-18,1.0,4.911271389573813e-13,-143.03943,1.0,0.01,1.0,1692.2395
100.0,0.01,,0.009999998,100,100.0,3276.3292164139352,2601552.103848427,1.1444092e-05,328.45,2601552.103848427,1.0,-5.0022208597511053e-14,3.5044917e-18,1.0,-5.0022208597511053e-14,-135.6525,1.0,0.01,1.0,1604.8479
