VarJ,VarDiscRet,AvgVanillaIw,MinNormIw,AvgDiscRet,Delta,Bound,EpsThisIter,MaxVanillaIw,VarVanillaIw,VanillaAvgRet,J,VarNormIw,AvgNormIw,ESSClassic,eRenyi2,MaxNormIw,VarRet,MinVanillaIw,AvgEpLen,BatchSize,AvgRet,ESSRenyi,IterType
2379.1562,20650.184241560026,3.0506449,5.3780084e-12,348.411680618966,0.4,578.13367,100,1139.8635,2603.8533,348.411680618966,862.523,0.0011191632,0.0020000003,1.78424160124157,21.020765,0.74729353,20650.184241560026,8.203196e-09,37.61,500,348.411680618966,23.786003637622397,1
157.41734,25030.523908499785,1.0,0.01,441.8526733274732,0.4,328.71585,100,1.0,,441.8526733274732,441.85266,3.5044917e-18,0.009999998,100.0,1.0,0.01,25030.523908499785,1.0,47.71,500,441.8526733274732,500.0,2
145.66643,17537.66896630099,1.0,0.005,417.5667819605499,0.4,349.7099,100,1.0,,417.5667819605499,429.70972,2.179301e-19,0.0049999994,200.00000010221265,1.0,0.005,17537.66896630099,1.0,45.08,500,417.5667819605499,500.0,2
145.5992,21107.74941895033,1.0,0.0033333334,409.8364436425891,0.4,357.76575,100,1.0,,409.8364436425891,423.0853,5.4391416e-20,0.0033333336,299.999969473632,1.0,0.0033333334,21107.74941895033,1.0,44.23,500,409.8364436425891,500.0,2
152.65147,29407.828276985372,1.0,0.0025,448.87294141464133,0.4,372.59244,100,1.0,,448.87294141464133,429.5322,5.434597e-20,0.0024999997,400.0,1.0,0.0025,29407.828276985372,1.0,48.45,500,448.87294141464133,500.0,2
1386.7313,29108.9271637964,1.9937851,9.098661e-11,426.12695680595635,0.4,475.05237,100,571.3102,654.1444,426.12695680595635,645.9082,0.00065822894,0.0020000003,3.0261195722118988,10.680698,0.57309103,29108.9271637964,9.070387e-08,46.01,500,426.12695680595635,46.81341814169959,1
168.2462,28592.712454942597,1.0,0.01,491.55071095360904,0.4,371.2177,100,1.0,,491.55071095360904,491.5507,3.5044917e-18,0.009999998,100.0,1.0,0.01,28592.712454942597,1.0,53.05,500,491.55071095360904,500.0,2
156.34616,20785.315793426333,1.0,0.005,488.72298303007597,0.4,405.0485,100,1.0,,488.72298303007597,490.13678,2.179301e-19,0.0049999994,200.00000010221265,1.0,0.005,20785.315793426333,1.0,52.72,500,488.72298303007597,500.0,2
164.86504,32928.2928973505,1.0,0.0033333334,481.12102416488614,0.4,407.64188,100,1.0,,481.12102416488614,487.13156,5.4391416e-20,0.0033333336,299.999969473632,1.0,0.0033333334,32928.2928973505,1.0,51.91,500,481.12102416488614,500.0,2
170.16876,34614.15898480684,1.0,0.0025,492.31909424376676,0.4,419.58832,100,1.0,,492.31909424376676,488.4284,5.434597e-20,0.0024999997,400.0,1.0,0.0025,34614.15898480684,1.0,53.13,500,492.31909424376676,500.0,2
1878.3883,27097.15898661787,2.1156693,1.5184143e-10,479.49101506791857,0.4,570.09265,100,559.9492,631.9623,479.49101506791857,790.15497,0.0005647492,0.0019999999,3.5234857840238027,12.773757,0.5293353,27097.15898661787,1.6062312e-07,51.72,500,479.49101506791857,39.14275187384442,1
218.33344,48151.002294112855,1.0,0.01,553.6333677177339,0.4,368.13275,100,1.0,,553.6333677177339,553.63336,3.5044917e-18,0.009999998,100.0,1.0,0.01,48151.002294112855,1.0,59.77,500,553.6333677177339,500.0,2
197.69511,30805.253095064993,1.0,0.005,553.4016468698629,0.4,422.34875,100,1.0,,553.4016468698629,553.5175,2.179301e-19,0.0049999994,200.00000010221265,1.0,0.005,30805.253095064993,1.0,59.78,500,553.4016468698629,500.0,2
210.48259,55167.930075499346,1.0,0.0033333334,567.2539090770389,0.4,450.9975,100,1.0,,567.2539090770389,558.0963,5.4391416e-20,0.0033333336,299.999969473632,1.0,0.0033333334,55167.930075499346,1.0,61.25,500,567.2539090770389,500.0,2
214.7325,51880.028012061644,1.0,0.0025,573.1602336582516,0.4,465.66122,100,1.0,,573.1602336582516,561.8623,5.434597e-20,0.0024999997,400.0,1.0,0.0025,51880.028012061644,1.0,61.85,500,573.1602336582516,500.0,2
