eRenyi2,VarVanillaIw,VarNormIw,AvgNormIw,AvgVanillaIw,BatchSize,MinVanillaIw,J,EpsThisIter,VarJ,AvgEpLen,ESSClassic,IterType,VarDiscRet,Delta,AvgRet,MaxVanillaIw,Bound,VarRet,AvgDiscRet,VanillaAvgRet,MinNormIw,MaxNormIw,ESSRenyi
1.0,,5.43914e-20,0.00333333,1.0,500,1.0,4502.78,100,458.341,483.98,299.999969474,2,288564.005763,0.1,4486.21897452,1.0,3692.72,288564.005763,4486.21897452,4486.21897452,0.00333333,0.00333333,500.0
1.0,,5.4346e-20,0.0025,1.0,500,1.0,4509.7,100,436.555,489.35,400.0,2,132845.071749,0.1,4530.47379183,1.0,3808.07,132845.071749,4530.47379183,4530.47379183,0.0025,0.0025,500.0
1.0,6.96734,5.58537e-05,0.002,0.706379,500,1.92836e-16,4614.7,100,281.908,486.23,33.4773027685,1,186013.062134,0.1,4503.1922205,42.9705,3987.14,186013.062134,4503.1922205,4503.1922205,5.45984e-19,0.121664,499.999463559
1.0,,3.50449e-18,0.01,1.0,500,1.0,4591.36,100,314.084,495.46,100.0,2,99645.456646,0.1,4591.36238284,1.0,3188.6,99645.456646,4591.36238284,4591.36238284,0.01,0.01,500.0
1.0,,2.1793e-19,0.005,1.0,500,1.0,4603.01,100,240.704,497.96,200.000000102,2,17127.62257,0.1,4614.66228152,1.0,3611.11,17127.62257,4614.66228152,4614.66228152,0.005,0.005,500.0
1.0,,5.43914e-20,0.00333333,1.0,500,1.0,4612.24,100,200.615,499.4,299.999969474,2,4395.30879758,0.1,4630.68999256,1.0,3802.04,4395.30879758,4630.68999256,4630.68999256,0.00333333,0.00333333,500.0
1.0,,5.4346e-20,0.0025,1.0,500,1.0,4600.65,100,217.131,493.68,400.0,2,66902.6128249,0.1,4565.90189058,1.0,3899.0,66902.6128249,4565.90189058,4565.90189058,0.0025,0.0025,500.0
1.01174,0.0125728,5.0784e-08,0.002,0.995135,500,0.457135,4612.29,100,130.534,498.7,493.743986263,1,8331.24106064,0.1,4615.27253954,1.25933,3981.04,8331.24106064,4615.27253954,4615.27253954,0.00091874,0.00253097,494.197430407
1.0,,3.50449e-18,0.01,1.0,500,1.0,4596.78,100,218.171,496.16,100.0,2,48079.4234631,0.1,4596.77904226,1.0,3194.28,48079.4234631,4596.77904226,4596.77904226,0.01,0.01,500.0
1.0,,2.1793e-19,0.005,1.0,500,1.0,4587.04,100,346.513,493.39,200.000000102,2,194296.593635,0.1,4577.30442729,1.0,3595.32,194296.593635,4577.30442729,4577.30442729,0.005,0.005,500.0
1.0,,5.43914e-20,0.00333333,1.0,500,1.0,4597.63,100,311.779,497.59,299.999969474,2,51317.9591021,0.1,4618.79633101,1.0,3787.89,51317.9591021,4618.79633101,4618.79633101,0.00333333,0.00333333,500.0
1.0,,5.4346e-20,0.0025,1.0,500,1.0,4605.95,100,271.888,499.69,400.0,2,3272.97043473,0.1,4630.93844428,1.0,3904.7,3272.97043473,4630.93844428,4630.93844428,0.0025,0.0025,500.0
1.01664,0.0159516,6.40279e-08,0.002,0.998268,500,0.416614,4614.1,100,190.041,494.27,492.138064446,1,136748.126983,0.1,4583.74031291,1.26115,3981.69,136748.126983,4583.74031291,4583.74031291,0.000834674,0.00252667,491.817357385
1.0,,3.50449e-18,0.01,1.0,500,1.0,4603.28,100,312.151,496.4,100.0,2,98422.1667686,0.1,4603.27703615,1.0,3199.46,98422.1667686,4603.27703615,4603.27703615,0.01,0.01,500.0
1.0,,2.1793e-19,0.005,1.0,500,1.0,4621.8,100,223.788,499.83,200.000000102,2,2058.49138023,0.1,4640.31919848,1.0,3629.15,2058.49138023,4640.31919848,4640.31919848,0.005,0.005,500.0
1.0,,5.43914e-20,0.00333333,1.0,500,1.0,4617.72,100,196.962,498.36,299.999969474,2,16282.9887269,0.1,4609.57048612,1.0,3807.23,16282.9887269,4609.57048612,4609.57048612,0.00333333,0.00333333,500.0
1.0,,5.4346e-20,0.0025,1.0,500,1.0,4604.27,100,254.181,492.48,400.0,2,141290.433491,0.1,4563.91067206,1.0,3902.36,141290.433491,4563.91067206,4563.91067206,0.0025,0.0025,500.0
