EpsThisIter,VarNormIw,AvgVanillaIw,renyi2,VarJ,MaxVanillaIw,SamplesThisIter,Bound,MaxNormIw,AvgDiscRet,ESSRenyi,VarDiscRet,VarRet,IterType,delta,AvgEpLen,MinVanillaIw,VanillaAvgRet,ESSClassic,BatchSize,AvgRet,VarVanillaIw,AvgNormIw,J,MinNormIw
115,1.57733e-09,0.857029,nan,3187.04,4.6521,50000,4579.62,0.00026223,4345.87120345,nan,2448111.81772,2448111.81772,1,0.6,434.782608696,1.96372e-15,4345.87120345,1.58577171405,100,4345.87120345,0.496427,4.83092e-05,891637.0,1.10692e-19
100,5.67929e-16,1.00001,34.7403,0.909676,1.0076,50000,4591.09,5.59773e-05,4999.28594238,8.17466190195e-14,0.00464383003085,0.00464383003085,1,0.6,500.0,0.99246,4999.28594238,0.555789929827,100,4999.28594238,1.8401e-07,5.55556e-05,899871.0,5.51364e-05
114,1.67736e-09,0.954093,nan,4022.64,6.63267,50000,4573.73,0.000338782,4383.65734362,nan,2120053.28301,2120053.28301,1,0.6,438.596491228,9.73819e-20,4383.65734362,1.87841445216,100,4383.65734362,0.64293,4.87329e-05,889427.0,4.97405e-24
117,1.82359e-09,0.888295,nan,4229.42,5.10148,50000,4566.49,0.000272697,4271.02880459,nan,2538857.25424,2538857.25424,1,0.6,427.35042735,4.71543e-20,4271.02880459,1.59637314982,100,4271.02880459,0.638202,4.74834e-05,887670.0,2.52061e-24
122,2.17384e-09,0.925533,nan,4268.5,5.92345,50000,4565.21,0.000291441,4095.55367296,nan,2996744.91301,2996744.91301,1,0.6,409.836065574,5.29525e-19,4095.55367296,2.20456664132,100,4095.55367296,0.898002,4.55373e-05,887860.0,2.60533e-23
106,7.94198e-10,1.03696,nan,3667.9,3.34494,50000,4586.06,0.000169062,4715.71263155,nan,1178689.44226,1178689.44226,1,0.6,471.698113208,1.0956e-07,4715.71263155,1.21200206818,100,4715.71263155,0.310894,5.24109e-05,892193.0,5.53745e-12
115,1.50249e-09,0.891655,nan,3341.18,4.20988,50000,4579.71,0.000228088,4345.8868893,nan,2509520.65868,2509520.65868,1,0.6,434.782608696,1.02068e-14,4345.8868893,1.89335089633,100,4345.8868893,0.511853,4.83092e-05,891510.0,5.52997e-19
109,1.07765e-09,0.977655,nan,3313.29,4.97136,50000,4585.63,0.000259173,4585.6725848,nan,1670519.12659,1670519.12659,1,0.6,458.71559633,2.43293e-09,4585.6725848,1.81784971243,100,4585.6725848,0.396503,5.09684e-05,892276.0,1.26837e-13
105,5.3889e-10,0.949529,nan,1847.4,3.51113,50000,4589.89,0.000195649,4760.74403326,nan,1139357.42935,1139357.42935,1,0.6,476.19047619,1.31864e-05,4760.74403326,1.14793693358,100,4760.74403326,0.173556,5.29101e-05,896664.0,7.3478e-10
107,8.96193e-10,0.959232,nan,2842.57,3.47676,50000,4579.69,0.000188189,4671.56764141,nan,1322975.77874,1322975.77874,1,0.6,467.289719626,1.00973e-06,4671.56764141,1.33227734233,100,4671.56764141,0.305887,5.19211e-05,892989.0,5.46547e-11
