Inner Iteration,EpLenMean,ReturnStepMax,EpRewMean,ReturnStepMaxmin,InitialReturnStd,StdWReturnMean,InitialBound,EmpiricalD2Arithmetic,MinIW,OptimizationReturnMean,Iteration,ESSRenyiArithmetic,Epsilon,InitialReturnMin,ReturnMeanIW,WReturnMean,ESSRenyiHarmonic,MaxIW,EpThisIter,EmpiricalD2Harmonic,MeanIW,EpisodesSoFar,TimestepsSoFar,LearnableVariance,InitialReturnMean,StdIW,MeanD2-0,Penalization,TimeElapsed,Bound,VarianceInitializer,MinTargetPdf,OptimizationReturnMin,InitialReturnMax,DivergenceHarmonic,MeanEntropy,MinBehavPdf,OptimizationReturnMax
2,152.18,10.0,1511.3627083457918,10.0,757.1834,,-2673759400000000.0,165.93399,3.1311017e-06,941.7322,27,0.30132464,1.0,569.6305,22175348.0,26944574.0,0.30132464,257.94583,50,165.93399,7.6512427,13100,944231,,1511.3628,36.492546,165.93399,True,318.3701288700104,-1929721800000000.0,-1.0,-181.55722,,4108.9805,1.9594962e+18,0.4189424,-178.02504,3539.35
3,140.1,10.0,1390.6023823972891,10.0,593.95776,,-28500747000000.0,91.78802,3.4305765e-05,1390.6025,27,0.5447334,1.0,,4045520.8,4119168.5,0.5447334,21.11106,50,91.78802,1.6919913,13150,951236,,1390.6025,4.253825,91.78802,True,322.5425295829773,-25904779000000.0,-1.0,-134.52899,,3058.9814,1149591500000000.0,0.4189424,-130.30539,3058.9814
4,129.82,9.999999,1287.8002881461132,9.999999,663.16895,,-12577568000000.0,77.94911,1.0138477e-06,1277.8154,27,0.64144415,1.0,9.984922,5755396.0,5916453.0,0.64144415,106.069336,50,77.94911,4.267744,13200,957727,,1287.8003,15.91711,77.94911,True,326.4879765510559,-12525627000000.0,-1.0,-148.95123,,3159.2573,236238030000000.0,0.4189424,-147.63663,3149.2725
5,122.4,9.999999,1213.6200352580663,9.999999,554.9483,,-1841232600000.0,77.33603,2.7422282e-06,1213.62,27,0.6465292,1.0,,31360582.0,31489520.0,0.6465292,299.87604,50,77.33603,7.2631655,13250,963847,,1213.62,42.012547,77.33603,True,329.7200253009796,-1802371300000.0,-1.0,-102.2847,,2419.19,14226067000000.0,0.4189424,-99.731674,2419.19
6,132.62,10.0,1315.7913434402535,10.0,650.0486,,-22618585000000.0,103.9068,1.3577351e-05,1275.8647,27,0.48120046,1.0,39.92663,1544735.0,1451456.4,0.48120046,15.174957,50,103.9068,1.6442268,13300,970478,,1315.7914,3.9775832,103.9068,True,333.264452457428,-22307878000000.0,-1.0,-125.07608,,3369.6165,579009700000000.0,0.4189424,-123.02525,3329.69
7,118.9,10.0,1178.5881873054946,10.0,508.73975,,-11804259000000.0,87.80462,1.7268043e-07,1168.6075,27,0.56944615,1.0,9.9807005,48224044.0,50713900.0,0.56944615,542.9763,50,87.80462,18.143673,13350,976423,,1178.5881,82.9517,87.80462,True,336.7494740486145,-11773081000000.0,-1.0,-94.90073,,2119.7168,1029808700000000.0,0.4189424,-92.16785,2109.736
8,112.74,9.999999,1117.0313064776335,9.999999,450.2589,,-6110188000000.0,91.035614,3.4554373e-06,1067.1104,27,0.5492356,1.0,49.92098,3540069.2,3534669.8,0.5492356,52.60878,50,91.035614,2.913731,13400,982060,,1117.0314,9.03759,91.035614,True,340.30569672584534,-6088505000000.0,-1.0,-94.0274,,2099.6494,286104700000000.0,0.4189424,-92.52412,2049.7285
9,141.36,10.0,1403.1939843265793,10.0,729.002,,-30774632000000.0,87.03691,1.4063967e-06,1093.4971,27,0.5744689,1.0,309.69687,5796776.0,5562763.0,0.5744689,33.617958,50,87.03691,1.5129205,13450,989128,,1403.1941,5.066046,87.03691,True,344.42257833480835,-30453887000000.0,-1.0,-207.87881,,4838.6943,253783760000000.0,0.4189424,-208.51863,4528.9976
10,135.62,10.0,1345.7506402613906,10.0,557.4767,,-27200710000000.0,78.1481,2.047598e-07,1325.7823,27,0.6398108,1.0,19.96835,62915988.0,60963530.0,0.6398108,788.62274,50,78.1481,17.950632,13500,995909,,1345.7507,110.287056,78.1481,True,348.05253887176514,-27009390000000.0,-1.0,-109.38794,,3048.5747,1266868100000000.0,0.4189424,-108.398254,3028.6064
1,117.14,10.0,1161.0545355860143,10.0,604.88184,,-2367667.0,1.0,0.05613363,1061.1919,28,50.0,1.0,99.862625,971766800000.0,1713929.6,50.0,61683244.0,50,1.0,1371085.2,13550,1001766,,1161.0546,8621852.0,1.0,True,352.0293493270874,-6.62632e+19,-1.0,-109.491714,,2829.5874,1.0274095e+28,0.4189424,-109.491714,2729.7249
2,127.78,9.999999,1267.272485742826,9.999999,811.3174,,-inf,2428484200000.0,6.857147e-18,1027.4933,28,2.0588975e-11,1.0,239.77922,45191340.0,45191340.0,2.0588975e-11,1060.5767,50,2428484200000.0,21.241028,13600,1008155,,1267.2725,148.47655,2428484200000.0,True,356.07520961761475,-inf,-1.0,-131.95311,,3149.4668,inf,0.4189424,-115.3755,2909.6875
3,133.14,9.999999,1320.8164969978818,9.999999,846.5853,,-inf,23358218000.0,1.3505614e-18,1100.9692,28,2.1405742e-09,1.0,219.84723,136258.44,136258.44,2.1405742e-09,11.319436,50,23358218000.0,0.28627574,13650,1014812,,1320.8165,1.5971174,23358218000.0,True,359.5442762374878,-inf,-1.0,-145.70319,,3399.3647,inf,0.4189424,-137.96616,3179.5176
4,113.48,10.0,1124.3521859028085,10.0,794.0558,,-inf,1028136300.0,4.417757e-11,1114.3711,28,4.8631684e-08,1.0,9.981072,376355.53,376355.53,4.8631684e-08,6.4541984,50,1028136300.0,0.19671495,13700,1020486,,1124.3522,0.9153263,1028136300.0,True,362.9262845516205,-inf,-1.0,-144.80386,,3269.2153,inf,0.4189424,-138.08002,3259.2344
5,135.92,9.999999,1348.6696350184359,9.999999,937.88666,,-inf,57636024000.0,1.6564602e-18,1338.6892,28,8.67513e-10,1.0,9.980571,15619.135,15619.135,8.67513e-10,0.9767081,50,57636024000.0,0.055880312,13750,1027282,,1348.6697,0.17702807,57636024000.0,True,367.2290780544281,-inf,-1.0,-199.34494,,4348.343,inf,0.4189424,-190.32753,4338.3623
6,132.14,10.0,1310.8978704857277,10.0,979.21265,,-inf,641443400000.0,3.5658954e-16,1290.9313,28,7.7949196e-11,1.0,19.966492,17427354.0,17427354.0,7.7949196e-11,386.14282,50,641443400000.0,8.984776,13800,1033889,,1310.8978,54.398415,641443400000.0,True,370.9828071594238,-inf,-1.0,-180.2363,,3958.5662,inf,0.4189424,-162.45132,3938.5996
7,128.4,10.0,1273.4955993550177,10.0,812.728,,-inf,151961930000.0,9.240483e-16,1263.5137,28,3.2902978e-10,1.0,9.9819145,313890.47,313890.47,3.2902978e-10,15.1023655,50,151961930000.0,0.4337734,13850,1040309,,1273.4956,2.1317906,151961930000.0,True,374.64015793800354,-inf,-1.0,-139.90701,,3089.4497,inf,0.4189424,-129.02298,3079.4678
8,132.2,9.999999,1311.6958775500825,9.999999,1033.1011,,-inf,94385365000.0,4.0184444e-17,1301.7122,28,5.2974314e-10,1.0,9.983655,127527080.0,127527080.0,5.2974314e-10,4551.352,50,94385365000.0,91.43164,13900,1046919,,1311.6959,637.1361,94385365000.0,True,378.29710054397583,-inf,-1.0,-208.0865,,4998.6826,inf,0.4189424,-197.4447,4988.6987
9,132.4,10.0,1313.4653861415043,10.0,715.9167,,-inf,150639580000.0,1.7628566e-17,1033.6422,28,3.3191808e-10,1.0,279.82312,45275.152,45275.152,3.3191808e-10,0.6827581,50,150639580000.0,0.041429125,13950,1053539,,1313.4653,0.12299586,150639580000.0,True,381.20777201652527,-inf,-1.0,-150.47717,,3238.9746,inf,0.4189424,-142.35818,2959.1514
10,140.72,10.0,1396.607981714209,10.0,984.98486,,-inf,13014254000000.0,6.292384e-23,1186.7964,28,3.841941e-12,1.0,209.81146,73839.945,73839.945,3.841941e-12,2.8286366,50,13014254000000.0,0.096940085,14000,1060575,,1396.6079,0.45237947,13014254000000.0,True,385.8591182231903,-inf,-1.0,-206.55106,,4438.098,inf,0.4189424,-180.991,4228.2866
1,106.1,10.0,1050.5965870967202,10.0,733.6877,,-2328141.5,1.0,0.02482567,1050.5966,29,50.0,1.0,,54289350.0,1642050.8,50.0,330.04868,50,1.0,13.405641,14050,1065880,,1050.5966,50.7877,1.0,True,388.7321171760559,-61143982000.0,-1.0,-122.75484,,2898.761,7928253400.0,0.4189424,-122.75484,2898.761
2,147.3,10.0,1462.5255893939006,10.0,867.06665,,-1.0858849e+16,321.13376,3.574112e-06,1432.5664,29,0.15569836,1.0,29.95929,55659230.0,55659230.0,0.15569836,1203.5249,50,321.13376,26.318903,14100,1073245,,1462.5256,168.21645,321.13376,True,393.8612062931061,-1.0858849e+16,-1.0,-157.16873,,3708.9668,9.346459e+19,0.4189424,-158.3664,3679.0076
3,132.6,10.0,1315.5713323250682,10.0,682.5887,,-1741037500000000.0,250.23135,1.9059602e-06,1295.6104,29,0.1998151,1.0,19.961063,3022305.5,3000328.8,0.1998151,46.469784,50,250.23134,1.9307536,14150,1079875,,1315.5714,6.7134247,250.23135,True,397.59708857536316,-1594200300000000.0,-1.0,-134.6453,,2869.155,5.625498e+18,0.4189424,-133.89015,2849.1938
4,131.3,10.0,1302.5560796806467,10.0,804.12335,,-7728317000000000.0,215.92622,1.5551249e-06,1252.6422,29,0.23156057,1.0,49.913868,1589178.8,1589178.8,0.23156057,10.127284,50,215.92622,1.7204988,14200,1086440,,1302.5562,2.8042371,215.92622,True,402.44763135910034,-7728317000000000.0,-1.0,-191.99832,,4598.2314,2.0040005e+19,0.4189424,-192.23529,4548.3174
5,148.32,10.0,1472.7413615279418,10.0,770.5624,,-755150700000000.0,203.6003,2.8977373e-08,1452.7712,29,0.24557921,1.0,19.97007,5753292.5,5884670.0,0.24557921,42.771614,50,203.6003,2.9412167,14250,1093856,,1472.7412,7.658666,203.6003,True,408.46884059906006,-753183200000000.0,-1.0,-146.87915,,3449.5732,6.009399e+17,0.4189424,-138.19775,3429.6033
6,142.84,10.0,1417.8741039845693,10.0,637.6277,,-424660400000000.0,171.57898,4.724176e-06,1168.0242,29,0.29141098,1.0,249.84987,191653060.0,288089900.0,0.29141098,822.01105,50,171.57898,32.74019,14300,1100998,,1417.874,144.37366,171.57898,True,413.26832389831543,-404903780000000.0,-1.0,-131.04846,,3318.527,2.0277439e+17,0.4189424,-134.52286,3068.6772
7,129.44,10.0,1283.9766666390722,10.0,568.1633,,-60406517000000.0,145.47284,1.697746e-06,1264.0094,29,0.3437068,1.0,19.967205,1674317.8,1583623.9,0.3437068,8.282425,50,145.47284,1.3267871,14350,1107470,,1283.9767,2.226001,145.47284,True,417.3417024612427,-59137850000000.0,-1.0,-120.80452,,2659.438,1.0487278e+16,0.4189424,-117.183426,2639.4707
8,142.9,10.0,1418.4948397570697,10.0,809.79834,,-869661550000000.0,183.18057,1.0363079e-06,1378.5553,29,0.2729547,1.0,39.93955,4099475.5,3788509.8,0.2729547,22.709942,50,183.18057,2.592949,14400,1114615,,1418.4949,5.014137,183.18057,True,421.3446743488312,-855502860000000.0,-1.0,-150.50452,,3608.6782,6.4735355e+17,0.4189424,-143.92598,3568.7388
9,137.48,10.0,1364.3557474751253,10.0,655.1271,,-1240979000000000.0,238.75958,2.1745007e-06,1334.4103,29,0.20941567,1.0,29.945517,3535975.0,3571773.2,0.20941567,61.425232,50,238.75958,3.0372534,14450,1121489,,1364.3558,8.909979,238.75958,True,426.1001064777374,-1225060500000000.0,-1.0,-141.8102,,2659.5508,4.4995922e+18,0.4189424,-140.24286,2629.6052
10,126.12,10.0,1250.7273483860572,10.0,728.9777,,-1318065200000000.0,262.4624,4.4680532e-06,1240.7468,29,0.19050348,1.0,9.980554,4897406.0,5724272.5,0.19050348,54.362892,50,262.4624,2.0917587,14500,1127795,,1250.7273,7.7078743,262.4624,True,430.0721092224121,-1300155700000000.0,-1.0,-121.705414,,3448.832,1.7922306e+18,0.4189424,-119.42691,3438.8516
1,131.94,9.999999,1308.947715022642,9.999999,719.1549,,-3317908.5,1.0,0.10720123,1308.9478,30,50.0,1.0,,93894020.0,2230528.0,50.0,896.6452,50,1.0,53.826675,14550,1134392,,1308.9478,154.64563,1.0,True,434.38585805892944,-21488073000.0,-1.0,-137.64268,,3649.3208,387109900.0,0.4189424,-137.64268,3649.3208
2,128.3,9.999999,1272.5109865852073,9.999999,760.9929,,-1.9274662e+16,280.32315,2.918584e-07,1242.5642,30,0.17836557,1.0,29.946835,1849263.5,1849263.5,0.17836557,7.499464,50,280.32315,0.6839406,14600,1140807,,1272.511,1.4458444,280.32315,True,438.80437088012695,-1.9274662e+16,-1.0,-130.38719,,2919.467,7.670974e+20,0.4189424,-125.677956,2889.5203
3,145.5,10.0,1444.4419959795464,10.0,854.98267,,-2.5624672e+17,585.4143,4.029363e-07,1224.6294,30,0.0854096,1.0,219.81259,19724116.0,19724116.0,0.0854096,353.16245,50,585.4143,7.7426033,14650,1148082,,1444.442,49.37489,585.4143,True,443.19877195358276,-2.5624672e+17,-1.0,-163.56229,,3668.7302,5.4368175e+22,0.4189424,-162.23859,3448.9177
4,137.1,10.0,1360.481446000637,10.0,842.8618,,-1.9177388e+17,359.89996,0.0002690915,1320.5492,30,0.13892749,1.0,39.932198,1437409.0,1437409.0,0.13892749,18.065376,50,359.89996,0.8369088,14700,1154937,,1360.4814,2.625683,359.89996,True,447.83498096466064,-1.9177388e+17,-1.0,-162.48114,,4298.637,1.615649e+22,0.4189424,-158.37091,4258.705
5,126.2,10.0,1251.5243078083256,10.0,875.15533,,-1.5189827e+18,576.4685,1.2494116e-05,1231.5587,30,0.08673501,1.0,19.96561,2329399.8,2329399.8,0.08673501,22.814835,50,576.4685,1.2254966,14750,1161247,,1251.5244,3.6355014,576.4685,True,451.4432649612427,-1.5189827e+18,-1.0,-200.94057,,4498.742,8.449528e+23,0.4189424,-195.29544,4478.7764
6,146.34,9.999999,1452.8485018296626,9.999999,866.0622,,-2.6941426e+16,498.501,4.157305e-05,1442.8661,30,0.1003007,1.0,9.982349,78256070.0,78256070.0,0.10030071,895.70166,50,498.50098,25.552576,14800,1168564,,1452.8486,129.19609,498.501,True,455.5245268344879,-2.6941426e+16,-1.0,-133.90843,,2939.0156,1.4592337e+21,0.4189424,-133.69424,2929.0332
7,119.8,10.0,1187.5307162590832,10.0,709.1682,,-2.0864436e+16,486.85977,8.8531976e-07,1177.5514,30,0.102698974,1.0,9.979313,4943432.0,4943432.0,0.102698974,81.22201,50,486.85977,2.1511369,14850,1174554,,1187.5308,11.356286,486.85977,True,458.6826002597809,-2.0864436e+16,-1.0,-114.279755,,2779.1648,1.0945796e+21,0.4189424,-107.98064,2769.1855
8,115.04,9.999999,1139.9819286898592,9.999999,760.8978,,-2.862304e+17,709.26135,8.9411697e-07,1129.9999,30,0.07049587,1.0,9.982055,27864008.0,27864008.0,0.07049587,166.17427,50,709.26135,9.635965,14900,1180306,,1139.9819,29.119093,709.26135,True,462.3642888069153,-2.862304e+17,-1.0,-126.16192,,2988.688,1.5402828e+23,0.4189424,-121.756096,2978.706
9,116.4,10.0,1153.5407613500345,10.0,867.67615,,-1.2494781e+19,1277.3104,5.877417e-09,943.74994,30,0.03914475,1.0,209.79086,2779171.2,2779171.2,0.03914475,18.210121,50,1277.3104,1.0272034,14950,1186126,,1153.5408,2.8732595,1277.3104,True,466.3801951408386,-1.2494781e+19,-1.0,-210.41916,,4628.6113,5.1020623e+25,0.4189424,-202.85506,4418.8203
10,135.02,9.999999,1339.6323256409755,9.999999,832.52734,,-3.3594568e+17,784.41626,5.0405263e-10,1319.6642,30,0.06374167,1.0,19.968012,8060908.0,8060908.0,0.06374167,244.5613,50,784.41626,5.7111845,15000,1192877,,1339.6323,34.1878,784.41626,True,470.11659049987793,-3.3594568e+17,-1.0,-154.97943,,3537.6914,1.0808107e+23,0.4189424,-151.21376,3517.7234
1,128.62,10.0,1275.672769413056,10.0,785.6836,,-3069843.0,1.0,0.10830116,1055.879,31,50.0,1.0,219.79369,2459300900.0,2244639.5,50.0,32713.346,50,1.0,903.7654,15050,1199308,,1275.6729,4796.009,1.0,True,473.8263556957245,-1100480100000.0,-1.0,-144.53555,,3179.0835,1770535600000.0,0.4189424,-144.53555,2959.2898
2,148.38,10.0,1473.2071984925665,10.0,901.3244,,-3.0528688e+23,35191.63,9.701995e-07,1183.4532,31,0.0014207924,1.0,289.75397,2171907.2,2171907.2,0.0014207924,21.859608,50,35191.63,1.268951,15100,1206727,,1473.2072,4.3187127,35191.63,True,478.5562720298767,-3.0528688e+23,-1.0,-156.62164,,3918.6802,5.928548e+34,0.4189424,-152.60211,3628.9263
3,176.56,10.0,1755.0216104204299,10.0,889.97864,,-1.2445399e+21,7457.741,1.0027845e-08,1465.2344,31,0.0067044427,1.0,289.78723,2059843.9,2059843.9,0.0067044427,15.010583,50,7457.741,0.90251267,15150,1215555,,1755.0216,2.9024665,7457.741,True,483.5562539100647,-1.2445399e+21,-1.0,-189.35309,,4508.999,5.620674e+29,0.4189424,-183.10199,4219.212
4,161.04,10.0,1599.8747313347108,10.0,1040.4403,,-4.1208387e+20,3239.179,1.37507445e-08,1290.1343,31,0.01543601,1.0,309.74048,2591574.5,2591574.5,0.015436011,17.489536,50,3239.1787,1.1169938,15200,1223607,,1599.8746,3.480609,3239.179,True,488.9380567073822,-4.1208387e+20,-1.0,-160.39592,,4449.5913,6.4980344e+28,0.4189424,-159.65292,4139.8506
5,147.56,10.0,1465.073235320058,10.0,884.078,,-9.405314e+20,6790.63,1.5278526e-06,1405.1648,31,0.007363087,1.0,59.908295,1740593.5,1740593.5,0.007363087,98.07902,50,6790.63,2.7429616,15250,1230985,,1465.0731,13.706127,6790.63,True,493.65553045272827,-9.405314e+20,-1.0,-140.59753,,3138.5903,1.367412e+30,0.4189424,-136.05444,3078.6821
6,155.92,10.0,1548.6321482958906,10.0,976.9178,,-4.7863275e+20,5881.0156,1.2706733e-09,1268.8665,31,0.008501933,1.0,279.7657,102520210.0,102520210.0,0.008501933,1817.433,50,5881.0156,56.490036,15300,1238781,,1548.6322,282.43213,5881.0156,True,498.2025234699249,-4.7863275e+20,-1.0,-186.35266,,4238.9224,1.0643251e+29,0.4189424,-180.50558,3959.1567
7,173.42,10.0,1723.610691286357,10.0,912.0655,,-1.06079784e+21,8281.151,4.699793e-10,1683.677,31,0.0060378076,1.0,39.933693,4258909.0,4258909.0,0.0060378076,148.66814,50,8281.151,4.676406,15350,1247452,,1723.6108,22.166813,8281.151,True,503.09173703193665,-1.06079784e+21,-1.0,-200.89243,,4149.172,5.6952235e+29,0.4189424,-197.06207,4109.2383
8,170.52,10.0,1694.5778968739237,10.0,997.8298,,-inf,180039.55,1.9805832e-08,1414.8805,31,0.00027771675,1.0,279.69745,4721616.0,4721616.0,0.00027771675,34.549355,50,180039.55,1.2696862,15400,1255978,,1694.5778,5.031249,180039.55,True,508.4193797111511,-inf,-1.0,-192.4552,,4488.802,inf,0.4189424,-185.63934,4209.1045
9,165.62,10.0,1645.6249804726062,10.0,800.4381,,-1.72214e+21,6424.293,1.4125153e-06,1335.7675,31,0.0077829575,1.0,309.85736,75176700.0,75176700.0,0.0077829584,299.35486,50,6424.2925,15.80301,15450,1264259,,1645.625,56.660564,6424.293,True,514.2757201194763,-1.72214e+21,-1.0,-139.48479,,3089.4238,4.8833543e+30,0.4189424,-137.04153,2779.5664
10,159.6,10.0,1585.467797591103,10.0,921.9428,,-1.6706706e+23,19982.354,2.1970872e-07,1535.5602,31,0.0025022076,1.0,49.907436,6504228.0,6504228.0,0.0025022076,38.065956,50,19982.354,1.8889047,15500,1272239,,1585.4678,6.651121,19982.354,True,519.4246878623962,-1.6706706e+23,-1.0,-181.41205,,4338.9023,1.1812816e+34,0.4189424,-175.90895,4288.995
1,173.44,10.0,1723.7650376578363,10.0,954.35284,,-5556658.0,1.0,0.16555838,1713.7823,32,50.0,1.0,9.982615,1338156000.0,3882155.2,50.0,18928.986,50,1.0,612.4445,15550,1280911,,1723.765,2843.1365,1.0,True,524.5265309810638,-5944525000000.0,-1.0,-189.11026,,4528.5986,12597221000000.0,0.4189424,-189.11026,4518.616
2,154.36,10.0,1533.2270961810652,10.0,1152.3746,,-3.273284e+20,2426.8767,1.4754952e-05,1493.2991,32,0.020602612,1.0,39.928078,13436925.0,13436925.0,0.020602612,112.45201,50,2426.8767,3.9402914,15600,1288629,,1533.227,17.726107,2426.8767,True,529.7121524810791,-3.273284e+20,-1.0,-193.9046,,4998.515,2.5745098e+28,0.4189424,-188.34264,4958.587
3,181.9,10.0,1808.3586794393323,10.0,1031.9089,,-1.1352012e+20,3290.1313,3.8969865e-06,1798.3777,32,0.015196961,1.0,9.981139,15919412.0,15919412.0,0.015196963,36.674488,50,3290.131,1.5882022,15650,1297724,,1808.3588,5.851816,3290.1313,True,535.1558270454407,-1.1352012e+20,-1.0,-197.95256,,4808.0513,3.6171004e+27,0.4189424,-194.8736,4798.0703
4,170.72,10.0,1696.5526485970595,10.0,1192.5405,,-1.0939523e+23,24528.348,5.3316893e-07,1666.602,32,0.0020384577,1.0,29.9507,4362075.0,4362075.0,0.0020384577,36.56162,50,24528.348,1.1533074,15700,1306260,,1696.5525,5.0943837,24528.348,True,540.5204844474792,-1.0939523e+23,-1.0,-210.24416,,4668.969,3.7774954e+33,0.4189424,-206.31726,4639.0186
5,159.72,10.0,1586.5825016750055,10.0,1109.9523,,-1.5778476e+20,2090.5757,7.24449e-05,1336.792,32,0.023916857,1.0,249.79053,6283015.5,6283015.5,0.023916857,77.79167,50,2090.5757,2.3807986,15750,1314246,,1586.5825,10.991496,2090.5757,True,545.921799659729,-1.5778476e+20,-1.0,-160.40976,,3869.0884,1.6664283e+28,0.4189424,-157.70998,3619.2979
6,152.16,10.0,1511.0539414475218,10.0,921.71985,,-inf,89708.04,3.8851843e-07,1501.0703,32,0.0005573637,1.0,9.983638,1722770400.0,1722770400.0,0.0005573637,12992.232,50,89708.04,292.183,15800,1321854,,1511.0541,1820.5902,89708.04,True,549.9541919231415,-inf,-1.0,-167.54097,,4158.2324,inf,0.4189424,-160.1605,4148.249
7,122.48,9.999999,1214.5130698750402,9.999999,1048.4883,,-2.3692368e+17,409.64255,0.00012399115,1214.5131,32,0.12205763,1.0,,26089150.0,26089150.0,0.12205763,185.16595,50,409.64255,5.71952,15850,1327978,,1214.5131,27.070194,409.64255,True,553.9264831542969,-2.3692368e+17,-1.0,-221.88004,,4999.071,1.3481898e+22,0.4189424,-221.00917,4999.071
8,146.62,10.0,1455.663048992689,10.0,992.4381,,-1.286402e+20,3230.1965,2.6657495e-05,1185.881,32,0.015478934,1.0,269.78204,1313759.6,1313759.6,0.015478934,8.115662,50,3230.1965,0.51635855,15900,1335309,,1455.663,1.3114643,3230.1965,True,558.4632256031036,-1.286402e+20,-1.0,-144.09213,,3508.7458,1.6377102e+28,0.4189424,-139.74722,3238.9639
9,151.4,9.999999,1503.3980138566599,9.999999,1124.304,,-1.198381e+21,6246.8486,2.1750056e-07,1503.398,32,0.008004036,1.0,,123548480.0,123548480.0,0.008004036,318.4088,50,6246.8486,12.747254,15950,1342879,,1503.398,56.461693,6246.8486,True,562.656135559082,-1.198381e+21,-1.0,-214.40802,,4559.1416,4.985959e+29,0.4189424,-209.40643,4559.1416
10,158.18,9.999999,1571.422774261643,9.999999,1350.8821,,-3.6714862e+22,16181.733,5.7459804e-08,1561.4403,32,0.0030899039,1.0,9.982354,9760634.0,9760634.0,0.0030899039,49.10528,50,16181.733,1.7299097,16000,1350788,,1571.4229,6.9635534,16181.733,True,567.8024740219116,-3.6714862e+22,-1.0,-206.4046,,4998.6772,3.2385804e+32,0.4189424,-205.37688,4988.695
1,157.84,10.0,1568.167386754417,10.0,1249.9214,,-6061880.0,1.0,0.039744623,1558.1857,33,50.0,1.0,9.981904,1025220540.0,4021452.5,50.0,1468.5381,50,1.0,60.24843,16050,1358680,,1568.1674,279.9771,1.0,True,572.4889993667603,-2923027800000.0,-1.0,-203.7622,,4998.9824,2050812700000.0,0.4189424,-203.7622,4989.0005
2,153.48,10.0,1524.2865320588817,10.0,971.4652,,-4.4221984e+16,321.47415,4.723543e-07,1504.3181,33,0.15553351,1.0,19.968445,2218055.0,2218055.0,0.15553351,14.006996,50,321.47415,1.5099827,16100,1366354,,1524.2866,2.9211977,321.47415,True,577.4013948440552,-4.4221984e+16,-1.0,-165.1286,,3758.9883,1.4692097e+21,0.4189424,-163.11313,3739.0198
3,187.84,10.0,1867.7187877335432,10.0,1055.72,,-1079852200000000.0,103.5423,1.0272521e-05,1867.7188,33,0.48289445,1.0,,69231680.0,68712960.0,0.48289445,317.17712,50,103.5423,8.735293,16150,1375746,,1867.7188,44.204063,103.5423,True,584.649817943573,-1078905500000000.0,-1.0,-188.02455,,4178.38,5.7283082e+17,0.4189424,-189.16531,4178.38
4,162.76,10.0,1617.0058467916645,10.0,902.14075,,-5958524600000000.0,176.95515,2.503558e-08,1597.0417,33,0.28255746,1.0,19.964077,3764860.5,3764860.5,0.28255746,14.734859,50,176.95515,1.8164726,16200,1383884,,1617.0057,3.0424466,176.95515,True,589.5950927734375,-5958524600000000.0,-1.0,-153.50897,,3938.9016,2.2124232e+19,0.4189424,-150.61409,3918.9375
5,187.76,10.0,1866.9762186983758,10.0,1035.5735,,-6002051000000000.0,284.4905,1.5716977e-07,1827.0513,33,0.17575279,1.0,39.924835,1870507.9,1870507.9,0.17575279,17.791813,50,284.4905,1.7592492,16250,1393272,,1866.9761,3.4564342,284.4905,True,595.0646779537201,-6002051000000000.0,-1.0,-171.24008,,4049.079,2.0103216e+19,0.4189424,-166.3813,4009.1543
6,177.84,10.0,1767.9920762567708,10.0,1057.9518,,-6.1341067e+17,408.58063,2.7296624e-06,1767.9921,33,0.12237487,1.0,,9661619.0,9661619.0,0.12237487,18.694374,50,408.58063,2.1469283,16300,1402164,,1767.9921,3.27507,408.58063,True,601.0174586772919,-6.1341067e+17,-1.0,-197.42986,,4998.156,9.043879e+22,0.4189424,-197.1699,4998.156
7,166.74,10.0,1656.8014817094631,10.0,1002.03455,,-2.1787792e+17,289.2299,6.9678543e-07,1636.8356,33,0.17287287,1.0,19.96586,3190006.5,3190006.5,0.17287287,12.093409,50,289.2299,1.7755983,16350,1410501,,1656.8014,2.8603516,289.2299,True,606.1318693161011,-2.1787792e+17,-1.0,-224.42615,,4908.299,1.2268561e+22,0.4189424,-222.13681,4888.333
8,162.5,10.0,1614.6406004308615,10.0,937.28986,,-1.0234228e+18,570.16,6.8142604e-08,1614.6405,33,0.08769469,1.0,,2919170.2,2919170.2,0.08769469,7.2880545,50,570.16,1.4371314,16400,1418626,,1614.6405,1.8495057,570.16,True,612.0188367366791,-1.0234228e+18,-1.0,-229.55238,,4998.1553,2.517459e+23,0.4189424,-228.02625,4998.1553
9,176.1,9.999999,1750.3358247699468,9.999999,950.44556,,-1111483650000000.0,152.80128,1.8050424e-07,1660.4504,33,0.32722238,1.0,89.88517,2499187.5,2498311.0,0.32722238,9.222386,50,152.80128,1.0063986,16450,1427431,,1750.3358,1.8466724,152.80128,True,617.8928253650665,-1110945200000000.0,-1.0,-159.88141,,3588.3372,1.11661536e+18,0.4189424,-158.4919,3498.452
10,159.74,10.0,1586.8680229967038,10.0,943.85657,,-2110542100000000.0,191.26668,2.2438763e-07,1576.8872,33,0.26141512,1.0,9.980703,4003819.2,3861280.5,0.26141512,7.1227307,50,191.26668,1.6527889,16500,1435418,,1586.8682,2.1711235,191.26668,True,623.6045043468475,-2101237200000000.0,-1.0,-149.24109,,3809.188,3.14566e+18,0.4189424,-143.36458,3799.2073
