EmpiricalD2Arithmetic,ReturnStepMaxmin,InitialBound,VarianceInitializer,TimestepsSoFar,InitialReturnMean,OptimizationReturnMax,WReturnMean,EpLenMean,MinTargetPdf,OptimizationReturnMin,EmpiricalD2Harmonic,MinBehavPdf,Penalization,TimeElapsed,InitialReturnMax,InitialReturnMin,MeanIW,EpRewMean,MeanEntropy,EpisodesSoFar,Bound,Inner Iteration,InitialReturnStd,ESSRenyiHarmonic,StdIW,MinIW,ESSRenyiArithmetic,LearnableVariance,ReturnMeanIW,MaxIW,MeanD2-0,Epsilon,StdWReturnMean,OptimizationReturnMean,DivergenceHarmonic,ReturnStepMax,Iteration,EpThisIter
53.15846,10.0,-38884320000000.0,-1.0,103289,692.092,1619.4459,2353303.5,70.24,-66.08033,,53.15846,-67.20342,True,74.17565584182739,1639.4089,19.963005,2.608207,692.0920180936779,0.4189424,2750,-35977175000000.0,5,453.54422,0.94058406,6.5193753,9.880461e-05,0.94058406,,2050401.2,39.447575,53.15846,1.0,,672.12897,2.6877948e+16,10.0,6,50
136.1733,9.999999,-1384348600000000.0,-1.0,106969,725.72046,1809.6013,952867.3,73.6,-75.29071,,136.1733,-74.860374,True,77.10309505462646,1839.5485,29.947115,1.7347797,725.7204551181155,0.4189424,2800,-1384348600000000.0,6,463.6349,0.3671792,3.3270311,1.3144669e-05,0.3671792,,952867.3,14.674278,136.1733,1.0,,695.77325,2.510367e+19,9.999999,6,50
64.755424,10.0,-383923270000000.0,-1.0,110438,683.5097,1589.7417,1445890.2,69.38,-78.798294,,64.755424,-77.09654,True,79.49727296829224,1679.6212,89.87955,3.0378556,683.5097019919056,0.4189424,2850,-381755280000000.0,7,372.76382,0.7721361,6.358834,2.2537688e-06,0.7721361,,1486285.6,36.008793,64.755424,1.0,,593.6301,2.7467299e+18,10.0,6,50
84.8022,9.999999,-900563840000000.0,-1.0,113835,669.1317,1709.718,662476.4,67.94,-87.37744,,84.8022,-84.236984,True,81.89945840835571,1759.664,49.945965,2.640083,669.1317693959729,0.4189424,2900,-8959958000000000.0,8,391.398,0.58960736,8.339648,4.3090317e-06,0.58960736,,662964.56,55.069836,84.8022,1.0,,619.1858,1.2559844e+21,9.999999,6,50
2150.3127,10.0,-1.1227244e+19,-1.0,117734,769.4643,1929.4703,991471.06,77.98,-98.391945,,2150.3127,-91.85739,True,84.85161089897156,1979.398,49.927597,2.4628816,769.464315616448,0.4189424,2950,-1.1227244e+19,9,448.98758,0.023252431,7.333242,1.8831228e-06,0.023252431,,991471.06,47.364273,2150.3127,1.0,,719.53674,1.2317005e+27,10.0,6,50
471.93005,9.999999,-1.6605737e+16,-1.0,120893,621.5238,1889.1864,3927903.5,63.18,-84.96694,,471.93002,-85.0148,True,87.13351535797119,1889.1864,,2.8867033,621.5238091441051,0.4189424,3000,-1.6605737e+16,10,470.31503,0.10594791,10.610582,2.7043523e-06,0.105947904,,3927903.5,71.67817,471.93005,1.0,,621.5238,3.2471947e+21,9.999999,6,50
1.0,10.0,-939079.7,-1.0,124232,657.5277,1839.7312,653651.94,66.78,-78.55439,,1.0,-78.55439,True,89.33232474327087,1869.6924,29.961235,44.277157,657.5277553066069,0.4189424,3050,-6707799000.0,1,470.43515,50.0,143.37619,0.15896621,50.0,,43820370.0,846.1784,1.0,1.0,,627.5665,545102100.0,10.0,7,50
185.3473,10.0,-3.2117025e+16,-1.0,127990,741.26404,2319.32,1136295.4,75.16,-116.50375,,185.34729,-115.53505,True,91.81147027015686,2359.2808,39.960785,0.8945953,741.2639576951756,0.4189424,3100,-3.2117025e+16,2,474.1796,0.26976386,2.9011226,0.013482919,0.26976383,,1136295.4,19.277206,185.3473,1.0,,701.3032,4.993941e+21,10.0,7,50
93.274284,9.999998,-2246542600000000.0,-1.0,131461,683.9274,1739.5026,2724660.5,69.42,-75.99203,,93.274284,-75.01552,True,94.38606882095337,1749.486,9.983357,2.7664013,683.9275114453039,0.4189424,3150,-2246542600000000.0,3,390.15695,0.5360534,13.7559805,0.019102586,0.5360534,,2724660.5,98.37541,93.274284,1.0,,673.94415,8.081252e+19,9.999998,7,50
34.824936,9.999998,-8827893000000.0,-1.0,134144,526.34717,1329.7686,3270579.2,53.66,-67.20028,,34.824936,-69.35667,True,95.96868848800659,1349.7319,19.96333,3.7172287,526.3471621268272,0.4189424,3200,-7898001000000.0,4,340.9675,1.4357529,17.08619,0.0017037628,1.4357529,,2147059.0,118.31941,34.824936,1.0,,506.38382,2819261000000000.0,9.999998,7,50
24.469646,10.0,-2518338500000.0,-1.0,137055,571.9398,1529.6339,2879376.2,58.22,-64.20843,,24.469646,-66.22607,True,98.27826833724976,1539.6151,9.981236,1.7542056,571.9398379337791,0.4189424,3250,-2503832200000.0,5,344.42758,2.0433478,7.96983,0.00551271,2.0433478,,2811315.5,55.13815,24.469646,1.0,,561.9586,167360150000000.0,10.0,7,50
15.244603,10.0,-443691340000.0,-1.0,139798,538.30914,1669.0055,363994.78,54.86,-80.403694,,15.244603,-80.720474,True,100.62308645248413,1678.9856,9.980065,0.52666533,538.3091612511023,0.4189424,3300,-465489800000.0,6,379.41226,3.2798493,0.9532669,0.0013118134,3.2798493,,387969.16,5.78277,15.244603,1.0,,528.32904,4089996400000.0,10.0,7,50
10.0927,10.0,-29901537000.0,-1.0,142517,533.53107,2048.7273,3091008.2,54.38,-86.3615,,10.0927,-88.076355,True,102.11782908439636,2048.7273,,1.4881903,533.5310543552162,0.4189424,3350,-28267430000.0,7,394.22296,4.954076,5.1470375,0.0004803933,4.954076,,2708137.8,26.616728,10.0927,1.0,,533.53107,6802116600.0,10.0,7,50
