MinNormIw,AvgEpLen,ESSRenyi,ESSClassic,VanillaAvgRet,MinVanillaIw,VarDiscRet,VarVanillaIw,MaxNormIw,AvgRet,MaxVanillaIw,AvgDiscRet,VarRet,Bound,BatchSize,eRenyi2,AvgVanillaIw,AvgNormIw,J,VarNormIw,VarJ
0.00176723,200.0,488.693348042,483.171173673,-8.22150870229,0.90854,52.153869408,0.0368962,0.00259854,-8.22150870229,1.33592,-8.22150870229,52.153869408,-9.08468,500,1.02314,1.02821,0.002,-8.19755,1.39599e-07,7.27003
7.05621e-06,200.0,446.633697252,399.681084518,-8.05968827496,0.0034938,49.2127960273,0.246633,0.00272211,-8.05968827496,1.34782,-8.05968827496,49.2127960273,-8.89078,500,1.11949,0.990276,0.002,-7.96269,1.006e-06,7.81408
0.00149118,200.0,451.472923222,397.172830893,-8.09134950193,0.836313,48.7058146861,0.326389,0.00403528,-8.09134950193,2.26314,-8.09134950193,48.7058146861,-8.88646,500,1.10749,1.12168,0.002,-7.96376,1.03767e-06,7.65593
0.00120853,200.0,301.612069419,130.739227064,-7.58122559863,0.745859,47.0245928516,4.3118,0.0737409,-7.58122559863,45.5103,-7.58122559863,47.0245928516,-8.22871,500,1.65776,1.23433,0.002,-7.09924,1.13203e-05,13.6643
3.98368e-07,200.0,386.406906546,344.071557181,-7.76191932941,0.000213916,47.3071686092,0.523748,0.00308089,-7.76191932941,1.65438,-7.76191932941,47.3071686092,-8.45188,500,1.29397,1.07396,0.002,-7.45341,1.81638e-06,8.13053
0.00135557,200.0,403.733950717,336.455093529,-7.8623332225,0.793073,49.3360105328,0.666843,0.00501712,-7.8623332225,2.93526,-7.8623332225,49.3360105328,-8.49168,500,1.23844,1.1701,0.002,-7.52372,1.94823e-06,8.38859
0.000808148,200.0,497.577835214,494.263789935,-7.87442699392,0.400159,48.1197147591,0.0114047,0.00212684,-7.87442699392,1.05311,-7.87442699392,48.1197147591,-8.74287,500,1.00487,0.99031,0.002,-7.86816,4.65157e-08,6.95158
0.00128726,200.0,362.846172246,137.89434866,-7.62460968617,0.769682,47.0802731221,3.76275,0.0710672,-7.62460968617,42.4925,-7.62460968617,47.0802731221,-8.27338,500,1.37799,1.19584,0.002,-7.24308,1.05249e-05,7.48966
0.00179775,200.0,492.92282756,484.755048313,-7.94782909934,0.925422,47.6982885457,0.0334011,0.00415235,-7.94782909934,2.1375,-7.94782909934,47.6982885457,-8.80899,500,1.01436,1.02954,0.002,-7.92937,1.26048e-07,7.00743
0.00181337,200.0,492.317689275,491.024908072,-7.92078940254,0.922682,51.0970252521,0.0189671,0.00380916,-7.92078940254,1.93818,-7.92078940254,51.0970252521,-8.77668,500,1.0156,1.01764,0.002,-7.89212,7.32606e-08,7.18476
