IterType,MaxVanillaIw,AvgDiscRet,VarDiscRet,VarVanillaIw,MaxNormIw,Bound,Delta,VarNormIw,AvgNormIw,AvgVanillaIw,VanillaAvgRet,VarJ,MinNormIw,VarRet,J,AvgRet,EpsThisIter,ESSRenyi,BatchSize,eRenyi2,ESSClassic,AvgEpLen,MinVanillaIw
1,1.39707,-653.914952066,30234.727308,0.020112,0.0142076,-1237.37,0.1,2.07998e-06,0.01,0.983326,-653.914952066,157.363,0.00593309,30234.727308,-644.158,-653.914952066,100,98.3655245617,100,1.01662,97.9823873651,500.0,0.583416
1,1.52429,-651.950235297,46147.6415938,0.0438478,0.0151536,-1232.2,0.1,4.33358e-06,0.01,1.00589,-651.950235297,179.096,0.00604146,46147.6415938,-636.934,-651.950235297,100,97.5594120855,100,1.02502,95.8862272834,500.0,0.607704
1,1.61035,-614.614444721,9875.11583639,0.0561325,0.0162143,-935.317,0.1,5.69081e-06,0.01,0.993162,-614.614444721,87.6466,0.00401103,9875.11583639,-601.068,-614.614444721,100,96.1592836217,100,1.03994,94.6666016668,500.0,0.39836
1,1.29286,-635.766364755,44773.4861055,0.0438514,0.0130541,-1209.15,0.1,4.47064e-06,0.01,0.990392,-635.766364755,113.16,0.00312763,44773.4861055,-611.692,-635.766364755,100,96.9356771855,100,1.03161,95.761644945,500.0,0.309758
1,0.794655,-605.39488313,7140.41416578,0.0210571,0.0722076,-873.539,0.1,0.000173864,0.01,0.110051,-605.39488313,85.2425,0.000124509,7140.41416578,-593.318,-605.39488313,100,99.9995946901,100,1.0,36.7478331251,500.0,0.00137024
,729.799,-1072.42364422,211024.140555,6572.89,0.185698,-inf,0.1,0.000425563,0.01,39.3004,-605.39488313,965.814,0.000320203,7140.41416578,-1078.14,-605.39488313,100,nan,200,nan,19.1825520702,500.0,1.25841
1,1.4883,-609.33835492,11416.4174174,0.0531445,0.00741887,-838.64,0.1,1.32054e-06,0.005,1.00305,-609.33835492,76.8415,0.00200967,11416.4174174,-595.749,-609.33835492,100,191.042013329,200,1.04689,190.013346204,500.0,0.403159
2,1.0,-585.648888073,5777.92624442,,0.01,-829.524,0.1,3.50449e-18,0.01,1.0,-585.648888073,75.6317,0.01,5777.92624442,-585.649,-585.648888073,100,200.0,200,1.0,100.0,500.0,1.0
1,1.4894,-578.747292632,3510.73540148,0.0594735,0.00757865,-749.666,0.1,1.53986e-06,0.005,0.982632,-578.747292632,60.7522,0.00173162,3510.73540148,-572.658,-578.747292632,100,189.823994453,200,1.05361,188.450511016,500.0,0.340309
2,1.0,-592.027850586,10522.227292,,0.01,-973.987,0.1,3.50449e-18,0.01,1.0,-592.027850586,102.064,0.01,10522.227292,-592.028,-592.027850586,100,200.0,200,1.0,100.0,500.0,1.0
1,1.34958,-602.205919657,8806.43808629,0.0372663,0.00681408,-861.589,0.1,9.50026e-07,0.005,0.990285,-602.205919657,78.7001,0.00184916,8806.43808629,-586.711,-602.205919657,100,193.087961212,200,1.0358,192.713326215,500.0,0.366239
2,1.0,-579.334374007,3901.13330392,,0.01,-819.563,0.1,3.50449e-18,0.01,1.0,-579.334374007,62.146,0.01,3901.13330392,-579.334,-579.334374007,100,200.0,200,1.0,100.0,500.0,1.0
1,1.17223,-589.620874361,22727.1847015,0.00681189,0.00588622,-998.63,0.1,1.71759e-07,0.005,0.995736,-589.620874361,105.982,0.00375677,22727.1847015,-581.426,-589.620874361,100,198.541366355,200,1.00735,198.642056394,500.0,0.748151
2,1.0,-579.50740639,3808.77452049,,0.01,-815.982,0.1,3.50449e-18,0.01,1.0,-579.50740639,61.4059,0.01,3808.77452049,-579.507,-579.50740639,100,200.0,200,1.0,100.0,500.0,1.0
1,1.35527,-569.104080673,4224.50038377,0.0423335,0.00691892,-743.689,0.1,1.10335e-06,0.005,0.97939,-569.104080673,58.3993,0.0021682,4224.50038377,-567.545,-569.104080673,100,192.871824143,200,1.03696,191.586722705,500.0,0.424702
2,1.0,-568.707374165,2585.45117096,,0.01,-785.315,0.1,3.50449e-18,0.01,1.0,-568.707374165,50.5925,0.01,2585.45117096,-568.707,-568.707374165,100,200.0,200,1.0,100.0,500.0,1.0
1,1.2772,-570.989268317,7697.69102919,0.0175054,0.00637139,-830.315,0.1,4.35633e-07,0.005,1.0023,-570.989268317,66.1271,0.00245435,7697.69102919,-565.721,-570.989268317,100,196.927006365,200,1.0156,196.591436724,500.0,0.491996
