InitialReturnStd,MeanEntropy,InitialReturnMean,MinIWNorm,InitialReturnMax,MeanIWNorm,MaxIWNorm,J_sample_variance,MaxIW,MeanIW,EntropyCoefficient,TimestepsSoFar,ReturnStepMaxmin,ReturnMeanIW,ESSClassic,ReturnStepMax,Bound,StdIW,MinIW,TimeElapsed,InitialBound,EpRewMean,EpThisIter,ESSRenyi,EpisodesSoFar,InitialReturnMin,Iteration,Weights,EmpiricalD2,EpLenMean,StdIWNorm
22.460173,1.187955,-1.5258789e-07,3.0864944e-06,41.703724,0.13988088,12.2977705,11063438.0,1229.7771,13.9880905,10.0,287418,97.85362,345.27496,1.2912949,100.0,336.88452,122.299164,0.00030864944,904.3504092693329,10.464059,-103.63240414687996,100,0.47032762,4000,-34.206806,40,[-1.206 -0.827 -0.134 -0.763 -0.234],212.61775,180.8,1.2229915
23.358784,1.1542639,6.4849854e-07,8.488572e-06,47.165764,0.03477911,2.143885,103784.09,214.38849,3.4779115,10.0,310587,98.20599,40.207787,2.5427508,100.0,41.8142,21.531471,0.0008488573,965.8991041183472,10.307359,-91.98117861798536,100,2.5036209,4100,-39.838997,41,[-1.196 -0.895 -0.121 -0.797 -0.231],39.94215,231.69,0.21531472
21.871033,1.1299974,-4.5776366e-07,3.495504e-05,32.342617,0.014783433,0.31558824,8896.1455,31.558825,1.4783434,10.0,337631,98.34064,15.240794,9.012434,100.0,20.921227,4.6972675,0.0034955041,1037.2343571186066,10.186241,-89.15835535270526,100,5.8260202,4200,-40.69191,42,[-1.211 -0.9   -0.125 -0.782 -0.265],17.164375,270.44,0.046972673
21.708712,1.1220369,2.9754638e-06,0.00016638968,39.468224,0.008764217,0.06240431,686.25104,6.240431,0.8764216,10.0,365582,98.35887,4.5509996,42.2853,100.0,13.333595,1.0239094,0.016638968,1110.3264088630676,9.89618,-89.60126741895337,100,33.160526,4300,-42.11389,43,[-1.237 -0.921 -0.131 -0.783 -0.289],3.0156338,279.51,0.0102390945
17.493946,1.1187932,1.2588501e-06,0.0020669398,29.04885,0.010736436,0.06706621,364.38968,6.706621,1.0736436,10.0,403562,98.67343,2.3519585,60.43789,100.0,11.133323,0.8686508,0.20669398,1203.7881031036377,9.290305,-62.015884153243114,100,64.32019,4400,-57.901955,44,[-1.246 -0.917 -0.123 -0.778 -0.297],1.5547217,379.8,0.008686507
21.411283,1.1138037,-5.722046e-07,0.0020027808,33.88171,0.009521795,0.040882073,501.34482,4.0882072,0.95217955,10.0,437693,98.61046,1.797995,68.17042,100.0,11.054939,0.65063334,0.20027807,1288.6683688163757,9.644548,-66.47844494379565,100,67.31738,4500,-46.30152,45,[-1.261 -0.931 -0.123 -0.788 -0.3  ],1.4855005,341.31,0.006506333
15.397788,1.1168139,1.1825562e-06,0.0010422653,21.763132,0.009345354,0.07377777,195.25958,7.3777776,0.93453526,10.0,476294,98.66791,2.4712343,52.424522,100.0,11.309493,0.89026636,0.10422654,1387.2804636955261,9.51417,-64.09471103832404,100,48.577507,4600,-48.71608,46,[-1.259 -0.923 -0.123 -0.776 -0.305],2.0585659,386.01,0.008902663
10.882263,1.1236424,5.1498415e-07,9.976166e-07,16.864412,0.26393577,26.201464,13822516.0,2620.1465,26.39358,10.0,520789,98.78911,371.5987,1.0147141,100.0,275.54953,260.68246,9.976166e-05,1496.6128582954407,9.458175,-46.918876906035955,100,0.02540335,4700,-51.29892,47,[-1.255 -0.928 -0.117 -0.774 -0.302],3936.4885,444.95,2.6068242
8.773151,1.14013,3.6239624e-07,0.000144474,22.763054,0.009367791,0.28951383,911.48267,28.951384,0.9367791,10.0,568554,98.84775,3.4394176,8.842001,100.0,11.529949,3.0078716,0.0144474,1617.9502339363098,9.90513,-36.359828150861134,100,16.16928,4800,-39.938835,48,[-1.273 -0.923 -0.099 -0.773 -0.295],6.1845675,477.65,0.030078715
10.029866,1.1367254,1.5640259e-06,0.0029122322,17.866123,0.009748517,0.028037915,96.592224,2.8037915,0.97485167,10.0,614366,98.80533,0.53914344,80.17635,100.0,9.854285,0.48473832,0.29122323,1731.4909632205963,9.575821,-44.59166956864655,100,79.13204,4900,-54.76444,49,[-1.255 -0.923 -0.102 -0.778 -0.279],1.2637106,458.12,0.0048473827
