VarDiscRet,Bound,VarVanillaIw,AvgNormIw,MaxNormIw,MaxVanillaIw,MinNormIw,VarJ,VarRet,ESSRenyi,ESSClassic,J,VarNormIw,eRenyi2,AvgVanillaIw,AvgRet,VanillaAvgRet,AvgEpLen,MinVanillaIw,AvgDiscRet,BatchSize
111.60235778060425,-0.88848114,,0.009999998,0.01,1.0,0.01,10.511248,111.60235778060425,100.0,100.0,,3.5044917e-18,1.0,1.0,-1.9184653865522706e-15,-15.301492607405617,200.0,1.0,-1.9184653865522706e-15,100
115.55321147600266,-0.90407103,,0.009999998,0.01,1.0,0.01,10.695685,115.55321147600266,100.0,100.0,4.4703484e-08,3.5044917e-18,1.0,1.0,-2.220446049250313e-15,-15.093341021488733,200.0,1.0,-2.220446049250313e-15,100
105.44848009089851,-0.8636379,,0.009999998,0.01,1.0,0.01,10.217338,105.44848009089851,100.0,100.0,-2.9802322e-08,3.5044917e-18,1.0,1.0,3.552713678800501e-16,-16.24935569664883,200.0,1.0,3.552713678800501e-16,100
113.00837909646786,-0.89406043,,0.009999998,0.01,1.0,0.01,10.577253,113.00837909646786,100.0,100.0,-1.0430813e-07,3.5044917e-18,1.0,1.0,-3.907985046680551e-16,-12.625530714219645,200.0,1.0,-3.907985046680551e-16,100
123.51287716227691,-0.9346901,,0.009999998,0.01,1.0,0.01,11.057927,123.51287716227691,100.0,100.0,1.1920929e-07,3.5044917e-18,1.0,1.0,-2.5579538487363606e-15,-15.828938938681292,200.0,1.0,-2.5579538487363606e-15,100
119.29732512802273,-0.918601,,0.009999998,0.01,1.0,0.01,10.867582,119.29732512802273,100.0,100.0,-1.4901161e-08,3.5044917e-18,1.0,1.0,-1.5099033134902129e-15,-15.271419539037032,200.0,1.0,-1.5099033134902129e-15,100
115.59971132185382,-0.9042529,,0.009999998,0.01,1.0,0.01,10.697837,115.59971132185382,100.0,100.0,1.1920929e-07,3.5044917e-18,1.0,1.0,3.8902214782865484e-15,-14.465600863017933,200.0,1.0,3.8902214782865484e-15,100
117.25629713854346,-0.910709,,0.009999998,0.01,1.0,0.01,10.774217,117.25629713854346,100.0,100.0,2.9802322e-08,3.5044917e-18,1.0,1.0,3.907985046680551e-16,-15.73123955603863,200.0,1.0,3.907985046680551e-16,100
117.27117603269296,-0.9107667,,0.009999998,0.01,1.0,0.01,10.7748995,117.27117603269296,100.0,100.0,-8.940697e-08,3.5044917e-18,1.0,1.0,-7.105427357601002e-17,-14.712177620223605,200.0,1.0,-7.105427357601002e-17,100
99.95770773003599,-0.84085226,,0.009999998,0.01,1.0,0.01,9.94777,99.95770773003599,100.0,100.0,5.9604645e-08,3.5044917e-18,1.0,1.0,-1.1368683772161603e-15,-15.841496777644103,200.0,1.0,-1.1368683772161603e-15,100
117.235414025986,-0.91062766,,0.009999998,0.01,1.0,0.01,10.773256,117.235414025986,100.0,100.0,1.0430813e-07,3.5044917e-18,1.0,1.0,-7.105427357601002e-16,-15.446799626276578,200.0,1.0,-7.105427357601002e-16,100
115.942483362417,-0.9055926,,0.009999998,0.01,1.0,0.01,10.713685,115.942483362417,100.0,100.0,,3.5044917e-18,1.0,1.0,2.1316282072803005e-16,-16.38010583666003,200.0,1.0,2.1316282072803005e-16,100
105.00999908132839,-0.8618404,,0.009999998,0.01,1.0,0.01,10.196073,105.00999908132839,100.0,100.0,-1.4901161e-08,3.5044917e-18,1.0,1.0,1.580957587066223e-15,-15.54755931125332,200.0,1.0,1.580957587066223e-15,100
99.04766489274931,-0.83701587,,0.009999998,0.01,1.0,0.01,9.902383,99.04766489274931,100.0,100.0,-8.940697e-08,3.5044917e-18,1.0,1.0,2.149391775674303e-15,-15.94271031324052,200.0,1.0,2.149391775674303e-15,100
123.1494044820785,-0.933314,,0.009999998,0.01,1.0,0.01,11.041644,123.1494044820785,100.0,100.0,5.2154064e-08,3.5044917e-18,1.0,1.0,1.403321903126198e-15,-15.289173565344862,200.0,1.0,1.403321903126198e-15,100
123.52128938896661,-0.93472165,,0.009999998,0.01,1.0,0.01,11.058304,123.52128938896661,100.0,100.0,-2.9802322e-08,3.5044917e-18,1.0,1.0,1.7763568394002505e-15,-16.489702637554252,200.0,1.0,1.7763568394002505e-15,100
117.50404873218424,-0.9116706,,0.009999998,0.01,1.0,0.01,10.785592,117.50404873218424,100.0,100.0,-1.1920929e-07,3.5044917e-18,1.0,1.0,-2.3980817331903383e-15,-15.022110586743564,200.0,1.0,-2.3980817331903383e-15,100
109.28441879441701,-0.87920606,,0.009999998,0.01,1.0,0.01,10.401518,109.28441879441701,100.0,100.0,2.9802322e-08,3.5044917e-18,1.0,1.0,8.704148513061227e-16,-15.693884240315699,200.0,1.0,8.704148513061227e-16,100
111.10366627523328,-0.88649386,,0.009999998,0.01,1.0,0.01,10.487737,111.10366627523328,100.0,100.0,-7.4505806e-08,3.5044917e-18,1.0,1.0,-3.019806626980426e-16,-15.372685021251716,200.0,1.0,-3.019806626980426e-16,100
114.41796430893926,-0.89961904,,0.009999998,0.01,1.0,0.01,10.643016,114.41796430893926,100.0,100.0,2.9802322e-08,3.5044917e-18,1.0,1.0,1.794120407794253e-15,-13.612573154156612,200.0,1.0,1.794120407794253e-15,100
109.26391394424158,-0.87912357,,0.009999998,0.01,1.0,0.01,10.400542,109.26391394424158,100.0,100.0,1.1175871e-07,3.5044917e-18,1.0,1.0,-2.895461648222408e-15,-14.847398243902767,200.0,1.0,-2.895461648222408e-15,100
121.59354977265454,-0.92739934,,0.009999998,0.01,1.0,0.01,10.971673,121.59354977265454,100.0,100.0,-2.9802322e-08,3.5044917e-18,1.0,1.0,-2.7000623958883807e-15,-16.22999817240899,200.0,1.0,-2.7000623958883807e-15,100
109.1938466091717,-0.87884176,,0.009999998,0.01,1.0,0.01,10.397206,109.1938466091717,100.0,100.0,-5.9604645e-08,3.5044917e-18,1.0,1.0,-2.7000623958883807e-15,-16.825623704639778,200.0,1.0,-2.7000623958883807e-15,100
115.1295332804935,-0.90241194,,0.009999998,0.01,1.0,0.01,10.676058,115.1295332804935,100.0,100.0,3.7252903e-08,3.5044917e-18,1.0,1.0,9.769962616701378e-16,-16.51583152219964,200.0,1.0,9.769962616701378e-16,100
116.12212073067073,-0.9062937,,0.009999998,0.01,1.0,0.01,10.721982,116.12212073067073,100.0,100.0,-2.9802322e-08,3.5044917e-18,1.0,1.0,-9.592326932761353e-16,-13.842913916184274,200.0,1.0,-9.592326932761353e-16,100
111.04063846734606,-0.88624215,,0.009999998,0.01,1.0,0.01,10.484762,111.04063846734606,100.0,100.0,2.9802322e-08,3.5044917e-18,1.0,1.0,-2.8244073746463984e-15,-15.971874448910523,200.0,1.0,-2.8244073746463984e-15,100
105.40729716905851,-0.86346924,,0.009999998,0.01,1.0,0.01,10.2153425,105.40729716905851,100.0,100.0,-7.450581e-09,3.5044917e-18,1.0,1.0,4.973799150320702e-16,-16.337114107916246,200.0,1.0,4.973799150320702e-16,100
131.91077080144066,-0.96594334,,0.009999998,0.01,1.0,0.01,11.4276705,131.91077080144066,100.0,100.0,1.3411045e-07,3.5044917e-18,1.0,1.0,1.865174681370263e-15,-14.719465851712721,200.0,1.0,1.865174681370263e-15,100
115.95718022920543,-0.9056501,,0.009999998,0.01,1.0,0.01,10.714365,115.95718022920543,100.0,100.0,-8.940697e-08,3.5044917e-18,1.0,1.0,-4.263256414560601e-16,-13.512714981511982,200.0,1.0,-4.263256414560601e-16,100
114.1083573459017,-0.89840114,,0.009999998,0.01,1.0,0.01,10.628607,114.1083573459017,100.0,100.0,3.7252903e-08,3.5044917e-18,1.0,1.0,-9.237055564881303e-16,-15.55680473565616,200.0,1.0,-9.237055564881303e-16,100
