Bound,VarNormIw,MaxVanillaIw,eRenyi2,AvgEpLen,BatchSize,ESSClassic,MinVanillaIw,AvgNormIw,Delta,J,MaxNormIw,VarRet,IterType,VarVanillaIw,VarJ,VarDiscRet,AvgVanillaIw,EpsThisIter,ESSRenyi,AvgRet,MinNormIw,AvgDiscRet,VanillaAvgRet
-596.163,5.02516e-06,1.64277,1.04169,500.0,100,95.2608227595,0.394544,0.01,0.2,-470.211,0.016317,2286.07612485,1,0.0509357,44.3653,2286.07612485,1.00678,100,95.9975977164,-475.740286712,0.00391886,-475.740286712,-475.740286712
-587.589,5.26335e-06,1.90886,1.05527,500.0,100,95.0473596805,0.602152,0.01,0.2,-466.593,0.0189692,2306.28464131,1,0.0532983,51.2095,2306.28464131,1.0063,100,94.7625887968,-472.561175116,0.00598384,-472.561175116,-472.561175116
-588.61,3.01864e-06,1.30591,1.02758,500.0,100,97.098249007,0.56235,0.01,0.2,-465.674,0.0131553,1540.41499803,1,0.0297466,37.2359,1540.41499803,0.992688,100,97.3157622359,-468.898052914,0.00566492,-468.898052914,-468.898052914
-582.058,5.28659e-06,1.83624,1.044,500.0,100,95.0266205809,0.459252,0.01,0.2,-465.957,0.0186585,2079.7696717,1,0.0512017,47.055,2079.7696717,0.984134,100,95.7855035243,-470.788360657,0.00466656,-470.788360657,-470.788360657
-579.724,5.14675e-06,1.62742,1.04622,500.0,100,95.1517554777,0.479271,0.01,0.2,-460.125,0.0161669,2119.68710805,1,0.0521525,45.8776,2119.68710805,1.00663,100,95.5821090279,-465.435851871,0.00476113,-465.435851871,-465.435851871
-579.145,4.04237e-06,1.97847,1.02696,500.0,100,96.152037498,0.560078,0.01,0.2,-456.383,0.0192157,2468.57818251,1,0.042853,47.328,2468.57818251,1.02961,100,97.3743563694,-459.94913167,0.00543972,-459.94913167,-459.94913167
-563.598,4.51571e-06,1.41811,1.04557,500.0,100,95.7207484368,0.428817,0.01,0.2,-451.021,0.013989,1939.644344,1,0.0464056,44.8328,1939.644344,1.01373,100,95.6412831649,-455.693724646,0.0042301,-455.693724646,-455.693724646
-571.029,1.12193e-06,1.3226,1.01557,500.0,100,98.9015129662,0.60608,0.01,0.2,-453.248,0.0128481,2340.73759832,1,0.0118889,47.2328,2340.73759832,1.02941,100,98.4671670192,-455.136413202,0.00588766,-455.136413202,-455.136413202
-576.385,5.76617e-06,1.60363,1.04838,500.0,100,94.5997690377,0.434073,0.01,0.2,-455.523,0.0158037,2034.2614927,1,0.0593715,41.6985,2034.2614927,1.01472,100,95.3849775001,-461.371687004,0.00427777,-461.371687004,-461.371687004
-563.344,7.03622e-06,1.80613,1.0479,500.0,100,93.487795912,0.352368,0.01,0.2,-442.37,0.017617,2047.95266526,1,0.0739564,42.8409,2047.95266526,1.02522,100,95.4291412057,-448.2875551,0.00343699,-448.2875551,-448.2875551
-564.967,1.88369e-06,1.28169,1.02059,500.0,100,98.1693011027,0.436844,0.01,0.2,-450.794,0.0129198,1555.43732468,1,0.0185381,36.6133,1555.43732468,0.992036,100,97.9827047597,-453.227559494,0.00440351,-453.227559494,-453.227559494
-571.928,3.07293e-06,1.65547,1.03728,500.0,100,97.0476281933,0.618997,0.01,0.2,-449.873,0.0163449,2425.7169063,1,0.0315235,47.3253,2425.7169063,1.01284,100,96.4055340213,-454.209538792,0.00611149,-454.209538792,-454.209538792
-561.79,1.01491e-05,1.68016,1.07726,500.0,100,90.8698010878,0.233942,0.01,0.2,-442.539,0.0168296,2228.03624765,1,0.101153,48.5157,2228.03624765,0.998337,100,92.8279556114,-450.822170938,0.00234332,-450.822170938,-450.822170938
-546.253,2.84484e-06,1.38381,1.02752,500.0,100,97.2607488355,0.455742,0.01,0.2,-434.279,0.0136763,2179.05456954,1,0.0291254,45.7196,2179.05456954,1.01183,100,97.3221186654,-437.575968926,0.00450414,-437.575968926,-437.575968926
-555.971,3.97055e-06,1.35225,1.03546,500.0,100,96.217825308,0.551267,0.01,0.2,-442.197,0.0135381,1619.74311286,1,0.0396141,39.6129,1619.74311286,0.998848,100,96.5751797903,-445.873818026,0.00551902,-445.873818026,-445.873818026
-552.2,2.99411e-06,1.50173,1.02814,500.0,100,97.1211573967,0.464218,0.01,0.2,-438.138,0.0149914,1940.60283863,1,0.0300447,42.9048,1940.60283863,1.00173,100,97.2633392602,-441.383028759,0.00463417,-441.383028759,-441.383028759
-544.1,5.0577e-06,1.34053,1.03573,500.0,100,95.2316468685,0.40849,0.01,0.2,-432.839,0.0139662,1535.49043909,1,0.046596,38.697,1535.49043909,0.959837,100,96.5505477649,-436.815897257,0.00425582,-436.815897257,-436.815897257
-543.436,5.42552e-06,1.63087,1.04745,500.0,100,94.9025533594,0.447013,0.01,0.2,-432.868,0.0165188,2075.21814606,1,0.0528839,46.9552,2075.21814606,0.987281,100,95.469923122,-437.547006371,0.00452772,-437.547006371,-437.547006371
-545.91,2.66301e-06,1.41292,1.03063,500.0,100,97.4313495381,0.586016,0.01,0.2,-434.854,0.0142081,1989.45615682,1,0.0263354,45.4556,1989.45615682,0.994452,100,97.0283014558,-438.12555222,0.00589286,-438.12555222,-438.12555222
