Bound,EpsThisIter,AvgEpLen,Delta,VarRet,MaxVanillaIw,IterType,VarDiscRet,ESSRenyi,VanillaAvgRet,MinVanillaIw,AvgVanillaIw,eRenyi2,BatchSize,VarNormIw,VarJ,MinNormIw,VarVanillaIw,AvgDiscRet,ESSClassic,AvgRet,J,AvgNormIw,MaxNormIw
73.8986,100,500.0,0.7,108.277887384,1.0,2,108.277887384,500.0,78.3429610653,1.0,1.0,1.0,500,5.4346e-20,11.0409,0.0025,,78.3429610653,400.0,78.3429610653,76.9885,0.0025,0.0025
86.5628,100,500.0,0.7,147.182623788,469.083,1,147.182623788,201.668428052,77.670282287,0.0272398,12.2399,2.47932,500,0.000137352,2.66084,4.451e-06,5144.32,77.670282287,14.1766501254,77.670282287,90.9144,0.002,0.0766483
70.9737,100,500.0,0.7,73.6742188854,1.0,2,73.6742188854,500.0,76.9988871316,1.0,1.0,1.0,500,3.50449e-18,8.54034,0.01,,76.9988871316,100.0,76.9988871316,76.9989,0.01,0.01
73.6814,100,500.0,0.7,132.144811858,1.0,2,132.144811858,500.0,78.8848515999,1.0,1.0,1.0,500,2.1793e-19,10.1375,0.005,,78.8848515999,200.000000102,78.8848515999,77.9419,0.005,0.005
75.7578,100,500.0,0.7,120.95185074,1.0,2,120.95185074,500.0,82.160937252,1.0,1.0,1.0,500,5.43914e-20,10.6011,0.00333333,,82.160937252,299.999969474,82.160937252,79.3482,0.00333333,0.00333333
75.9656,100,500.0,0.7,174.708048813,1.0,2,174.708048813,500.0,78.2550257797,1.0,1.0,1.0,500,5.4346e-20,11.3027,0.0025,,78.2550257797,400.0,78.2550257797,79.0749,0.0025,0.0025
89.3457,100,500.0,0.7,106.724295827,437.756,1,106.724295827,158.784043156,84.0178245953,0.00796633,9.45242,3.14893,500,0.000167962,4.75397,1.68556e-06,3751.79,84.0178245953,11.6532207935,84.0178245953,94.2808,0.002,0.092623
78.291,100,500.0,0.7,37.532905086,1.0,2,37.532905086,500.0,84.4466785137,1.0,1.0,1.0,500,3.50449e-18,6.0957,0.01,,84.4466785137,100.0,84.4466785137,84.4467,0.01,0.01
80.3135,100,500.0,0.7,52.7404548992,1.0,2,52.7404548992,500.0,84.94135495,1.0,1.0,1.0,500,2.1793e-19,6.68928,0.005,,84.94135495,200.000000102,84.94135495,84.694,0.005,0.005
80.6992,100,500.0,0.7,92.9094964284,1.0,2,92.9094964284,500.0,83.4397528874,1.0,1.0,1.0,500,5.43914e-20,7.80005,0.00333333,,83.4397528874,299.999969474,83.4397528874,84.2759,0.00333333,0.00333333
81.5309,100,500.0,0.7,54.7336122275,1.0,2,54.7336122275,500.0,85.9002114494,1.0,1.0,1.0,500,5.4346e-20,7.72475,0.0025,,85.9002114494,400.0,85.9002114494,84.682,0.0025,0.0025
91.0983,100,500.0,0.7,76.5228145971,632.062,1,76.5228145971,183.16739413,79.4074786245,0.0114607,15.9509,2.72974,500,0.000147047,3.20548,1.437e-06,9353.36,79.4074786245,13.2667524731,79.4074786245,95.7548,0.002,0.0792508
71.9664,100,500.0,0.7,242.95081405,1.0,2,242.95081405,500.0,78.0531351712,1.0,1.0,1.0,500,3.50449e-18,15.5087,0.01,,78.0531351712,100.0,78.0531351712,78.0531,0.01,0.01
72.5935,100,500.0,0.7,266.722038188,1.0,2,266.722038188,500.0,75.8988909652,1.0,1.0,1.0,500,2.1793e-19,15.9201,0.005,,75.8988909652,200.000000102,75.8988909652,76.976,0.005,0.005
76.7375,100,500.0,0.7,28.3327895649,1.0,2,28.3327895649,500.0,86.9952914365,1.0,1.0,1.0,500,5.43914e-20,14.1642,0.00333333,,86.9952914365,299.999969474,86.9952914365,80.3158,0.00333333,0.00333333
77.3011,100,500.0,0.7,75.5469627761,1.0,2,75.5469627761,500.0,80.6528075342,1.0,1.0,1.0,500,5.4346e-20,13.0072,0.0025,,80.6528075342,400.0,80.6528075342,80.4,0.0025,0.0025
88.303,100,500.0,0.7,52.2606292214,349.351,1,52.2606292214,185.32254611,80.5742053524,0.0714409,9.14741,2.698,500,0.000136351,3.72344,1.56199e-05,2852.3,80.5742053524,14.2776879601,80.5742053524,92.8557,0.002,0.0763825
