MinNormIw,MaxNormIw,VarVanillaIw,VanillaAvgRet,MaxVanillaIw,AvgRet,VarJ,SamplesThisIter,delta,EpsThisIter,Bound,MinVanillaIw,J,AvgNormIw,AvgEpLen,IterType,AvgVanillaIw,ESSClassic,ESSRenyi,AvgDiscRet,VarRet,VarDiscRet,VarNormIw,BatchSize,renyi2
7.2045e-07,2.48232e-05,0.0280889,-61.0122566686,2.48934,-61.0122566686,298.579,50000,0.2,564,-93.0832,0.0722488,-10711.8,9.85028e-06,88.6524822695,1,0.987814,3.41442621983,4.28225265832e-13,-61.0122566686,945.359580647,945.359580647,2.79307e-12,100,33.0843
4.89843e-08,0.000116172,0.213033,-58.7070035408,11.9306,-58.7070035408,232.022,50000,0.2,581,-63.6576,0.00503061,-10295.0,9.56206e-06,86.0585197935,1,0.98201,3.68464884785,2.84156093922e-13,-58.7070035408,69.9709594124,69.9709594124,2.01985e-11,100,33.4944
1.22357e-06,2.43484e-05,0.0165622,-59.111277141,2.51665,-59.111277141,187.71,50000,0.2,578,-92.1783,0.126468,-10521.5,9.61169e-06,86.5051903114,1,0.993465,3.33223179904,4.05214436743e-13,-59.111277141,279.137471367,279.137471367,1.55029e-12,100,33.1395
6.32584e-10,7.70229e-05,0.234355,-59.3031114891,7.322,-59.3031114891,137.329,50000,0.2,576,-63.2326,6.0135e-05,-10308.7,9.64506e-06,86.8055555556,1,0.916884,3.77377455098,2.7121189406e-13,-59.3031114891,67.4669326737,67.4669326737,2.59331e-11,100,33.541
7.39204e-07,2.18475e-05,0.0243057,-61.6107563435,2.17371,-61.6107563435,296.497,50000,0.2,559,-94.0451,0.0735468,-10849.8,9.93838e-06,89.4454382826,1,0.988816,3.30982910958,3.31882766623e-13,-61.6107563435,931.674410122,931.674410122,2.45532e-12,100,33.3392
8.0692e-07,1.71433e-05,0.0174535,-60.1705355931,1.74129,-60.1705355931,214.646,50000,0.2,569,-93.0135,0.0819611,-10673.9,9.76372e-06,87.8734622144,1,0.991727,3.32231348723,2.76345930583e-13,-60.1705355931,490.977900083,490.977900083,1.69172e-12,100,33.5223
1.15362e-06,2.62174e-05,0.0257581,-59.369752879,2.6903,-59.369752879,153.244,50000,0.2,575,-83.2828,0.118379,-10554.8,9.66184e-06,86.9565217391,1,0.991453,3.3799588743,2.80309328162e-13,-59.369752879,175.401110447,175.401110447,2.44618e-12,100,33.5081
8.18489e-09,0.000107735,0.295078,-59.0224564453,10.6906,-59.0224564453,200.675,50000,0.2,578,-63.2959,0.000812196,-10219.4,9.61169e-06,86.5051903114,1,0.953779,3.7735607082,2.19763149091e-13,-59.0224564453,75.1683101127,75.1683101127,2.99668e-11,100,33.7514
1.28496e-06,1.9417e-05,0.0139386,-58.3906395581,2.03214,-58.3906395581,181.247,50000,0.2,585,-91.8934,0.134481,-10405.0,9.49668e-06,85.4700854701,1,0.993903,3.37285873575,1.94937924551e-13,-58.3906395581,282.485316634,282.485316634,1.27255e-12,100,33.8713
4.39548e-08,7.85295e-05,0.190606,-58.7285439633,7.95966,-58.7285439633,181.034,50000,0.2,580,-64.9552,0.00445521,-10272.0,9.57854e-06,86.2068965517,1,0.970871,3.96763012701,1.7529336345e-13,-58.7285439633,67.4845176321,67.4845176321,1.85529e-11,100,33.9775
1.20087e-08,5.5037e-05,0.181408,-59.2408641143,5.23547,-59.2408641143,107.147,50000,0.2,574,-64.0391,0.00114234,-10356.2,9.67867e-06,87.1080139373,1,0.920696,3.72277618181,1.54652179002e-13,-59.2408641143,62.0206444879,62.0206444879,2.00473e-11,100,34.1028
9.43435e-09,0.000101948,0.268591,-58.8484825346,9.922,-58.8484825346,147.814,50000,0.2,580,-62.9126,0.000918193,-10226.2,9.57854e-06,86.2068965517,1,0.932226,3.57892562544,1.14366201157e-13,-58.8484825346,59.0723178018,59.0723178018,2.83562e-11,100,34.4045
1.19766e-06,1.63061e-05,0.0132359,-59.768732403,1.67347,-59.768732403,178.592,50000,0.2,572,-93.1249,0.122914,-10657.4,9.71251e-06,87.4125874126,1,0.996782,3.34596488421,1.4345501119e-13,-59.768732403,278.545428935,278.545428935,1.25665e-12,100,34.1779
6.49895e-09,7.99414e-05,0.30182,-58.5071535025,7.87486,-58.5071535025,133.619,50000,0.2,583,-61.9572,0.000640198,-10136.9,9.52925e-06,85.7632933105,1,0.938707,3.48804298548,4.53287253547e-14,-58.5071535025,62.9173637999,62.9173637999,3.11033e-11,100,35.33
1.34e-06,2.28295e-05,0.0168385,-59.6600576184,2.34145,-59.6600576184,188.058,50000,0.2,573,-92.6786,0.137433,-10617.1,9.69556e-06,87.260034904,1,0.994398,3.36688882761,1.12939828028e-13,-59.6600576184,286.907902526,286.907902526,1.60077e-12,100,34.4171
6.08739e-07,2.16583e-05,0.0360626,-59.5327479118,2.20838,-59.5327479118,142.492,50000,0.2,575,-77.7103,0.0620698,-10560.1,9.66184e-06,86.9565217391,1,0.985166,3.4253664995,1.04978755744e-13,-59.5327479118,169.916655442,169.916655442,3.46863e-12,100,34.4902
4.54533e-09,5.81549e-05,0.245933,-58.4813446279,5.69933,-58.4813446279,121.887,50000,0.2,583,-62.3966,0.000445455,-10170.5,9.52925e-06,85.7632933105,1,0.933892,3.91073806945,2.08590381494e-14,-58.4813446279,63.6440436881,63.6440436881,2.56059e-11,100,36.1062
1.3002e-08,4.61065e-05,0.167564,-58.3590824183,4.49789,-58.3590824183,110.78,50000,0.2,586,-63.5807,0.0012684,-10223.8,9.48047e-06,85.3242320819,1,0.924862,3.81188956746,2.31116739692e-14,-58.3590824183,57.3874242796,57.3874242796,1.76071e-11,100,36.0036
4.57555e-08,0.000109593,0.260739,-58.6794472471,11.2474,-58.6794472471,229.559,50000,0.2,581,-62.5796,0.00469581,-10259.7,9.56206e-06,86.0585197935,1,0.981338,3.68508945516,5.87981830088e-14,-58.6794472471,67.7542938624,67.7542938624,2.47555e-11,100,35.0698
1.55118e-08,5.53476e-05,0.17612,-59.0524587173,5.35754,-59.0524587173,106.481,50000,0.2,579,-64.0952,0.00150151,-10342.9,9.59509e-06,86.3557858377,1,0.928785,3.64322550629,1.68746455965e-14,-59.0524587173,57.692161905,57.692161905,1.87965e-11,100,36.3181
1.25339e-08,6.44206e-05,0.183319,-58.9429840111,6.33777,-58.9429840111,136.226,50000,0.2,577,-64.8816,0.0012331,-10303.7,9.62835e-06,86.6551126516,1,0.947247,3.47013667151,1.7610223602e-14,-58.9429840111,66.1317070265,66.1317070265,1.89402e-11,100,36.2755
8.38693e-09,0.000136638,0.320402,-58.2505261578,14.1055,-58.2505261578,265.166,50000,0.2,586,-62.0509,0.000865806,-10124.6,9.48047e-06,85.3242320819,1,0.978695,3.67003847029,7.7862807989e-15,-58.2505261578,68.6789471616,68.6789471616,3.0065e-11,100,37.0916
1.22399e-08,7.81524e-05,0.187178,-58.1360840962,7.68669,-58.1360840962,109.375,50000,0.2,587,-62.7434,0.00120385,-10189.4,9.46432e-06,85.1788756388,1,0.930864,3.87361006081,5.26277688308e-15,-58.1360840962,50.3080898798,50.3080898798,1.93491e-11,100,37.4833
3.9052e-09,7.62284e-05,0.187814,-58.0122978117,7.48872,-58.0122978117,113.474,50000,0.2,588,-62.5477,0.000383649,-10164.7,9.44822e-06,85.0340136054,1,0.928198,3.70308487434,3.732152084e-15,-58.0122978117,50.2477539032,50.2477539032,1.94603e-11,100,37.827
9.77051e-07,2.53263e-05,0.022608,-58.5006517222,2.63604,-58.5006517222,171.296,50000,0.2,583,-85.9218,0.101695,-10398.8,9.52925e-06,85.7632933105,1,0.991834,3.3764765008,3.73646861689e-15,-58.5006517222,215.44830096,215.44830096,2.0869e-12,100,37.8258
4.85528e-09,4.23373e-05,0.164451,-58.4948938698,4.1515,-58.4948938698,110.013,50000,0.2,583,-63.9117,0.000476098,-10253.0,9.52925e-06,85.7632933105,1,0.934417,3.64326061791,1.74420053729e-15,-58.4948938698,58.2151124027,58.2151124027,1.71031e-11,100,38.5877
5.9271e-07,1.88071e-05,0.0262527,-61.12907443,1.87506,-61.12907443,303.646,50000,0.2,562,-93.1432,0.0590929,-10735.4,9.88533e-06,88.9679715302,1,0.985564,3.38902746605,2.38422119193e-15,-61.12907443,995.461686129,995.461686129,2.64111e-12,100,38.2751
4.37625e-08,0.000130699,0.230263,-58.0893178992,13.6849,-58.0893178992,232.259,50000,0.2,588,-61.9708,0.00458217,-10222.2,9.44822e-06,85.0340136054,1,0.989281,3.7637894536,3.40572910207e-15,-58.0893178992,59.1629633636,59.1629633636,2.10032e-11,100,37.9185
8.90856e-07,1.70681e-05,0.0180347,-59.5126476554,1.76237,-59.5126476554,216.685,50000,0.2,577,-92.2465,0.0919856,-10553.0,9.62834e-06,86.6551126516,1,0.994177,3.36256633448,3.07914461107e-15,-59.5126476554,492.951298032,492.951298032,1.69155e-12,100,38.0193
8.50693e-08,7.48656e-05,0.154662,-57.4600732924,7.64843,-57.4600732924,146.276,50000,0.2,595,-63.6199,0.00869086,-10091.7,9.33707e-06,84.0336134454,1,0.953895,3.63568258088,2.18484862065e-15,-57.4600732924,56.5255224634,56.5255224634,1.48185e-11,100,38.3624
2.30822e-08,0.000103915,0.186605,-58.7847298825,10.2784,-58.7847298825,144.708,50000,0.2,580,-64.1592,0.00228312,-10301.0,9.57854e-06,86.2068965517,1,0.947435,3.61299562694,1.26037585683e-15,-58.7847298825,53.3223219295,53.3223219295,1.90732e-11,100,38.9125
1.72274e-08,5.63826e-05,0.194387,-58.503627072,5.52841,-58.503627072,105.434,50000,0.2,583,-63.1887,0.00168918,-10242.4,9.52925e-06,85.7632933105,1,0.934359,3.68634304813,3.90595201582e-16,-58.503627072,52.0597901704,52.0597901704,2.02188e-11,100,40.084
3.18769e-08,0.000127821,0.274281,-58.1809368855,13.4363,-58.1809368855,294.118,50000,0.2,588,-62.5616,0.00335084,-10168.3,9.44822e-06,85.0340136054,1,0.993181,3.74735486342,9.64967518088e-16,-58.1809368855,70.2447921082,70.2447921082,2.48222e-11,100,39.1796
1.26341e-09,5.74945e-05,0.232667,-58.8461439897,5.40719,-58.8461439897,119.177,50000,0.2,578,-62.7112,0.00011882,-10217.6,9.61169e-06,86.5051903114,1,0.903951,3.78729490467,1.74344787736e-16,-58.8461439897,63.6230802228,63.6230802228,2.63053e-11,100,40.8907
1.34615e-07,7.98351e-05,0.188761,-58.8003467248,8.11603,-58.8003467248,223.251,50000,0.2,580,-65.9257,0.013685,-10256.2,9.57855e-06,86.2068965517,1,0.973755,3.45366863957,4.17544345432e-16,-58.8003467248,82.9288827645,82.9288827645,1.82647e-11,100,40.0173
5.07122e-07,4.85135e-05,0.0812812,-58.3399352754,4.98213,-58.3399352754,168.653,50000,0.2,584,-70.6342,0.0520794,-10280.5,9.51294e-06,85.6164383562,1,0.976939,3.55808998068,2.70662682498e-16,-58.3399352754,105.990069662,105.990069662,7.70699e-12,100,40.4508
9.71205e-07,1.63347e-05,0.0135845,-58.9883008645,1.69833,-58.9883008645,177.541,50000,0.2,580,-92.098,0.100977,-10516.3,9.57854e-06,86.2068965517,1,0.99589,3.37098348429,2.6052919008e-16,-58.9883008645,273.784316557,273.784316557,1.25666e-12,100,40.489
