ESSRenyi,VarDiscRet,BatchSize,AvgNormIw,VarJ,Bound,MinNormIw,AvgRet,VarVanillaIw,MinVanillaIw,MaxVanillaIw,eRenyi2,AvgVanillaIw,J,AvgDiscRet,AvgEpLen,MaxNormIw,VarNormIw,VarRet,ESSClassic
100.0,62.02537217748306,100,0.009999998,7.8361416,-0.6623632,0.01,-5748.825854293949,,1.0,1.0,1.0,1.0,8.940697e-08,2.091837814077735e-13,200.0,0.01,3.5044917e-18,62.02537217748306,100.0
100.0,39.301396248358955,100,0.009999998,6.237658,-0.5272487,0.01,-5749.488107417751,,1.0,1.0,1.0,1.0,-1.4901161e-08,-8.640199666842818e-13,200.0,0.01,3.5044917e-18,39.30139624835896,100.0
100.0,37.390384322877225,100,0.009999998,6.084117,-0.5142703,0.01,-5749.7215464167,,1.0,1.0,1.0,1.0,8.009374e-08,-2.091837814077735e-13,200.0,0.01,3.5044917e-18,37.39038432287723,100.0
100.0,23.044982876379752,100,0.009999998,4.776456,-0.40373802,0.01,-5751.0408887376225,,1.0,1.0,1.0,1.0,4.4703484e-08,-4.092726157978177e-13,200.0,0.01,3.5044917e-18,23.04498287637975,100.0
100.0,32.50862657790725,100,0.009999998,5.6730537,-0.4795245,0.01,-5749.632109195064,,1.0,1.0,1.0,1.0,1.4901161e-08,3.2741809263825415e-13,200.0,0.01,3.5044917e-18,32.50862657790725,100.0
100.0,40.882171189222916,100,0.009999998,6.3618665,-0.53774756,0.01,-5749.259067549953,,1.0,1.0,1.0,1.0,-2.2351742e-08,-5.456968210637569e-13,200.0,0.01,3.5044917e-18,40.882171189222916,100.0
100.0,33.35135660221251,100,0.009999998,5.7461157,-0.4857001,0.01,-5750.197449315604,,1.0,1.0,1.0,1.0,7.8231096e-08,2.1464074961841105e-12,200.0,0.01,3.5044917e-18,33.35135660221251,100.0
100.0,44.48701226953094,100,0.009999998,6.6364255,-0.56095517,0.01,-5749.7853689546,,1.0,1.0,1.0,1.0,2.2351742e-08,6.639311322942376e-13,200.0,0.01,3.5044917e-18,44.48701226953095,100.0
100.0,41.359542958971225,100,0.009999998,6.398902,-0.54087806,0.01,-5749.341098237095,,1.0,1.0,1.0,1.0,5.9604645e-08,1.482476363889873e-12,200.0,0.01,3.5044917e-18,41.359542958971225,100.0
100.0,21.864860261113574,100,0.009999998,4.652549,-0.39326474,0.01,-5749.967580405226,,1.0,1.0,1.0,1.0,-1.4901161e-07,1.2641976354643702e-12,200.0,0.01,3.5044917e-18,21.864860261113574,100.0
100.0,32.99780213640588,100,0.009999998,5.715577,-0.4831189,0.01,-5750.204240999807,,1.0,1.0,1.0,1.0,7.450581e-09,1.6007106751203537e-12,200.0,0.01,3.5044917e-18,32.99780213640589,100.0
100.0,35.36974497674081,100,0.009999998,5.917436,-0.5001813,0.01,-5749.839074680841,,1.0,1.0,1.0,1.0,4.4703484e-08,6.45741238258779e-13,200.0,0.01,3.5044917e-18,35.36974497674081,100.0
100.0,20.174946617225224,100,0.009999998,4.4691386,-0.3777615,0.01,-5750.7648724454,,1.0,1.0,1.0,1.0,2.9802322e-08,-9.913492249324919e-13,200.0,0.01,3.5044917e-18,20.17494661722522,100.0
100.0,31.82865402314983,100,0.009999998,5.6134095,-0.47448298,0.01,-5751.114552323624,,1.0,1.0,1.0,1.0,3.7252903e-09,-8.731149137020111e-13,200.0,0.01,3.5044917e-18,31.828654023149827,100.0
100.0,40.879944236988294,100,0.009999998,6.3616934,-0.537733,0.01,-5749.992267933517,,1.0,1.0,1.0,1.0,-7.4505806e-08,1.8189894035458565e-14,200.0,0.01,3.5044917e-18,40.87994423698828,100.0
100.0,36.89760931688704,100,0.009999998,6.0438924,-0.5108703,0.01,-5749.818056547458,,1.0,1.0,1.0,1.0,-2.2351742e-08,-2.0918378140777348e-12,200.0,0.01,3.5044917e-18,36.897609316887035,100.0
100.0,27.815955921382006,100,0.009999998,5.247647,-0.4435662,0.01,-5749.614153412889,,1.0,1.0,1.0,1.0,5.2154064e-08,6.548361852765083e-13,200.0,0.01,3.5044917e-18,27.815955921382013,100.0
100.0,27.14098768054372,100,0.009999998,5.1835876,-0.43815154,0.01,-5749.225558512104,,1.0,1.0,1.0,1.0,,-8.549250196665525e-13,200.0,0.01,3.5044917e-18,27.14098768054372,100.0
100.0,33.17208009202185,100,0.009999998,5.730651,-0.484393,0.01,-5749.091666913647,,1.0,1.0,1.0,1.0,4.4703484e-08,-4.18367562815547e-13,200.0,0.01,3.5044917e-18,33.17208009202186,100.0
100.0,72.25096485067365,100,0.009999998,8.457449,-0.7148802,0.01,-5749.133312776608,,1.0,1.0,1.0,1.0,-2.2351742e-08,-2.9103830456733704e-13,200.0,0.01,3.5044917e-18,72.25096485067367,100.0
100.0,35.96363315595295,100,0.009999998,5.9669085,-0.50436294,0.01,-5749.749748830483,,1.0,1.0,1.0,1.0,2.9802322e-08,5.184119800105691e-13,200.0,0.01,3.5044917e-18,35.96363315595295,100.0
100.0,31.90172533189594,100,0.009999998,5.619849,-0.47502732,0.01,-5749.580637873336,,1.0,1.0,1.0,1.0,3.7252903e-08,-7.821654435247183e-13,200.0,0.01,3.5044917e-18,31.90172533189594,100.0
100.0,39.78050074486726,100,0.009999998,6.2755637,-0.5304526,0.01,-5750.7111574811415,,1.0,1.0,1.0,1.0,2.9802322e-08,-1.0913936421275138e-13,200.0,0.01,3.5044917e-18,39.78050074486726,100.0
100.0,18.83102389175932,100,0.009999998,4.317721,-0.3649627,0.01,-5751.142879883958,,1.0,1.0,1.0,1.0,-1.4901161e-08,1.6370904631912708e-13,200.0,0.01,3.5044917e-18,18.83102389175932,100.0
100.0,46.36741649883105,100,0.009999998,6.77523,-0.5726878,0.01,-5749.33008672013,,1.0,1.0,1.0,1.0,2.2351742e-08,-6.366462912410498e-14,200.0,0.01,3.5044917e-18,46.36741649883105,100.0
100.0,20.282056835075235,100,0.009999998,4.480986,-0.37876296,0.01,-5750.4656195291445,,1.0,1.0,1.0,1.0,3.7252903e-09,1.218722900375724e-12,200.0,0.01,3.5044917e-18,20.282056835075227,100.0
100.0,17.397607357790676,100,0.009999998,4.150136,-0.35079738,0.01,-5750.5586292506305,,1.0,1.0,1.0,1.0,-3.9115548e-08,1.0004441719502211e-13,200.0,0.01,3.5044917e-18,17.39760735779068,100.0
100.0,50.01977013803915,100,0.009999998,7.037014,-0.5948157,0.01,-5750.286980460335,,1.0,1.0,1.0,1.0,-6.7055225e-08,-6.002665031701327e-13,200.0,0.01,3.5044917e-18,50.019770138039156,100.0
100.0,40.1803972214811,100,0.009999998,6.3070273,-0.5331123,0.01,-5749.897717352238,,1.0,1.0,1.0,1.0,-7.4505806e-08,-3.3651303965598344e-13,200.0,0.01,3.5044917e-18,40.18039722148111,100.0
100.0,18.10949690826321,100,0.009999998,4.2341943,-0.35790253,0.01,-5750.860350958666,,1.0,1.0,1.0,1.0,-4.4703484e-08,-2.9103830456733704e-13,200.0,0.01,3.5044917e-18,18.10949690826321,100.0
100.0,50.52696738385095,100,0.009999998,7.072602,-0.59782374,0.01,-5749.103013566205,,1.0,1.0,1.0,1.0,-6.7055225e-08,-1.064108801074326e-12,200.0,0.01,3.5044917e-18,50.52696738385095,100.0
100.0,29.280248956598538,100,0.009999998,5.383999,-0.4550916,0.01,-5749.881164645839,,1.0,1.0,1.0,1.0,4.4703484e-08,-3.0013325158506633e-13,200.0,0.01,3.5044917e-18,29.28024895659854,100.0
100.0,58.466356778164425,100,0.009999998,7.608002,-0.64307934,0.01,-5748.483477645657,,1.0,1.0,1.0,1.0,,8.185452315956354e-14,200.0,0.01,3.5044917e-18,58.466356778164425,100.0
100.0,32.33860950150405,100,0.009999998,5.6581993,-0.478269,0.01,-5750.414022687333,,1.0,1.0,1.0,1.0,-2.6077032e-08,-7.366907084360719e-13,200.0,0.01,3.5044917e-18,32.338609501504045,100.0
100.0,16.717117771243156,100,0.009999998,4.0681624,-0.34386843,0.01,-5749.812876590015,,1.0,1.0,1.0,1.0,-4.4703484e-08,6.184563972055912e-13,200.0,0.01,3.5044917e-18,16.71711777124316,100.0
100.0,33.1403247289872,100,0.009999998,5.727907,-0.48416114,0.01,-5749.790011456185,,1.0,1.0,1.0,1.0,-3.5390258e-08,-1.5916157281026244e-12,200.0,0.01,3.5044917e-18,33.1403247289872,100.0
100.0,20.405276837878425,100,0.009999998,4.494577,-0.37991178,0.01,-5750.159757671235,,1.0,1.0,1.0,1.0,2.2351742e-08,6.730260793119669e-13,200.0,0.01,3.5044917e-18,20.405276837878425,100.0
100.0,26.243479205210466,100,0.009999998,5.0971603,-0.43084615,0.01,-5750.456971203106,,1.0,1.0,1.0,1.0,7.450581e-09,-1.1095835361629724e-12,200.0,0.01,3.5044917e-18,26.243479205210463,100.0
100.0,21.467215315049263,100,0.009999998,4.610048,-0.38967216,0.01,-5750.34906556299,,1.0,1.0,1.0,1.0,,-1.2641976354643702e-12,200.0,0.01,3.5044917e-18,21.46721531504926,100.0
100.0,37.5085123299861,100,0.009999998,6.0937204,-0.5150821,0.01,-5749.309898771395,,1.0,1.0,1.0,1.0,-7.4505806e-08,-7.09405867382884e-13,200.0,0.01,3.5044917e-18,37.5085123299861,100.0
100.0,37.3558945675851,100,0.009999998,6.0813107,-0.5140331,0.01,-5750.374659586584,,1.0,1.0,1.0,1.0,2.9802322e-08,2.4556356947869064e-13,200.0,0.01,3.5044917e-18,37.3558945675851,100.0
100.0,21.288561918290508,100,0.009999998,4.590825,-0.38804728,0.01,-5750.496797910991,,1.0,1.0,1.0,1.0,-1.4901161e-08,8.276401786133647e-13,200.0,0.01,3.5044917e-18,21.288561918290508,100.0
100.0,40.79272696364254,100,0.009999998,6.354903,-0.53715897,0.01,-5750.22729180039,,1.0,1.0,1.0,1.0,5.401671e-08,7.73070496506989e-13,200.0,0.01,3.5044917e-18,40.792726963642544,100.0
100.0,81.40193273857417,100,0.009999998,8.977077,-0.7588029,0.01,-5748.721155086269,,1.0,1.0,1.0,1.0,-8.940697e-08,-3.1832314562052486e-13,200.0,0.01,3.5044917e-18,81.40193273857416,100.0
100.0,37.73171698370435,100,0.009999998,6.1118245,-0.5166123,0.01,-5749.898940971037,,1.0,1.0,1.0,1.0,3.7252903e-08,-8.640199666842818e-13,200.0,0.01,3.5044917e-18,37.73171698370436,100.0
100.0,18.4691281319408,100,0.009999998,4.2760305,-0.36143875,0.01,-5750.213825119001,,1.0,1.0,1.0,1.0,1.1175871e-08,1.3369572116062045e-12,200.0,0.01,3.5044917e-18,18.4691281319408,100.0
100.0,35.685030557467414,100,0.009999998,5.9437513,-0.50240576,0.01,-5749.953590683351,,1.0,1.0,1.0,1.0,-5.9604645e-08,-1.9099388737231492e-13,200.0,0.01,3.5044917e-18,35.685030557467414,100.0
100.0,25.01951301998547,100,0.009999998,4.976878,-0.42067915,0.01,-5751.0683853183555,,1.0,1.0,1.0,1.0,-4.4703484e-08,-6.45741238258779e-13,200.0,0.01,3.5044917e-18,25.019513019985467,100.0
100.0,43.39542427266388,100,0.009999998,6.5544996,-0.55403036,0.01,-5750.239409858474,,1.0,1.0,1.0,1.0,-5.9604645e-08,3.2741809263825415e-13,200.0,0.01,3.5044917e-18,43.395424272663874,100.0
100.0,48.845737895896,100,0.009999998,6.9539394,-0.58779365,0.01,-5749.327700743994,,1.0,1.0,1.0,1.0,-5.9604645e-08,-4.729372449219227e-13,200.0,0.01,3.5044917e-18,48.845737895896,100.0
100.0,35.49419263113791,100,0.009999998,5.927837,-0.5010604,0.01,-5749.741134486426,,1.0,1.0,1.0,1.0,4.4703484e-08,-7.639755494892597e-13,200.0,0.01,3.5044917e-18,35.49419263113791,100.0
100.0,39.11940095915112,100,0.009999998,6.223199,-0.5260265,0.01,-5750.642171652558,,1.0,1.0,1.0,1.0,-4.4703484e-08,-1.0004441719502211e-13,200.0,0.01,3.5044917e-18,39.11940095915112,100.0
100.0,33.489977664509965,100,0.009999998,5.7580447,-0.48670852,0.01,-5750.307073677122,,1.0,1.0,1.0,1.0,,-1.3460521586239338e-12,200.0,0.01,3.5044917e-18,33.48997766450996,100.0
100.0,32.20212847022574,100,0.009999998,5.646247,-0.47725868,0.01,-5749.949803554826,,1.0,1.0,1.0,1.0,-3.3527613e-08,3.8198777474462985e-13,200.0,0.01,3.5044917e-18,32.20212847022573,100.0
100.0,32.28153014087383,100,0.009999998,5.6532035,-0.47784668,0.01,-5749.812651095233,,1.0,1.0,1.0,1.0,-1.4901161e-08,-1.4006218407303095e-12,200.0,0.01,3.5044917e-18,32.28153014087383,100.0
100.0,56.98070867094964,100,0.009999998,7.5107193,-0.63485634,0.01,-5748.756601483616,,1.0,1.0,1.0,1.0,-7.8231096e-08,-9.094947017729283e-14,200.0,0.01,3.5044917e-18,56.98070867094964,100.0
