Delta,VarVanillaIw,eRenyi2,ESSRenyi,IterType,MinVanillaIw,AvgDiscRet,VanillaAvgRet,VarRet,BatchSize,VarNormIw,VarDiscRet,Bound,J,AvgEpLen,MaxVanillaIw,MinNormIw,EpsThisIter,AvgRet,VarJ,AvgNormIw,AvgVanillaIw,MaxNormIw,ESSClassic
0.4,0.0264435,1.02002,98.0377165412,1,0.397047,-82.232782656,-82.232782656,6086.96243041,100,2.78768e-06,6086.96243041,-132.365,-80.7674,113.76,1.38496,0.00407665,100,-82.232782656,72.8526,0.01,0.973954,0.01422,97.3143117093
0.4,0.0941046,1.10081,90.8421642996,1,0.224144,-98.3704717319,-98.3704717319,10282.2601081,100,9.64882e-06,10282.2601081,-146.853,-93.2506,133.56,2.12047,0.00226965,100,-98.3704717319,89.4303,0.01,0.987571,0.0214716,91.2805658042
0.4,0.0665954,1.06134,94.2201561484,1,0.282529,-69.9293996044,-69.9293996044,2607.68766645,100,6.13305e-06,2607.68766645,-119.091,-66.4576,99.68,1.3502,0.00271131,100,-69.9293996044,30.2625,0.01,1.04204,0.0129573,94.2758458184
0.4,0.0121983,1.01821,98.2117116822,1,0.844098,-77.7201354665,-77.7201354665,3703.94483688,100,1.24993e-06,3703.94483688,-128.31,-76.7575,110.1,1.55444,0.00854447,100,-77.7201354665,56.2749,0.01,0.987888,0.0157349,98.7777506763
0.4,0.0444795,1.05423,94.8556846189,1,0.190218,-79.2529405923,-79.2529405923,4919.14951198,100,4.05475e-06,4919.14951198,-128.811,-76.3543,110.5,1.52727,0.00181615,100,-79.2529405923,56.7138,0.01,1.04736,0.014582,96.140738083
0.4,0.084101,1.07664,92.8817519852,1,0.139267,-75.3255124885,-75.3255124885,3798.19002611,100,8.36086e-06,3798.19002611,-122.903,-69.8932,105.9,1.33672,0.00138859,100,-75.3255124885,39.9722,0.01,1.00294,0.0133281,92.3555260299
0.4,0.100484,1.09624,91.2208869816,1,0.113846,-78.4272235695,-78.4272235695,4957.16220121,100,1.06234e-05,4957.16220121,-126.43,-72.9406,109.41,1.42297,0.00117058,100,-78.4272235695,48.1449,0.01,0.972562,0.0146311,90.4837354721
0.4,0.0119375,1.01106,98.9058187259,1,0.907757,-75.1823563755,-75.1823563755,3779.78683675,100,1.1769e-06,3779.78683675,-125.902,-74.5321,105.65,1.48277,0.00901329,100,-75.1823563755,57.4544,0.01,1.00713,0.0147227,98.8482787453
0.4,0.0261446,1.03025,97.0641383376,1,0.412247,-67.7484977953,-67.7484977953,1394.14647543,100,2.59906e-06,1394.14647543,-118.037,-66.1849,97.11,1.20713,0.00411031,100,-67.7484977953,26.2282,0.01,1.00296,0.0120357,97.4914902286
0.4,0.0305715,1.04018,96.1375515421,1,0.838544,-81.0606354533,-81.0606354533,6108.93220213,100,3.11564e-06,6108.93220213,-130.761,-78.656,112.93,1.9186,0.00846528,100,-81.0606354533,69.2093,0.01,0.990569,0.0193687,97.0078223796
0.4,0.0573163,1.06318,94.0575584257,1,0.754404,-85.3099528091,-85.3099528091,7218.43790738,100,5.60867e-06,7218.43790738,-134.254,-81.571,117.73,2.35747,0.00746268,100,-85.3099528091,72.9874,0.01,1.0109,0.0233204,94.7395152442
0.4,0.014605,1.02217,97.8307361707,1,0.854928,-79.7003962803,-79.7003962803,4955.35991795,100,1.51424e-06,4955.35991795,-130.027,-78.3745,111.52,1.51569,0.00870516,100,-79.7003962803,63.1292,0.01,0.982093,0.0154333,98.5230340227
0.4,0.0489854,1.05537,94.7533085292,1,0.36723,-76.3618525527,-76.3618525527,3813.00223159,100,4.99457e-06,3813.00223159,-126.321,-73.8375,107.67,1.32669,0.00370812,100,-76.3618525527,47.1013,0.01,0.99034,0.0133963,95.2883867565
0.4,0.0381382,1.03253,96.8494685268,1,0.532054,-71.1242279582,-71.1242279582,2573.05117876,100,3.91396e-06,2573.05117876,-121.297,-69.383,101.5,1.40332,0.00538994,100,-71.1242279582,40.4738,0.01,0.987124,0.0142162,96.2697454442
0.4,0.0863115,1.08731,91.9702563348,1,0.36965,-92.7469372806,-92.7469372806,9325.32899057,100,8.60842e-06,9325.32899057,-141.539,-88.266,126.13,1.53097,0.00369163,100,-92.7469372806,86.545,0.01,1.00132,0.0152895,92.1469489196
0.4,0.0139783,1.02272,97.778680221,1,0.737798,-79.2159017591,-79.2159017591,4934.06167902,100,1.3982e-06,4934.06167902,-129.607,-77.9417,110.76,1.38267,0.00737893,100,-79.2159017591,65.4232,0.01,0.999871,0.0138285,98.6346873363
0.4,0.0394278,1.0279,97.2854141138,1,0.698308,-76.9752541116,-76.9752541116,3766.08932725,100,3.73453e-06,3766.08932725,-127.32,-75.5366,107.95,1.56619,0.00679616,100,-76.9752541116,55.9339,0.01,1.0275,0.0152427,96.4346381966
0.4,0.0424851,1.04274,95.9010201263,1,0.830626,-85.9799138479,-85.9799138479,7167.94065167,100,4.09472e-06,7167.94065167,-135.682,-83.5133,118.41,1.94138,0.00815454,100,-85.9799138479,76.1716,0.01,1.01861,0.0190592,96.1041608232
0.4,0.0198153,1.02799,97.2767837626,1,0.6888,-77.7407032634,-77.7407032634,3725.77534194,100,1.98687e-06,3725.77534194,-127.999,-76.2043,109.32,1.46187,0.00689727,100,-77.7407032634,54.178,0.01,0.998657,0.0146384,98.0709256457
0.4,0.0367778,1.04605,95.5979578985,1,0.430292,-69.3252975082,-69.3252975082,1367.37652969,100,3.54656e-06,1367.37652969,-118.968,-66.7169,99.21,1.26263,0.00422546,100,-69.3252975082,18.8879,0.01,1.01833,0.012399,96.6079904238
0.4,0.0172534,1.01965,98.0728812947,1,0.488208,-75.8125931935,-75.8125931935,3768.22969972,100,1.71907e-06,3768.22969972,-126.436,-74.8482,106.33,1.27461,0.00487321,100,-75.8125931935,57.5009,0.01,1.00182,0.0127229,98.3265979758
0.4,0.00718806,1.00767,99.2391976357,1,0.887953,-79.9426513389,-79.9426513389,4950.52512046,100,7.14259e-07,4950.52512046,-130.821,-79.5368,111.36,1.40512,0.0088514,100,-79.9426513389,67.2683,0.01,1.00318,0.0140067,99.2978821282
0.4,0.00702162,1.00718,99.2871326551,1,0.794967,-71.0207524349,-71.0207524349,2579.61615321,100,6.97572e-07,2579.61615321,-121.868,-70.5965,100.58,1.26971,0.00792365,100,-71.0207524349,47.9517,0.01,1.00328,0.0126555,99.3141318493
0.4,0.0786721,1.07014,93.446029305,1,0.30405,-80.0024952854,-80.0024952854,4902.6759818,100,7.99156e-06,4902.6759818,-128.669,-75.8193,112.06,1.33765,0.00306443,100,-80.0024952854,57.862,0.01,0.992189,0.0134818,92.6684002066
0.4,0.0127256,1.02621,97.446003168,1,0.858432,-79.9241249956,-79.9241249956,4945.81536917,100,1.35635e-06,4945.81536917,-130.16,-78.4058,111.7,1.46338,0.00886241,100,-79.9241249956,64.1101,0.01,0.968621,0.0151079,98.6749586943
0.4,0.0373566,1.02624,97.4434110063,1,0.654489,-81.5951670317,-81.5951670317,6116.3736686,100,3.6044e-06,6116.3736686,-131.863,-80.1079,112.52,1.75384,0.00642888,100,-81.5951670317,72.598,0.01,1.01805,0.0172275,96.554614814
0.4,0.045672,1.04036,96.1202015857,1,0.836363,-84.4154913378,-84.4154913378,7223.66433425,100,4.45245e-06,7223.66433425,-134.121,-82.0106,116.22,2.4916,0.0082579,100,-84.4154913378,75.7046,0.01,1.0128,0.024601,95.7781508497
0.4,0.113192,1.0932,91.4743831951,1,0.298127,-88.3460756975,-88.3460756975,8346.51008589,100,1.0767e-05,8346.51008589,-136.137,-82.7212,120.45,2.57371,0.00290765,100,-88.3460756975,75.4919,0.01,1.02532,0.0251016,90.3673846065
0.4,0.0796698,1.08486,92.1777244081,1,0.23505,-85.5305454533,-85.5305454533,7215.5290342,100,8.39169e-06,7215.5290342,-134.475,-81.264,118.23,1.67875,0.00241234,100,-85.5305454533,76.5169,0.01,0.974366,0.0172291,92.3294742779
0.4,0.0362871,1.03255,96.8475788706,1,0.656846,-81.1330249543,-81.1330249543,6130.4204742,100,3.72808e-06,6130.4204742,-131.516,-79.6032,112.33,1.66409,0.00665779,100,-81.1330249543,72.9088,0.01,0.986583,0.0168672,96.4405606283
0.4,0.0271062,1.03083,97.0095515333,1,0.661761,-86.7834572907,-86.7834572907,7134.86790087,100,2.64909e-06,7134.86790087,-136.977,-85.1068,119.48,1.73974,0.00654207,100,-86.7834572907,78.6804,0.01,1.01155,0.0171988,97.4444085563
0.4,0.0879279,1.08039,92.5595381274,1,0.157773,-79.6186503772,-79.6186503772,4901.46093716,100,8.51572e-06,4901.46093716,-128.298,-75.1955,111.24,1.37638,0.00155267,100,-79.6186503772,53.9854,0.01,1.01614,0.0135452,92.2249565915
0.4,0.0330957,1.03634,96.4936731517,1,0.706536,-79.7772498079,-79.7772498079,4923.64159231,100,3.31615e-06,4923.64159231,-129.807,-77.7981,111.01,1.60066,0.00707238,100,-79.7772498079,60.8588,0.01,0.999007,0.0160225,96.8213853932
0.4,0.260632,1.18687,84.2553882176,1,0.0968162,-90.0132987164,-90.0132987164,8245.12144167,100,2.83572e-05,8245.12144167,-134.801,-79.1432,122.91,2.75543,0.00100987,100,-90.0132987164,56.0734,0.01,0.958699,0.0287414,78.0800490153
0.4,0.0688303,1.07178,93.3030131641,1,0.227204,-85.3163241489,-85.3163241489,7236.13009769,100,6.73421e-06,7236.13009769,-133.958,-81.0669,117.49,1.3482,0.00224735,100,-85.3163241489,74.4628,0.01,1.01099,0.0133354,93.749837327
