ReturnMeanIW,EntropyCoefficient,StdIW,TimeElapsed,ReturnStepMax,InitialReturnMax,MaxIWNorm,Weights,InitialReturnStd,EmpiricalD2,MaxIW,MeanIWNorm,ReturnStepMaxmin,MinIW,MeanEntropy,EpRewMean,InitialBound,MeanIW,Iteration,J_sample_variance,ESSRenyi,InitialReturnMean,TimestepsSoFar,EpisodesSoFar,EpThisIter,ESSClassic,MinIWNorm,StdIWNorm,Bound,EpLenMean,InitialReturnMin
20.954212,5.4000015,6.080083,651.9754211902618,100.0,53.794643,0.6068926,[ 0.886 -0.763 -0.481 -1.388 -0.351],14.639163,21.719477,60.689262,0.014953549,91.25078,0.00017110811,1.101272,-105.42812400599159,3.9708247,1.4953549,46,39192.78,4.6041627,9.689331e-06,116621,4600,100,5.703794,1.711081e-06,0.06080082,12.597365,27.21,-12.635452
287.80743,5.299999,85.41601,665.6851840019226,100.0,61.200203,8.591801,[ 0.895 -0.745 -0.496 -1.427 -0.318],12.725524,90.43325,859.1801,0.094673395,90.57159,0.00051360985,1.0637621,-105.60811885563817,3.796732,9.46734,47,8419740.0,1.105788,-1.6021728e-06,119127,4700,100,1.213597,5.1360985e-06,0.85416013,268.4077,25.06,-11.857758
6.01808,5.200001,2.3188586,679.2185790538788,100.0,50.282475,0.21131992,[ 0.981 -0.844 -0.513 -1.44  -0.355],14.062235,5.978535,21.131992,0.010641199,91.13028,0.021657212,1.0371817,-105.49360646765342,3.8554816,1.0641198,48,4260.321,16.726505,6.1035155e-07,121808,4800,100,17.39548,0.00021657211,0.023188585,1.9198837,26.81,-13.236893
1.1854955,5.1000023,0.4766748,691.6111958026886,100.0,50.32974,0.038774464,[ 0.981 -0.878 -0.489 -1.441 -0.382],13.597792,1.2071408,3.8774464,0.0104930755,90.77971,0.3660568,1.0742757,-105.50843769365066,3.6119714,1.0493077,49,358.18234,82.84038,3.8146972e-08,124375,4900,100,82.893555,0.0036605678,0.0047667474,-0.6577467,25.67,-11.66185
38.76484,5.0,13.395745,705.9672675132751,100.0,51.695473,1.222086,[ 1.003 -0.906 -0.499 -1.46  -0.345],15.170748,43.511154,122.208595,0.02962988,91.7278,0.0036365835,1.0879047,-104.53816038637288,3.6481922,2.962988,50,87483.1,2.2982612,-4.15802e-06,127250,5000,100,4.66425,3.6365833e-05,0.13395745,27.398212,28.75,-14.893181
182.70871,4.9000015,51.12337,719.4001066684723,100.0,37.317726,5.144843,[ 0.973 -0.946 -0.513 -1.431 -0.331],14.286409,161.94199,514.4843,0.059745893,91.584366,9.95119e-06,1.0234531,-105.85824970742156,4.0868077,5.9745884,51,3316784.8,0.6175051,-2.632141e-06,130105,5100,100,1.3473667,9.9511894e-08,0.51123375,166.87897,28.55,-13.748192
30.102167,4.800003,8.806531,735.1657812595367,100.0,51.375843,0.8289675,[ 0.936 -0.877 -0.53  -1.351 -0.395],16.262178,21.368853,82.89675,0.022863565,91.71681,0.012423635,1.081051,-104.73216116227655,3.2000546,2.286357,52,103457.234,4.6797085,4.6920777e-06,132981,5200,100,6.3146596,0.00012423635,0.08806531,22.185757,28.76,-14.474022
2.9986873,4.700001,1.1162441,752.6521196365356,100.0,40.91141,0.08880447,[ 0.955 -0.889 -0.494 -1.387 -0.338],16.264458,1.5275537,8.880447,0.01231235,92.238235,0.14263405,1.1462092,-103.99638849533436,3.7172265,1.2312351,53,1108.5979,65.46415,-3.4332277e-07,136057,5300,100,54.88677,0.0014263404,0.01116244,1.3132156,30.76,-16.865929
1.6729615,4.6000023,0.9684442,765.778116941452,100.0,47.043373,0.06917428,[ 0.977 -0.887 -0.49  -1.383 -0.273],14.637003,1.8577505,6.917428,0.011040458,91.33062,0.01992842,1.1188557,-104.68707008908636,3.7044601,1.1040459,54,815.3338,53.82854,7.095337e-06,138787,5400,100,56.51504,0.0001992842,0.009684443,-0.46436524,27.3,-12.941101
3.0524762,4.5,1.1866114,779.2513782978058,100.0,39.93835,0.07072004,[ 0.951 -0.875 -0.482 -1.407 -0.3  ],12.172037,2.6751482,7.072004,0.011301189,91.43446,0.020791557,1.1425215,-105.56328328461923,3.7035758,1.130119,55,560.50653,37.381107,3.8146973e-06,141561,5500,100,47.562992,0.00020791557,0.011866113,0.87505317,27.74,-13.367836
