TimestepsSoFar,EpRewMean,EpLenMean,meankl,entropy,surrgain,EpisodesSoFar,TimeElapsed,optimgain,entloss,EpThisIter,ev_tdlam_before,DiscEpRewMean,Step_size
2056784,1046.736617799167,105.7,0.007869878,0.4189424,0.0077086054,20500,6580.985335588455,0.0077086054,,100,,211.94448574066163,1.0
2067802,1091.5359304985063,110.18,0.010131069,0.4189424,0.009547539,20600,6605.606660604477,0.009547539,,100,,258.2405200481415,1.0
2079142,1123.7386577969755,113.4,0.007785121,0.4189424,0.0025965602,20700,6637.29327750206,0.0025965602,,100,,264.5390212059021,1.0
2089717,1047.240887840292,105.75,0.009734594,0.4189424,0.0101227565,20800,6663.246272563934,0.0101227565,,100,,222.64368626594543,1.0
2100662,1084.2396023662252,109.45,0.0055705947,0.4189424,0.0038658546,20900,6685.273824453354,0.0038658546,,100,,235.7422279071808,1.0
2111283,1051.841403573625,106.21,0.007577808,0.4189424,0.003592221,21000,6711.60763502121,0.003592221,,100,,236.74210216522218,1.0
2122159,1077.3397443003,108.76,0.009095076,0.4189424,0.004320759,21100,6734.1025376319885,0.004320759,,100,,232.64187910079957,1.0
2133098,1083.636669937809,109.39,0.009889827,0.4189424,0.010170322,21200,6756.122702598572,0.010170322,,100,,237.24314053535463,1.0
2144358,1115.7381894382427,112.6,0.009277859,0.4189424,0.009127551,21300,6780.888935089111,0.009127551,,100,,248.1404091358185,1.0
2155708,1124.7358892311113,113.5,0.008698173,0.4189424,0.004668631,21400,6812.174044847488,0.004668631,,100,,263.33916646003723,1.0
2166714,1090.3366377099376,110.06,0.009593017,0.4189424,0.009368762,21500,6841.638551950455,0.009368762,,100,,241.2416284942627,1.0
2177495,1067.8389093265378,107.81,0.00998026,0.4189424,0.0018997705,21600,6863.74476480484,0.0018997705,,100,,228.94368562698364,1.0
2188367,1076.937665676555,108.72,0.008827362,0.4189424,0.008657826,21700,6887.29665184021,0.008657826,,100,,253.24228971481324,1.0
2199646,1117.6344758532696,112.79,0.0098400535,0.4189424,0.011836019,21800,6913.027093172073,0.011836019,,100,,254.2397284889221,1.0
2211050,1130.1370303222675,114.04,0.009237257,0.4189424,0.008284261,21900,6939.401011943817,0.008284261,,100,,256.54058280944827,1.0
2222508,1135.5348263615745,114.58,0.009924207,0.4189424,0.008279461,22000,6970.520893096924,0.008279461,,100,,246.34056772232054,1.0
2233991,1138.0377093631696,114.83,0.005958135,0.4189424,0.0048072585,22100,7004.664409160614,0.0048072585,,100,,273.6400619697571,1.0
2246340,1224.632010893175,123.49,0.0073902966,0.4189424,0.0021037965,22200,7028.7527821063995,0.0021037965,,100,,304.9337505531311,1.0
2257845,1140.2352272377316,115.05,0.009237149,0.4189424,0.0057053887,22300,7056.627732992172,0.0057053887,,100,,257.23853677749634,1.0
2269095,1114.731713645719,112.5,0.010010105,0.4189424,0.012345233,22400,7080.9334881305695,0.012345233,,100,,250.83864274024964,1.0
2280353,1115.5312575840196,112.58,0.009742527,0.4189424,0.013466433,22500,7110.915392160416,0.013466433,,100,,259.8377235031128,1.0
