EpThisIter,surrgain,EpisodesSoFar,optimgain,EpLenMean,meankl,TimestepsSoFar,DiscEpRewMean,TimeElapsed,entloss,Step_size,entropy,EpRewMean,ev_tdlam_before
100,0.024829712,8400,0.024829712,91.98,0.009966395,422423,165.7452403831482,2869.350320339203,,1.0,0.4189424,909.5191821183171,
100,0.024237774,8500,0.024237774,92.92,0.009944286,431715,166.65214747428894,2900.1831147670746,,1.0,0.4189424,918.9301873549151,
100,0.018219884,8600,0.018219884,92.95,0.00974617,441010,156.74906655311585,2929.981820821762,,1.0,0.4189424,919.2216559346456,
100,0.016581373,8700,0.016581373,75.41,0.0099868765,448551,130.8608680534363,2974.1131117343903,,1.0,0.4189424,743.861315079551,
100,0.01915535,8800,0.01915535,89.95,0.0100077465,457546,162.8499318599701,3007.9834413528442,,1.0,0.4189424,889.228773017851,
100,0.027406419,8900,0.027406419,88.4,0.009810567,466386,174.6521471118927,3031.2604463100433,,1.0,0.4189424,873.7447916325425,
100,0.023799516,9000,0.023799516,102.84,0.01000872,476670,186.93836694717407,3057.8563594818115,,1.0,0.4189424,1018.0949220119768,
100,0.020459399,9100,0.020459399,103.2,0.00997029,486990,226.9343669128418,3085.641774892807,,1.0,0.4189424,1021.69557976393,
100,0.020255588,9200,0.020255588,111.77,0.010019547,498167,253.53070651054384,3115.23979306221,,1.0,0.4189424,1107.3922078187722,
100,0.021337027,9300,0.021337027,102.12,0.009735598,508379,191.3462459564209,3150.5527877807617,,1.0,0.4189424,1010.9185073585609,
100,0.023488978,9400,0.023488978,100.69,0.009964806,518448,194.54013800621033,3183.6919577121735,,1.0,0.4189424,996.6163515734333,
100,0.022634722,9500,0.022634722,113.46,0.009598617,529794,247.33463581085206,3221.252955198288,,1.0,0.4189424,1124.2983771767485,
100,0.011923805,9600,0.011923805,117.91,0.008792626,541585,279.72727570533755,3248.673476457596,,1.0,0.4189424,1168.8010742986053,
100,0.025850458,9700,0.025850458,120.22,0.010021344,553607,304.3252607917786,3281.5304181575775,,1.0,0.4189424,1191.9073161281217,
100,0.023296699,9800,0.023296699,119.21,0.008966698,565528,245.03546844482423,3307.5675241947174,,1.0,0.4189424,1181.8107211526485,
100,0.024749795,9900,0.024749795,125.42,0.009008025,578070,275.9373902988434,3338.450412750244,,1.0,0.4189424,1243.9195601959768,
100,0.01604707,10000,0.01604707,125.95,0.009862485,590665,325.42939661026,3374.2001922130585,,1.0,0.4189424,1249.220496796317,
100,0.019229298,10100,0.019229298,124.2,0.009113123,603085,338.5280813407898,3406.2679965496063,,1.0,0.4189424,1231.7269016702417,
100,0.010775079,10200,0.010775079,127.84,0.0075803697,615869,335.82689474105837,3447.058273792267,,1.0,0.4189424,1268.1267225186812,
100,0.02075512,10300,0.02075512,130.85,0.009099398,628954,352.6312874794006,3487.241651058197,,1.0,0.4189424,1298.2370912680292,
100,0.0124474205,10400,0.0124474205,131.75,0.0099692345,642129,342.22964999198916,3521.8584101200104,,1.0,0.4189424,1307.2417778891465,
100,0.007546642,10500,0.007546642,125.88,0.008198702,654717,314.13668992996213,3548.0133678913116,,1.0,0.4189424,1248.548263823882,
100,0.0095825335,10600,0.0095825335,126.63,0.006821178,667380,312.1377261352539,3586.6484768390656,,1.0,0.4189424,1256.054893891675,
100,0.0062474427,10700,0.0062474427,125.25,0.0050817635,679905,324.0378039550781,3631.797107696533,,1.0,0.4189424,1242.2595809465527,
100,0.011735354,10800,0.011735354,125.78,0.008554427,692483,311.4405030155182,3668.842507123947,,1.0,0.4189424,1247.5594908048242,
100,0.011141473,10900,0.011141473,120.32,0.009319963,704515,292.64281546592713,3699.8052933216095,,1.0,0.4189424,1192.9645241960145,
100,0.003356297,11000,0.003356297,117.77,0.0038816913,716292,267.04166208267213,3730.9354338645935,,1.0,0.4189424,1167.4600026928886,
100,0.013437176,11100,0.013437176,123.28,0.009835746,728620,302.03977082252504,3767.7552428245544,,1.0,0.4189424,1222.5578384460732,
100,0.005827423,11200,0.005827423,117.16,0.009240356,740336,281.0420801639557,3804.1819212436676,,1.0,0.4189424,1161.3609719823128,
