entropy,optimgain,meankl,EpisodesSoFar,ev_tdlam_before,surrgain,DiscEpRewMean,EpLenMean,TimestepsSoFar,entloss,EpRewMean,EpThisIter,TimeElapsed,Step_size
0.4189424,0.0067892163,0.009682677,23700,,0.0067892163,294.6365137386322,119.57,2368721,,1185.4359018848788,100,2403.4878599643707,1.0
0.4189424,0.0014803247,0.0074534924,23800,,0.0014803247,289.837175655365,120.19,2380740,,1191.6359691070063,100,2415.8485627174377,1.0
0.4189424,0.0064239576,0.009500181,23900,,0.0064239576,278.63801092147827,116.11,2392351,,1150.8374529503403,100,2426.9783828258514,1.0
0.4189424,0.014595098,0.009847245,24000,,0.014595098,279.7358313751221,119.06,2404257,,1180.3337718472967,100,2438.8058042526245,1.0
0.4189424,0.008906796,0.009596815,24100,,0.008906796,225.94340037345887,110.31,2415288,,1092.839611824968,100,2450.0269734859467,1.0
0.4189424,0.0065561086,0.0100379605,24200,,0.0065561086,264.3397021865845,112.18,2426506,,1111.53387416796,100,2460.8771648406982,1.0
0.4189424,0.0089474125,0.009091715,24300,,0.0089474125,242.13997913360595,112.23,2437729,,1112.0367387602073,100,2472.315873146057,1.0
0.4189424,0.0037878114,0.007906535,24400,,0.0037878114,255.5395876979828,113.09,2449038,,1120.6358728374962,100,2483.897093296051,1.0
0.4189424,0.009752345,0.010148828,24500,,0.009752345,234.2418740081787,109.77,2460015,,1087.4352079024695,100,2495.3139045238495,1.0
0.4189424,0.009499067,0.010109856,24600,,0.009499067,208.04773337364196,105.91,2470606,,1048.8411055802783,100,2506.483630657196,1.0
0.4189424,0.007487351,0.010055339,24700,,0.007487351,247.9391805934906,113.59,2481965,,1125.6346524482612,100,2517.3945932388306,1.0
0.4189424,0.008487876,0.010239037,24800,,0.008487876,249.74020582199097,112.07,2493172,,1110.4384770076688,100,2529.334613800049,1.0
0.4189424,0.0018436572,0.008190386,24900,,0.0018436572,269.13608543396,116.7,2504842,,1156.7370208649297,100,2540.8331999778748,1.0
0.4189424,0.002950271,0.0069624046,25000,,0.002950271,263.7394246101379,115.06,2516348,,1140.3388041315084,100,2552.1632301807404,1.0
0.4189424,0.009106514,0.009850245,25100,,0.009106514,251.3423593235016,110.79,2527427,,1097.6384011336888,100,2562.5235390663147,1.0
0.4189424,0.003189071,0.010079577,25200,,0.003189071,282.43667516708376,116.95,2539122,,1159.2368637546342,100,2574.1783623695374,1.0
0.4189424,0.0016884613,0.009091944,25300,,0.0016884613,249.74052801132203,113.04,2550426,,1120.139995317226,100,2585.9313085079193,1.0
0.4189424,0.0039038404,0.009381464,25400,,0.0039038404,332.2330675792694,120.17,2562443,,1191.4318769408028,100,2596.7021532058716,1.0
0.4189424,0.006732295,0.0076129804,25500,,0.006732295,264.03813844680786,117.51,2574194,,1164.8373213542407,100,2608.539118051529,1.0
0.4189424,0.010258765,0.010045972,25600,,0.010258765,292.1340629386902,121.33,2586327,,1203.0350907975014,100,2619.8328816890717,1.0
0.4189424,0.008792238,0.0078101214,25700,,0.008792238,269.6385579586029,116.38,2597965,,1153.5386032162562,100,2629.903455734253,1.0
0.4189424,0.005117471,0.009892497,25800,,0.005117471,233.74327058792113,109.91,2608956,,1088.8395720217322,100,2640.9873774051666,1.0
0.4189424,0.0056195594,0.0098061515,25900,,0.0056195594,252.93964580535888,111.24,2620080,,1102.1378335533045,100,2652.524377346039,1.0
0.4189424,0.008243899,0.009980447,26000,,0.008243899,248.8419319343567,109.19,2630999,,1081.63619914382,100,2664.32475066185,1.0
0.4189424,0.0066134227,0.009612557,26100,,0.0066134227,272.23649925231933,120.27,2643026,,1192.4337419159028,100,2676.4358384609222,1.0
0.4189424,0.0062239678,0.009926977,26200,,0.0062239678,225.14249327659607,108.22,2653848,,1071.939396562656,100,2687.306673526764,1.0
0.4189424,0.0065566776,0.009174274,26300,,0.0065566776,262.2383484458923,111.92,2665040,,1108.938647073211,100,2698.3327960968018,1.0
0.4189424,0.008387608,0.009834204,26400,,0.008387608,286.73673722267154,118.06,2676846,,1170.337679348673,100,2708.9346766471863,1.0
0.4189424,0.002597373,0.009576825,26500,,0.002597373,229.54176156044005,108.95,2687741,,1079.2346832078147,100,2719.983611345291,1.0
0.4189424,0.004114862,0.009862689,26600,,0.004114862,200.9449014186859,103.94,2698135,,1029.1376428889746,100,2731.3217902183533,1.0
0.4189424,0.0029709272,0.0031156344,26700,,0.0029709272,252.8432160949707,109.89,2709124,,1088.639281644048,100,2742.7867188453674,1.0
0.4189424,0.0035658667,0.0075522913,26800,,0.0035658667,254.3391224193573,111.49,2720273,,1104.6342990823596,100,2754.06490278244,1.0
0.4189424,0.0047347024,0.00843534,26900,,0.0047347024,254.43944011688234,111.93,2731466,,1109.036326747193,100,2764.8009674549103,1.0
0.4189424,0.006928262,0.008853622,27000,,0.006928262,255.23856251716614,115.07,2742973,,1140.437563444974,100,2775.7588369846344,1.0
0.4189424,0.0042194906,0.004121303,27100,,0.0042194906,232.3446409702301,105.55,2753528,,1045.2430577909195,100,2786.3734090328217,1.0
0.4189424,0.0028249407,0.009901306,27200,,0.0028249407,235.04346989631654,110.81,2764609,,1097.8389201579462,100,2797.6438326835632,1.0
0.4189424,0.007272817,0.0060968776,27300,,0.007272817,238.8422361087799,106.76,2775285,,1057.338316368409,100,2808.3915338516235,1.0
0.4189424,0.0024199244,0.0055607497,27400,,0.0024199244,255.8420424556732,106.53,2785938,,1055.0399736329998,100,2818.7406706809998,1.0
0.4189424,0.0041378303,0.008350159,27500,,0.0041378303,190.54857309341432,99.83,2795921,,988.0406903162159,100,2828.5563147068024,1.0
