StdIWNorm,MeanEntropy,EmpiricalD2,TimestepsSoFar,MaxIWNorm,LearnableVariance,MeanIW,OptimizationReturnMax,ReturnStepMax,Iteration,J_sample_variance,MinIWNorm,EpThisIter,ReturnMeanIW,Bound,StdIW,InitialReturnMax,OptimizationReturnMean,InitialReturnMean,EpRewMean,EpisodesSoFar,MaxIW,InitialReturnStd,ESSRenyi,ReturnStepMaxmin,ESSClassic,OptimizationReturnMin,TimeElapsed,InitialBound,InitialReturnMin,MinIW,EpLenMean,VarianceInit,MeanIWNorm,Weights
0.05777496,0.4189424,14.037067,734256,0.41148534,,1.9098158,4699.793,10.0,39,548596350.0,0.00024182777,100,7917.6,5623.484,5.777497,4999.5576,3688.3882,3988.153,3988.1528955768863,3900,41.148537,1409.0333,7.1239953,10.0,9.8506775,,608.5933649539948,3375.8347,299.7646,0.024182778,399.36,-1.0,0.019098157,[-0.013  0.475 -1.971 -1.601]
0.01978425,0.4189424,3.1306908,774174,0.16933775,,1.238536,4979.5117,10.0,40,76181370.0,0.0007597589,100,4951.8477,3868.4448,1.9784249,4999.473,3965.8828,3985.8438,3985.8438120373316,4000,16.933775,1370.7393,31.941832,10.0,28.155888,,672.5326805114746,3373.536,19.961267,0.075975895,399.18,-1.0,0.01238536,[-0.027  0.451 -1.983 -1.652]
0.008302181,0.4189424,2.0610847,816225,0.04428174,,1.119132,4399.79,10.0,41,15298491.0,0.00090334367,100,5065.211,4186.1562,0.8302181,4999.451,3599.6216,4199.2827,4199.2823562381745,4100,4.428174,1166.8741,48.518143,10.0,64.50247,,740.1749608516693,3586.977,599.66095,0.09033437,420.51,-1.0,0.011191321,[-0.034  0.483 -1.994 -1.632]
0.011854597,0.4189424,1.7235992,860050,0.080115005,,1.1602566,4739.7593,10.0,42,25446274.0,0.00082237157,100,5117.311,4313.429,1.1854599,4999.522,4118.1245,4377.8867,4377.886990072079,4200,8.0115,1139.0465,58.018127,10.0,48.925686,,810.391685962677,3765.5728,259.7627,0.08223716,438.25,-1.0,0.011602565,[-0.019  0.486 -1.998 -1.625]
0.0054360386,0.4189424,1.267462,903665,0.031279664,,1.0611919,4719.671,10.0,43,7939326.0,0.0013070521,100,4731.411,4042.0708,0.5436039,4999.431,4077.3718,4357.1313,4357.131730930863,4300,3.1279664,1212.081,78.89783,10.0,79.2137,,880.073370218277,3744.8286,279.76,0.13070521,436.15,-1.0,0.010611918,[-0.023  0.486 -2.011 -1.668]
0.002060807,0.4189424,1.0551255,947364,0.016809626,,1.0163511,4999.5127,10.0,44,2766856.8,0.0061445264,100,4469.388,3840.4248,0.2060807,4999.5127,4365.748,4365.748,4365.747858880948,4400,1.6809626,1275.9954,94.77546,10.0,96.05099,,949.7998332977295,3753.4353,,0.61445266,436.99,-1.0,0.01016351,[-0.022  0.512 -2.048 -1.693]
0.021256208,0.4189424,3.4369636,991477,0.11848978,,1.4393007,4669.817,10.0,45,51686980.0,0.0005280543,100,5771.237,4636.0635,2.1256208,4999.5283,4077.1514,4406.863,4406.862582889367,4500,11.848978,1148.844,29.09545,10.0,31.436014,,1023.7784581184387,3794.548,329.7113,0.052805435,441.13,-1.0,0.014393006,[-0.022  0.526 -2.061 -1.705]
0.006275302,0.4189424,1.4109117,1031054,0.03407993,,1.0617249,4989.553,10.0,46,11099040.0,0.0019997733,100,4381.2993,3653.98,0.62753016,4999.5337,3941.1392,3951.1194,3951.1197025992533,4600,3.407993,1346.1263,70.87616,10.0,74.11044,,1079.3479590415955,3338.8042,9.980295,0.19997734,395.77,-1.0,0.010617249,[-0.041  0.507 -2.062 -1.681]
0.01582808,0.4189424,3.8152401,1073350,0.08839881,,1.3716142,4689.5786,10.0,47,44761470.0,4.0852203e-05,100,5756.643,4560.6523,1.5828081,4999.44,3913.5947,4223.456,4223.456062861962,4700,8.839881,1088.5522,26.21067,10.0,42.88794,,1153.6131842136383,3611.152,309.8612,0.0040852204,422.96,-1.0,0.013716143,[-0.043  0.536 -2.072 -1.688]
0.027749564,0.4189424,3.5341494,1110876,0.25398585,,1.3238394,4989.564,10.0,48,183300020.0,0.00019221396,100,5191.615,4040.501,2.7749567,4999.544,3735.4238,3745.4038,3745.4037800840842,4800,25.398586,1319.433,28.295351,10.0,18.539753,,1210.7169964313507,3133.0872,9.9800205,0.019221397,375.26,-1.0,0.013238395,[-0.061  0.594 -2.093 -1.738]
