InitialReturnMax,InitialReturnStd,MeanEntropy,StdIW,Bound,MinIW,ReturnMeanIW,ESSClassic,TimestepsSoFar,MaxIWNorm,EmpiricalD2,EpThisIter,OptimizationReturnMax,ESSRenyi,Iteration,InitialReturnMin,InitialReturnMean,MinIWNorm,EpisodesSoFar,OptimizationReturnMin,VarianceInit,ReturnStepMax,MaxIW,MeanIW,MeanIWNorm,StdIWNorm,J_sample_variance,EpLenMean,Weights,LearnableVariance,OptimizationReturnMean,EpRewMean,ReturnStepMaxmin,InitialBound,TimeElapsed
2249.776,280.48605,0.07986906,58.341667,3916.255,0.00035766832,7919.2764,2.3116121,226129,4.7072787,211.06006,100,1679.9562,0.47379878,36,569.8197,892.0437,3.5766832e-06,3600,,-1,10.0,470.72787,8.974593,0.08974593,0.58341664,403820450.0,90.23,[-1.02   1.023 -1.508 -1.91  -1.327],True,322.22394,892.0436516685327,10.0,616.5034,217.49889183044434
1509.7097,194.40266,0.07880685,0.48045847,711.845,0.43685883,911.2533,82.16648,234954,0.036683735,1.1630765,100,919.98413,85.97887,37,589.7256,872.2555,0.0043685883,3700,,-1,10.0,3.6683736,1.0312995,0.010312995,0.0048045847,452305.97,88.25,[-0.943  1.02  -1.508 -1.94  -1.339],True,282.52988,872.2554267540473,10.0,687.3545,225.0656476020813
2099.6821,249.0686,0.120796174,0.8863315,735.3386,0.14986904,1058.3127,60.64571,244223,0.051945455,1.5773827,100,1479.9072,63.396156,38,619.77496,916.65845,0.0014986903,3800,,-1,10.0,5.1945457,1.1002722,0.01100272,0.008863315,1188222.1,92.69,[-0.948  1.039 -1.485 -1.924 -1.34 ],True,296.88342,916.6584021348064,10.0,659.50085,233.35369658470154
1779.7113,213.29153,0.08719567,0.7741126,763.8508,0.09451787,1036.5067,67.643196,253308,0.035352007,1.5647295,100,1179.9442,63.908813,39,599.7671,898.25635,0.0009451787,3900,,-1,10.0,3.5352006,1.1192664,0.011192664,0.0077411258,728973.44,90.85,[-0.942  1.042 -1.485 -1.918 -1.298],True,298.4893,898.2563673383199,10.0,680.2871,240.96286916732788
2039.7339,275.58368,0.0051021576,4.1777873,880.95074,0.003954652,1505.7412,11.386066,262822,0.32688522,6.255046,100,2029.754,15.987093,40,9.979901,941.16516,3.954652e-05,4000,,-1,10.0,32.688522,1.4975528,0.014975529,0.041777868,21133812.0,95.14,[-0.97   1.077 -1.489 -1.893 -1.332],True,931.18524,941.1651289797053,10.0,691.34973,247.59730863571167
2349.683,276.78488,-0.034542084,2.9276006,1247.0842,0.009273407,1866.3987,20.218863,272925,0.22861768,4.6314044,100,1669.894,21.591722,41,679.7891,1000.06323,9.2734066e-05,4100,,-1,10.0,22.861769,1.4738051,0.014738049,0.029276004,12844026.0,101.03,[-0.954  1.092 -1.486 -1.895 -1.414],True,320.2741,1000.0632285620542,10.0,712.287,257.04607129096985
2589.708,294.25085,-0.0154396705,0.6296959,775.2595,0.35541293,1139.4927,75.04947,283312,0.0432465,1.3187609,100,1889.9164,75.82876,42,699.7916,1028.4628,0.0035541293,4200,,-1,10.0,4.3246503,1.0921061,0.010921061,0.006296959,887609.9,103.87,[-0.967  1.141 -1.49  -1.855 -1.453],True,328.67108,1028.4627236838903,10.0,711.2895,266.7071614265442
2039.7058,312.64108,-0.018166542,0.46397611,835.548,0.2719512,1115.3356,83.91655,293786,0.028867597,1.2543845,100,2029.7236,79.720375,43,9.982197,1037.1587,0.002719512,4300,,-1,10.0,2.8867598,1.059814,0.010598139,0.004639761,430686.06,104.74,[-0.954  1.136 -1.494 -1.872 -1.434],True,1027.1765,1037.1587334503724,10.0,787.34674,275.53551840782166
2409.619,288.19727,0.01765735,0.9452318,822.0653,0.2479399,1183.3944,59.620968,304163,0.079518266,1.4990563,100,1729.8655,66.70863,44,679.7534,1027.4518,0.0024793989,4400,,-1,10.0,7.9518266,1.1485766,0.011485767,0.009452319,923669.6,103.77,[-0.963  1.162 -1.466 -1.866 -1.437],True,347.69843,1027.4518425534525,10.0,732.33496,285.05605602264404
2679.582,299.69495,0.033512104,0.39541662,814.771,0.41878924,1166.8406,87.63276,315296,0.022811703,1.1508845,100,1999.824,86.889694,45,679.7581,1103.052,0.004187892,4500,,-1,10.0,2.2811704,1.0525713,0.010525712,0.003954166,674226.0,111.33,[-0.983  1.186 -1.468 -1.863 -1.401],True,423.2939,1103.0520477470732,10.0,774.8716,295.2596204280853
