Iteration,EmpiricalD2,MeanIWNorm,EpLenMean,EpRewMean,VarianceInit,MaxIWNorm,InitialReturnStd,MinIW,ReturnStepMaxmin,InitialReturnMin,LearnableVariance,Bound,J_sample_variance,OptimizationReturnMean,InitialBound,OptimizationReturnMin,ESSClassic,TimeElapsed,StdIWNorm,EpisodesSoFar,MeanIW,ReturnStepMax,MaxIW,EpThisIter,TimestepsSoFar,OptimizationReturnMax,ReturnMeanIW,Weights,MeanEntropy,InitialReturnMean,ESSRenyi,MinIWNorm,StdIW,InitialReturnMax
48,1.8241736,0.011869376,146.67,1456.3078186074727,-1,0.06176743,609.28,0.16697471,10.0,,True,1238.9999,4456926.0,1456.3076,1065.672,,54.35733,108.09027481079102,0.01087638,4800,1.1869376,10.0,6.176743,100,490119,3189.5283,1766.6003,[-0.627  1.277 -1.585 -1.979 -1.07 ],0.3371118,1456.3076,54.819344,0.001669747,1.087638,3189.5283
49,262.03137,0.12727416,150.38,1493.421462276564,-1,11.881423,586.51373,0.00022617893,10.0,,True,21227.162,70742460000.0,1493.4214,1069.7942,,1.1470348,113.39747071266174,1.1815354,4900,12.727416,10.0,1188.1423,100,505157,3458.9019,28084.578,[-0.643  1.299 -1.587 -1.943 -1.082],0.33278203,1493.4214,0.3816337,2.2617892e-06,118.15356,3458.9019
50,1.0556061,0.010134732,168.23,1671.8752080260147,-1,0.014925303,525.5752,0.575283,10.0,179.84402,True,1345.2134,476986.25,1492.0312,1316.8424,,95.87884,120.42310786247253,0.002101165,5000,1.0134732,10.0,1.4925303,100,521980,2718.986,1709.9835,[-0.528  1.157 -1.575 -1.896 -1.086],0.32852176,1671.8754,94.7323,0.00575283,0.2101165,2898.83
51,2.84774,0.012768091,157.13,1560.9209559338647,-1,0.08052459,551.09985,0.06266906,10.0,169.8645,True,1584.3142,10306113.0,1391.0564,1207.0581,,37.967373,125.71617579460144,0.016320398,5100,1.2768091,10.0,8.05246,100,537693,2719.4126,2181.4663,[-0.526  1.157 -1.586 -1.912 -1.09 ],0.2814745,1560.9209,35.115566,0.00062669057,1.6320399,2889.277
52,2.4461658,0.012975389,156.86,1558.187632455324,-1,0.118303105,474.4022,0.07945074,10.0,199.80405,True,1436.0995,6491546.0,1358.3835,1168.8096,,34.810127,132.1346035003662,0.017756514,5200,1.2975391,10.0,11.830311,100,553379,2979.4539,2045.0953,[-0.523  1.177 -1.592 -1.894 -1.137],0.2980194,1558.1875,40.880302,0.0007945074,1.7756515,3179.2578
53,1.2354274,0.01063441,159.9,1588.577398514878,-1,0.029531555,640.1309,0.2923359,10.0,,True,1219.4788,1375430.5,1588.5774,1142.8398,,81.557594,139.9312527179718,0.0050569647,5300,1.063441,10.0,2.9531555,100,569369,3639.4321,1714.9152,[-0.492  1.158 -1.582 -1.9   -1.121],0.2783777,1588.5774,80.94365,0.002923359,0.50569654,3639.4321
54,1.0669358,0.010227016,177.23,1761.8598576643913,-1,0.016481655,661.7754,0.47639605,10.0,9.980028,True,1356.3837,679629.75,1751.8799,1321.0588,,94.51412,149.79737091064453,0.002463906,5400,1.0227017,10.0,1.6481655,100,587092,3589.1455,1811.6985,[-0.488  1.164 -1.579 -1.889 -1.141],0.27679536,1761.86,93.72636,0.0047639604,0.2463906,3599.1255
55,1.1126013,0.010173145,163.13,1620.987226690168,-1,0.023915337,727.1852,0.39057568,10.0,9.980644,True,1058.522,1194375.0,1611.0066,1008.7421,,89.69006,157.74244213104248,0.0034491438,5500,1.0173144,10.0,2.3915339,100,603405,4988.9795,1704.3175,[-0.493  1.165 -1.588 -1.904 -1.142],0.26776147,1620.9873,89.879456,0.0039057566,0.3449144,4998.96
56,543.36584,0.16668335,161.99,1609.6012241860874,-1,13.258358,683.0421,5.5652617e-06,10.0,9.980228,True,23566.691,70234570000.0,1599.6211,997.38513,,1.5085816,167.00727033615112,1.3468119,5600,16.668333,10.0,1325.8358,100,619604,4988.7427,37837.574,[-0.486  1.167 -1.598 -1.908 -1.151],0.17134129,1609.6012,0.18403807,5.5652617e-08,134.6812,4998.723
57,3.3360674,0.013092288,202.72,2016.740361361488,-1,0.18011853,700.94037,0.009311624,10.0,629.554,True,1930.8574,30913984.0,1387.1863,1479.1711,,26.047739,180.74979281425476,0.022060037,5700,1.3092288,10.0,18.011854,100,639876,3759.6794,2912.7224,[-0.434  1.166 -1.584 -1.921 -1.248],0.12643632,2016.7404,29.975412,9.3116236e-05,2.206004,4389.2334
58,4.935509,0.014829533,195.56,1945.1663012108772,-1,0.2739727,681.1287,0.000838977,10.0,9.979753,True,2195.024,138689630.0,1935.1864,1383.1033,,16.50732,195.21574425697327,0.03335134,5800,1.4829532,10.0,27.39727,100,659432,4579.2466,3443.7036,[-0.421  1.17  -1.591 -1.906 -1.293],0.10779043,1945.1663,20.261333,8.389769e-06,3.3351345,4589.2266
59,5.7524104,0.01547889,197.94,1969.1613682683744,-1,0.4843922,779.5942,0.004714851,10.0,,True,1965.1959,144395870.0,1969.1614,1356.8546,,7.563271,211.85990381240845,0.05411371,5900,1.5478891,10.0,48.43922,100,679226,4999.4634,3433.7637,[-0.398  1.144 -1.562 -1.943 -1.311],0.06723397,1969.1614,17.384016,4.7148507e-05,5.4113703,4999.4634
