MinIWNorm,TimeElapsed,InitialReturnMax,MeanIW,EpThisIter,Bound,EpisodesSoFar,ESSClassic,InitialReturnMean,ReturnStepMax,J_sample_variance,ReturnMeanIW,TimestepsSoFar,MeanIWNorm,OptimizationReturnMax,StdIW,InitialBound,MaxIW,MinIW,EmpiricalD2,MeanEntropy,InitialReturnStd,StdIWNorm,EpLenMean,ESSRenyi,InitialReturnMin,ReturnStepMaxmin,Iteration,OptimizationReturnMin,OptimizationReturnMean,Weights,MaxIWNorm,VarianceInit,EpRewMean,LearnableVariance
1.5715352e-05,672.5775470733643,4999.5786,2.0000694,100,6229.2056,4600,4.312073,4327.688,10.0,1547587500.0,8661.088,847677,0.020000694,4999.5786,9.421727,3715.3672,93.243866,0.0015715351,15.773465,0.18868154,1187.144,0.09421727,433.31,6.3397613,,10.0,46,,4327.688,[-0.054  0.638 -1.762 -1.686 -1.218],0.9324386,-1,4327.687763925612,True
4.53599e-05,709.586594581604,4999.5938,1.4835843,100,5072.8027,4700,15.26392,4515.8687,10.0,250236480.0,6703.3223,892874,0.014835844,4979.633,3.4955328,3903.5454,29.739464,0.00453599,7.090736,0.14639832,1067.582,0.034955326,451.97,14.102908,19.960918,10.0,47,,4495.9077,[-0.039  0.605 -1.766 -1.713 -1.23 ],0.29739463,-1,4515.86829154431,True
1.1894764e-06,747.5059194564819,4999.678,5.413275,100,17640.752,4800,1.4176164,4579.1646,10.0,20257229000.0,27043.041,938708,0.054132737,3129.9067,45.141953,3966.831,454.25275,0.000118947646,235.77177,0.09582783,752.901,0.45141944,458.34,0.424139,1869.7715,10.0,48,,2709.3928,[-0.044  0.585 -1.757 -1.709 -1.273],4.542527,-1,4579.164166957661,True
0.0005218246,781.3126463890076,4999.6743,1.2050219,100,4699.5303,4900,28.375809,4883.5107,10.0,48924736.0,5835.301,987561,0.012050219,3600.6626,1.9144793,4271.1777,13.443153,0.05218246,3.4403796,0.113937244,506.5641,0.01914479,488.53,29.06656,1399.0116,10.0,49,,3484.499,[-0.022  0.593 -1.753 -1.698 -1.323],0.13443153,-1,4883.510570580058,True
5.306092e-05,819.5448563098907,4999.6406,1.3988562,100,5168.557,5000,15.9705105,4674.15,10.0,261113870.0,6682.071,1034325,0.01398856,4999.6406,3.2087026,4061.8215,27.941044,0.005306092,6.109475,0.09835051,1057.7142,0.032087028,467.64,16.36802,,10.0,50,,4674.15,[-0.016  0.606 -1.757 -1.673 -1.305],0.27941042,-1,4674.149642529755,True
4.606232e-10,859.312741279602,4999.678,36.216515,100,134055.3,5100,1.0153762,4727.8,10.0,2627277000000.0,180955.86,1081624,0.36216506,4510.0776,357.58313,4115.4673,3594.107,4.6062322e-08,5866.523,-0.0034332275,901.5973,3.5758307,472.99,0.017045872,489.6007,10.0,51,,4238.1987,[-0.026  0.638 -1.768 -1.667 -1.321],35.941067,-1,4727.799875176683,True
0.0024222864,896.5517618656158,4999.7144,1.1301374,100,4799.4414,5200,71.36457,4863.6167,10.0,11979960.0,5507.0376,1130274,0.011301374,4759.9053,0.71588266,4251.2793,4.7947946,0.24222866,1.3353331,0.0041924254,655.9382,0.0071588266,486.5,74.88768,239.80933,10.0,52,,4623.8076,[-0.03   0.657 -1.785 -1.687 -1.422],0.047947943,-1,4863.616535635694,True
0.00072062627,932.8676452636719,4999.7227,1.1530284,100,4828.964,5300,53.427677,4862.585,10.0,26829030.0,5673.523,1178911,0.011530284,4719.9673,1.0765169,4250.2466,6.6640987,0.07206263,1.9022903,-0.017176699,776.93774,0.010765169,486.37,52.56821,279.75555,10.0,53,,4582.8296,[-0.03   0.682 -1.803 -1.71  -1.415],0.06664099,-1,4862.584934996991,True
2.4456522e-05,969.9350411891937,4999.6743,1.806414,100,6555.9727,5400,8.443839,4898.435,10.0,894331100.0,8933.307,1227907,0.01806414,4999.6743,5.948276,4286.103,49.09468,0.0024456521,15.073207,-0.03995884,633.20996,0.05948276,489.96,6.6342883,,10.0,54,,4898.435,[-0.035  0.678 -1.812 -1.725 -1.436],0.4909468,-1,4898.435437429944,True
1.2136965e-05,1009.0661027431488,4999.7793,8.128805,100,26440.004,5500,1.1225486,4881.712,10.0,119600370000.0,40524.94,1276736,0.081288055,4510.152,76.2909,4269.367,767.1758,0.0012136966,529.07465,-0.006945786,657.7388,0.762909,488.29,0.18900925,489.62738,10.0,55,,4392.0845,[-0.04   0.715 -1.82  -1.708 -1.459],7.6717577,-1,4881.712000965415,True
0.000120241995,1047.9350707530975,4999.7383,1.32926,100,4848.79,5600,17.180822,4755.799,10.0,172630640.0,6426.311,1324328,0.013292599,4490.15,2.9184577,4143.459,21.838734,0.0120242,6.636889,0.0010581017,596.1027,0.029184576,475.92,15.067301,509.58853,10.0,56,,4246.211,[-0.062  0.705 -1.824 -1.748 -1.426],0.21838734,-1,4755.799219467201,True
0.000118744945,1085.6230516433716,4999.7026,1.4980983,100,4831.851,5700,19.979162,4692.6523,10.0,132976216.0,6362.4907,1371295,0.014980985,4999.7026,2.998149,4080.3164,20.244238,0.011874495,6.248363,-0.013851188,671.2039,0.029981492,469.67,16.004192,,10.0,57,,4692.6523,[-0.056  0.678 -1.822 -1.775 -1.418],0.20244238,-1,4692.652217825926,True
0.00083665416,1116.8386058807373,4999.7847,1.2885346,100,4914.3745,5800,40.431847,4486.662,10.0,48732224.0,5927.6963,1416214,0.012885345,4470.2495,1.5640168,3874.316,8.813023,0.083665416,2.7384253,-0.02608318,748.3416,0.015640168,449.19,36.517338,529.535,10.0,58,,3957.1274,[-0.072  0.681 -1.825 -1.782 -1.433],0.08813022,-1,4486.662238192387,True
