LearnableVariance,ReturnStepMaxmin,EpLenMean,StdIW,EpThisIter,OptimizationReturnMin,OptimizationReturnMax,Bound,EmpiricalD2Arithmetic,Epsilon,Iteration,VarianceInitializer,Penalization,TimestepsSoFar,MaxIW,InitialReturnMax,MinTargetPdf,TimeElapsed,ESSRenyiArithmetic,StdWReturnMean,MeanEntropy,InitialReturnMin,OptimizationReturnMean,MinIW,MeanD2-0,ReturnMeanIW,EmpiricalD2Harmonic,Inner Iteration,MeanIW,EpisodesSoFar,EpRewMean,InitialReturnMean,MinBehavPdf,InitialReturnStd,Weights,WReturnMean,ReturnStepMax,InitialBound,DivergenceHarmonic,ESSRenyiHarmonic
,9.999999,130.0,3151.2102,11,,2229.7698,-1773060600000.0,1.0,1.0,35,-1.0,True,23669,11032.592,2549.4897,-108.678444,31.672722816467285,11.0,,0.41894197,319.71997,969.8838,1.5356052,1.0,921234400.0,1.0,1,1073.1876,385,1289.6037213307393,1289.6038,-108.678444,611.4347,[-0.156  0.528 -0.858 -1.881],2036930.1,9.999999,-3168424.5,2452995200000.0,11.0
,9.999999,108.18181818181819,213043.83,11,,2499.5537,-9.734948e+18,1.0,1.0,36,-1.0,True,24859,744819.3,2529.5046,-110.72082,33.006712675094604,11.0,,0.41894197,29.950935,1041.5963,0.03772402,1.0,95985330000.0,1.0,1,71660.44,396,1071.5472934741101,1071.5472,-110.72082,567.01483,[-0.175  0.408 -0.884 -1.9  ],1469719.5,9.999999,-2583543.2,7.6390504e+25,11.0
,9.999996,64.72727272727273,152765.17,11,,1059.8975,-1.1985297e+19,1.0,1.0,37,-1.0,True,25571,536907.25,1149.7649,-43.47793,33.88392519950867,11.0,,0.41894197,89.86743,547.2195,1.4194363,1.0,39547322000.0,1.0,1,55233.09,407,637.0868846444818,637.0869,-43.47793,328.9703,[-0.296  0.387 -0.887 -1.877],514101.16,9.999996,-744225.5,2.712535e+27,11.0
,9.999998,58.81818181818182,19340.693,11,,1009.8809,-560849000000.0,1.0,1.0,38,-1.0,True,26218,67672.85,1049.812,-44.211193,35.038755655288696,11.0,,0.41894197,39.931084,538.038,0.8712245,1.0,829988300.0,1.0,1,6535.5825,418,577.969112191808,577.9691,-44.211193,263.91284,[-0.385  0.285 -0.947 -2.078],403698.28,9.999998,-595550.75,8520661500000.0,11.0
,9.999996,68.36363636363636,280052.72,11,,459.96204,-700887300000000.0,1.0,1.0,39,-1.0,True,26970,950246.56,939.7584,-36.993507,36.36460781097412,11.0,,0.41894197,479.7964,193.66582,0.17266516,1.0,49768490000.0,1.0,1,122664.82,429,673.4622005352685,673.46216,-36.993507,138.88782,[-0.339  0.389 -0.969 -2.125],472841.2,9.999996,-626577.6,2.078183e+19,11.0
,9.999996,60.0,106772.1,11,,1069.8005,-96317220000000.0,1.0,1.0,40,-1.0,True,27630,373849.2,1109.7375,-41.457706,37.33130955696106,11.0,,0.41894197,39.936974,549.80804,0.15620075,1.0,6915704000.0,1.0,1,36827.152,440,589.7450344135609,589.74506,-41.457706,282.2724,[-0.428  0.302 -0.966 -2.12 ],427476.94,9.999996,-641857.25,2.0182658e+17,11.0
,9.999998,74.0909090909091,20526.982,11,,719.91315,-107921296000000.0,1.0,1.0,41,-1.0,True,28445,71606.13,1219.7537,-43.921417,38.38494157791138,11.0,,0.41894197,499.8405,230.88747,1.3667545,1.0,2220878800.0,1.0,1,6701.9565,451,730.7279820410602,730.72797,-43.921417,244.44861,[-0.336  0.383 -0.977 -2.143],593718.56,9.999998,-852712.06,1.7362881e+17,11.0
,9.999996,53.63636363636363,1490.1692,11,,240.1018,-11363531000.0,1.0,1.0,42,-1.0,True,29035,5218.788,629.8021,-36.2475,39.240604400634766,11.0,,0.41894197,389.70032,136.44943,0.06578803,1.0,161671950.0,1.0,1,512.57465,462,526.1497497409936,526.1498,-36.2475,74.766136,[-0.537  0.525 -0.963 -2.1  ],282423.53,9.999996,-351471.75,26319501000.0,11.0
,9.999988,58.45454545454545,585.39484,11,,250.06757,-11289485000000.0,1.0,1.0,43,-1.0,True,29678,1780.8467,719.7785,-32.951164,40.25067925453186,11.0,,0.41894197,469.71094,104.62085,0.59557354,1.0,154474610.0,1.0,1,438.2455,473,574.3317765158051,574.3318,-32.951164,78.55555,[-0.632  0.505 -0.938 -2.026],336028.0,9.999988,-426214.66,1.5669491e+16,11.0
,9.999994,65.81818181818181,118.0179,11,,929.9035,-1209360200000.0,1.0,1.0,44,-1.0,True,30402,382.9493,1339.6818,-42.741787,41.40113925933838,11.0,,0.41894197,409.77826,238.16896,0.013624533,1.0,33342274.0,1.0,1,87.050026,484,647.947227041608,647.94727,-42.741787,250.02875,[-0.861  0.745 -0.97  -1.653],482350.0,9.999994,-794776.4,14982860000000.0,11.0
,9.999994,80.81818181818181,1147135.0,11,,699.9114,-2.2810655e+19,1.0,1.0,45,-1.0,True,31291,4025472.0,1119.6172,-56.185745,43.02332329750061,11.0,,0.41894197,419.70584,378.175,0.12819496,1.0,477874200000.0,1.0,1,403422.53,495,797.880815810964,797.8808,-56.185745,182.08968,[-0.764  0.799 -0.984 -1.708],669770.5,9.999994,-887985.1,1.092726e+28,11.0
,9.999998,85.27272727272727,1398.8213,11,,1399.55,-746858900000000.0,1.0,1.0,46,-1.0,True,32229,4384.2783,1409.5315,-76.70925,44.31061935424805,11.0,,0.41894197,9.981423,832.40356,0.05106319,1.0,808070140.0,1.0,1,685.6861,506,842.3849753756905,842.385,-76.70925,407.22543,[-0.771  1.004 -1.05  -1.582],875445.0,9.999998,-1221300.5,4.6632757e+18,11.0
,9.999997,70.9090909090909,1447.4097,11,,809.84924,-1963799800000000.0,1.0,1.0,47,-1.0,True,33009,4576.51,1159.6177,-51.01866,45.47115874290466,11.0,,0.41894197,349.76843,349.04462,0.5741947,1.0,370827300.0,1.0,1,805.2496,517,698.8130096905717,698.81305,-51.01866,219.40997,[-0.878  0.941 -1.058 -1.57 ],536480.4,9.999997,-770565.75,7.0379937e+19,11.0
,9.999993,55.81818181818182,36.768044,11,,849.6342,-8851634000.0,1.0,1.0,48,-1.0,True,33623,132.55191,1129.485,-47.157097,46.206610918045044,11.0,,0.41894197,279.85077,268.07483,1.4860109,1.0,7940040.5,1.0,1,18.219511,528,547.9255731026956,547.9256,-47.157097,258.05542,[-0.995  1.098 -1.058 -1.415],366815.03,9.999993,-588892.9,1585840300.0,11.0
,9.999998,75.27272727272727,18465.604,11,,939.8675,-50041690000000.0,1.0,1.0,49,-1.0,True,34451,64245.867,1239.6571,-40.299873,47.681623220443726,11.0,,0.41894197,299.7896,442.69208,0.052879315,1.0,3117210400.0,1.0,1,5852.5435,539,742.4816736289603,742.4816,-40.299873,229.2709,[-1.06   1.023 -1.084 -1.486],603844.2,9.999998,-871359.0,3.498787e+16,11.0
,10.0,54.90909090909091,8.821881,11,,1649.7549,-296853140000.0,1.0,1.0,50,-1.0,True,35055,33.08212,1819.6078,-88.124664,48.75552010536194,11.0,,0.41894197,169.85295,369.00305,0.89396286,1.0,3456229.0,1.0,1,5.3050466,550,538.856042765842,538.856,-88.124664,463.0704,[-0.982  1.12  -1.087 -1.483],504800.06,10.0,-1081168.0,265262610000.0,11.0
,9.999994,56.81818181818182,56.79643,11,,579.6646,-12956158000000.0,1.0,1.0,51,-1.0,True,35680,203.00381,839.48914,-34.831127,49.51438641548157,11.0,,0.41894197,259.82452,298.10068,0.19348945,1.0,11690885.0,1.0,1,29.859333,561,557.925169577623,557.92523,-34.831127,187.09537,[-1.092  1.088 -1.133 -1.502],346285.2,9.999994,-468965.38,1.115335e+16,11.0
,9.999999,59.90909090909091,678.56836,11,,669.7423,-644584100000.0,1.0,1.0,52,-1.0,True,36339,2373.791,979.60834,-43.381744,50.57105088233948,11.0,,0.41894197,309.86606,279.0156,0.23252192,1.0,68189720.0,1.0,1,230.45436,572,588.8816381741201,588.8816,-43.381744,192.50894,[-1.195  1.018 -1.128 -1.506],383841.25,9.999999,-550892.3,14885774000000.0,11.0
,9.999997,72.27272727272727,75.957726,11,,829.9606,-383383500000.0,1.0,1.0,53,-1.0,True,37134,222.92715,1129.7356,-40.823563,51.77438759803772,11.0,,0.41894197,299.77502,412.70633,0.008117972,1.0,29830104.0,1.0,1,44.52975,583,712.4813819932298,712.4814,-40.823563,259.08685,[-1.091  1.075 -1.137 -1.544],574755.75,9.999997,-796932.4,2977186000000.0,11.0
,9.999999,49.45454545454545,894.7236,11,,899.80896,-781307900000.0,1.0,1.0,54,-1.0,True,37678,3108.682,909.78986,-35.590534,52.264968156814575,11.0,,0.41894197,9.980873,474.38046,0.19210751,1.0,168919440.0,1.0,1,355.69363,594,484.36134259407225,484.3613,-35.590534,306.65027,[-1.036  1.177 -1.145 -1.497],328640.28,9.999999,-472727.8,29390444000000.0,11.0
,9.999999,33.63636363636363,2387.6816,11,,749.8451,-65089013000000.0,1.0,1.0,55,-1.0,True,38048,8400.104,869.72845,-34.780678,52.97235083580017,11.0,,0.41894197,119.883354,206.36314,0.10518233,1.0,83658904.0,1.0,1,865.20215,605,326.2465233672551,326.24655,-34.780678,215.87793,[-1.187  1.222 -1.175 -1.305],153040.06,9.999999,-284717.44,2.4433938e+17,11.0
,9.999999,76.45454545454545,199.62822,11,,1229.4197,-66844530000000.0,1.0,1.0,56,-1.0,True,38889,594.8433,1559.1561,-67.753105,54.52540349960327,11.0,,0.41894197,329.73642,424.491,1.3837572,1.0,61260252.0,1.0,1,142.22557,616,754.2274285201573,754.2275,-67.753105,386.3679,[-1.171  1.034 -1.17  -1.47 ],718139.1,9.999999,-1141318.0,2.4950912e+16,11.0
,9.999998,66.0,1223.1736,11,,929.7943,-317567940000000.0,1.0,1.0,57,-1.0,True,39615,4266.5083,1069.6891,-55.34754,55.49098062515259,11.0,,0.41894197,139.8948,509.83945,0.15362431,1.0,202675520.0,1.0,1,398.7524,627,649.7342667636786,649.73425,-55.34754,252.14268,[-1.07   1.105 -1.181 -1.487],485730.56,9.999998,-684916.94,2.541888e+18,11.0
,9.999994,68.18181818181819,1076.4027,11,,779.9039,-27896448000000.0,1.0,1.0,58,-1.0,True,40365,3004.9915,1079.6483,-50.998047,56.51229214668274,11.0,,0.41894197,299.74445,371.82227,0.14925492,1.0,364766530.0,1.0,1,517.916,638,671.5667292662876,671.5668,-50.998047,227.50464,[-1.147  1.007 -1.178 -1.497],502760.25,9.999994,-705673.0,1.8900405e+16,11.0
,9.999995,74.81818181818181,12174.461,11,,670.11743,-3.1299986e+17,1.0,1.0,59,-1.0,True,41188,38660.75,1049.8154,-43.50605,57.429378271102905,11.0,,0.41894197,379.698,358.22934,0.788793,1.0,2072899100.0,1.0,1,5817.584,649,737.927340391124,737.9273,-43.50605,216.85045,[-1.231  0.916 -1.175 -1.48 ],591560.94,9.999995,-783414.8,2.6616473e+24,11.0
,9.999996,52.09090909090909,551.7653,11,,689.96014,-3705242800000000.0,1.0,1.0,60,-1.0,True,41761,1625.4242,1049.825,-41.731575,58.287389039993286,11.0,,0.41894197,359.8648,150.87831,1.0201979,1.0,79664824.0,1.0,1,369.54343,660,510.7431204664972,510.74313,-41.731575,187.57701,[-1.34   0.794 -1.216 -1.665],296043.7,9.999996,-487900.84,3.7297503e+20,11.0
,9.999997,48.0,410.9227,11,,620.07465,-74209170000.0,1.0,1.0,61,-1.0,True,42289,1423.2311,899.84534,-31.092243,59.28743815422058,11.0,,0.41894197,279.7707,190.03862,0.6426213,1.0,21284590.0,1.0,1,196.92043,671,469.80930002493284,469.8093,-31.092243,199.17725,[-1.533  0.646 -1.229 -1.614],260392.36,9.999997,-401347.12,277018300000.0,11.0
