ESSRenyiArithmetic,MeanIW,EpThisIter,ReturnStepMax,InitialReturnMin,OptimizationReturnMax,EpRewMean,Penalization,OptimizationReturnMean,EmpiricalD2Harmonic,OptimizationReturnMin,ESSRenyiHarmonic,Inner Iteration,ReturnMeanIW,InitialReturnMax,MinBehavPdf,Weights,DivergenceHarmonic,EpisodesSoFar,TimestepsSoFar,VarianceInitializer,LearnableVariance,Epsilon,EpLenMean,TimeElapsed,InitialReturnMean,Iteration,MeanEntropy,MinTargetPdf,InitialReturnStd,InitialBound,MaxIW,EmpiricalD2Arithmetic,MeanD2-0,StdWReturnMean,StdIW,ReturnStepMaxmin,WReturnMean,MinIW,Bound
11.0,3725.4446,11,10.0,3639.419,1359.8809,4382.9969346415155,True,743.57806,1.0,,11.0,1,50836627000.0,4999.3,-251.3815,[-0.309  1.97  -3.898 -2.347],64111060000000.0,3729,1278627,-1.0,,1.0,439.0,4149.768473863602,4382.997,339,0.41894197,-251.3815,516.8675,-23828640.0,38852.8,1.0,1.0,,11112.502,10.0,19477816.0,0.40992352,-34886805000000.0
11.0,80.65249,11,10.0,4209.4346,790.09766,4882.9734345539955,True,673.5389,1.0,,11.0,1,1514001300.0,4999.532,-222.28741,[-0.248  1.968 -3.894 -2.332],9.835686e+16,3740,1284001,-1.0,,1.0,488.54545454545456,4167.924319267273,4882.973,340,0.41894197,-222.28741,254.94934,-28259664.0,755.8233,1.0,1.0,,214.78221,10.0,23908430.0,0.17625211,-1364597500000000.0
11.0,335.18243,11,9.999999,,4999.453,4101.18986426561,True,4101.1895,1.0,,11.0,1,8371238000.0,4999.453,-244.18979,[-0.189  1.987 -3.896 -2.328],1.6932945e+34,3751,1288515,-1.0,,1.0,410.3636363636364,4184.136270999908,4101.1895,341,0.41894197,-244.18979,1905.2374,-24800770.0,1627.3103,1.0,1.0,,562.603,9.999999,20449688.0,0.25723696,-5.6617972e+23
11.0,189.17308,11,10.0,3759.5205,1239.8916,4716.538812750346,True,957.0183,1.0,,11.0,1,4640735000.0,4999.412,-237.48325,[-0.29   2.04  -3.899 -2.277],50680873000.0,3762,1293709,-1.0,,1.0,472.1818181818182,4201.647661924362,4716.5386,342,0.41894197,-237.48325,403.03036,-26759198.0,1304.3523,1.0,1.0,,372.81357,10.0,22408172.0,0.013216438,-984137330000.0
11.0,71683.62,11,9.999999,3059.251,1940.083,4335.6808977989795,True,1276.4298,1.0,,11.0,1,1500657900000.0,4999.334,-231.04655,[-0.336  2.015 -3.921 -2.303],5.2038434e+28,3773,1298486,-1.0,,1.0,434.27272727272725,4217.941474914551,4335.6807,343,0.41894197,-231.04655,659.1835,-23583532.0,499807.72,1.0,1.0,,141934.53,9.999999,19232652.0,8.015606,-9.924975e+20
11.0,33.36228,11,10.0,329.87036,4669.5176,3850.1714156264466,True,3520.301,1.0,,11.0,1,740973060.0,4999.3877,-216.06784,[-0.286  2.095 -3.924 -2.221],481787050000000.0,3784,1302728,-1.0,,1.0,385.6363636363636,4232.347325563431,3850.1716,344,0.41894197,-216.06784,1711.2903,-22103296.0,183.6521,1.0,1.0,,68.82093,10.0,17752336.0,0.27958623,-95500930000000.0
11.0,18.136053,11,10.0,329.846,4669.0264,4189.83051461728,True,3859.9844,1.0,,11.0,1,433303500.0,4998.8726,-236.2595,[-0.227  2.109 -3.93  -2.206],1165570600.0,3795,1307342,-1.0,,1.0,419.45454545454544,4247.918566703796,4189.83,345,0.41894197,-236.2595,1463.9332,-24047854.0,85.68027,1.0,1.0,,29.619019,10.0,19697782.0,0.4356428,-148943570000.0
11.0,5.407326,11,10.0,779.7735,4219.2354,3213.636099269583,True,2433.8625,1.0,,11.0,1,68517920.0,4999.009,-213.55037,[-0.272  2.125 -3.934 -2.166],17373085000000.0,3806,1310886,-1.0,,1.0,322.1818181818182,4260.82723903656,3213.636,346,0.41894197,-213.55037,1608.9158,-17266352.0,18.550026,1.0,1.0,,4.823493,10.0,12916067.0,0.55714464,-18132217000000.0
11.0,175822.23,11,10.0,,4999.259,3729.2177775665346,True,3729.218,1.0,,11.0,1,4151018000000.0,4999.259,-230.32187,[-0.325  2.114 -3.939 -2.196],3.6485946e+33,3817,1314994,-1.0,,1.0,373.45454545454544,4273.854283809662,3729.218,347,0.41894197,-230.32187,2041.305,-22424728.0,1412998.1,1.0,1.0,,417483.88,10.0,18073992.0,0.9993755,-2.6279496e+23
11.0,71.62994,11,9.999999,3529.4954,1469.9392,4467.547260109312,True,938.05194,1.0,,11.0,1,1254194400.0,4999.4346,-230.02026,[-0.364  2.033 -3.947 -2.283],278095800000.0,3828,1319916,-1.0,,1.0,447.45454545454544,4288.214147090912,4467.5474,348,0.41894197,-230.02026,534.8662,-24596120.0,244.93848,1.0,1.0,,92.484795,9.999999,20245060.0,1.1589588,-2295722100000.0
11.0,2095.8655,11,10.0,2579.639,2419.7517,3893.996800061407,True,1314.3579,1.0,,11.0,1,36166083000.0,4999.3906,-236.39555,[-0.416  2.001 -3.95  -2.291],1.4961595e+16,3839,1324209,-1.0,,1.0,390.27272727272725,4300.687117815018,3893.9968,349,0.41894197,-236.39555,867.02594,-20265914.0,18792.574,1.0,1.0,,5334.7114,10.0,15914946.0,1.0093205,-532225400000000.0
11.0,34214.35,11,10.0,119.87926,4879.4556,3685.8302773613063,True,3565.951,1.0,,11.0,1,853778500000.0,4999.335,-237.86067,[-0.471  2.076 -3.951 -2.208],1.6291748e+18,3850,1328273,-1.0,,1.0,369.45454545454544,4314.025257587433,3685.8303,350,0.41894197,-237.86067,1310.4133,-19653396.0,375024.75,1.0,1.0,,107774.14,10.0,15302528.0,0.4331902,-5554156700000000.0
11.0,441.61816,11,10.0,2899.581,2099.9062,3918.593730581217,True,1019.01276,1.0,,11.0,1,3872803000.0,4999.4873,-222.14668,[-0.437  2.011 -3.964 -2.308],2421323300.0,3861,1332592,-1.0,,1.0,392.6363636363636,4326.95559668541,3918.5938,351,0.41894197,-222.14668,779.40717,-20313990.0,2668.2837,1.0,1.0,,904.919,10.0,15962854.0,0.99792695,-217974620000.0
11.0,914.1617,11,10.0,3369.5076,1629.825,4542.04240033557,True,1172.5347,1.0,,11.0,1,20435558000.0,4999.3325,-211.34789,[-0.385  2.04  -3.973 -2.29 ],319453630000.0,3872,1337597,-1.0,,1.0,455.0,4343.053088188171,4542.0425,352,0.41894197,-211.34789,497.7031,-25228740.0,3813.9834,1.0,1.0,,1335.3136,10.0,20877858.0,0.058837418,-2479506000000.0
11.0,762542.3,11,10.0,2819.4607,2179.7727,3897.5814804284614,True,1078.1207,1.0,,11.0,1,9228729000000.0,4999.2334,-216.93394,[-0.444  2.024 -3.969 -2.276],8.231879e+36,3883,1341895,-1.0,,1.0,390.72727272727275,4357.6618456840515,3897.5818,353,0.41894197,-216.93394,750.56104,-20105180.0,4633608.0,1.0,1.0,,1319197.2,10.0,15754483.0,5.7440753,-1.2482436e+25
11.0,40.70563,11,9.999999,679.8075,4319.309,3584.783956428822,True,2904.9766,1.0,,11.0,1,725400960.0,4999.1167,-205.82733,[-0.359  2.09  -3.964 -2.212],253660870000.0,3894,1345848,-1.0,,1.0,359.3636363636364,4369.960978746414,3584.7842,354,0.41894197,-205.82733,1510.902,-19483990.0,286.3621,1.0,1.0,,80.62903,9.999999,15133502.0,0.9472723,-2191795700000.0
11.0,24.09483,11,9.999999,269.87347,4729.0537,3424.7261315725323,True,3154.8525,1.0,,11.0,1,552749630.0,4998.9272,-222.99431,[-0.307  2.119 -3.968 -2.192],2891755800.0,3905,1349625,-1.0,,1.0,343.3636363636364,4381.847564697266,3424.7258,355,0.41894197,-222.99431,1523.8452,-18401004.0,117.386566,1.0,1.0,,34.966194,9.999999,14050854.0,0.3510223,-234478190000.0
11.0,69.24973,11,10.0,1379.7367,3619.3047,4091.1172296887585,True,2711.3806,1.0,,11.0,1,1467486600.0,4999.0415,-229.40724,[-0.343  2.08  -3.977 -2.225],1279724200000.0,3916,1354135,-1.0,,1.0,410.0,4398.336441040039,4091.1174,356,0.41894197,-229.40724,1076.3933,-22246230.0,435.5986,1.0,1.0,,129.76865,10.0,17895864.0,0.3896149,-4922709400000.0
11.0,60.099316,11,10.0,89.935974,4699.055,2924.9185980150473,True,2834.9827,1.0,,11.0,1,1069711100.0,4788.991,-198.77348,[-0.403  2.086 -3.983 -2.208],386386660000.0,3927,1357364,-1.0,,1.0,293.54545454545456,4408.28728556633,2924.9187,357,0.41894197,-198.77348,1555.2454,-14966369.0,432.7895,1.0,1.0,,122.768845,10.0,10973937.0,0.47394046,-2482728900000.0
11.0,1088.5555,11,10.0,249.80658,4199.556,3456.5566440326074,True,3206.75,1.0,,11.0,1,19258386000.0,4449.363,-211.6108,[-0.464  2.081 -3.989 -2.2  ],1.676627e+22,3938,1361178,-1.0,,1.0,346.72727272727275,4421.180636405945,3456.557,358,0.41894197,-211.6108,1141.6959,-16697504.0,11231.837,1.0,1.0,,3208.5813,10.0,13251254.0,0.21904828,-4.462281e+17
11.0,29797336.0,11,10.0,229.88205,3779.0557,2436.6544248078158,True,2206.7725,1.0,,11.0,1,358493000000000.0,4008.9377,-165.60841,[-0.497  2.157 -3.99  -2.106],7.801635e+36,3949,1363870,-1.0,,1.0,244.72727272727272,4430.431804656982,2436.6545,359,0.41894197,-165.60841,1238.9845,-10270106.0,327738660.0,1.0,1.0,,94217310.0,10.0,7472368.0,0.28143528,-7.814379e+24
11.0,26566918.0,11,9.999999,1359.3455,3639.9026,3652.0762380920846,True,2292.7307,1.0,,11.0,1,663338240000000.0,4999.248,-211.63913,[-0.545  2.081 -4.    -2.192],1.4488974e+35,3960,1367896,-1.0,,1.0,366.0,4443.267037630081,3652.0764,360,0.41894197,-211.63913,1222.1495,-19182030.0,290546500.0,1.0,1.0,,83478264.0,9.999999,14831312.0,9.742417,-1.6560415e+24
11.0,3613.3672,11,10.0,,3389.1108,1844.0356527847027,True,1844.0356,1.0,,11.0,1,8553240000.0,3389.1108,-163.9525,[-0.639  2.16  -4.187 -2.081],3.4584267e+21,3971,1369936,-1.0,,1.0,185.45454545454547,4450.009205341339,1844.0356,361,0.41894197,-163.9525,1063.7953,-6531615.0,24640.256,1.0,1.0,,7444.878,10.0,4532128.0,1.0037293,-1.1758554e+17
11.0,441503.72,11,10.0,1979.801,2309.6433,2919.5183415120314,True,939.71735,1.0,,11.0,1,4917806000000.0,4289.4443,-168.34557,[-0.636  2.085 -4.187 -2.18 ],3.0091055e+30,3982,1373159,-1.0,,1.0,293.0,4461.5440628528595,2919.5183,362,0.41894197,-168.34557,568.5566,-12049806.0,4378585.5,1.0,1.0,,1248180.4,10.0,8846844.0,0.0022813047,-5.55602e+21
11.0,202859.64,11,10.0,1649.7817,1559.8606,2435.1568985794383,True,785.3752,1.0,,11.0,1,1104487800000.0,3209.6423,-147.58221,[-0.715  2.015 -4.186 -2.248],1.3162617e+24,3993,1375849,-1.0,,1.0,244.54545454545453,4470.677412033081,2435.157,363,0.41894197,-147.58221,518.90106,-7992584.0,1592632.8,1.0,1.0,,451570.78,10.0,6199248.0,1.0187434,-2.0574422e+18
11.0,32964590.0,11,10.0,1939.6595,1610.037,2699.67188788728,True,760.01227,1.0,,11.0,1,262405460000000.0,3549.6965,-153.54874,[-0.6    2.022 -4.182 -2.295],3.4113559e+28,4004,1378830,-1.0,,1.0,271.0,4479.675931453705,2699.6719,364,0.41894197,-153.54874,469.5243,-9702151.0,300309660.0,1.0,1.0,,86362820.0,10.0,7508681.5,11.510594,-4.0512517e+20
11.0,144979.95,11,10.0,2209.6116,2749.763,3717.6464033120665,True,1508.0348,1.0,,11.0,1,1812598400000.0,4959.3745,-235.93248,[-0.479  2.015 -4.199 -2.268],9.8350655e+30,4015,1382931,-1.0,,1.0,372.8181818181818,4494.062752008438,3717.6462,365,0.41894197,-235.93248,901.12585,-18914514.0,629852.5,1.0,1.0,,219278.06,10.0,14632923.0,30.850986,-1.3427201e+22
11.0,960.13824,11,10.0,2849.612,2149.7483,4161.135243812131,True,1311.5231,1.0,,11.0,1,10473853000.0,4999.3604,-215.14659,[-0.409  2.093 -4.186 -2.202],22504150000.0,4026,1387516,-1.0,,1.0,416.8181818181818,4510.207419872284,4161.1353,366,0.41894197,-215.14659,819.3506,-22337304.0,7785.2905,1.0,1.0,,2240.9512,10.0,17986382.0,0.36451563,-663158200000.0
11.0,160.44325,11,10.0,2449.6958,2549.522,4487.387290249876,True,2037.6914,1.0,,11.0,1,2675113500.0,4999.218,-247.79494,[-0.348  2.085 -4.186 -2.213],2505859000.0,4037,1392459,-1.0,,1.0,449.3636363636364,4528.248624801636,4487.387,367,0.41894197,-247.79494,774.3233,-25086900.0,1343.254,1.0,1.0,,384.42383,10.0,20736220.0,0.3170835,-220458860000.0
11.0,191.78697,11,10.0,2659.518,2339.8877,4396.5899205415435,True,1737.0719,1.0,,11.0,1,2051521200.0,4999.406,-213.79233,[-0.387  2.047 -4.187 -2.244],695040500000.0,4048,1397301,-1.0,,1.0,440.1818181818182,4546.059708356857,4396.59,368,0.41894197,-213.79233,768.1775,-24271108.0,1292.6624,1.0,1.0,,377.10474,10.0,19920100.0,0.120321944,-3629363000000.0
11.0,129.17955,11,10.0,3659.43,1339.9617,4590.240238095802,True,930.8103,1.0,,11.0,1,2408561400.0,4999.3916,-234.96437,[-0.325  2.054 -4.183 -2.244],97710890000.0,4059,1402356,-1.0,,1.0,459.54545454545456,4564.584529161453,4590.24,369,0.41894197,-234.96437,491.5588,-25662922.0,615.94446,1.0,1.0,,221.09888,10.0,21311936.0,0.21642362,-1362439600000.0
11.0,29.015778,11,9.999999,129.90294,4869.5317,3415.705335011522,True,3285.8025,1.0,,11.0,1,630680450.0,4999.4346,-215.65118,[-0.277  2.084 -4.189 -2.218],8168162000.0,4070,1406123,-1.0,,1.0,342.45454545454544,4577.911062479019,3415.7053,370,0.41894197,-215.65118,1682.3623,-18848424.0,223.33232,1.0,1.0,,63.830624,9.999999,14497387.0,0.2094068,-393860970000.0
11.0,10820.357,11,10.0,79.93199,4919.402,4113.779947507711,True,4033.848,1.0,,11.0,1,199315780000.0,4999.334,-239.08397,[-0.324  2.106 -4.182 -2.183],6.791332e+22,4081,1410653,-1.0,,1.0,411.8181818181818,4595.6121301651,4113.78,371,0.41894197,-239.08397,1516.3263,-23573306.0,107367.73,1.0,1.0,,30587.004,10.0,19222432.0,0.80553585,-1.133822e+18
11.0,37.27218,11,10.0,3879.4097,1120.021,4712.936889806414,True,833.52734,1.0,,11.0,1,674047500.0,4999.4307,-236.36786,[-0.297  2.029 -4.184 -2.278],897922240000000.0,4092,1415843,-1.0,,1.0,471.8181818181818,4614.874510526657,4712.937,372,0.41894197,-236.36786,385.91064,-26711758.0,276.73972,1.0,1.0,,77.096214,10.0,22360704.0,0.45958316,-130378420000000.0
11.0,22.992897,11,10.0,4559.2314,440.1797,4956.494583242955,True,397.2632,1.0,,11.0,1,539363600.0,4999.411,-246.49597,[-0.237  2.043 -4.181 -2.266],3276356500000000.0,4103,1421298,-1.0,,1.0,495.90909090909093,4633.32567024231,4956.4946,373,0.41894197,-246.49597,125.92714,-28933728.0,114.01478,1.0,1.0,,38.561253,10.0,24582696.0,0.1768124,-249044670000000.0
11.0,26.64755,11,9.999999,4049.22,950.0574,4912.797331034712,True,863.5774,1.0,,11.0,1,663119500.0,4999.2773,-233.10796,[-0.188  2.07  -4.178 -2.239],1511787100.0,4114,1426704,-1.0,,1.0,491.45454545454544,4652.003801345825,4912.7974,374,0.41894197,-233.10796,273.08716,-28560952.0,219.21327,1.0,1.0,,62.13772,9.999999,24210156.0,0.23890935,-169825120000.0
11.0,53586.746,11,10.0,4998.8955,0.5776367,4999.1784088604445,True,0.2829812,1.0,,11.0,1,1339228000000.0,4999.473,-223.25826,[-0.132  2.062 -4.184 -2.264],4.7023312e+17,4125,1432204,-1.0,,1.0,500.0,4670.882515668869,4999.1787,375,0.41894197,-223.25826,0.14890002,-29342924.0,557558.75,1.0,1.0,,159507.69,10.0,24991786.0,0.19346286,-2984990700000000.0
11.0,1347.2216,11,10.0,359.7202,4639.823,4577.561470891281,True,4217.842,1.0,,11.0,1,33600170000.0,4999.5435,-250.84785,[-0.069  1.988 -4.179 -2.343],44751577000.0,4136,1437241,-1.0,,1.0,457.90909090909093,4688.292472600937,4577.561,376,0.41894197,-250.84785,1333.7986,-27084336.0,12356.859,1.0,1.0,,3506.5544,10.0,22733088.0,0.7695396,-954066400000.0
11.0,178099.62,11,10.0,4999.3135,0.29003906,4999.4614253818545,True,0.148038,1.0,,11.0,1,4451420000000.0,4999.6035,-239.14719,[-0.024  1.966 -4.199 -2.456],1.2503344e+28,4147,1442741,-1.0,,1.0,500.0,4707.20775270462,4999.4614,377,0.41894197,-239.14719,0.09218023,-29345976.0,1607207.1,1.0,1.0,,456374.4,10.0,24994616.0,27.259985,-4.8654976e+20
11.0,4731.269,11,10.0,4999.46,0.2109375,4999.561584980378,True,0.10165128,1.0,,11.0,1,118258010000.0,4999.671,-223.68358,[-0.141  1.843 -4.354 -2.554],1.4804603e+29,4158,1448241,-1.0,,1.0,500.0,4726.292337656021,4999.562,378,0.41894197,-223.68358,0.06576094,-29347098.0,51829.402,1.0,1.0,,14893.774,10.0,24995616.0,0.24120969,-1.6742652e+21
11.0,167.35434,11,10.0,4999.357,0.28271484,4999.54497523242,True,0.1878995,1.0,,11.0,1,4183063800.0,4999.6396,-238.23544,[-0.038  1.805 -4.357 -2.612],739451340000.0,4169,1453741,-1.0,,1.0,500.0,4745.500734567642,4999.545,379,0.41894197,-238.23544,0.08278164,-29346872.0,795.56024,1.0,1.0,,286.92773,10.0,24995450.0,0.10173643,-3745936800000.0
11.0,164.85548,11,10.0,4999.5273,0.12792969,4999.6058377651125,True,0.078391336,1.0,,11.0,1,4120707300.0,4999.6553,-217.0236,[-0.084  1.726 -4.357 -2.697],6.1013215e+19,4180,1459241,-1.0,,1.0,500.0,4764.271810293198,4999.606,380,0.41894197,-217.0236,0.033854414,-29347514.0,1632.1844,1.0,1.0,,464.24658,10.0,24996060.0,1.1175911,-3.3988746e+16
11.0,70.481514,11,10.0,4999.504,0.14355469,4999.570263970254,True,0.06636186,1.0,,11.0,1,1761719700.0,4999.6475,-246.19908,[-0.154  1.792 -4.388 -2.623],5.0796153e+19,4191,1464741,-1.0,,1.0,500.0,4781.9324996471405,4999.5703,381,0.41894197,-246.19908,0.044992022,-29347144.0,432.7895,1.0,1.0,,119.65238,10.0,24995704.0,0.10319988,-3.1012533e+16
11.0,3411.7307,11,10.0,3849.6472,1150.013,4792.333450376763,True,942.6863,1.0,,11.0,1,63242666000.0,4999.66,-234.66641,[-0.233  1.856 -4.38  -2.551],2.513591e+24,4202,1470016,-1.0,,1.0,479.54545454545456,4799.785705804825,4792.334,382,0.41894197,-234.66641,372.29724,-27456522.0,23809.746,1.0,1.0,,7417.497,10.0,23105066.0,1.0074433,-6.898764e+18
11.0,110.29257,11,10.0,3479.6147,1519.9854,4397.796183629219,True,918.18146,1.0,,11.0,1,2045666600.0,4999.6,-229.45703,[-0.307  1.905 -4.386 -2.463],72977100000.0,4213,1474861,-1.0,,1.0,440.45454545454544,4816.024127483368,4397.7964,383,0.41894197,-229.45703,585.8813,-24035212.0,435.17343,1.0,1.0,,156.55717,10.0,19683870.0,0.26106468,-1177503000000.0
11.0,7486.7544,11,10.0,2659.757,2339.8455,4199.590928256654,True,1539.8339,1.0,,11.0,1,133427724000.0,4999.6025,-221.12877,[-0.29   1.841 -4.395 -2.569],1482547400000000.0,4224,1479488,-1.0,,1.0,420.6363636363636,4831.901519536972,4199.591,384,0.41894197,-221.12877,798.93854,-22626212.0,73491.53,1.0,1.0,,20937.688,10.0,18274866.0,0.10978867,-167673340000000.0
11.0,39.118168,11,9.999999,,4999.666,4332.353438585709,True,4332.3535,1.0,,11.0,1,799693300.0,4999.666,-240.9987,[-0.229  1.848 -4.386 -2.573],540573300000.0,4235,1484258,-1.0,,1.0,433.6363636363636,4848.354486703873,4332.3535,385,0.41894197,-240.9987,1414.7933,-25122384.0,378.20062,1.0,1.0,,107.59088,9.999999,20770928.0,0.84175044,-3200080200000.0
11.0,193.74449,11,10.0,3179.7544,1819.7642,3955.1018582515912,True,775.3473,1.0,,11.0,1,2127418600.0,4999.5186,-240.6432,[-0.282  1.861 -4.387 -2.544],66930647000.0,4246,1488618,-1.0,,1.0,396.3636363636364,4863.245886802673,3955.1016,386,0.41894197,-240.6432,642.13904,-20406362.0,1936.7888,1.0,1.0,,552.09827,10.0,16055173.0,0.36185563,-1127799500000.0
11.0,598656400.0,11,10.0,3559.6335,1440.0374,4650.51331047627,True,1090.8798,1.0,,11.0,1,1.4921949e+16,4999.671,-227.05981,[-0.251  1.794 -4.383 -2.644],2.007082e+37,4257,1493740,-1.0,,1.0,465.6363636363636,4881.411283493042,4650.5137,387,0.41894197,-227.05981,515.10394,-26244076.0,6238946300.0,1.0,1.0,,1786291500.0,10.0,21892608.0,0.17147185,-1.9494337e+25
11.0,131.65622,11,10.0,2669.782,2329.8928,3622.4260609997223,True,952.64417,1.0,,11.0,1,1676223400.0,4999.675,-220.51495,[-0.339  1.781 -4.399 -2.73 ],4264068900.0,4268,1497734,-1.0,,1.0,363.09090909090907,4895.4470274448395,3622.426,388,0.41894197,-220.51495,737.5303,-18017374.0,601.30896,1.0,1.0,,204.8155,10.0,13665922.0,0.6354253,-285820320000.0
11.0,153.13083,11,10.0,2369.7905,2409.7866,3492.4353082275948,True,1122.6448,1.0,,11.0,1,2797442800.0,4779.577,-214.96228,[-0.39   1.759 -4.414 -2.755],21388610000.0,4279,1501587,-1.0,,1.0,350.27272727272725,4908.612485170364,3492.4353,389,0.41894197,-214.96228,694.54144,-16656254.0,875.7008,1.0,1.0,,254.90817,10.0,12679493.0,0.22064506,-584382550000.0
11.0,16631.004,11,10.0,2079.8167,2269.7937,3254.2876934399214,True,1174.471,1.0,,11.0,1,167565260000.0,4349.6104,-175.83482,[-0.45   1.747 -4.411 -2.766],4.3873964e+24,4290,1505178,-1.0,,1.0,326.45454545454544,4921.504112958908,3254.2876,390,0.41894197,-175.83482,577.8189,-14217709.0,130789.125,1.0,1.0,,37374.555,10.0,10924262.0,1.2591901,-6.8983805e+18
11.0,149.39046,11,10.0,2659.7837,1749.8716,3406.9885088259807,True,747.2047,1.0,,11.0,1,1774379100.0,4409.6553,-196.09868,[-0.347  1.713 -4.406 -2.827],332313100000.0,4301,1508937,-1.0,,1.0,341.72727272727275,4934.931462049484,3406.9885,391,0.41894197,-196.09868,448.04498,-15193325.0,599.861,1.0,1.0,,189.04335,10.0,11808315.0,0.03598086,-1953083300000.0
11.0,15826964.0,11,10.0,2299.7642,2699.893,3643.3525434939525,True,1343.5884,1.0,,11.0,1,88053250000000.0,4999.657,-237.94376,[-0.408  1.706 -4.404 -2.817],9.678843e+34,4312,1512952,-1.0,,1.0,365.0,4949.200163602829,3643.3525,392,0.41894197,-237.94376,1095.0391,-18824552.0,144230930.0,1.0,1.0,,41409040.0,10.0,14473130.0,0.18119882,-1.3537398e+24
11.0,634.5568,11,10.0,2899.795,2099.9087,3755.167585393674,True,855.3727,1.0,,11.0,1,7944264000.0,4999.7036,-230.81094,[-0.308  1.758 -4.402 -2.762],8178321000000.0,4323,1517092,-1.0,,1.0,376.3636363636364,4963.227361440659,3755.1677,393,0.41894197,-230.81094,684.46106,-18921280.0,5747.7007,1.0,1.0,,1634.3119,10.0,14569771.0,0.060240056,-12452049000000.0
11.0,88.65111,11,10.0,2229.8003,2769.9092,3851.5107415379503,True,1621.7104,1.0,,11.0,1,1102818400.0,4999.7095,-215.95999,[-0.37   1.753 -4.408 -2.762],3837468600000.0,4334,1521337,-1.0,,1.0,385.90909090909093,4977.512008190155,3851.511,394,0.41894197,-215.95999,942.7681,-20074472.0,341.16525,1.0,1.0,,118.833275,10.0,15722946.0,0.18244173,-8525328700000.0
11.0,37561.58,11,10.0,,4999.622,3690.6142152706143,True,3690.6143,1.0,,11.0,1,513422950000.0,4999.622,-245.82579,[-0.312  1.691 -4.4   -2.853],1.4602882e+22,4345,1525404,-1.0,,1.0,369.72727272727275,4990.862638473511,3690.6143,395,0.41894197,-245.82579,1434.9908,-20031194.0,254903.16,1.0,1.0,,79090.51,10.0,15679833.0,0.044788472,-5.2582e+17
11.0,145.87991,11,10.0,3619.7036,1379.9653,4423.301227834423,True,803.59766,1.0,,11.0,1,2547265300.0,4999.669,-222.27628,[-0.227  1.652 -4.395 -2.936],7461241300.0,4356,1530278,-1.0,,1.0,443.09090909090907,5007.598554134369,4423.3013,396,0.41894197,-222.27628,491.59262,-24158710.0,494.578,1.0,1.0,,203.15791,10.0,19807258.0,0.65142775,-378411580000.0
11.0,495.75586,11,10.0,3979.6587,1020.02686,4895.978303853829,True,916.3196,1.0,,11.0,1,12148992000.0,4999.6855,-233.70267,[-0.183  1.668 -4.395 -2.895],4.4501754e+16,4367,1535666,-1.0,,1.0,489.8181818181818,5025.27365732193,4895.978,397,0.41894197,-233.70267,291.7918,-28407242.0,5095.9116,1.0,1.0,,1457.0186,10.0,24055746.0,0.048093565,-917957800000000.0
11.0,115.390305,11,10.0,,4999.6367,4545.070478269105,True,4545.0703,1.0,,11.0,1,2882023000.0,4999.6367,-241.63991,[-0.132  1.699 -4.395 -2.875],1.17504086e+21,4378,1540667,-1.0,,1.0,454.6363636363636,5042.813145399094,4545.0703,398,0.41894197,-241.63991,1437.2775,-27074830.0,809.89075,1.0,1.0,,229.14058,10.0,22723432.0,0.86337024,-1.4915796e+17
11.0,505113400.0,11,10.0,3349.6606,1650.0151,4560.527168429907,True,1210.8666,1.0,,11.0,1,8497378000000000.0,4999.676,-236.85187,[-0.185  1.672 -4.383 -2.985],3.304328e+34,4389,1545688,-1.0,,1.0,456.45454545454544,5059.838894844055,4560.527,399,0.41894197,-236.85187,605.9633,-25517064.0,5545648000.0,1.0,1.0,,1593959800.0,10.0,21165600.0,0.060435243,-7.909851e+23
11.0,96.69285,11,10.0,2959.6465,2040.0605,4425.109571152,True,1465.463,1.0,,11.0,1,1554907900.0,4999.707,-240.40346,[-0.249  1.574 -4.381 -3.03 ],253011300000000.0,4400,1550562,-1.0,,1.0,443.09090909090907,5076.731488466263,4425.1094,400,0.41894197,-240.40346,762.0622,-24513862.0,498.04645,1.0,1.0,,182.98375,10.0,20162334.0,0.3638266,-69216854000000.0
11.0,161666.66,11,10.0,3189.7166,1809.929,4607.805899579084,True,1418.0894,1.0,,11.0,1,1921864600000.0,4999.6455,-229.30226,[-0.188  1.577 -4.383 -3.044],3.7413697e+22,4411,1555635,-1.0,,1.0,461.1818181818182,5095.466170310974,4607.806,401,0.41894197,-229.30226,621.3999,-25969428.0,894900.44,1.0,1.0,,337416.06,10.0,21618014.0,1.2882644,-8.416621e+17
11.0,188.24376,11,10.0,4119.678,879.9575,4919.595587422631,True,799.9174,1.0,,11.0,1,3257802000.0,4999.6357,-233.85863,[-0.127  1.549 -4.375 -3.149],4265999400000000.0,4422,1561048,-1.0,,1.0,492.09090909090907,5114.166696548462,4919.5957,402,0.41894197,-233.85863,252.95612,-28617814.0,1984.3528,1.0,1.0,,568.23157,10.0,24266408.0,0.34415936,-284207200000000.0
11.0,100227.85,11,10.0,4999.488,0.17822266,4999.571755122285,True,0.083939984,1.0,,11.0,1,2505244000000.0,4999.666,-238.85625,[-0.078  1.584 -4.377 -3.13 ],7.378447e+24,4433,1566548,-1.0,,1.0,500.0,5131.934590339661,4999.5723,403,0.41894197,-238.85625,0.052645523,-29347180.0,1102460.9,1.0,1.0,,316933.9,10.0,24995718.0,0.36035687,-1.181973e+19
