DivergenceHarmonic,VarianceInitializer,Inner Iteration,Weights,StdWReturnMean,InitialReturnMean,EmpiricalD2Arithmetic,MinBehavPdf,Epsilon,StdIW,InitialBound,ESSRenyiHarmonic,MaxIW,ESSRenyiArithmetic,ReturnMeanIW,EpThisIter,TimestepsSoFar,OptimizationReturnMean,EpisodesSoFar,InitialReturnMax,OptimizationReturnMax,MeanD2-0,MinTargetPdf,EpLenMean,ReturnStepMaxmin,MeanIW,InitialReturnMin,WReturnMean,EmpiricalD2Harmonic,MeanEntropy,Bound,InitialReturnStd,OptimizationReturnMin,MinIW,EpRewMean,Iteration,LearnableVariance,TimeElapsed,Penalization,ReturnStepMax
33512044000000.0,-1.0,1,[ 0.061  0.343 -1.887 -1.564],,2382.9104,1.0,-217.78503,1.0,3.0443752,-13977153.0,11.0,11.108209,11.0,38290692.0,11,55510,2033.122,572,4998.998,4649.2095,1.0,-217.78503,239.0909090909091,10.0,3.7908838,349.78845,9626902.0,1.0,0.41894197,-25183153000000.0,1987.1183,,0.020432573,2382.910549721076,52,,94.40424370765686,True,10.0
2.8536245e+35,-1.0,1,[-2.747e-04  3.338e-01 -1.892e+00 -1.571e+00],,4590.4907,1.0,-253.95761,1.0,565486.0,-26178746.0,11.0,1989972.9,11.0,5341767500000.0,11,60563,2021.5841,583,4999.043,2430.1365,1.0,-253.95761,459.3636363636364,10.0,213878.6,2568.9065,21828368.0,1.0,0.41894197,-2.3238878e+24,869.34564,,9.676636,4590.490765802459,53,,102.01018953323364,True,10.0
4.2190782e+16,-1.0,1,[-0.02   0.236 -1.888 -1.647],,1825.1222,1.0,-176.61182,1.0,147.85622,-7681709.0,11.0,512.2904,11.0,615745300.0,11,62582,1455.3997,594,4029.5657,3659.8433,1.0,-176.61182,183.54545454545453,10.0,71.492485,369.72247,4855116.5,1.0,0.41894197,-580588900000000.0,1234.5222,,0.107232325,1825.1220936933853,54,,105.3365170955658,True,10.0
2058583700000.0,-1.0,1,[-0.077  0.264 -1.891 -1.643],,1294.3188,1.0,-119.40451,1.0,41.54716,-2949253.8,11.0,144.97296,11.0,38867300.0,11,64017,744.4735,605,2379.4656,1829.6201,1.0,-119.40451,130.45454545454547,10.0,37.76749,549.8454,1963644.5,1.0,0.41894197,-1414158500000.0,537.013,,0.35059944,1294.31888164329,55,,107.68376970291138,True,10.0
2942450200000000.0,-1.0,1,[-0.024  0.295 -1.891 -1.631],,3183.982,1.0,-222.56331,1.0,1748.5637,-16247628.0,11.0,6101.4277,11.0,4962699000.0,11,67528,2824.3271,616,4999.4126,4639.758,1.0,-222.56331,319.1818181818182,10.0,572.59467,359.65488,11896638.0,1.0,0.41894197,-236017750000000.0,1326.2341,,0.2531716,3183.981946734828,56,,113.86708807945251,True,10.0
3.7940083e+25,-1.0,1,[ 0.017  0.257 -1.899 -1.657],,3966.3596,1.0,-227.14491,1.0,119.221375,-23476546.0,11.0,355.44928,11.0,2747034000.0,11,71895,3946.4014,627,4999.4546,4979.496,1.0,-227.14491,397.0,10.0,113.8602,19.95837,19125464.0,1.0,0.41894197,-2.6800163e+19,1842.1333,,1.1460673,3966.3597805864224,57,,122.60459208488464,True,10.0
1.5109095e+28,-1.0,1,[-0.039  0.282 -1.906 -1.646],,2799.3806,1.0,-223.16612,1.0,524.103,-13746829.0,11.0,1626.6648,11.0,1404437400.0,11,74985,1919.6954,638,4998.8765,4119.1914,1.0,-223.16612,280.90909090909093,9.999998,329.2821,879.68524,9396781.0,1.0,0.41894197,-5.3469616e+20,1249.0989,,0.013154469,2799.3807399485518,58,,129.06672596931458,True,9.999998
1.6851888e+28,-1.0,1,[ 0.016  0.311 -1.905 -1.637],,4563.458,1.0,-220.60948,1.0,154.0839,-26397788.0,11.0,555.10254,11.0,1975925900.0,11,80008,3383.9712,649,4999.125,3819.6382,1.0,-220.60948,456.6363636363636,10.0,83.011986,1179.4867,22047264.0,1.0,0.41894197,-5.6474875e+20,1105.493,,0.96092784,4563.457981922006,59,,139.2337441444397,True,10.0
1.4625278e+30,-1.0,1,[-0.044  0.302 -1.908 -1.621],,2359.5142,1.0,-162.00694,1.0,170016.27,-9943061.0,11.0,480488.06,11.0,546147630000.0,11,82615,1269.7603,660,4339.399,3249.645,1.0,-162.00694,237.0,9.999999,93590.72,1089.754,6665073.0,1.0,0.41894197,-3.9641883e+21,1047.7426,,0.06954143,2359.514360298253,60,,144.98349118232727,True,9.999999
133069190000.0,-1.0,1,[ 0.027  0.355 -1.897 -1.533],,3722.7126,1.0,-225.12685,1.0,596.54584,-20269614.0,11.0,2079.2031,11.0,2555915000.0,11,86717,2993.2046,671,4999.1104,4269.602,1.0,-225.12685,372.90909090909093,10.0,192.77798,729.5082,15919136.0,1.0,0.41894197,-1589520600000.0,1435.4597,,0.44596016,3722.712840891611,61,,155.08338403701782,True,10.0
