VarRet,AvgEpLen,VarNormIw,AvgNormIw,ESSClassic,BatchSize,AvgDiscRet,VarJ,MaxNormIw,MaxVanillaIw,AvgRet,VarDiscRet,VanillaAvgRet,ESSRenyi,MinNormIw,MinVanillaIw,J,Delta,eRenyi2,VarVanillaIw,IterType,Bound,EpsThisIter,AvgVanillaIw
1227.22953991,56.86,0.000162932,0.002,12.0043266753,500,-17.5398041866,0.0987361,0.0833183,182478.0,-17.5398041866,1227.22953991,-17.5398041866,461.43866897,6.76091e-08,0.148073,96.8313,0.3,1.08357,7.81533e+08,1,89.9446,100,4380.26
2059.79701815,48.34,3.50449e-18,0.01,100.0,500,7.06014636941,45.1575,0.01,1.0,7.06014636941,2059.79701815,7.06014636941,500.0,0.01,1.0,7.06015,0.3,1.0,,2,-5.17958,100,1.0
316.245702062,44.3,2.1793e-19,0.005,200.000000102,500,-6.1433037611,34.9245,0.005,1.0,-6.1433037611,316.245702062,-6.1433037611,500.0,0.005,1.0,0.458421,0.3,1.0,,2,-8.19637,100,1.0
304.249958538,50.96,5.43914e-20,0.00333333,299.999969474,500,5.07998805202,30.3034,0.00333333,1.0,5.07998805202,304.249958538,5.07998805202,500.0,0.00333333,1.0,1.99894,0.3,1.0,,2,-5.06766,100,1.0
3239.97532691,54.1,5.4346e-20,0.0025,400.0,500,22.6621203281,39.6317,0.0025,1.0,22.6621203281,3239.97532691,22.6621203281,500.0,0.0025,1.0,7.16474,0.3,1.0,,2,-3.53596,100,1.0
103.25360438,38.8,0.000162869,0.002,12.0088572134,500,11.9613180357,0.315526,0.0833026,83236.9,11.9613180357,103.25360438,11.9613180357,467.81709655,3.53018e-07,0.35274,140.057,0.3,1.06879,1.62613e+08,1,130.162,100,1998.42
1250.09827514,52.76,3.50449e-18,0.01,100.0,500,-3.69076712452,35.1795,0.01,1.0,-3.69076712452,1250.09827514,-3.69076712452,500.0,0.01,1.0,-3.69077,0.3,1.0,,2,-13.34,100,1.0
748.063278967,52.88,2.1793e-19,0.005,200.000000102,500,3.78174316458,31.671,0.005,1.0,3.78174316458,748.063278967,3.78174316458,500.0,0.005,1.0,0.0454876,0.3,1.0,,2,-7.50363,100,1.0
366.2671214,45.02,5.43914e-20,0.00333333,299.999969474,500,-1.76144492232,28.1122,0.00333333,1.0,-1.76144492232,366.2671214,-1.76144492232,500.0,0.00333333,1.0,-0.556823,0.3,1.0,,2,-6.72065,100,1.0
292.142573163,35.8,5.4346e-20,0.0025,400.0,500,7.39240252637,26.0168,0.0025,1.0,7.39240252637,292.142573163,7.39240252637,500.0,0.0025,1.0,1.43048,0.3,1.0,,2,-3.90755,100,1.0
2693.97837907,70.66,0.000196167,0.002,10.0112661319,500,-14.8016958531,0.246831,0.0999437,70023.6,-14.8016958531,2693.97837907,-14.8016958531,466.854715859,1.10208e-07,0.0772149,69.8567,0.3,1.071,9.62952e+07,1,62.0779,100,1401.26
360.551350943,37.16,3.50449e-18,0.01,100.0,500,-4.70743601065,18.893,0.01,1.0,-4.70743601065,360.551350943,-4.70743601065,500.0,0.01,1.0,-4.70744,0.3,1.0,,2,-9.72176,100,1.0
1835.21759308,52.34,2.1793e-19,0.005,200.000000102,500,21.224104104,35.4262,0.005,1.0,21.224104104,1835.21759308,21.224104104,500.0,0.005,1.0,8.25834,0.3,1.0,,2,-3.94622,100,1.0
336.849567899,34.68,5.43914e-20,0.00333333,299.999969474,500,-6.44319948291,31.5574,0.00333333,1.0,-6.44319948291,336.849567899,-6.44319948291,500.0,0.00333333,1.0,3.35782,0.3,1.0,,2,-6.60715,100,1.0
185.05110468,29.26,5.4346e-20,0.0025,400.0,500,3.10854373542,28.1552,0.0025,1.0,3.10854373542,185.05110468,3.10854373542,500.0,0.0025,1.0,3.2955,0.3,1.0,,2,-5.33442,100,1.0
1381.21997814,40.02,0.000162872,0.002,12.0086570953,500,12.2470951282,0.252884,0.0833033,82145.2,12.2470951282,1381.21997814,12.2470951282,468.335908957,3.97961e-07,0.392428,112.954,0.3,1.06761,1.58375e+08,1,104.978,100,1972.2
330.134383887,35.42,3.50449e-18,0.01,100.0,500,-8.8798813184,18.0785,0.01,1.0,-8.8798813184,330.134383887,-8.8798813184,500.0,0.01,1.0,-8.87988,0.3,1.0,,2,-16.0879,100,1.0
3291.03518323,49.36,2.1793e-19,0.005,200.000000102,500,-10.613350158,42.3465,0.005,1.0,-10.613350158,3291.03518323,-10.613350158,500.0,0.005,1.0,-9.74662,0.3,1.0,,2,-27.6352,100,1.0
3291.9290369,94.26,5.43914e-20,0.00333333,299.999969474,500,22.9388420967,50.192,0.00333333,1.0,22.9388420967,3291.9290369,22.9388420967,500.0,0.00333333,1.0,1.14854,0.3,1.0,,2,-13.4574,100,1.0
355.081767895,35.26,5.4346e-20,0.0025,400.0,500,1.24814512195,44.4669,0.0025,1.0,1.24814512195,355.081767895,1.24814512195,500.0,0.0025,1.0,1.17344,0.3,1.0,,2,-11.4757,100,1.0
467.450184298,42.78,0.000162842,0.002,12.010865889,500,-17.269377028,0.467671,0.0832956,72215.8,-17.269377028,467.450184298,-17.269377028,470.654718095,2.1852e-07,0.189453,158.139,0.3,1.06235,1.22401e+08,1,146.478,100,1733.96
