MeanIWNorm,MeanEntropy,ReturnMeanIW,InitialReturnMin,InitialBound,EpLenMean,StdIWNorm,EpThisIter,StdIW,EpRewMean,ReturnStepMaxmin,EmpiricalD2,Iteration,Bound,J_sample_variance,EpisodesSoFar,MaxIW,ReturnStepMax,TimestepsSoFar,ESSClassic,InitialReturnMax,MaxIWNorm,TimeElapsed,InitialReturnMean,MinIWNorm,InitialReturnStd,Weights,MinIW,MeanIW,ESSRenyi
3.6598873,2.7009795,9592.013,-34.9422,17.922935,387.23,36.399975,100,3639.9973,7.462165689381891,65.94712,3444069.5,41,8338.001,9193412000.0,4100,36583.508,100.0,663279,1.0008401,67.233116,365.83508,1794.5673019886017,18.598656,7.649757e-09,18.887503,[ 0.193  0.132  0.079 ... -0.296 -0.042 -0.088],7.6497577e-07,365.9887,2.9035418e-05
0.89196295,2.6846054,2982.9119,-20.779387,21.1226,410.23,8.835399,100,883.53973,-13.491012036383163,64.70484,143313.75,42,2712.3955,880869900.0,4200,8880.294,100.0,704302,1.0088757,71.099625,88.80294,1894.413361787796,21.837181,7.22476e-10,18.51176,[ 0.196  0.133  0.08  ... -0.297 -0.008 -0.129],7.22476e-08,89.1963,0.00069776975
7.672497,2.7185621,31887.73,-16.111181,25.207777,390.69,76.302124,100,7630.2124,1.4921698713094307,66.518936,15625587.0,43,28906.588,101628264000.0,4300,76686.9,100.0,743371,1.0009925,75.03818,766.86896,1984.6100988388062,25.961939,7.296749e-09,19.383663,[ 0.195  0.133  0.08  ... -0.3   -0.008 -0.145],7.296749e-07,767.2495,6.3997595e-06
4.139369,2.7101731,22727.758,-25.603895,20.956244,386.53,41.15172,100,4115.172,-41.25382041182831,64.40921,5221782.5,44,21178.197,51634310000.0,4400,41359.38,100.0,782024,1.0016605,67.47097,413.59378,2069.2732677459717,21.634354,9.838557e-08,19.749828,[ 0.195  0.132  0.079 ... -0.3    0.032 -0.152],9.838557e-06,413.93704,1.9150548e-05
4.838844,2.6837738,22383.668,-11.900007,22.347057,422.91,48.0798,100,4807.9805,-25.14648349386325,72.150635,26990214.0,45,18959.81,49992884000.0,4500,48322.664,100.0,824315,1.0027233,65.57376,483.22662,2177.897134065628,23.006094,1.2394881e-10,17.11172,[ 0.196  0.132  0.08  ... -0.304  0.071 -0.198],1.2394882e-08,483.88437,3.7050465e-06
20.15213,2.6289093,68849.414,-5.854683,24.232313,364.26,200.48515,100,20048.516,-11.005645465281859,64.18584,1718843000.0,46,39333.273,473943800000.0,4600,201495.42,100.0,860741,1.0002568,70.836815,2014.9542,2255.3267092704773,24.94425,2.5657063e-10,15.145715,[ 0.196  0.131  0.081 ... -0.303  0.065 -0.219],2.5657062e-08,2015.2128,5.817867e-08
0.17467254,2.6301284,1075.0284,-11.645611,26.751984,392.26,1.6377362,100,163.77362,-8.67804667952549,65.2458,46651.945,47,934.8738,109842470.0,4700,1646.3427,100.0,899967,1.1247318,64.56397,16.463427,2351.363062620163,27.400873,8.1731606e-08,17.062067,[ 0.196  0.132  0.08  ... -0.307  0.034 -0.243],8.1731605e-06,17.467253,0.0021435334
8.08319,2.5947766,43295.812,-6.083076,25.801836,432.09,80.312935,100,8031.2925,-7.017831411247553,69.50194,159750000.0,48,33893.38,187060700000.0,4800,80718.664,100.0,943176,1.0028073,74.01802,807.18665,2449.149126768112,26.545748,4.0083734e-10,16.222555,[ 0.196  0.132  0.08  ... -0.307  0.057 -0.265],4.0083734e-08,808.319,6.259781e-07
2.2391787,2.6281724,6352.9517,-7.34299,30.771679,418.16,22.179228,100,2217.9229,18.93189684835542,40.08704,5203244.5,49,4628.9043,3995321900.0,4900,22291.932,100.0,984992,1.0089748,75.20205,222.91931,2545.037143945694,31.527489,1.6637395e-09,16.830883,[ 0.194  0.133  0.079 ... -0.309  0.057 -0.3  ],1.6637395e-07,223.91783,1.9218778e-05
9.291796,2.7079647,57381.637,0.6407451,35.011604,458.91,92.38756,100,9238.756,31.507697907989037,72.11009,7686356.0,50,55368.42,328963900000.0,5000,92853.64,100.0,1030883,1.0013857,72.251595,928.5364,2667.6691558361053,35.73776,2.0584077e-09,14.349579,[ 0.193  0.133  0.079 ... -0.316  0.061 -0.27 ],2.0584076e-07,929.1796,1.3010066e-05
27.316738,2.6670575,167524.98,-3.958334,34.49973,445.72,271.7605,100,27176.053,33.822870372299064,71.81571,10617157000.0,51,88687.81,2806013500000.0,5100,273129.97,100.0,1075455,1.0002741,76.12802,2731.2996,2776.891403913498,35.264843,1.7537348e-11,15.31303,[ 0.192  0.133  0.079 ... -0.321  0.105 -0.235],1.7537349e-09,2731.674,9.418717e-09
21.02976,2.6493444,75345.87,0.977458,38.503544,450.72,209.23079,100,20923.08,55.10992336990842,71.35577,63179684.0,52,69522.74,567598060000.0,5200,210284.97,100.0,1120527,1.0001205,72.892876,2102.8496,2880.9480278491974,39.23615,1.9497272e-11,16.39012,[ 0.19   0.135  0.078 ... -0.318  0.11  -0.281],1.9497273e-09,2102.9763,1.5827873e-06
0.07443363,2.6940868,233.96863,-4.537274,33.655212,476.86,0.5188578,100,51.885784,62.609234741695964,71.031494,3424.461,53,192.85382,3216384.2,5300,492.46027,100.0,1168213,2.0164826,69.90686,4.9246025,2992.8263216018677,34.357803,2.9390353e-07,16.084564,[ 0.188  0.136  0.078 ... -0.321  0.096 -0.285],2.9390354e-05,7.4433618,0.029201677
13.281432,2.7853315,40138.11,-6.811532,32.936417,482.02,132.0871,100,13208.707,57.08808459094055,72.668365,340536600.0,54,24788.855,160910300000.0,5400,132753.12,100.0,1216415,1.0009217,82.760475,1327.5312,3124.399966478348,33.768192,1.4150143e-09,15.381238,[ 0.188  0.136  0.078 ... -0.323  0.133 -0.277],1.4150143e-07,1328.1431,2.9365418e-07
