ReturnStepMaxmin,InitialReturnMean,EpLenMean,Bound,EpisodesSoFar,ReturnMeanIW,EmpiricalD2,Iteration,EpRewMean,MinIW,InitialReturnMax,ReturnStepMax,TimestepsSoFar,MeanEntropy,EpThisIter,Weights,ESSClassic,InitialBound,TimeElapsed,InitialReturnStd,ESSRenyi,MaxIW,RewardCompression,MeanIW,InitialReturnMin,StdIW
100.0,-100.0,89.24,-10.679683685302734,4800,-3.2549726963043213,4.961369514465332,48,-100.0,0.032549729527772,-100.0,100.0,426945,3.0466649532318115,100,[ 0.157 -0.224  0.049 ...  0.073  0.067  0.148],1.0,-103.333336,1527.1411435604095,,20.155725479125977,0.032549729527772,0.99,0.032549729527772,-100.0,
,-98.0,94.05,-53.33333206176758,4900,-50.0,1.0,49,-98.0,1.0,,100.0,436350,3.0466649532318115,100,[ 0.156 -0.225  0.049 ...  0.079  0.082  0.126],1.0,-53.333332,1578.495433330536,14.0,100.0,1.0,0.98,1.0,-100.0,
,-99.0,90.82,-8.424373626708984,5000,-2.382214307785034,3.285691261291504,50,-99.0,0.04764428906834241,,100.0,445432,3.06831693649292,100,[ 0.156 -0.225  0.049 ...  0.079  0.082  0.126],1.0,-53.333332,1593.4308989048004,9.949873924255371,30.434995651245117,0.5623289438376753,0.98,0.30498661645300884,-100.0,0.25734232738466645
,-99.0,95.77,-53.33333206176758,5100,-50.0,1.0,51,-99.0,1.0,,100.0,455009,3.06831693649292,100,[ 0.156 -0.225  0.049 ...  0.08   0.1    0.13 ],1.0,-53.333332,1642.9671375751495,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
,-98.0,95.44,-53.33333206176758,5200,-50.0,1.0,52,-98.0,1.0,,100.0,464553,3.06831693649292,100,[ 0.156 -0.225  0.049 ...  0.08   0.1    0.13 ],1.0,-53.333332,1664.9181191921234,14.0,100.0,1.0,0.98,1.0,-100.0,
100.0,-100.0,94.05,-103.33333587646484,5300,-100.0,1.0,53,-100.0,1.0,-100.0,100.0,473958,3.06831693649292,100,[ 0.156 -0.225  0.049 ...  0.08   0.1    0.13 ],1.0,-103.333336,1690.527325630188,,100.0,1.0,0.99,1.0,-100.0,
100.0,-100.0,93.51,-8.268730163574219,5400,-2.754099130630493,2.737003803253174,54,-100.0,0.02754099178875803,-100.0,100.0,483309,3.074216365814209,100,[ 0.156 -0.225  0.049 ...  0.08   0.1    0.13 ],1.0,-103.333336,1709.0782477855682,,36.53630447387695,0.02754099178875803,0.99,0.02754099178875803,-100.0,
,-96.0,91.01,-53.33333206176758,5500,-50.0,1.0,55,-96.0,1.0,,100.0,492410,3.074216365814209,100,[ 0.157 -0.224  0.049 ...  0.076  0.105  0.132],1.0,-53.333332,1765.0341353416443,19.595918655395508,100.0,1.0,0.98,1.0,-100.0,
,-96.0,89.02,-53.33333206176758,5600,-50.0,1.0,56,-96.0,1.0,,100.0,501312,3.074216365814209,100,[ 0.157 -0.224  0.049 ...  0.076  0.105  0.132],1.0,-53.333332,1781.1245379447937,19.595918655395508,100.0,1.0,0.98,1.0,-100.0,
,-99.0,94.23,-53.33333206176758,5700,-50.0,1.0,57,-99.0,1.0,,100.0,510735,3.074216365814209,100,[ 0.157 -0.224  0.049 ...  0.076  0.105  0.132],1.0,-53.333332,1812.891003370285,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
,-99.0,92.62,-7.537591457366943,5800,-1.9208321571350098,2.8393185138702393,58,-99.0,0.038416643686286854,,100.0,519997,3.0857696533203125,100,[ 0.157 -0.224  0.049 ...  0.076  0.105  0.132],1.0,-53.333332,1835.4993538856506,9.949873924255371,35.21971893310547,0.4840408653338188,0.98,0.26122875451005284,-100.0,0.22281211082376595
,-99.0,88.98,-53.33333206176758,5900,-50.0,1.0,59,-99.0,1.0,,100.0,528895,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-53.333332,1893.7520637512207,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
,-97.0,94.68,-53.33333206176758,6000,-50.0,1.0,60,-97.0,1.0,,100.0,538363,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-53.333332,1916.3272643089294,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
,-96.0,95.12,-53.33333206176758,6100,-50.0,1.0,61,-96.0,1.0,,100.0,547875,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-53.333332,1936.0122418403625,19.595918655395508,100.0,1.0,0.98,1.0,-100.0,
,-98.0,93.39,-53.33333206176758,6200,-50.0,1.0,62,-98.0,1.0,,100.0,557214,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-53.333332,1953.1510605812073,14.0,100.0,1.0,0.98,1.0,-100.0,
,-97.0,90.18,-53.33333206176758,6300,-50.0,1.0,63,-97.0,1.0,,100.0,566232,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-53.333332,1975.3549046516418,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
,-96.0,94.73,-53.33333206176758,6400,-50.0,1.0,64,-96.0,1.0,,100.0,575705,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-53.333332,2001.0302114486694,19.595918655395508,100.0,1.0,0.98,1.0,-100.0,
,-99.0,91.86,-53.33333206176758,6500,-50.0,1.0,65,-99.0,1.0,,100.0,584891,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-53.333332,2025.2531325817108,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
,-98.0,93.53,-53.33333206176758,6600,-50.0,1.0,66,-98.0,1.0,,100.0,594244,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-53.333332,2048.311440229416,14.0,100.0,1.0,0.98,1.0,-100.0,
,-92.0,93.04,-53.33333206176758,6700,-50.0,1.0,67,-92.0,1.0,,100.0,603548,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-53.333332,2066.6608357429504,27.12932014465332,100.0,1.0,0.98,1.0,-100.0,
,-96.0,92.97,-53.33333206176758,6800,-50.0,1.0,68,-96.0,1.0,,100.0,612845,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-53.333332,2086.955105304718,19.595918655395508,100.0,1.0,0.98,1.0,-100.0,
,-98.0,89.74,-53.33333206176758,6900,-50.0,1.0,69,-98.0,1.0,,100.0,621819,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-53.333332,2107.803323030472,14.0,100.0,1.0,0.98,1.0,-100.0,
,-99.0,94.47,-53.33333206176758,7000,-50.0,1.0,70,-99.0,1.0,,100.0,631266,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-53.333332,2130.2255272865295,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
,-99.0,92.48,-53.33333206176758,7100,-50.0,1.0,71,-99.0,1.0,,100.0,640514,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-53.333332,2160.019282102585,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
,-95.0,93.45,-53.33333206176758,7200,-50.0,1.0,72,-95.0,1.0,,100.0,649859,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-53.333332,2182.9313225746155,21.79449462890625,100.0,1.0,0.98,1.0,-100.0,
100.0,-100.0,91.09,-103.33333587646484,7300,-100.0,1.0,73,-100.0,1.0,-100.0,100.0,658968,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-103.333336,2202.5227649211884,,100.0,1.0,0.99,1.0,-100.0,
,-97.0,92.92,-53.33333206176758,7400,-50.0,1.0,74,-97.0,1.0,,100.0,668260,3.0857696533203125,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-53.333332,2225.0476784706116,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
100.0,-100.0,93.28,-9.196284294128418,7500,-3.1274683475494385,3.3147475719451904,75,-100.0,0.031274684831843994,-100.0,100.0,677588,3.0900018215179443,100,[ 0.157 -0.225  0.049 ...  0.076  0.106  0.141],1.0,-103.333336,2244.317385673523,,30.168209075927734,0.031274684831843994,0.99,0.031274684831843994,-100.0,
,-97.0,92.95,-53.33333206176758,7600,-50.0,1.0,76,-97.0,1.0,,100.0,686883,3.0900018215179443,100,[ 0.157 -0.225  0.049 ...  0.075  0.106  0.147],1.0,-53.333332,2296.7093975543976,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
,-99.0,95.33,-8.753740310668945,7700,-2.5611705780029297,3.451312303543091,77,-99.0,0.05122341171541646,,100.0,696416,3.1033191680908203,100,[ 0.157 -0.225  0.049 ...  0.075  0.106  0.147],1.0,-53.333332,2320.659650325775,9.949873924255371,28.974485397338867,7.500608402651596,0.98,3.7759159071835064,-100.0,3.72469249546809
,-98.0,94.05,-3.3333334922790527,7800,,1.0,78,-98.0,1.0,100.0,100.0,705821,3.1033191680908203,100,[ 0.156 -0.224  0.049 ...  0.074  0.1    0.165],2.0,-3.3333335,2374.964804649353,19.899747848510742,100.0,1.0,0.98,1.0,-100.0,
,-94.0,93.85,-53.33333206176758,7900,-50.0,1.0,79,-94.0,1.0,,100.0,715206,3.1033191680908203,100,[ 0.156 -0.224  0.049 ...  0.074  0.1    0.165],1.0,-53.333332,2401.147093772888,23.74868392944336,100.0,1.0,0.98,1.0,-100.0,
,-97.0,89.79,-53.33333206176758,8000,-50.0,1.0,80,-97.0,1.0,,100.0,724185,3.1033191680908203,100,[ 0.156 -0.224  0.049 ...  0.074  0.1    0.165],1.0,-53.333332,2422.815052986145,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
,-97.0,91.07,-53.33333206176758,8100,-50.0,1.0,81,-97.0,1.0,,100.0,733292,3.1033191680908203,100,[ 0.156 -0.224  0.049 ...  0.074  0.1    0.165],1.0,-53.333332,2441.51118016243,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
100.0,-100.0,92.6,-103.33333587646484,8200,-100.0,1.0,82,-100.0,1.0,-100.0,100.0,742552,3.1033191680908203,100,[ 0.156 -0.224  0.049 ...  0.074  0.1    0.165],1.0,-103.333336,2460.920682668686,,100.0,1.0,0.99,1.0,-100.0,
,-97.0,91.24,-53.33333206176758,8300,-50.0,1.0,83,-97.0,1.0,,100.0,751676,3.1033191680908203,100,[ 0.156 -0.224  0.049 ...  0.074  0.1    0.165],1.0,-53.333332,2481.0315754413605,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
,-99.0,92.71,-53.33333206176758,8400,-50.0,1.0,84,-99.0,1.0,,100.0,760947,3.1033191680908203,100,[ 0.156 -0.224  0.049 ...  0.074  0.1    0.165],1.0,-53.333332,2503.4672396183014,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
,-97.0,90.44,-53.33333206176758,8500,-50.0,1.0,85,-97.0,1.0,,100.0,769991,3.1033191680908203,100,[ 0.156 -0.224  0.049 ...  0.074  0.1    0.165],1.0,-53.333332,2525.3509459495544,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
,-99.0,92.3,-53.33333206176758,8600,-50.0,1.0,86,-99.0,1.0,,100.0,779221,3.1033191680908203,100,[ 0.156 -0.224  0.049 ...  0.074  0.1    0.165],1.0,-53.333332,2550.6751408576965,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
100.0,-100.0,91.46,-103.33333587646484,8700,-100.0,1.0,87,-100.0,1.0,-100.0,100.0,788367,3.1033191680908203,100,[ 0.156 -0.224  0.049 ...  0.074  0.1    0.165],1.0,-103.333336,2573.3393864631653,,100.0,1.0,0.99,1.0,-100.0,
,-99.0,91.79,-53.33333206176758,8800,-50.0,1.0,88,-99.0,1.0,,100.0,797546,3.1033191680908203,100,[ 0.156 -0.224  0.049 ...  0.074  0.1    0.165],1.0,-53.333332,2590.8547701835632,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
