EpLenMean,StdIW,EpisodesSoFar,Iteration,J_sample_variance,MinIW,EpRewMean,MeanIW,InitialReturnMax,ReturnMeanIW,TimeElapsed,ReturnStepMax,MeanEntropy,MaxIW,ReturnStepMaxmin,EpThisIter,MinIWNorm,InitialReturnStd,ESSClassic,Bound,InitialReturnMin,MeanIWNorm,ESSRenyi,Weights,MaxIWNorm,InitialReturnMean,InitialBound,TimestepsSoFar,EmpiricalD2,StdIWNorm
114.64,0.6911941,4000,40,4831.9336,0.0011266674,-98.0,0.34742495,,-33.96606,1347.0190365314484,100.0,2.4324195,4.785307,,100,1.1266673e-05,14.0,20.169338,-44.212013,-100.0,0.0034742497,0.96218807,[-0.157  0.181  0.203 ...  0.108 -0.142 -0.253],0.047853068,-98.0,-99.005035,420415,103.92979,0.0069119404
114.09,0.4882628,4100,41,2404.3022,0.0023947915,-97.0,0.3124982,,-30.335405,1385.8399658203125,100.0,2.4421823,3.0565283,,100,2.3947914e-05,17.058722,29.05921,-41.288933,-100.0,0.0031249821,0.8418927,[-0.157  0.182  0.203 ...  0.111 -0.177 -0.229],0.030565282,-97.0,-98.005035,431824,118.77998,0.004882628
109.0,0.7883033,4200,42,6271.541,0.00066294335,-98.0,0.41557303,,-40.405045,1419.5311334133148,100.0,2.445296,6.120942,,100,6.6294333e-06,14.0,21.747381,-47.877563,-100.0,0.004155731,1.8089665,[-0.156  0.181  0.203 ...  0.107 -0.162 -0.233],0.06120942,-98.0,-99.005035,442724,55.28018,0.007883034
112.36,1.4120646,4300,43,1267.2242,0.0001256498,-96.0,0.338382,,-18.163979,1456.6586427688599,100.0,2.4013038,13.908749,,100,1.2564981e-06,19.595919,5.430697,-33.7632,-100.0,0.00338382,0.4151061,[-0.157  0.181  0.203 ...  0.108 -0.154 -0.239],0.13908748,-96.0,-97.005035,453960,240.90227,0.014120646
113.2,0.49917704,4400,44,1902.4481,0.00046406116,-91.0,0.3115802,,-25.087969,1495.7272498607635,100.0,2.378906,2.5887125,,100,4.6406117e-06,28.618176,28.037386,-36.626556,-100.0,0.0031158023,0.75868183,[-0.157  0.18   0.203 ...  0.105 -0.168 -0.268],0.025887124,-91.0,-92.005035,465280,131.80756,0.0049917703
108.38,0.39894226,4500,45,1583.891,0.00019246663,-90.0,0.2520043,,-22.79166,1531.921327829361,100.0,2.394785,2.4350538,,100,1.9246663e-06,30.0,28.521444,-34.318542,-100.0,0.0025200432,0.76022315,[-0.157  0.179  0.202 ...  0.102 -0.176 -0.283],0.024350537,-90.0,-91.005035,476118,131.54033,0.0039894227
100.76,1.3817817,4600,46,2716.0024,9.7818476e-05,-84.0,0.5187805,100.0,-29.745766,1566.9830796718597,100.0,2.396281,13.027352,,100,9.781847e-07,39.293766,12.3543215,-41.368862,-100.0,0.0051878053,0.7476891,[-0.157  0.179  0.201 ...  0.099 -0.157 -0.286],0.13027352,-84.0,-85.005035,486194,133.74542,0.013817816
103.59,33.46213,4700,47,11365880.0,0.00039122818,-86.0,3.7819116,100.0,296.29953,1600.2511048316956,100.0,2.3496644,336.38885,,100,3.912282e-06,40.04997,1.2612557,271.45465,-100.0,0.037819117,0.1636407,[-0.157  0.179  0.202 ...  0.102 -0.164 -0.278],3.3638885,-86.0,-87.005035,496553,611.095,0.3346213
104.27,0.42353266,4800,48,1493.4391,0.00026415449,-94.0,0.27692008,,-24.377699,1647.4781267642975,100.0,2.4050112,2.0653725,,100,2.6415448e-06,23.748684,29.94741,-35.051003,-100.0,0.0027692008,0.8866801,[-0.156  0.179  0.201 ...  0.1   -0.181 -0.307],0.020653725,-94.0,-95.005035,506980,112.78024,0.004235327
113.59,1.0239234,4900,49,10674.574,0.00077553885,-95.0,0.5270046,,-51.630226,1684.9388864040375,100.0,2.3825607,8.541178,,100,7.755389e-06,21.794495,20.942823,-58.672413,-100.0,0.0052700453,2.036806,[-0.156  0.179  0.202 ...  0.102 -0.18  -0.253],0.08541177,-95.0,-96.005035,518339,49.096474,0.010239232
110.25,0.62104374,5000,50,3904.7874,0.0002486825,-95.0,0.47031108,,-44.60149,1718.1550109386444,100.0,2.3747306,2.790524,,100,2.486825e-06,21.794495,36.447018,-56.32232,-100.0,0.0047031105,0.735272,[-0.156  0.179  0.201 ...  0.1   -0.187 -0.269],0.027905239,-95.0,-96.005035,529364,136.00409,0.006210437
111.0,0.40258282,5100,51,1640.5717,0.000198622,-93.0,0.19284132,,-19.185644,1753.0207877159119,100.0,2.3083167,2.6250677,,100,1.98622e-06,25.514702,18.662874,-30.898903,-100.0,0.0019284132,0.7362229,[-0.156  0.179  0.201 ...  0.098 -0.196 -0.268],0.026250677,-93.0,-94.005035,540464,135.82843,0.004025828
100.61,2.4331024,5200,52,3505.0579,0.00010872187,-91.0,0.602832,,-29.046402,1788.7269823551178,100.0,2.3147159,23.915417,,100,1.0872187e-06,28.618176,5.783601,-41.408546,-100.0,0.0060283206,0.66096294,[-0.156  0.179  0.202 ...  0.102 -0.217 -0.313],0.23915416,-91.0,-92.005035,550525,151.29442,0.024331026
101.88,0.594509,5300,53,1472.2386,0.0019251446,-89.0,0.31201485,100.0,-22.670881,1823.8370115756989,100.0,2.3063643,4.0588026,,100,1.9251445e-05,34.33657,21.595945,-30.831995,-100.0,0.0031201486,1.5165824,[-0.157  0.178  0.201 ...  0.099 -0.204 -0.319],0.040588025,-89.0,-90.005035,560713,65.93773,0.0059450893
101.43,0.45328802,5400,54,2095.477,0.0018110042,-94.0,0.2760568,,-25.928102,1855.1043276786804,100.0,2.2988315,2.9799345,,100,1.8110042e-05,23.748684,27.054838,-34.948563,-100.0,0.002760568,1.241388,[-0.157  0.178  0.201 ...  0.097 -0.207 -0.325],0.029799344,-94.0,-95.005035,570856,80.55499,0.00453288
102.73,0.533633,5500,55,1722.7673,0.00013478997,-91.0,0.34177333,,-25.987345,1885.7015693187714,100.0,2.279366,2.8944597,,100,1.3478997e-06,28.618176,29.087845,-33.814575,-100.0,0.0034177336,1.6487272,[-0.157  0.178  0.201 ...  0.097 -0.239 -0.3  ],0.028944597,-91.0,-92.005035,581129,60.652847,0.00533633
