AvgEpLen,AvgDiscRet,ESSRenyi,MaxNormIw,J,VarDiscRet,EpsThisIter,IterType,AvgVanillaIw,VarJ,AvgNormIw,MinVanillaIw,BatchSize,VarRet,MaxVanillaIw,eRenyi2,MinNormIw,VarVanillaIw,Delta,ESSClassic,AvgRet,VarNormIw,Bound,VanillaAvgRet
200.0,-8.119055961861088,94.6435711571493,0.0126493815,-7.9669065,52.873937280235914,100,1,1.0181459,7.3489757,0.01,0.2509939,100,52.873937280235914,1.2878916,1.0565958,0.0024652057,0.058568858,0.4,94.70281823976059,-8.119055961861088,5.6499775e-06,-10.859491,-8.119055961861088
200.0,-7.058822521146282,92.6969941851991,0.035456132,-6.840609,44.80603337367835,100,1,1.0298921,6.898908,0.01,0.8527414,100,44.80603337367835,3.6515987,1.0787836,0.00827991,0.12892549,0.4,89.25903127040138,-7.058822521146282,1.2155013e-05,-9.804407,-7.058822521146282
200.0,-6.502921281397253,95.58153181433369,0.011475556,-6.347131,34.43587890635864,100,1,1.0371166,5.80924,0.009999999,0.19738144,100,34.43587890635864,1.190149,1.0462272,0.0019031749,0.032216508,0.4,97.12017943743184,-6.502921281397253,2.9951823e-06,-9.106038,-6.502921281397253
200.0,-7.784903068830173,97.64750362717653,0.019797254,-7.7259207,45.86787520569863,100,1,1.000944,6.750048,0.010000002,0.9069606,100,45.86787520569863,1.9815944,1.0240917,0.0090610515,0.021308312,0.4,97.9378559826529,-7.784903068830173,2.1268136e-06,-10.505677,-7.784903068830173
200.0,-8.03227227661551,95.61229721187485,0.011623546,-7.8904715,52.38546456326808,100,1,1.0231571,7.208914,0.01,0.34800294,100,52.38546456326808,1.1892713,1.0458906,0.003401266,0.03379651,0.4,96.90288014540431,-8.03227227661551,3.2283988e-06,-10.753523,-8.03227227661551
200.0,-7.94240993065333,97.80949658111327,0.011115533,-7.891797,44.446886246932294,100,1,1.0162725,6.66195,0.01,0.59488326,100,44.446886246932294,1.1296412,1.0223956,0.00585358,0.017006395,0.4,98.39599495128215,-7.94240993065333,1.6466141e-06,-10.664393,-7.94240993065333
200.0,-6.3211724154079665,70.70521400515838,0.018127661,-5.327574,43.28769403292489,100,1,1.0193863,6.5165706,0.010000002,1.8501736e-05,100,43.28769403292489,1.8479089,1.4143229,1.8149878e-07,0.4417278,0.4,70.38111213895017,-6.3211724154079665,4.2508644e-05,-8.717747,-6.3211724154079665
200.0,-7.167203086944288,98.69690234432863,0.013766038,-7.1251674,49.11546646310446,100,1,0.9907714,6.9708567,0.01,0.92584956,100,49.11546646310446,1.3638997,1.013203,0.009344734,0.008109823,0.4,99.18874408502401,-7.167203086944288,8.2616043e-07,-9.9865,-7.167203086944288
200.0,-7.25578179900096,88.18533557249822,0.014035856,-6.8428836,47.01643160468775,100,1,0.98005205,7.296421,0.01,0.011062864,100,47.01643160468775,1.375587,1.1339754,0.00011288038,0.14213069,0.4,87.22232043006427,-7.25578179900096,1.479754e-05,-9.7616,-7.25578179900096
200.0,-8.151399719736766,92.68660860656756,0.019259078,-7.9396377,45.23137638560927,100,1,0.95409375,6.660628,0.01,0.58139074,100,45.23137638560927,1.8374968,1.0789045,0.0060936436,0.06416721,0.4,93.4766800556119,-8.151399719736766,7.049057e-06,-10.900555,-8.151399719736766
200.0,-6.798002359519547,98.96554990856261,0.011777834,-6.7688417,46.133236570831485,100,1,0.99891776,6.7530394,0.010000002,0.7819552,100,46.133236570831485,1.1765088,1.0104526,0.007828023,0.009128143,0.4,99.10245675096448,-6.798002359519547,9.147933e-07,-9.642147,-6.798002359519547
200.0,-8.19044191365632,97.17051355087541,0.014084988,-8.111411,46.21442563520818,100,1,0.9792177,6.859102,0.01,0.6405217,100,46.21442563520818,1.3792269,1.0291188,0.0065411576,0.028152013,0.4,97.17550249544972,-8.19044191365632,2.9359655e-06,-10.906643,-8.19044191365632
200.0,-8.235263156174483,61.697154825834374,0.021085588,-7.129381,49.989888996420504,100,1,1.028802,7.8516126,0.009999999,3.845659e-11,100,49.989888996420504,2.1692896,1.6208203,3.737997e-13,0.54334897,0.4,66.30340054884522,-8.235263156174483,5.133519e-05,-10.555657,-8.235263156174483
200.0,-7.377139076052096,68.0621534106136,0.023107294,-6.6025176,43.71363323277872,100,1,0.83836466,7.6829896,0.01,0.0003355914,100,43.71363323277872,1.9372338,1.4692453,4.002929e-06,0.4432965,0.4,61.561152146965526,-7.377139076052096,6.307081e-05,-9.896167,-7.377139076052096
200.0,-8.206697572898213,97.18447283561838,0.016092774,-8.132836,47.32068836731371,100,1,1.0237958,6.783131,0.01,0.82580334,100,47.32068836731371,1.6475716,1.028971,0.008066094,0.035791136,0.4,96.73001455271339,-8.206697572898213,3.4146694e-06,-10.894396,-8.206697572898213
200.0,-6.9591244682290885,98.22570720486269,0.021850893,-6.92078,40.87838600703349,100,1,1.0290843,6.3770785,0.01,0.90892094,100,40.87838600703349,2.2486413,1.0180634,0.008832327,0.038986534,0.4,96.4835766504505,-6.9591244682290885,3.681397e-06,-9.736522,-6.9591244682290885
200.0,-7.384461277583083,90.24975249820278,0.012510826,-6.941596,46.82599603671095,100,1,1.0592258,6.9834375,0.010000002,0.12127119,100,46.82599603671095,1.325179,1.1080363,0.0011449041,0.087328956,0.4,92.84553680370894,-7.384461277583083,7.783612e-06,-9.848433,-7.384461277583083
200.0,-8.615863483067649,78.68258801179253,0.030934496,-7.931247,46.76628304793588,100,1,1.0228608,7.9904623,0.01,0.41876584,100,46.76628304793588,3.1641684,1.2709292,0.0040940647,0.25285527,0.4,80.6931786152015,-8.615863483067649,2.41679e-05,-11.115372,-8.615863483067649
