SamplesThisIter,ESSClassic,AvgEpLen,VarJ,VarVanillaIw,AvgVanillaIw,AvgDiscRet,delta,AvgRet,J,VanillaAvgRet,VarNormIw,ESSRenyi,renyi2,MinNormIw,IterType,AvgNormIw,VarRet,VarDiscRet,EpsThisIter,MaxVanillaIw,BatchSize,MinVanillaIw,MaxNormIw,Bound
50000,1.45551001384,58.9622641509,21649.7,1.48517e+07,31.0699,544.607806883,0.8,544.607806883,239890.0,544.607806883,6.60329e-07,nan,nan,,1,6.55136e-06,101934.585081,101934.585081,848,900077.0,100,,0.189789,1371.94
50000,0.983964975655,61.1995104039,42500.5,4.25806e+10,674.899,566.48120679,0.8,566.48120679,277958.0,566.48120679,4.3226e-06,nan,nan,,1,6.79994e-06,137142.847013,137142.847013,817,7.83602e+07,100,,0.789518,1593.82
50000,1.99997769192,75.1879699248,31667.7,5.62824e+08,139.767,695.805230586,0.8,695.805230586,271686.0,695.805230586,2.01084e-06,nan,nan,,1,8.35422e-06,126221.218915,126221.218915,665,5.19114e+06,100,,0.310288,1535.18
50000,1.99999658545,74.294205052,25621.4,3.73185e+19,2.48552e+07,687.841687664,0.8,687.841687664,301644.0,687.841687664,4.11637e-06,nan,nan,,1,8.25491e-06,131529.128168,131529.128168,673,1.50346e+12,100,,0.49933,1648.91
50000,1.0000363558,86.2068965517,37270.1,1.05072e+10,339.591,797.107915378,0.8,797.107915378,328605.0,797.107915378,8.35938e-06,nan,nan,,1,9.57854e-06,171102.742726,171102.742726,580,3.31173e+07,100,,0.93411,1765.87
50000,2.00843818372,85.6164383562,32468.9,6.25227e+08,198.888,791.493582607,0.8,791.493582607,318241.0,791.493582607,1.43038e-06,nan,nan,,1,9.51294e-06,179697.627067,179697.627067,584,4.98534e+06,100,,0.238452,1781.65
50000,2.00000000381,88.4955752212,26332.0,inf,2.00449e+22,817.889578305,0.8,817.889578305,364110.0,817.889578305,4.91637e-06,nan,nan,,1,9.83284e-06,197011.773224,197011.773224,565,1.01928e+27,100,,0.5,1975.26
50000,1.01683138995,83.8926174497,44710.7,6.52375e+08,102.045,775.638898061,0.8,775.638898061,329167.0,775.638898061,5.44353e-06,nan,nan,,1,9.3214e-06,165675.013785,165675.013785,596,8.35365e+06,100,,0.763077,1718.13
50000,2.00000017353,93.2835820896,24563.3,5.43751e+22,1.06169e+09,862.241261711,0.8,862.241261711,339501.0,862.241261711,5.18235e-06,nan,nan,,1,1.03648e-05,214404.377164,214404.377164,536,5.1216e+13,100,,0.499999,1937.92
50000,2.77913944181,92.4214417745,21744.4,2.03301e+09,387.06,853.466144899,0.8,853.466144899,339893.0,853.466144899,1.43101e-06,nan,nan,,1,1.02691e-05,203314.15929,203314.15929,541,9.27152e+06,100,,0.245982,1941.0
50000,1.99864921736,92.936802974,31551.6,inf,1.24681e+20,859.379286382,0.8,859.379286382,396190.0,859.379286382,4.89441e-06,nan,nan,,1,1.03263e-05,217697.395704,217697.395704,538,5.87588e+24,100,,0.486652,2221.46
50000,1.98539066317,88.9679715302,24739.8,1.62913e+08,107.83,822.552873261,0.8,822.552873261,318809.0,822.552873261,1.36917e-06,nan,nan,,1,9.88533e-06,198431.891384,198431.891384,562,2.27198e+06,100,,0.208283,1840.99
50000,1.99745331664,96.8992248062,33808.5,2.10653e+14,72361.9,896.27907944,0.8,896.27907944,384307.0,896.27907944,4.66341e-06,nan,nan,,1,1.07666e-05,251575.509014,251575.509014,516,3.12548e+09,100,,0.465034,2231.17
50000,1.37152316686,92.5925925926,45413.8,3.25279e+07,51.9287,856.493757369,0.8,856.493757369,335164.0,856.493757369,1.27676e-06,nan,nan,,1,1.02881e-05,210967.320536,210967.320536,540,1.03257e+06,100,,0.204572,1865.18
50000,1.99669142802,104.384133612,31905.2,2.60999e+12,8341.96,964.972199262,0.8,964.972199262,365366.0,964.972199262,5.0453e-06,nan,nan,,1,1.15982e-05,229527.923848,229527.923848,479,3.3516e+08,100,,0.46599,1986.67
50000,1.94404415013,107.066381156,33651.0,inf,1.04362e+17,988.818033584,0.8,988.818033584,433045.0,988.818033584,4.31545e-06,nan,nan,,1,1.18963e-05,260180.54684,260180.54684,467,3.68355e+21,100,,0.41989,2535.27
50000,1.99998761479,98.6193293886,27025.7,inf,9.68348e+15,911.363854201,0.8,911.363854201,389450.0,911.363854201,5.45142e-06,nan,nan,,1,1.09577e-05,221478.262905,221478.262905,507,4.40751e+20,100,,0.498748,2230.08
50000,1.95014294499,104.60251046,25591.3,5.15702e+08,141.683,966.276094604,0.8,966.276094604,329190.0,966.276094604,3.47025e-06,nan,nan,,1,1.16225e-05,187739.615075,187739.615075,478,4.64901e+06,100,,0.381366,1774.16
50000,1.99999991037,107.991360691,22736.7,1.26953e+17,1.74626e+06,998.200085496,0.8,998.200085496,348647.0,998.200085496,5.99402e-06,nan,nan,,1,1.1999e-05,210903.130828,210903.130828,463,7.27337e+10,100,,0.499774,1961.93
50000,1.45676935936,103.519668737,34570.6,8.95481e+08,247.186,957.236110138,0.8,957.236110138,386062.0,957.236110138,1.93896e-06,nan,nan,,1,1.15022e-05,263577.935959,263577.935959,483,5.30901e+06,100,,0.247042,2190.84
50000,1.99865284469,95.6022944551,22864.4,9.68607e+12,14918.7,883.829402443,0.8,883.829402443,333988.0,883.829402443,4.91064e-06,nan,nan,,1,1.06225e-05,245397.784168,245397.784168,523,6.74995e+08,100,,0.480613,1957.25
50000,1.99983125012,110.864745011,23563.2,2.24438e+27,2.37299e+11,1024.73707136,0.8,1024.73707136,393518.0,1024.73707136,6.04791e-06,nan,nan,,1,1.23183e-05,246385.075041,246385.075041,451,9.54426e+15,100,,0.495446,2135.53
50000,1.63446518621,111.856823266,25495.0,1.12758e+09,250.824,1034.32820345,0.8,1034.32820345,375203.0,1034.32820345,2.76853e-06,nan,nan,,1,1.24285e-05,270467.566877,270467.566877,447,6.07406e+06,100,,0.300975,2169.88
50000,2.0000000884,115.740740741,35503.9,4.04628e+24,1.02016e+10,1069.60839509,0.8,1069.60839509,439537.0,1069.60839509,6.42995e-06,nan,nan,,1,1.28601e-05,373088.710873,373088.710873,432,3.96638e+14,100,,0.5,2650.6
50000,1.9999999797,109.649122807,27635.8,2.72833e+22,8.15356e+08,1012.78437969,0.8,1012.78437969,360244.0,1012.78437969,6.09154e-06,nan,nan,,1,1.21832e-05,260651.259879,260651.259879,456,3.34622e+13,100,,0.5,2098.44
50000,1.9999998655,113.895216401,31970.2,inf,2.09529e+15,1052.11769292,0.8,1052.11769292,408536.0,1052.11769292,6.32743e-06,nan,nan,,1,1.2655e-05,290237.244354,290237.244354,439,8.27849e+19,100,,0.5,2421.28
50000,0.936550529503,113.636363636,52872.2,7.43501e+07,59.5278,1050.90143165,0.8,1050.90143165,406058.0,1050.90143165,3.34497e-06,nan,nan,,1,1.26263e-05,316925.993497,316925.993497,440,2.32992e+06,100,,0.494193,2310.34
50000,1.80702117291,121.359223301,35245.8,9.97921e+13,75451.2,1122.52571757,0.8,1122.52571757,463136.0,1122.52571757,3.18731e-06,nan,nan,,1,1.34844e-05,366503.860275,366503.860275,412,1.8285e+09,100,,0.326782,2573.18
50000,0.976547268453,124.688279302,56372.7,8.81947e+15,402702.0,1153.22922982,0.8,1153.22922982,497846.0,1153.22922982,1.04386e-05,nan,nan,,1,1.38543e-05,410181.059795,410181.059795,401,2.49329e+10,100,,0.857772,2662.77
50000,1.0015731036,131.926121372,53580.3,2.5069e+14,65295.5,1220.01251487,0.8,1220.01251487,476022.0,1220.01251487,1.26342e-05,nan,nan,,1,1.46585e-05,363248.888274,363248.888274,379,4.12989e+09,100,,0.927136,2395.33
50000,1.48522107372,123.762376238,35374.8,1.2118e+18,9.01479e+06,1143.0435685,0.8,1143.0435685,501256.0,1143.0435685,2.81975e-06,nan,nan,,1,1.37514e-05,436081.218937,436081.218937,404,1.80892e+11,100,,0.275937,2957.57
50000,2.71311825357,117.647058824,28893.1,107941.0,8.37057,1087.5483379,0.8,1087.5483379,368332.0,1087.5483379,2.63241e-07,nan,nan,,1,1.30719e-05,330390.856757,330390.856757,425,57890.9,100,,0.0904054,2114.54
50000,1.99743201735,126.903553299,29924.3,2.14995e+11,4043.56,1174.06110146,0.8,1174.06110146,424608.0,1174.06110146,2.61435e-06,nan,nan,,1,1.41004e-05,321446.225422,321446.225422,394,8.43953e+07,100,,0.294297,2459.24
50000,1.59968435246,125.944584383,34737.4,2.00762e+09,468.445,1163.51911057,0.8,1163.51911057,434221.0,1163.51911057,1.79159e-06,nan,nan,,1,1.39938e-05,306251.347638,306251.347638,397,7.56563e+06,100,,0.226008,2450.39
50000,1.99999069581,132.275132275,28074.3,2.96436e+24,9.35988e+09,1222.65336562,0.8,1222.65336562,484682.0,1222.65336562,7.30906e-06,nan,nan,,1,1.46972e-05,390323.908394,390323.908394,378,3.17566e+14,100,,0.498655,2845.73
50000,1.99999971172,130.890052356,28608.1,4.31449e+17,3.54452e+06,1210.67877045,0.8,1210.67877045,430965.0,1210.67877045,7.26343e-06,nan,nan,,1,1.45433e-05,332788.587616,332788.587616,382,1.21793e+11,100,,0.49972,2443.01
50000,1.04667777587,138.888888889,31343.3,1.24918e+14,104637.0,1282.91620511,0.8,1282.91620511,547757.0,1282.91620511,2.7171e-06,nan,nan,,1,1.54321e-05,478506.134101,478506.134101,360,1.45473e+09,100,,0.214548,3073.62
50000,1.99945869702,131.926121372,28131.6,3.77735e+21,3.38219e+08,1219.52605676,0.8,1219.52605676,475476.0,1219.52605676,7.09525e-06,nan,nan,,1,1.46585e-05,358071.636783,358071.636783,379,1.13496e+13,100,,0.491891,2825.54
50000,1.99949118844,143.67816092,32239.4,5.08083e+14,132125.0,1327.9429062,0.8,1327.9429062,521640.0,1327.9429062,7.41756e-06,nan,nan,,1,1.59642e-05,465000.725387,465000.725387,348,3.98866e+09,100,,0.481936,3026.79
50000,2.00031940317,125.944584383,29810.4,9.5959e+09,571.707,1163.57809478,0.8,1163.57809478,420740.0,1163.57809478,5.74927e-06,nan,nan,,1,1.39938e-05,394246.968751,394246.968751,397,1.85043e+07,100,,0.452935,2545.59
50000,1.99603263958,119.61722488,33977.2,1.59885e+28,6.80909e+11,1105.50344401,0.8,1105.50344401,432534.0,1105.50344401,6.09162e-06,nan,nan,,1,1.32908e-05,335050.403457,335050.403457,418,2.45011e+16,100,,0.478242,2545.71
50000,2.01390737594,130.890052356,45355.8,2.47964e+10,1140.21,1209.47130785,0.8,1209.47130785,460327.0,1209.47130785,4.03412e-06,nan,nan,,1,1.45433e-05,389930.861713,389930.861713,382,3.52064e+07,100,,0.449058,2660.45
50000,1.92105363971,127.877237852,37046.9,6.47119e+15,541727.0,1182.27867851,0.8,1182.27867851,526192.0,1182.27867851,4.45169e-06,nan,nan,,1,1.42086e-05,450361.149922,450361.149922,391,1.47898e+10,100,,0.387912,3245.85
50000,1.88825433592,126.262626263,27704.2,1.55856e+09,372.795,1166.05089505,0.8,1166.05089505,399368.0,1166.05089505,2.20723e-06,nan,nan,,1,1.40292e-05,312979.971394,312979.971394,396,7.20784e+06,100,,0.271249,2306.18
50000,1.96651085524,144.927536232,45286.2,4.61337e+08,184.987,1336.04921558,0.8,1336.04921558,511120.0,1336.04921558,3.49584e-06,nan,nan,,1,1.61031e-05,494218.809607,494218.809607,345,3.65131e+06,100,,0.317845,3084.17
50000,1.83442575053,161.290322581,22862.2,4.65925e+06,34.7596,1485.74162889,0.8,1485.74162889,446503.0,1485.74162889,1.23851e-06,nan,nan,,1,1.79211e-05,354986.376098,354986.376098,310,301191.0,100,,0.155287,2628.4
50000,1.99999998287,150.15015015,29826.1,4.01416e+24,1.15733e+10,1385.2966377,0.8,1385.2966377,487007.0,1385.2966377,8.34154e-06,nan,nan,,1,1.66834e-05,361531.584845,361531.584845,333,3.46852e+14,100,,0.5,2758.14
