Inner Iteration,TimeElapsed,LearnableVariance,OptimizationReturnMax,Iteration,ESSRenyiHarmonic,ReturnStepMaxmin,EmpiricalD2Harmonic,StdIW,VarianceInitializer,StdWReturnMean,Weights,EpisodesSoFar,InitialReturnStd,EmpiricalD2Arithmetic,MinTargetPdf,DivergenceHarmonic,ReturnStepMax,InitialReturnMin,ESSRenyiArithmetic,MinBehavPdf,MaxIW,MeanIW,EpRewMean,Bound,WReturnMean,ReturnMeanIW,InitialBound,MeanD2-0,EpLenMean,InitialReturnMax,TimestepsSoFar,Penalization,InitialReturnMean,MeanEntropy,OptimizationReturnMean,Epsilon,EpThisIter,MinIW,OptimizationReturnMin
1,86.40526485443115,,630.237,39,100.0,9.359992,1.0,13.095563,-1.0,,[-0.031  0.246 -0.066  0.013 -0.007  0.217  0.332 -0.541  0.     0.  0.   ],3900,124.692505,1.0,-46.32637,128014090000.0,9.359992,258.70245,100.0,-46.32637,68.11615,7.8337026,449.4667017779247,-2843540200.0,217568.53,1987806.1,-225510.48,1.0,48.47,888.93945,154518,True,449.46667,0.4189424,190.76424,2.0,100,0.01174553,
1,90.20095920562744,,674.0493,40,100.0,9.359925,1.0,1279.3823,-1.0,,[-0.033  0.244 -0.067  0.011 -0.009  0.187  0.363 -0.587  0.     0.  0.   ],4000,124.07247,1.0,-45.00004,2.8149488e+21,9.359925,239.09831,100.0,-45.00004,11203.337,292.10495,469.27422366889715,-444631000000000.0,235612.28,73821176.0,-243992.69,1.0,50.58,913.14764,159576,True,469.27423,0.4189424,230.17592,2.0,100,0.058602445,
1,93.85737895965576,,566.63745,41,100.0,9.359836,1.0,6023604.5,-1.0,,[-0.055  0.214 -0.077 -0.025 -0.047  0.111  0.298 -0.551  0.     0.  0.   ],4100,111.77121,1.0,-34.958794,3.998058e+29,9.359836,268.4796,100.0,-34.958794,60547668.0,617028.56,420.6420778960749,-4.4320198e+18,189432.55,418395850000.0,-196441.9,1.0,45.37,835.11707,164113,True,420.64206,0.4189424,152.16246,2.0,100,0.011590416,
1,97.1853597164154,,478.97662,42,100.0,9.359971,1.0,12477.798,-1.0,,[-0.074  0.226 -0.081  0.059  0.038  0.133  0.29  -0.566  0.     0.  0.   ],4200,93.55866,1.0,-32.859028,8.3655415e+23,9.359971,248.44197,100.0,-32.859028,123919.85,1992.3755,402.80385372256586,-4864052000000000.0,171004.19,210466540.0,-176322.23,1.0,43.43,727.4186,168456,True,402.80383,0.4189424,154.36188,2.0,100,0.021869415,
1,101.1421127319336,,1241.1272,43,100.0,9.359737,1.0,280.53937,-1.0,,[-0.075  0.225 -0.086  0.002 -0.02   0.117  0.323 -0.653  0.     0.  0.   ],4300,184.89182,1.0,-69.71724,4.4194815e+18,9.359737,287.86688,100.0,-69.71724,1960.3743,68.19382,493.6489894968834,-49394636000000.0,277874.3,18860804.0,-301370.34,1.0,53.2,1528.994,173776,True,493.649,0.4189424,205.7821,2.0,100,0.22794974,
1,105.25919580459595,,634.45544,44,100.0,9.35987,1.0,38.344704,-1.0,,[-0.034  0.23  -0.088 -0.002 -0.024  0.16   0.33  -0.669  0.     0.  0.   ],4400,119.93183,1.0,-45.148186,20591917000000.0,9.35987,278.30835,100.0,-45.148186,321.33978,12.030454,469.60737836549066,-37999750000.0,234914.72,2903390.0,-243288.08,1.0,50.63,912.7638,178839,True,469.60733,0.4189424,191.29903,2.0,100,0.11470519,
1,109.73176908493042,,733.5974,45,100.0,9.359821,1.0,153.69745,-1.0,,[-0.049  0.223 -0.089  0.033  0.012  0.131  0.313 -0.668  0.     0.  0.   ],4500,139.34982,1.0,-50.5866,1.8795373e+17,9.359821,285.32523,100.0,-50.5866,1524.6516,27.967503,490.83525946870674,-4523671700000.0,260337.61,8525425.0,-270771.97,1.0,52.9,1018.9226,184129,True,490.83527,0.4189424,205.51003,2.0,100,0.14234942,
1,113.65280795097351,,707.69775,46,100.0,9.3596325,1.0,198.97884,-1.0,,[-0.012  0.218 -0.088  0.058  0.038  0.151  0.297 -0.644  0.     0.  0.   ],4600,124.39693,1.0,-46.62816,404423300.0,9.3596325,257.93884,100.0,-46.62816,1812.0057,48.855453,431.9854811415237,-197553600.0,202086.06,9089821.0,-211457.6,1.0,46.57,965.6366,188786,True,431.9855,0.4189424,174.04666,2.0,100,0.18861473,
1,118.71988868713379,,616.4632,47,100.0,9.35999,1.0,1138.3424,-1.0,,[-0.019  0.215 -0.092  0.03   0.009  0.171  0.258 -0.626  0.     0.  0.   ],4700,127.139915,1.0,-44.957535,31844578000000.0,9.35999,285.29547,100.0,-44.957535,10715.326,170.4566,476.4405761686161,-46156812000.0,243160.17,37716464.0,-251332.84,1.0,51.34,901.75867,193920,True,476.44058,0.4189424,191.14511,2.0,100,0.019116145,
1,123.42507910728455,,711.53815,48,100.0,9.359954,1.0,915035.8,-1.0,,[-0.027  0.213 -0.094  0.039  0.018  0.211  0.216 -0.609  0.     0.  0.   ],4800,141.56499,1.0,-48.347145,3.3570535e+31,9.359954,276.3548,100.0,-48.347145,9180645.0,104088.39,444.6491080409558,-5.683048e+19,217753.47,21287119000.0,-227561.98,1.0,47.95,987.89294,198715,True,444.6491,0.4189424,168.29431,2.0,100,0.025626427,
1,127.94973516464233,,656.04846,49,100.0,9.3596735,1.0,2047.8047,-1.0,,[-0.028  0.193 -0.099  0.097  0.081  0.244  0.134 -0.606  0.     0.  0.   ],4900,111.280174,1.0,-34.157394,3.0207773e+35,9.3596735,221.06357,100.0,-34.157394,20082.732,382.61227,365.74472706427264,-4.2496377e+21,146152.48,144776740.0,-153884.52,1.0,39.46,877.11206,202661,True,365.74472,0.4189424,144.68117,2.0,100,0.0007983974,
1,132.54677939414978,,670.4267,50,100.0,9.359716,1.0,445785.3,-1.0,,[-0.044  0.177 -0.092  0.075  0.062  0.235  0.075 -0.503  0.     0.  0.   ],5000,153.54759,1.0,-39.681114,2.1182632e+33,9.359716,220.62445,100.0,-39.681114,4309469.0,71690.164,390.3449878805269,-3.6726338e+20,175946.06,18835010000.0,-183925.8,1.0,42.12,891.05115,206873,True,390.345,0.4189424,169.72052,2.0,100,0.022881214,
1,138.17351484298706,,826.90344,51,100.0,9.359963,1.0,214535.8,-1.0,,[-0.062  0.199 -0.107  0.015  0.006  0.301  0.047 -0.557  0.     0.  0.   ],5100,148.26057,1.0,-56.701164,1.8377867e+31,9.359963,257.20422,100.0,-56.701164,2155469.2,22582.186,445.96757896021467,-5.063779e+19,220868.27,11496446000.0,-232680.39,1.0,48.11,1084.1077,211684,True,445.9676,0.4189424,188.76337,2.0,100,0.12863928,
1,143.88817644119263,,571.28735,52,100.0,9.359979,1.0,17942.992,-1.0,,[-0.076  0.197 -0.109  0.039  0.031  0.263  0.068 -0.581  0.     0.  0.   ],5200,123.795975,1.0,-50.611916,1.9414424e+22,9.359979,248.20709,100.0,-50.611916,180432.36,1969.5151,440.9351025263741,-940452700000000.0,209749.2,652321100.0,-216498.77,1.0,47.57,819.49445,216441,True,440.93512,0.4189424,192.72803,2.0,100,0.06264035,
1,150.8555669784546,,841.4035,53,100.0,9.359983,1.0,25.643076,-1.0,,[-0.082  0.165 -0.122 -0.013 -0.023  0.192  0.009 -0.573  0.     0.  0.   ],5300,179.7039,1.0,-49.140194,1530268000.0,9.359983,229.4898,100.0,-49.140194,146.30577,13.897853,511.2385518680249,-454486460.0,293658.3,3608953.5,-305184.25,1.0,55.13,1070.8933,221954,True,511.23856,0.4189424,281.74872,2.0,100,0.0667578,
1,158.09065079689026,,870.2977,54,100.0,9.359949,1.0,26.204708,-1.0,,[-0.098  0.169 -0.131  0.021  0.011  0.195 -0.026 -0.571  0.     0.  0.   ],5400,181.52588,1.0,-58.848602,48215910.0,9.359949,276.00406,100.0,-58.848602,235.44902,9.895733,517.0580958740553,-95511256.0,300300.72,3809950.0,-313507.03,1.0,55.74,1146.3018,227528,True,517.05804,0.4189424,241.05405,2.0,100,0.06687046,
1,164.78955340385437,,856.7965,55,100.0,9.359588,1.0,8329.198,-1.0,,[-0.118  0.17  -0.142 -0.017 -0.028  0.186 -0.04  -0.581  0.     0.  0.   ],5500,167.6285,1.0,-53.271793,3.9009607e+28,9.359588,257.9117,100.0,-53.271793,77709.05,1222.5796,490.3205571831485,-2.466554e+18,268513.56,671689860.0,-281001.94,1.0,52.94,1114.7083,232822,True,490.32056,0.4189424,232.40884,2.0,100,0.10189411,
