EpLenMean,ReturnStepMax,DivergenceHarmonic,WReturnMean,ReturnStepMaxmin,ReturnMeanIW,EmpiricalD2Arithmetic,OptimizationReturnMean,InitialBound,ESSRenyiHarmonic,InitialReturnMax,MeanIW,Inner Iteration,EmpiricalD2Harmonic,TimestepsSoFar,StdWReturnMean,StdIW,ESSRenyiArithmetic,MeanD2-0,InitialReturnStd,OptimizationReturnMin,MinTargetPdf,InitialReturnMin,EpThisIter,OptimizationReturnMax,MaxIW,VarianceInitializer,MinIW,MeanEntropy,InitialReturnMean,EpisodesSoFar,LearnableVariance,Weights,Iteration,Penalization,Epsilon,MinBehavPdf,Bound,TimeElapsed,EpRewMean
63.54,9.359997,2.8506438e+25,375418.38,9.359997,5753579.5,1.0,294.7699,-386956.62,100.0,1071.4648,12.505575,1,1.0,144875,,40.583614,100.0,1.0,167.6278,,-64.094536,294.5681,100,776.8967,371.75952,-1.0,0.016482038,0.4189424,589.33795,3500,,[-0.021  0.042 -0.125 -0.003  0.015  0.134 -0.044 -0.673  0.     0.  0.   ],35,True,2.0,-64.094536,-6.1604116e+16,493.86199617385864,589.3380065999504
73.76,9.359968,7292468600000.0,529373.8,9.359968,59149588.0,1.0,389.9127,-553593.06,100.0,1552.3464,111.09191,1,1.0,152251,,607.0086,100.0,1.0,248.70953,,-66.98438,293.83972,100,1258.5067,4458.046,-1.0,0.06867596,0.4189424,683.7523,3600,,[-0.063  0.038 -0.13   0.001  0.019  0.095 -0.068 -0.674  0.     0.  0.   ],36,True,2.0,-66.98438,-65462043000.0,514.3109705448151,683.7524164050627
64.48,9.359923,5094623000000.0,392422.8,9.359923,6100580.5,1.0,303.23676,-412706.38,100.0,1420.6272,11.614337,1,1.0,158699,,40.419758,100.0,1.0,188.24565,,-69.77641,294.24664,100,1126.3806,310.12772,-1.0,0.11526137,0.4189424,597.48346,3700,,[-0.054  0.039 -0.132 -0.004  0.014  0.119 -0.084 -0.673  0.     0.  0.   ],37,True,2.0,-69.77641,-45788510000.0,531.4995405673981,597.4834111288278
64.04,9.3599,1.6829402e+36,386517.72,9.3599,185804210.0,1.0,336.59415,-400507.7,100.0,1179.8217,311.917,1,1.0,165103,,2153.5603,100.0,1.0,183.6615,,-51.383057,257.36392,100,922.45776,21393.295,-1.0,0.06628202,0.4189424,593.95807,3800,,[-0.046  0.042 -0.134 -0.007  0.012  0.145 -0.099 -0.673  0.     0.  0.   ],38,True,2.0,-51.383057,-1.8148865e+22,548.2029378414154,593.9580586402003
65.52,9.359953,9.968011e+31,429007.97,9.359953,5671783400.0,1.0,321.6822,-447355.72,100.0,1351.1376,5888.814,1,1.0,171655,,49792.56,100.0,1.0,244.93854,,-76.631714,285.7823,100,1065.3552,499506.56,-1.0,0.09698578,0.4189424,607.4645,3900,,[-0.071  0.043 -0.139  0.022  0.041  0.118 -0.095 -0.702  0.     0.  0.   ],39,True,2.0,-76.631714,-1.8318326e+20,564.4119248390198,607.4644720701693
67.71,9.359998,18417800000.0,437964.84,9.359998,9650060.0,1.0,371.0363,-455781.8,100.0,1331.4508,25.563095,1,1.0,178426,,82.765724,100.0,1.0,208.038,,-56.894985,257.20337,100,1074.2474,748.8294,-1.0,0.048273876,0.4189424,628.2396,4000,,[-0.072  0.05  -0.142 -0.013  0.006  0.152 -0.11  -0.699  0.     0.  0.   ],40,True,2.0,-56.894985,-2427623700.0,583.0412137508392,628.2396370900386
60.68,9.359952,57338884000.0,358986.16,9.359952,30842682.0,1.0,295.00696,-372061.72,100.0,1140.6127,50.154396,1,1.0,184494,,350.2741,100.0,1.0,206.77368,,-61.21408,267.33707,100,873.27563,3512.7485,-1.0,0.02029674,0.4189424,562.344,4100,,[-0.079  0.05  -0.146 -0.056 -0.038  0.149 -0.115 -0.707  0.     0.  0.   ],41,True,2.0,-61.21408,-3161845000.0,602.1071200370789,562.3440487969057
69.98,9.359968,16097766000.0,462772.97,9.359968,12989175.0,1.0,354.55542,-479748.84,100.0,1299.6431,10.886082,1,1.0,191492,,85.671936,100.0,1.0,204.42068,,-58.367332,294.27826,100,1005.3648,862.7757,-1.0,0.102453806,0.4189424,648.8337,4200,,[-0.071  0.053 -0.148 -0.015  0.003  0.147 -0.099 -0.723  0.     0.  0.   ],42,True,2.0,-58.367332,-2166828800.0,624.9087243080139,648.8336901373482
73.68,9.359807,6.697216e+29,513146.25,9.359807,1658336900.0,1.0,330.99243,-543746.56,100.0,1744.9026,581.1932,1,1.0,198860,,5346.4326,100.0,1.0,215.93814,,-70.17487,352.02808,100,1392.8745,53756.07,-1.0,0.05122463,0.4189424,683.02045,4300,,[-0.08   0.048 -0.15  -0.008  0.01   0.122 -0.112 -0.724  0.     0.  0.   ],43,True,2.0,-70.17487,-2.5042167e+19,643.8862934112549,683.0204955257982
60.44,9.359858,1.7909577e+36,351536.2,9.359858,40042070000.0,1.0,292.83612,-363817.66,100.0,1105.4353,69595.45,1,1.0,204904,,285465.3,100.0,1.0,194.94962,,-54.548782,267.1021,100,838.3332,2314643.2,-1.0,0.025060786,0.4189424,559.93823,4400,,[-0.064  0.053 -0.155  0.028  0.048  0.144 -0.121 -0.74   0.     0.  0.   ],44,True,2.0,-54.548782,-1.6435833e+22,663.755163192749,559.9382377116915
